MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58716.353010 -21.150  0.836   -13   10 o  0   1.11 279.81703  54.28787  3414.46  8994.97 2.26 2.00  33.7 -0.410 19.64 21.00 02a58716o0281o
58716.355515 -22.660  3.200    -3   10 o  0   1.32 279.81703  54.28787  3395.16  8955.91 2.26 2.02  31.7 -0.407 19.60 20.93 02a58716o0286o
58716.360313  21.295  0.944    11   10 o  0   1.28 279.81703  54.28787  3449.04  9031.60 2.27 1.99  35.5 -0.409 19.61 20.84 02a58716o0296o
58716.369696  19.892  0.274    40   11 o  0   1.44 279.81703  54.28787  3465.16  8912.63 2.25 1.95  35.2 -0.405 19.54 20.70 02a58716o0315o
58720.323112  23.133  4.059     2    8 c  0   0.88 279.81703  54.28787  3421.98  8999.36 2.38 2.32  -7.7 -0.405 19.83 21.89 02a58720o0221c
58720.326334 -20.532  0.366   -22    8 c  0   0.92 279.81703  54.28787  3402.76  8959.75 2.39 2.33  14.9 -0.403 19.84 21.91 02a58720o0228c
58720.333377 -21.234  0.808   -12    9 c  0   0.74 279.81703  54.28787  3457.79  9034.39 2.35 2.32 -22.0 -0.401 19.83 21.90 02a58720o0243c
58720.344909 -20.991  0.537   -15    8 c  0   1.48 279.81703  54.28787  3473.26  8916.46 2.41 2.34  19.3 -0.396 19.79 21.87 02a58720o0268c
58722.429371 -21.679  1.385    -8   11 o  0   1.42 279.81703  54.28787  7880.45  5581.60 2.36 1.93  27.4 -0.802 19.78 21.15 01a58722o0241o
58722.434717 -22.740  3.500    -3   10 o  0   1.12 279.81703  54.28787  7900.78  5619.19 2.35 1.95  -8.7 -0.409 19.64 20.93 01a58722o0250o
58722.438064 -20.581  0.431   -21    9 o  0   1.54 279.81703  54.28787  7841.64  5545.35 2.38 1.98  -8.6 -0.415 19.62 20.93 01a58722o0257o
58722.450391 -21.346  0.944   -10   10 o  0   1.11 279.81703  54.28787  7823.77  5664.52 2.28 1.98 -10.5 -0.421 19.57 20.80 01a58722o0283o
58724.365448  21.145  0.598    13    8 c  0   1.30 279.81703  54.28787  4647.98  4798.22 2.42 2.29  36.2 -0.398 19.77 21.81 02a58724o0320c
58724.368688  21.320  0.696    11    8 c  0   1.51 279.81703  54.28787  4627.98  4759.17 2.42 2.26  41.0 -0.401 19.77 21.67 02a58724o0327c
58724.374715  20.128  0.263    32    8 c  0   0.80 279.81703  54.28787  4685.74  4837.36 2.36 2.28  47.5 -0.402 19.76 21.64 02a58724o0340c
58724.384587  22.790  2.208     3    6 c  0   2.33 279.81703  54.28787  4705.13  4718.75 2.34 2.28  40.9 -0.404 19.75 21.59 02a58724o0361c
58726.294777  19.402  0.169    63   11 o  0   1.04 279.81703  54.28787  7870.54  5569.86 2.56 2.28  78.2 -0.437 19.56 21.15 01a58726o0158o
58726.297998  19.198  0.135    76   10 o  0   1.12 279.81703  54.28787  7891.29  5607.76 2.50 2.35  68.4 -0.426 19.60 21.16 01a58726o0165o
58726.305020  20.266  0.336    28   10 o  0   1.04 279.81703  54.28787  7832.66  5532.88 2.37 2.20  69.8 -0.434 19.68 21.20 01a58726o0180o
58728.304299  18.973  0.085    94    8 c  0   1.17 279.81703  54.28787  4662.67  4804.29 2.35 2.26  23.0 -0.401 19.83 22.01 02a58728o0173c
58728.308056  19.203  0.104    76    8 c  0   1.33 279.81703  54.28787  4642.37  4766.20 2.39 2.31  28.9 -0.397 19.84 22.02 02a58728o0181c
58728.314461  19.193  0.105    76    8 c  0   1.33 279.81703  54.28787  4699.65  4841.76 2.58 2.38  35.4 -0.392 19.74 21.99 02a58728o0195c
58728.324591  19.329  0.125    67    8 c  0   1.36 279.81703  54.28787  4717.65  4727.22 2.59 2.50 -50.7 -0.401 19.73 21.93 02a58728o0217c
58730.377390  19.912  0.255    39   10 o  0   1.68 279.81703  54.28787 10294.76  7370.08 2.28 2.24   8.6 -0.405 19.52 20.76 01a58730o0084o
58730.380627  19.470  0.159    59    9 o  0   1.53 279.81703  54.28787 10315.43  7408.19 2.24 2.17  73.2 -0.409 19.55 20.74 01a58730o0091o
58730.385818  19.313  0.157    68   11 o  0   0.96 279.81703  54.28787 10253.36  7334.85 2.39 2.12  88.2 -0.414 19.50 20.72 01a58730o0102o
58730.395668  19.507  0.237    57   14 o  0   0.72 279.81703  54.28787 10236.61  7458.01 2.37 2.03  89.9 -0.401 19.48 20.62 01a58730o0123o
58730.397054  19.160  0.150    79   12 o  0   1.41 279.81703  54.28787   339.98  7515.86 2.48 2.05  86.7 -0.402 19.49 20.68 01a58730o0126o
58730.399865  19.195  0.144    76   11 o  0   1.45 279.81703  54.28787   361.93  7556.61 2.53 2.15  86.4 -0.399 19.48 20.66 01a58730o0132o
58730.405639  19.141  0.143    80   12 o  0   1.39 279.81703  54.28787   300.96  7474.95 2.46 2.01  85.8 -0.409 19.46 20.60 01a58730o0144o
58730.416559  19.441  0.188    61   11 o  0   1.40 279.81703  54.28787   282.04  7589.57 2.60 2.12  84.6 -0.401 19.44 20.54 01a58730o0167o
58732.353657  19.467  0.205    59   12 o  0   1.49 279.81703  54.28787  8990.88  8767.77 2.47 2.03 -56.8 -0.434 19.51 20.51 02a58732o0220o
58732.356859  19.338  0.212    67   14 o  0   0.94 279.81703  54.28787  8969.61  8724.11 2.42 2.10 -56.4 -0.430 19.47 20.52 02a58732o0227o
58732.361983  19.623  0.316    51   16 o  0   0.73 279.81703  54.28787  9025.58  8805.45 2.37 2.13 -54.3 -0.432 19.38 20.43 02a58732o0238o
58732.374543  19.236  0.184    73   14 o  0   1.43 279.81703  54.28787  9042.90  8689.21 2.45 2.05 -54.4 -0.431 19.44 20.48 02a58732o0265o
58734.281179  19.193  0.144    76   11 o  0   1.82 279.81703  54.28787 10289.26  7359.71 2.37 2.14  74.5 -0.407 19.44 20.49 01a58734o0124o
58734.284400  19.588  0.199    53   10 o  0   1.41 279.81703  54.28787 10310.60  7397.78 2.43 2.24  74.5 -0.394 19.44 20.49 01a58734o0131o
58734.290446  19.239  0.157    73   12 o  0   1.03 279.81703  54.28787 10248.80  7325.07 2.19 1.99  72.9 -0.418 19.57 20.50 01a58734o0144o
58734.295095  19.279  0.165    70   12 o  0   1.21 279.81703  54.28787   327.32  7524.13 2.68 1.97  81.3 -0.399 19.50 20.52 01a58734o0154o
58734.298315  19.385  0.185    64   12 o  0   1.26 279.81703  54.28787   349.19  7565.05 2.60 2.03  79.4 -0.401 19.47 20.51 01a58734o0161o
58734.300615  19.358  0.184    66   12 o  0   1.04 279.81703  54.28787 10231.68  7443.02 2.32 2.11  74.5 -0.407 19.50 20.48 01a58734o0166o
58734.303841  19.053  0.132    87   12 o  0   1.43 279.81703  54.28787   288.15  7483.75 2.69 2.06  80.3 -0.393 19.46 20.51 01a58734o0173o
58734.315439  19.608  0.244    52   13 o  0   1.27 279.81703  54.28787   272.95  7599.17 2.58 1.99  82.0 -0.405 19.50 20.49 01a58734o0198o
58740.373293  18.801  0.201   110   22 o  0   0.89 279.81703  54.28787   738.91  5114.17 1.99 1.92 -22.6 -0.431 18.74 19.12 02a58740o0281o
58740.374666  19.407  0.371    63   23 o  0   1.08 279.81703  54.28787 10451.11  5155.35 2.39 2.03 -56.4 -0.449 18.79 19.20 02a58740o0284o
58740.376187  19.837  0.555    42   23 o  0   1.06 279.81703  54.28787   720.53  5075.13 2.06 1.96 -29.5 -0.428 18.69 19.09 02a58740o0287o
58740.378086  19.444  0.441    61   27 o  0   0.92 279.81703  54.28787 10431.10  5115.63 2.34 2.03 -58.7 -0.457 18.73 19.13 02a58740o0291o
58740.381774  19.096  0.323    84   27 o  0   0.86 279.81703  54.28787   779.04  5148.59 1.96 1.87 -30.2 -0.426 18.50 18.79 02a58740o0299o
58740.383633  18.998  0.350    91   32 o  0   0.88 279.81703  54.28787 10489.52  5196.01 2.24 1.98 -53.8 -0.464 18.68 18.96 02a58740o0303o
58740.391539  22.586  8.312     3   28 o  0   0.96 279.81703  54.28787   800.00  5028.34 2.05 1.97 -22.4 -0.437 18.43 18.80 02a58740o0320o
58740.394755  18.422  0.317   155   49 o  0   0.60 279.81703  54.28787 10508.70  5077.69 2.31 2.17 -45.3 -0.465 18.62 19.03 02a58740o0327o
58744.237749  19.361  0.173    65   11 o  0   1.34 279.81703  54.28787   121.48  5414.17 2.05 1.95 -44.8 -0.408 19.42 20.46 02a58744o0067o
58744.243639  18.978  0.147    93   14 o  0   0.93 279.81703  54.28787 10474.79  5125.45 2.15 1.97 -52.0 -0.450 19.45 20.41 02a58744o0077o
58744.283717  19.269  0.185    71   13 o  0   0.89 279.81703  54.28787   759.54  5121.72 2.10 1.97  12.3 -0.431 19.49 20.53 02a58744o0163o
58744.286476  19.522  0.160    56    9 o  0   1.71 279.81703  54.28787   740.15  5083.39 2.07 1.90  17.3 -0.431 19.44 20.46 02a58744o0169o
58744.293561  19.390  0.181    64   12 o  0   1.02 279.81703  54.28787   799.36  5159.04 2.01 1.91 -38.4 -0.438 19.41 20.33 02a58744o0184o
58744.303317  19.337  0.216    67   14 o  0   1.21 279.81703  54.28787   817.82  5039.52 2.01 1.91  19.3 -0.437 19.11 19.97 02a58744o0205o
58746.214022  19.393  0.192    64   12 o  0   1.18 279.81703  54.28787  3074.75  6980.86 1.90 1.74  88.1 -0.442 19.40 20.09 01a58746o0030o
