# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-22 at 07:01:49
#
# Requested input R.A. = 221.335125 degrees
# Requested input Dec. = 38.738419 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 719 5 3 ZTF_r 444380011815 0 1.6836 218.661 6.00861 26.1178 8.6895e-06 0.0247704 0.119139 1.43343e-05 412 30. 0.050559 0.048027 20.5223 26.1178 2 2458198.8800116 719120218 29.76601861456 24.379009 1.358187 1.032900 25.872447577 47.616867 0.547006 1.033039 3.37690572692398 19.4349998474121 0.101999998092651 4.53700017929077 0.248999997973442 2458155.054259 2458199.835648 0
 1 719 5 3 ZTF_r 444412411815 0 1.5555 249.292 5.24586 26.2792 1.14465e-05 0.0283734 0.123241 1.87818e-05 412 30. 0.056154 0.05096 20.8449 26.2792 2 2458198.912419 719120218 -35.30262741348 22.107687 -1.776309 0.907402 -46.07897246927 43.734650 -1.060699 1.031925 3.37690572692398 19.4349998474121 0.101999998092651 4.53700017929077 0.248999997973442 2458155.054259 2458199.835648 0
 2 719 5 3 ZTF_r 444431731815 0 1.7086 250.242 5.26718 26.2815 1.3e-05 0.0301799 0.124518 2.13095e-05 412 30. 0.054379 0.054329 20.813 26.2815 2 2458198.9317361 719120218 2.65465841 26.526812 0.111321 0.872596 -53.09562987792 50.034096 -1.068336 1.039288 3.37690572692398 19.4349998474121 0.101999998092651 4.53700017929077 0.248999997973442 2458155.054259 2458199.835648 0
 3 719 5 3 ZTF_r 445335641815 0 2.0933 180.919 5.51581 25.9415 1.03612e-05 0.0272053 0.103199 1.70061e-05 413 30. 0.050708 0.054762 20.3918 25.9415 2 2458199.8356481 719120218 -8.37029258957 23.631437 -0.394008 1.046195 61.70647732494 44.790997 1.386932 1.034785 3.37690572692398 19.4349998474121 0.101999998092651 4.53700017929077 0.248999997973442 2458155.054259 2458199.835648 0
 4 719 5 3 ZTF_g 448352221815 0 2.4202 219.66 5.94573 26.2548 1.47152e-05 0.0323326 -0.0460416 2.50385e-05 406 30. 0.055021 0.05442 20.4644 26.2548 2 2458202.8522222 719120118 5.12140961575 33.168392 0.171759 0.958486 -56.21129171618 53.837414 -1.051126 1.088476 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 5 719 5 3 ZTF_g 448357951815 0 2.2245 216.128 5.59501 26.2587 1.52849e-05 0.0330405 -0.0443067 2.52964e-05 410 30. 0.054678 0.0549 20.6403 26.2587 2 2458202.8579514 719120118 -45.78045807929 29.982473 -1.698508 0.926326 -23.41373117344 49.459778 -0.476578 1.093569 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 6 719 5 3 ZTF_g 448379651815 0 2.7517 217.636 4.82094 26.262 1.72616e-05 0.0350699 -0.0425705 2.89867e-05 407 30. 0.058599 0.065471 20.6003 26.262 1 2458202.8796528 719120118 21.25839217603 28.745104 0.822662 1.017589 6.46202588388 43.367496 0.150010 1.112537 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 7 719 5 3 ZTF_g 448380611815 0 2.1341 217.239 4.77331 26.2577 1.14878e-05 0.0287529 -0.0363761 1.92961e-05 413 30. 0.052331 0.054109 20.8426 26.2577 2 2458202.8806134 719120118 -20.924515617 22.634253 -1.028357 1.045035 -58.71456999296 37.789490 -1.564192 1.091664 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 8 719 5 3 ZTF_g 449344911815 0 2.5828 213.453 7.09779 26.2852 1.78532e-05 0.0352059 -0.0919382 3.16825e-05 396 30. 0.055954 0.055587 20.1684 26.2852 2 2458203.844919 719120118 -17.97042738043 39.449009 -0.506731 0.986837 -34.4028547936 64.828232 -0.534251 1.060700 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 9 719 5 3 ZTF_g 449359541815 0 2.5213 213.55 6.92129 26.2782 1.58328e-05 0.0331479 -0.085381 2.71855e-05 399 30. 0.055029 0.055214 20.2344 26.2782 2 2458203.8595486 719120118 9.48483289866 37.129128 0.284164 0.941970 0.96797662176 61.464447 0.015855 1.065118 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 10 719 5 3 ZTF_g 449384641815 0 2.5167 215.656 6.48852 26.2475 1.9944e-05 0.037511 -0.0293252 3.4709e-05 400 30. 0.060877 0.061829 20.3259 26.2475 2 2458203.8846412 719120118 39.44782303198 36.141384 1.214152 1.021350 69.87423401371 56.600437 1.242832 1.107925 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 11 719 5 3 ZTF_g 449406091815 0 2.4717 216.456 5.88809 26.2592 1.46905e-05 0.0320462 -0.0243467 2.49188e-05 401 30. 0.059327 0.057492 20.4813 26.2592 2 2458203.9060995 719120118 -19.78250458265 31.126360 -0.706981 1.044009 -45.73175102567 49.326321 -0.933371 1.095475 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 12 719 5 3 ZTF_g 450345521815 0 3.0509 213.818 8.377 26.2849 2.27364e-05 0.037866 -0.0698647 4.65062e-05 355 30. 0.069982 0.064656 19.8089 26.2849 2 2458204.8455208 719120118 -59.57164584732 51.628273 -1.283532 0.992366 21.37093353308 77.923737 0.276102 1.066109 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 13 719 5 3 ZTF_g 450362311815 0 2.7905 219.163 8.48186 26.2963 1.77468e-05 0.0342905 -0.082691 3.32085e-05 371 30. 0.065444 0.055028 19.8917 26.2963 2 2458204.8623148 719120118 79.87524558223 44.021923 2.018357 1.046567 111.72900472486 70.061630 1.605465 1.056228 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 14 719 5 3 ZTF_g 450390281815 0 2.8085 215.089 7.97386 26.2851 2.08531e-05 0.0372162 -0.0548158 3.96381e-05 376 30. 0.060641 0.060749 19.9479 26.2851 2 2458204.8902894 719120118 -61.41474920115 46.338100 -1.474311 1.035502 -51.57002789505 71.719093 -0.723899 1.072363 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 15 719 5 3 ZTF_g 450399821815 0 2.7858 215.476 7.82493 26.2942 2.2913e-05 0.038915 -0.0739162 4.39191e-05 373 30. 0.064377 0.060362 19.9734 26.2942 2 2458204.8998264 719120118 25.84908046876 45.322422 0.634435 1.018290 1.39008867281 71.037788 0.019700 1.062181 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 16 719 5 3 ZTF_g 450420031815 0 2.6416 217.572 7.41848 26.2856 1.86377e-05 0.035608 -0.0631118 3.34501e-05 389 30. 0.061327 0.060233 20.0908 26.2856 2 2458204.9200347 719120118 12.39489138257 40.586163 0.339719 1.034656 17.35540633976 65.474754 0.266855 1.062826 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 17 719 5 3 ZTF_g 450439761815 0 2.5951 216.988 6.86121 26.2931 1.57752e-05 0.0330861 -0.0624809 2.74748e-05 398 30. 0.060156 0.0578 20.2004 26.2931 2 2458204.9397685 719120118 40.54329169252 41.114044 1.096942 0.828127 19.13027152065 66.500954 0.289607 1.065289 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 18 719 5 3 ZTF_g 451321491815 0 2.4792 233.044 11.8298 26.2605 2.43278e-05 0.0401421 -0.0435553 4.72561e-05 370 30. 0.05978 0.05833 19.6512 26.325 2 2458205.8214931 719120118 34.57556205276 56.716492 0.678133 1.002075 101.0110150023 95.247238 1.067657 1.053736 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 19 719 5 3 ZTF_g 451340321815 0 2.5583 232.684 14.1066 26.1389 2.33836e-05 0.036666 -0.0687492 5.17381e-05 329 30. 0.063921 0.059314 19.4135 26.325 2 2458205.8403241 719120118 -52.24520306089 75.393265 -0.770848 0.918345 -234.46926699661 124.301231 -1.899003 1.053033 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 20 719 5 3 ZTF_g 451347161815 0 2.6974 229.919 27.258 25.659 9.56647e-05 0.0558299 -0.0381875 0.00024714 214 30. 0.071287 0.062231 18.6471 26.325 1 2458205.8471644 719120118 175.54531855098 154.955109 1.260196 0.934152 91.9977001961 244.234924 0.379214 1.062006 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 21 719 5 3 ZTF_g 451363091815 0 2.6921 232.892 13.424 26.1479 2.34931e-05 0.0371016 -0.0149473 4.96872e-05 334 30. 0.066104 0.058251 19.4535 26.325 2 2458205.8630903 719120118 -38.52666914929 73.341454 -0.584341 0.936013 -15.2511327435 117.328476 -0.130862 1.066161 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 22 719 5 3 ZTF_g 451382511815 0 2.6784 232.656 16.1274 26.0555 2.55203e-05 0.0365368 -0.0559486 6.04196e-05 308 30. 0.069608 0.057124 19.2422 26.325 1 2458205.8825116 719120118 84.95604602617 82.391792 1.147004 0.948050 44.6988705352 130.054596 0.346008 1.069775 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 23 719 5 3 ZTF_g 451383421815 0 2.7662 232.811 17.2453 26.0048 4.14596e-05 0.0450537 -0.0384292 9.68533e-05 287 30. 0.077404 0.062251 19.1603 26.325 2 2458205.8834259 719120118 101.75333283909 88.265823 1.282363 1.037199 282.8174978799 138.090408 2.061854 1.073614 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 24 719 5 3 ZTF_g 451414511815 0 2.8323 229.672 15.9562 25.9954 5.11972e-05 0.0490449 -0.0449717 0.000121937 284 30. 0.072269 0.063097 19.1939 26.325 2 2458205.9145139 719120118 11.96573389221 90.226639 0.147523 0.944726 16.30827880396 137.006317 0.119835 1.080906 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 25 719 5 3 ZTF_g 451486261815 0 2.5424 229.527 7.97817 26.2524 2.24585e-05 0.0392748 -0.0451422 3.97638e-05 394 30. 0.066075 0.057826 20.0124 26.325 2 2458205.9862616 719120118 -30.10149354225 43.869190 -0.763279 0.986101 -114.49424070146 71.162086 -1.619758 1.063286 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 26 719 5 3 ZTF_g 452299891815 0 1.9314 233.256 14.0897 26.2754 1.66742e-05 0.0331044 -0.0584506 3.24625e-05 374 30. 0.050858 0.050728 19.6735 26.325 2 2458206.7998958 719120118 -62.47868289306 59.414284 -1.169757 0.948591 -58.53957062378 116.399849 -0.506305 1.033521 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 27 719 5 3 ZTF_g 452318041815 0 1.8974 233.188 13.6406 26.2892 2.6118e-05 0.0420876 -0.0674247 4.84715e-05 385 30. 0.051803 0.052639 19.7189 26.325 2 2458206.818044 719120118 58.32790736777 57.908840 1.120434 0.927342 87.49749136152 114.047226 0.772371 1.031403 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 28 719 5 3 ZTF_g 452340411815 0 1.8421 233.104 13.2959 26.2885 1.69446e-05 0.0338638 -0.0621341 3.16685e-05 384 30. 0.051029 0.050261 19.7818 26.325 2 2458206.8404167 719120118 22.85371242876 55.040749 0.461878 0.918607 16.04367095306 107.422371 0.150357 1.034306 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 29 719 5 3 ZTF_g 452363211815 0 1.821 233.046 12.9593 26.2782 1.94493e-05 0.035979 -0.0392939 3.68207e-05 376 30. 0.05207 0.050582 19.8232 26.325 2 2458206.8632176 719120118 67.91364065923 53.064774 1.423657 1.002614 -11.21134494674 102.666519 -0.109937 1.035123 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
 30 719 5 3 ZTF_g 452385091815 0 2.0072 233.033 12.455 26.293 2.05835e-05 0.0375228 -0.0311491 3.79525e-05 385 30. 0.049884 0.050088 19.8701 26.325 2 2458206.8850926 719120118 -99.92192328702 51.665199 -2.151382 0.881424 -207.44797991974 92.569321 -2.256095 1.040572 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 56
 31 719 5 3 ZTF_g 452398831815 0 1.8168 232.979 12.2619 26.2945 1.75487e-05 0.0345302 -0.0450003 3.16901e-05 385 30. 0.050176 0.048021 19.8885 26.325 2 2458206.898831 719120118 15.43284722735 51.281803 0.334763 0.886215 -27.64635421374 98.956238 -0.281261 1.036702 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 56
 32 719 5 3 ZTF_g 453302621815 0 2.1214 233.466 17.2542 26.272 3.08736e-05 0.0415615 -0.0758218 6.84958e-05 324 30. 0.051057 0.053514 19.3629 26.325 2 2458207.8026273 719120118 43.14988757044 69.621040 0.689436 1.023040 -39.93685995047 129.372528 -0.310776 1.038928 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 56
 33 719 5 3 ZTF_g 453319721815 0 2.0984 229.61 16.4214 26.2827 2.92725e-05 0.0408434 -0.063224 6.46216e-05 326 30. 0.049937 0.049211 19.4416 26.325 2 2458207.8197222 719120118 -68.53714197904 73.281433 -1.040368 1.008661 -286.23942798377 135.205353 -2.131330 1.042498 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 56
 34 719 5 3 ZTF_g 453347481815 0 2.0241 233.165 16.5109 26.2562 2.45627e-05 0.0377779 -0.0240675 5.15522e-05 326 30. 0.051335 0.045675 19.4788 26.325 2 2458207.8474884 719120118 64.9342661945 75.370621 0.958355 0.953677 324.12883266329 139.037781 2.346929 1.050581 1.57139030826293 20.1460000991821 0.0839999988675117 2.99000000953674 0.214000001549721 2458166.991296 2458204.939769 0
