# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-22 at 06:39:18
#
# Requested input R.A. = 34.4748733233 degrees
# Requested input Dec. = -9.61412619912 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 349 10 4 ZTF_g 560478413915 0 2.1499 65.7801 5.49683 25.758 3.44625e-05 0.0367904 0.00387123 4.84992e-05 290 30. 0.080486 0.086205 20.1175 25.758 1 2458314.9784144 349120139 -16.4226806201 28.636641 -0.637935 0.984026 -23.0523808884 48.286533 -0.480623 1.091151 0.0372383218251828 21.0740000724792 0.0970000028610229 1.90699994564056 0.204999998211861 2458314.978414 2458364.945787 0
 1 349 10 4 ZTF_g 566461663915 33554432 2.4468 32.0765 5.00277 24.973 0.000172787 0.0692549 0.00972891 0.000291457 197 30. 0.076998 0.06714 19.3477 24.973 1 2458320.9616667 349120139 20.78872709747 27.703308 0.834740 0.964688 52.8113425693 45.790123 1.161103 1.101300 0.0372383218251828 21.0740000724792 0.0970000028610229 1.90699994564056 0.204999998211861 2458314.978414 2458364.945787 0
 2 349 10 4 ZTF_r 566483633915 0 1.7965 143.899 5.84038 26.1176 1.5355e-05 0.0245817 0.116194 2.04751e-05 298 30. 0.074528 0.057825 20.4843 26.1176 1 2458320.9836343 349120239 5.38997780222 20.938618 0.286348 1.067737 -76.89201684259 42.365082 -1.827210 1.029900 0.0897155617900885 19.6189998626709 0.0450000017881393 2.5 0.129999995231628 2458323.983287 2458366.997778 0
 3 349 10 4 ZTF_g 569441143915 0 14.5354 76.928 5.00385 25.9388 3.59333e-05 0.0375911 0.0116402 5.01759e-05 290 30. 0.089653 0.079623 20.2147 25.9388 1 2458323.9411458 349120139 -21.27997464779 28.773806 -0.822676 0.978856 -13.66898062902 43.014713 -0.319915 1.150557 0.0372383218251828 21.0740000724792 0.0970000028610229 1.90699994564056 0.204999998211861 2458314.978414 2458364.945787 0
 4 349 10 4 ZTF_r 569483283915 0 1.9883 150.664 6.53913 26.1791 1.58478e-05 0.0253433 0.124774 2.12468e-05 303 30. 0.07316 0.060447 20.4121 26.1791 1 2458323.983287 349120239 -8.7786128543 24.529737 -0.398096 1.034619 -30.1623846043 46.754116 -0.649473 1.040725 0.0897155617900885 19.6189998626709 0.0450000017881393 2.5 0.129999995231628 2458323.983287 2458366.997778 0
 5 349 10 4 ZTF_g 573463933915 33554432 5.0463 31.8453 16.9151 25.0254 0.000633892 0.0726304 -0.000660851 0.00121632 74 30. 0.067814 0.083553 17.7357 25.0254 1 2458327.9639352 349120139 33.53674827956 93.760468 0.397884 0.967256 135.81181660127 146.842911 0.931107 1.072701 0.0372383218251828 21.0740000724792 0.0970000028610229 1.90699994564056 0.204999998211861 2458314.978414 2458364.945787 0
 6 349 10 4 ZTF_r 576419173915 0 2.5246 128.967 18.1455 26.0017 9.17135e-05 0.0573973 0.111642 0.00012095 277 30. 0.112148 0.116361 18.8286 26.0017 1 2458330.9191782 349120239 125.05925594489 90.230087 1.541769 0.946421 17.43822058108 150.025314 0.117018 1.048086 0.0897155617900885 19.6189998626709 0.0450000017881393 2.5 0.129999995231628 2458323.983287 2458366.997778 0
 7 349 10 4 ZTF_g 576482553915 0 2.2443 82.4802 15.5603 26.0265 5.65382e-05 0.0389124 0.011115 0.000103347 183 30. 0.0641 0.065972 19.1466 26.0265 1 2458330.9825579 349120139 -6.45637916678 83.932007 -0.085569 0.965446 14.92523865891 136.804001 0.109834 1.104093 0.0372383218251828 21.0740000724792 0.0970000028610229 1.90699994564056 0.204999998211861 2458314.978414 2458364.945787 0
 8 349 10 4 ZTF_r 581459183915 0 2.037 154.358 8.81197 26.2135 1.73176e-05 0.0261065 0.113281 2.31203e-05 306 30. 0.069198 0.065381 20.1075 26.2135 1 2458335.9591898 349120239 -14.38575214251 34.351231 -0.465849 0.929286 38.08777961293 65.561966 0.584856 1.039202 0.0897155617900885 19.6189998626709 0.0450000017881393 2.5 0.129999995231628 2458323.983287 2458366.997778 0
 9 349 10 4 ZTF_g 581500203915 0 2.5478 92.0038 12.1856 26.1295 6.64721e-05 0.0431305 0.000866299 0.000119769 198 30. 0.062576 0.059498 19.4204 26.1295 1 2458336.0002083 349120139 63.42173298804 73.697914 0.957277 0.944865 179.8875072886 112.106422 1.615421 1.142447 0.0372383218251828 21.0740000724792 0.0970000028610229 1.90699994564056 0.204999998211861 2458314.978414 2458364.945787 0
 10 349 10 4 ZTF_g 584439713915 0 2.58 83.1387 4.5837 26.0373 3.35928e-05 0.0367514 -0.0118784 4.80116e-05 294 30. 0.073192 0.074069 20.425 26.0373 1 2458338.9397106 349120139 11.74400294171 26.301931 0.496688 0.937387 -2.35751599414 40.487743 -0.058620 1.116966 0.0372383218251828 21.0740000724792 0.0970000028610229 1.90699994564056 0.204999998211861 2458314.978414 2458364.945787 0
