# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-22 at 06:57:02
#
# Requested input R.A. = 32.6281475225 degrees
# Requested input Dec. = 9.07408310584 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 503 1 1 ZTF_r 544453730015 0 3.1163 110.469 14.2982 25.8847 7.62771e-05 0.0534835 0.129354 9.68859e-05 282 30. 0.090719 0.083951 18.7982 25.8847 1 2458298.9537384 503120200 -120.91186324371 85.616394 -1.570966 1.020361 -11.66542966007 123.942787 -0.094753 1.099185 0.115464506925041 21.3159998893738 0.0719999969005585 0.966000020503998 0.103000000119209 2458310.954676 2458354.998032 0
 1 503 1 1 ZTF_g 544483190015 0 2.9957 70.28 20.2453 25.9659 0.000128432 0.0390557 -0.0198033 0.000284832 99 30. 0.082766 0.082915 18.5355 25.9659 1 2458298.9831944 503120100 -76.50603547391 128.226456 -0.663702 0.935583 -270.38905813664 186.654755 -1.458362 1.128698 null null null null null 2458304.963669 2458366.952708 57
 2 503 1 1 ZTF_r 547443990015 0 2.8704 110.909 11.4146 25.8952 5.54309e-05 0.0474906 0.107571 6.76544e-05 305 30. 0.107033 0.09935 19.1482 25.8952 1 2458301.9439931 503120200 73.01092911194 57.778248 1.405654 0.975824 50.44850342687 91.306572 0.556239 1.059528 0.115464506925041 21.3159998893738 0.0719999969005585 0.966000020503998 0.103000000119209 2458310.954676 2458354.998032 0
 3 503 1 1 ZTF_g 547477990015 0 2.3179 75.3195 13.4724 25.9851 6.53282e-05 0.0432425 -0.0267646 0.000109632 203 30. 0.078858 0.071572 19.1845 25.9851 1 2458301.9779977 503120100 -80.97660609215 65.631546 -1.372466 0.963515 -201.88601407968 111.371071 -1.824942 1.073271 null null null null null 2458304.963669 2458366.952708 57
 4 503 1 1 ZTF_g 550463660015 0 3.1631 75.9989 9.52809 26.0304 5.48186e-05 0.0420415 -0.0646486 8.61112e-05 231 30. 0.081585 0.083974 19.4586 26.0304 1 2458304.963669 503120100 4.25957426851 49.063080 0.096575 0.964587 43.63613511937 77.016197 0.570400 1.066546 null null null null null 2458304.963669 2458366.952708 57
 5 503 1 1 ZTF_r 556454670015 0 2.8408 99.3453 5.6486 25.7939 2.9041e-05 0.0349075 0.12677 3.50357e-05 325 30. 0.096541 0.094625 19.9713 25.7939 1 2458310.9546759 503120200 29.32182495198 30.765903 1.060171 0.864145 7.60593757284 49.568527 0.154476 1.102332 0.115464506925041 21.3159998893738 0.0719999969005585 0.966000020503998 0.103000000119209 2458310.954676 2458354.998032 0
 6 503 1 1 ZTF_r 559427070015 0 2.204 98.2889 6.0856 25.7674 2.84086e-05 0.0345445 0.121157 3.46065e-05 316 30. 0.091127 0.075673 19.9302 25.7674 1 2458313.9270718 503120200 -7.6572017175 26.900864 -0.316635 0.965977 -24.17224752219 48.936382 -0.497279 1.046003 0.115464506925041 21.3159998893738 0.0719999969005585 0.966000020503998 0.103000000119209 2458310.954676 2458354.998032 0
 7 503 1 1 ZTF_g 559464890015 0 2.1362 66.5715 4.66632 25.8649 3.62949e-05 0.0391063 -0.043287 4.53805e-05 313 30. 0.086319 0.07663 20.3615 25.8649 1 2458313.9648958 503120100 -17.70017452418 22.177076 -0.887826 0.921993 -27.15967601938 38.603188 -0.708299 1.075273 null null null null null 2458304.963669 2458366.952708 57
 8 503 1 1 ZTF_g 562422730015 33554464 2.276 2.28392 4.23146 22.4197 0.00568861 0.058294 0.241089 0.0118495 8 30. 0.107045 0.093352 16.9221 22.4197 1 2458316.9227315 503120100 3.87923264709 23.870953 0.180772 0.989181 -10.43495795778 39.853092 -0.263599 1.109833 null null null null null 2458304.963669 2458366.952708 57
