MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59142.507751  19.198  0.184    76   14 o  0   1.13 145.64671  75.56039  4922.73  3379.99 2.46 2.24   0.7 -0.395 19.30 20.45 01a59142o0684o
59142.511478  19.251  0.182    72   13 o  0   1.24 145.64671  75.56039  4902.42  3339.60 2.29 2.18  -3.5 -0.396 19.33 20.46 01a59142o0692o
59142.517048  19.523  0.197    56   11 o  0   1.73 145.64671  75.56039  4960.97  3418.02 2.61 2.32  -7.3 -0.389 19.26 20.46 01a59142o0704o
59142.527213  19.192  0.168    76   13 o  0   1.13 145.64671  75.56039  4982.25  3299.75 2.54 2.21  -6.2 -0.393 19.32 20.51 01a59142o0726o
59144.618671  20.947  0.565    15    9 c  0   1.37 145.64671  75.56039  4354.07  5025.64 2.81 2.43  43.4 -0.379 19.55 21.53 02a59144o0876c
59144.624187  19.517  0.189    57   11 c  0   1.19 145.64671  75.56039  4372.84  5064.63 2.78 2.39  44.6 -0.381 19.57 21.51 02a59144o0888c
59144.635741  19.879  0.277    41   11 c  0   0.70 145.64671  75.56039  4320.10  4985.79 2.70 2.37  45.0 -0.381 19.55 21.39 02a59144o0913c
59144.644005  19.940  0.374    38   14 c  0   1.06 145.64671  75.56039  4299.07  5100.27 2.84 2.36  44.9 -0.367 19.10 20.42 02a59144o0931c
59156.624570  19.048  0.494    87   43 o  0   0.91 145.64671  75.56039  8467.65  8667.60 2.74 2.32  49.3 -0.409 18.59 19.08 02a59156o0955o
59156.629879  19.153  0.470    79   37 o  0   0.92 145.64671  75.56039  8484.00  8706.96 2.48 2.27  55.5 -0.439 18.66 19.10 02a59156o0966o
59156.642390  19.714  0.744    47   35 o  0   1.45 145.64671  75.56039  8427.27  8634.68 2.67 2.28  48.8 -0.411 18.61 19.03 02a59156o0992o
59156.646060  19.625  0.949    51   49 o  0   1.12 145.64671  75.56039  8404.94  8754.26 2.61 2.23  49.0 -0.428 18.54 18.86 02a59156o1000o
59170.622597  20.178  0.578    31   18 o  0   1.72 145.64671  75.56039  1315.09  1635.05 2.32 1.95  81.3 -0.447 18.64 19.83 01a59170o0828o
59170.628607  20.248  2.792    29   81 o  0   1.08 145.64671  75.56039  1288.64  1602.62 2.17 1.97  73.2 -0.450 18.48 19.58 01a59170o0841o
59170.631848  13.576  0.385 13474 5181 o  0   1.14 145.64671  75.56039  1355.96  1672.73 2.35 2.12  67.3 -0.438 17.74 19.21 01a59170o0848o
59182.508381 -20.052  0.727   -35   25 o  0   1.06 145.64671  75.56039  4938.12  9096.62 2.35 2.29  -5.0 -0.378 18.59 19.06 01a59182o0688o
59182.512985  21.941  3.941     6   24 o  0   1.14 145.64671  75.56039  4921.24  9061.59 2.34 2.31 -72.1 -0.401 18.64 19.07 01a59182o0698o
59182.521743 -20.861  1.260   -16   21 o  0   1.50 145.64671  75.56039  4976.61  9137.56 2.30 2.23   5.0 -0.375 18.67 19.09 01a59182o0717o
59182.536946  20.705  1.240    19   24 o  0   0.88 145.64671  75.56039  4999.10  9022.89 2.33 2.23   7.6 -0.377 18.69 19.12 01a59182o0750o
59184.494052  17.663  0.404   313  126 o  0   0.32 145.64671  75.56039 10520.65  2892.77 2.44 1.88 -53.1 -0.487 18.60 18.86 02a59184o0679o
59184.506291  21.194  3.171    12   38 o  0   0.85 145.64671  75.56039 10502.59  3015.23 2.27 1.90 -52.3 -0.482 18.64 18.88 02a59184o0705o
59184.537150  19.429  0.433    61   27 o  0   0.97 145.64671  75.56039  2277.59  3229.13 2.13 1.99  55.2 -0.449 18.60 18.88 02a59184o0772o
59184.538980  19.585  0.495    53   26 o  0   1.14 145.64671  75.56039  2295.83  3269.69 2.16 1.96  51.1 -0.452 18.57 18.88 02a59184o0776o
59184.546335  20.135  0.837    32   27 o  0   1.12 145.64671  75.56039  2242.60  3185.71 2.23 2.00  49.6 -0.442 18.58 18.90 02a59184o0792o
59184.561943  18.795  0.244   110   27 o  0   0.86 145.64671  75.56039  2226.71  3298.59 2.19 1.98  51.1 -0.448 18.59 18.91 02a59184o0826o
59186.562888  19.887  0.672    40   27 o  0   1.04 145.64671  75.56039  4269.47  5635.20 3.33 3.24  76.7 -0.356 18.45 19.32 01a59186o0827o
59186.564735  21.218  1.841    12   22 o  0   1.33 145.64671  75.56039  4249.88  5596.96 3.11 2.97 -85.3 -0.332 18.53 19.32 01a59186o0831o
59186.567500  20.726  1.212    19   22 o  0   1.23 145.64671  75.56039  4306.02  5673.23 3.04 2.97  83.5 -0.351 18.52 19.31 01a59186o0837o
