MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59135.350919  18.405  4.491   158  709 o  0   1.07   3.77604 -24.69434  2150.42  2452.84 1.94 1.81  -3.1 -0.409 17.66 18.79 01a59135o0347o
59135.354149 -22.073 12.182    -5   66 o  0   0.80   3.77604 -24.69434  2209.49  2532.10 2.01 1.84  -3.7 -0.408 16.79 17.93 01a59135o0354o
59137.431880  21.378  1.070    10   11 c  0   1.13   3.77604 -24.69434  4483.64  8216.01 2.65 2.38  39.6 -0.394 19.63 21.39 02a59137o0521c
59137.436014  20.636  0.500    20   10 c  0   1.39   3.77604 -24.69434  4463.84  8177.35 2.65 2.36  40.5 -0.387 19.64 21.37 02a59137o0530c
59137.441611  23.248  5.583     2   10 c  0   1.34   3.77604 -24.69434  4521.88  8258.99 2.84 2.39  41.4 -0.373 19.58 21.35 02a59137o0542c
59137.455435  21.036  0.670    14    9 c  0   1.90   3.77604 -24.69434  4542.53  8143.64 2.76 2.37  43.1 -0.380 19.57 21.33 02a59137o0572c
59139.375894 -21.714  1.413    -8   11 o  0   1.18   3.77604 -24.69434  6514.17  8137.60 2.08 2.01 -29.4 -0.409 19.49 20.68 01a59139o0404o
59139.379116 -22.632  3.152    -3   10 o  0   1.30   3.77604 -24.69434  6534.02  8175.96 2.11 1.98 -11.4 -0.402 19.56 20.72 01a59139o0411o
59139.385102 -21.446  1.146   -10   11 o  0   1.01   3.77604 -24.69434  6476.42  8097.77 2.12 2.02 -18.7 -0.400 19.60 20.77 01a59139o0424o
59139.395238 -21.501  1.308    -9   12 o  0   0.70   3.77604 -24.69434  6459.29  8213.07 2.05 1.93 -14.5 -0.410 19.60 20.73 01a59139o0446o
59141.399146 -23.270  8.286    -2   15 c  0   1.47   3.77604 -24.69434   323.78  4478.69 2.57 2.35  45.3 -0.382 18.83 20.56 02a59141o0324c
59141.402344  16.417  0.771   985  759 c  0   1.12   3.77604 -24.69434   304.81  4440.36 2.47 2.23  35.5 -0.394 15.57 17.12 02a59141o0331c
59141.407870 -22.452  5.714    -4   22 c  0   1.02   3.77604 -24.69434   364.33  4515.23 2.46 2.28  43.6 -0.399 18.76 20.46 02a59141o0343c
59141.412010 -21.925  1.550    -6   10 c  0   1.43   3.77604 -24.69434 10255.61  4498.22 2.59 2.51  78.1 -0.406 19.58 21.38 02a59141o0352c
59141.415209  20.993  0.964    15   14 c  0   0.93   3.77604 -24.69434 10236.23  4463.76 2.78 2.51  33.7 -0.391 19.47 21.31 02a59141o0359c
59141.418879  21.325  1.183    11   13 c  0   1.27   3.77604 -24.69434   385.56  4401.49 2.48 2.29  49.7 -0.396 19.24 20.99 02a59141o0367c
59141.421166  21.272  2.133    11   24 c  0   1.34   3.77604 -24.69434 10295.40  4540.06 2.61 2.55  62.7 -0.398 19.05 20.79 02a59141o0372c
59141.432158  19.673  0.688    49   34 c  0   1.32   3.77604 -24.69434 10317.31  4426.01 2.57 2.51 -77.7 -0.404 18.65 20.30 02a59141o0396c
59143.329856  19.440  0.619    61   38 o  0   1.31   3.77604 -24.69434  4086.75  2413.76 2.09 1.96   8.5 -0.410 18.10 18.98 01a59143o0307o
59143.336766  20.715  0.821    19   15 o  0   1.13   3.77604 -24.69434  4070.10  2377.23 2.05 1.92  -0.6 -0.417 19.12 20.00 01a59143o0322o
59143.339994  20.161  0.545    31   17 o  0   0.75   3.77604 -24.69434  4127.69  2456.06 2.02 1.92   2.2 -0.416 19.15 20.05 01a59143o0329o
59143.345520  20.177  0.575    31   18 o  0   1.27   3.77604 -24.69434  4146.16  2340.08 2.22 1.94  -0.7 -0.406 18.92 19.87 01a59143o0341o
59145.328987  19.728  0.294    47   14 o  0   1.11   3.77604 -24.69434   301.45  6059.31 2.17 1.79  17.9 -0.399 19.25 20.19 02a59145o0308o
