# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-22 at 06:49:18
#
# Requested input R.A. = 235.4718119 degrees
# Requested input Dec. = 10.1050809 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 532 7 4 ZTF_r 444439002715 0 1.5929 185.053 5.71627 26.2647 3.6983e-06 0.0244524 0.10509 7.35047e-06 936 30. 0.046067 0.051464 20.7019 26.2647 1 2458198.9390046 532120227 0.78088669462 22.294947 0.038962 1.032946 1.87567919272 42.976261 0.043938 1.039313 2.60839824156074 18.1650003433228 0.0399999991059303 2.75 0.120999999344349 2458186.970579 2458288.752616 0
 1 532 7 4 ZTF_g 450421512715 0 2.7053 124.023 8.30979 26.2344 6.9167e-06 0.0318417 -0.0443786 1.54901e-05 864 30. 0.052617 0.049466 19.8721 26.2344 1 2458204.9215162 532120127 -11.98441269087 41.348415 -0.322413 1.004338 -34.87352679062 65.179131 -0.538645 1.069619 2.67570602124428 19.2320000648499 0.0399999991059303 2.54299998283386 0.0759999975562096 2458167.007431 2458368.694433 0
 2 532 7 4 ZTF_g 450442262715 0 2.8875 124.018 7.18968 26.2398 7.9276e-06 0.034052 -0.0448155 1.76016e-05 871 30. 0.058492 0.053654 20.0177 26.2398 1 2458204.9422685 532120127 -31.50598943308 40.754791 -0.859942 1.027911 -50.11075518074 61.564518 -0.819437 1.080634 2.67570602124428 19.2320000648499 0.0399999991059303 2.54299998283386 0.0759999975562096 2458167.007431 2458368.694433 0
 3 532 7 4 ZTF_g 453387222715 0 2.2239 123.709 14.9083 26.2169 1.11625e-05 0.0369024 -0.020967 2.82857e-05 752 30. 0.046686 0.045033 19.4245 26.2169 1 2458207.8872222 532120127 28.33740515657 70.715355 0.445760 0.945984 116.21087407691 120.723022 0.969107 1.071424 2.67570602124428 19.2320000648499 0.0399999991059303 2.54299998283386 0.0759999975562096 2458167.007431 2458368.694433 0
 4 532 7 4 ZTF_g 453431282715 0 2.4319 125.42 14.07 26.2439 1.13698e-05 0.0374019 -0.0161079 2.92671e-05 754 30. 0.048929 0.049007 19.4348 26.2439 1 2458207.9312847 532120127 32.80845402685 74.230843 0.491650 0.986376 -118.97878404403 120.272423 -0.995907 1.086154 2.67570602124428 19.2320000648499 0.0399999991059303 2.54299998283386 0.0759999975562096 2458167.007431 2458368.694433 0
 5 532 7 4 ZTF_g 456409082715 0 2.5646 116.436 20.3065 26.1466 2.2056e-05 0.040494 -0.00741566 6.28797e-05 519 30. 0.051264 0.053664 18.8773 26.1466 1 2458210.9090856 532120127 172.71695666273 108.702560 1.767462 0.949624 234.3397383793 167.361603 1.409631 1.104890 2.67570602124428 19.2320000648499 0.0399999991059303 2.54299998283386 0.0759999975562096 2458167.007431 2458368.694433 0
 6 532 7 4 ZTF_g 456431192715 0 2.4532 124.796 16.7883 26.2343 1.31271e-05 0.0358676 -0.00992662 3.46828e-05 629 30. 0.049476 0.049629 19.2181 26.2343 1 2458210.9311921 532120127 26.30618064363 94.825569 0.308594 0.973066 38.68749648529 148.435379 0.262391 1.109290 2.67570602124428 19.2320000648499 0.0399999991059303 2.54299998283386 0.0759999975562096 2458167.007431 2458368.694433 0
 7 532 7 4 ZTF_r 462380212715 0 3.4413 170.148 5.43156 26.1927 6.1596e-06 0.0314978 0.127376 1.23401e-05 931 30. 0.067669 0.056613 20.0365 26.1927 1 2458216.8802199 532120227 -122.1364374808 38.386269 -3.539355 0.986250 -99.42547172748 52.867332 -1.893326 1.136945 2.60839824156074 18.1650003433228 0.0399999991059303 2.75 0.120999999344349 2458186.970579 2458288.752616 0
 8 532 7 4 ZTF_r 464425682715 0 2.4699 177.977 5.86328 26.1921 4.0186e-06 0.0253367 0.128344 7.97021e-06 927 30. 0.051632 0.047855 20.4231 26.1921 2 2458218.9256829 532120227 -1.47243824549 28.978146 -0.056522 1.034874 -39.22529041225 47.484760 -0.831624 1.078746 2.60839824156074 18.1650003433228 0.0399999991059303 2.75 0.120999999344349 2458186.970579 2458288.752616 0
