# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-22 at 06:38:38
#
# Requested input R.A. = 245.5035 degrees
# Requested input Dec. = 40.449219 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 722 6 1 ZTF_r 444393192015 0 1.6965 160.311 6.10842 26.3032 3.7961e-06 0.0209568 0.105705 7.01815e-06 662 30. 0.041051 0.042057 20.6633 26.3032 2 2458198.8931944 722120220 -8.67263507894 28.594240 -0.337386 1.146580 -102.52645045732 55.942677 -1.845049 1.039140 1.97053503582863 19.9320000648499 0.144999995827675 6.9060001373291 0.499000012874603 2458155.058738 2458218.960810 0
 1 722 6 1 ZTF_r 444399072015 0 1.6648 162.448 6.01527 26.3048 3.9033e-06 0.0213118 0.106711 7.23714e-06 661 30. 0.039099 0.043699 20.7023 26.3048 2 2458198.8990741 722120220 -6.62308326461 28.142281 -0.261792 1.170627 -48.2224490313 54.778366 -0.886248 1.041025 1.97053503582863 19.9320000648499 0.144999995827675 6.9060001373291 0.499000012874603 2458155.058738 2458218.960810 0
 2 722 6 1 ZTF_r 444433682015 0 1.5632 163.728 5.77254 26.2962 4.5345e-06 0.0228859 0.115815 8.32383e-06 661 30. 0.049046 0.046782 20.7844 26.2962 2 2458198.9336806 722120220 33.41629798617 26.188030 1.419418 1.185577 33.01256348555 50.502739 0.658081 1.043691 1.97053503582863 19.9320000648499 0.144999995827675 6.9060001373291 0.499000012874603 2458155.058738 2458218.960810 0
 3 722 6 1 ZTF_r 444452252015 0 1.4536 163.734 5.79348 26.3094 4.9931e-06 0.024039 0.11514 9.19178e-06 660 30. 0.058646 0.048224 20.8191 26.3094 2 2458198.9522569 722120220 37.54827335185 27.899694 1.497081 1.104247 22.72729734477 54.900005 0.416764 1.043139 1.97053503582863 19.9320000648499 0.144999995827675 6.9060001373291 0.499000012874603 2458155.058738 2458218.960810 0
 4 722 6 1 ZTF_r 444468472015 0 1.5027 163.963 5.63982 26.3017 5.2194e-06 0.0245895 0.111165 9.64107e-06 662 30. 0.057549 0.049526 20.8273 26.3017 2 2458198.9684722 722120220 26.43157077717 29.502514 0.996595 1.012120 -33.55448759549 56.211803 -0.600950 1.046615 1.97053503582863 19.9320000648499 0.144999995827675 6.9060001373291 0.499000012874603 2458155.058738 2458218.960810 0
 5 722 6 1 ZTF_r 444484322015 0 1.5885 150.516 5.99234 26.2081 5.122e-06 0.0243613 0.11479 9.49107e-06 661 30. 0.043149 0.059108 20.6576 26.2081 2 2458198.9843287 722120220 -29.18077476104 25.907127 -1.252946 1.237635 -61.30276336171 50.002048 -1.234262 1.047492 1.97053503582863 19.9320000648499 0.144999995827675 6.9060001373291 0.499000012874603 2458155.058738 2458218.960810 0
 6 722 6 1 ZTF_g 449382262015 0 2.3874 263.945 7.92906 26.2394 8.6479e-06 0.031167 -0.0458482 1.72696e-05 641 30. 0.042071 0.046726 20.1224 26.2394 2 2458203.8822685 722120120 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 4.47515688574599 20.516999912262 0.114000000059605 3.18600010871887 0.342999994754791 2458167.064248 2458207.003901 61
 7 722 6 1 ZTF_g 449412752015 0 2.0402 275.15 6.73922 26.2734 6.7097e-06 0.0281117 -0.047291 1.25895e-05 668 30. 0.03986 0.043879 20.4978 26.2734 2 2458203.9127546 722120120 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 4.47515688574599 20.516999912262 0.114000000059605 3.18600010871887 0.342999994754791 2458167.064248 2458207.003901 61
 8 722 6 1 ZTF_g 450401772015 0 3.0303 269.912 8.92676 26.2985 1.44832e-05 0.0383829 -0.0936475 3.14353e-05 595 30. 0.054202 0.05315 19.7569 26.2985 2 2458204.9017708 722120120 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 4.47515688574599 20.516999912262 0.114000000059605 3.18600010871887 0.342999994754791 2458167.064248 2458207.003901 61
