# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-22 at 07:36:29
#
# Requested input R.A. = 160.5739646 degrees
# Requested input Dec. = 52.4887015 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 787 2 1 ZTF_g 448278280415 0 2.4762 145.055 7.40146 26.3324 2.93008e-05 0.035295 -0.057754 4.15721e-05 278 30. 0.050592 0.050043 20.2054 26.3324 1 2458202.778287 787120104 1.91825634686 38.880016 0.054883 0.973350 56.9224440642 64.731071 0.885291 1.073389 2.92696233037701 21.4039999961853 0.108999997377396 1.97500002384186 0.229000002145767 2458166.884375 2458282.749595 0
 1 787 2 1 ZTF_g 451207360415 0 2.4214 145.097 12.9705 26.3633 4.48151e-05 0.0421269 -0.0847337 7.32611e-05 240 30. 0.055405 0.049175 19.5856 26.3633 1 2458205.7073611 787120104 13.97529053124 61.730927 0.251833 1.001274 168.28685137363 107.685516 1.573287 1.043313 2.92696233037701 21.4039999961853 0.108999997377396 1.97500002384186 0.229000002145767 2458166.884375 2458282.749595 0
 2 787 2 1 ZTF_g 451251660415 0 2.33 146.799 12.7723 26.3513 3.55032e-05 0.0378786 -0.0757998 5.77521e-05 248 30. 0.056375 0.046851 19.6223 26.3513 1 2458205.7516667 787120104 -94.76953246816 57.501595 -1.833343 1.063796 -27.50200739785 101.608559 -0.272489 1.044087 2.92696233037701 21.4039999961853 0.108999997377396 1.97500002384186 0.229000002145767 2458166.884375 2458282.749595 0
 3 787 2 1 ZTF_g 451270500415 0 2.133 148.089 12.6659 26.3459 3.79162e-05 0.0400681 -0.0751691 5.72673e-05 268 30. 0.05474 0.045141 19.6946 26.3459 1 2458205.7705093 787120104 -20.3965235669 60.037338 -0.377911 0.944254 0.60381924266 110.734970 0.005490 1.043061 2.92696233037701 21.4039999961853 0.108999997377396 1.97500002384186 0.229000002145767 2458166.884375 2458282.749595 0
 4 787 2 1 ZTF_g 452264730415 0 1.9219 148.469 13.9421 26.3545 2.61617e-05 0.0333771 -0.0502549 4.07665e-05 260 30. 0.051364 0.043221 19.6888 26.3545 1 2458206.7647338 787120104 -3.43861508717 60.919876 -0.062788 0.929379 -23.71942331925 117.262642 -0.203638 1.040262 2.92696233037701 21.4039999961853 0.108999997377396 1.97500002384186 0.229000002145767 2458166.884375 2458282.749595 0
 5 1790 12 2 ZTF_g 452265894515 0 2.0878 471.633 13.9024 26.3224 4.72055e-05 0.0424018 -0.049588 7.89296e-05 240 30. 0.057335 0.043992 19.697 26.3224 2 2458206.7658912 1790120145 -56.91108659824 63.450581 -0.997737 1.043746 -220.20683529471 111.865479 -1.981755 1.070558 3.29013249263175 21.160000038147 0.129999995231628 1.2940000295639 0.135000005364418 2458206.765891 2458601.749873 0
 6 787 2 1 ZTF_g 452286280415 0 1.8344 149.143 13.9834 26.3513 2.92885e-05 0.0351093 -0.0491615 4.51194e-05 262 30. 0.054573 0.042816 19.7319 26.3513 1 2458206.7862847 787120104 -36.37799420585 56.953438 -0.710516 1.080598 -103.44348418242 111.912384 -0.930551 1.038142 2.92696233037701 21.4039999961853 0.108999997377396 1.97500002384186 0.229000002145767 2458166.884375 2458282.749595 0
 7 1790 12 2 ZTF_g 452287454515 0 2.1349 467.842 14.1275 26.3324 2.37552e-05 0.0295594 -0.0581472 4.15767e-05 226 30. 0.055227 0.04412 19.6622 26.3324 2 2458206.7874537 1790120145 -24.82362628873 61.839722 -0.446532 1.005538 -172.92898732094 108.850662 -1.599381 1.069425 3.29013249263175 21.160000038147 0.129999995231628 1.2940000295639 0.135000005364418 2458206.765891 2458601.749873 0
 8 1789 9 1 ZTF_g 452290423215 0 1.9383 230.75 13.3328 26.2747 3.75962e-05 0.0386779 -0.0739427 6.37544e-05 253 30. 0.052827 0.047561 19.7915 26.2747 2 2458206.7904282 1789120132 -21.1683971883 48.312012 -0.487402 1.042607 -14.0422546073 91.665627 -0.154222 1.057899 1.84982775369491 22.2300002098083 0.331000000238419 1.0440000295639 -0.582000017166138 2458206.790428 2458804.976574 0
 9 787 2 1 ZTF_g 454267180415 1 1.9756 61.2759 29.1759 25.4149 0.000374348 0.0558156 -0.0271741 0.00104116 68 30. 0.065583 0.053065 17.9106 25.4149 1 2458208.7671875 787120104 21.26230988729 134.405823 0.175973 1.001811 -13.56349309364 249.973755 -0.054625 1.051802 2.92696233037701 21.4039999961853 0.108999997377396 1.97500002384186 0.229000002145767 2458166.884375 2458282.749595 0
 10 787 2 1 ZTF_g 454284360415 0 2.4149 106.314 23.7742 25.9559 7.78644e-05 0.0376138 -0.0384722 0.000184776 125 30. 0.067811 0.053577 18.5334 25.9559 1 2458208.7843634 787120104 -48.12167082145 114.407509 -0.467887 0.962087 0.63376753916 192.563141 0.003313 1.058344 2.92696233037701 21.4039999961853 0.108999997377396 1.97500002384186 0.229000002145767 2458166.884375 2458282.749595 0
 11 787 2 1 ZTF_g 454288060415 0 2.1704 103.759 23.7146 25.9004 7.46577e-05 0.0385723 -0.0184221 0.000163778 130 30. 0.062148 0.049276 18.5774 25.9004 1 2458208.7880671 787120104 188.84177885582 106.463860 1.973107 0.993094 275.10209754506 191.206970 1.448456 1.054094 2.92696233037701 21.4039999961853 0.108999997377396 1.97500002384186 0.229000002145767 2458166.884375 2458282.749595 0
 12 787 2 1 ZTF_r 460211060415 0 1.9961 93.5481 9.43571 25.3104 4.2689e-05 0.0430574 0.106903 5.80844e-05 290 30. 0.056717 0.049806 19.037 25.3104 3 2458214.7110648 787120204 76.54137758049 42.297722 2.012955 0.956410 19.34065656527 77.667206 0.250697 1.047600 2.95583247173251 20.3210000038147 0.0790000036358833 2.92499995231628 0.195999994874001 2458160.745150 2458245.663333 0
