# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.8 on 2024-02-19 at 09:40:13
#
# Requested input R.A. = 122.605083 degrees
# Requested input Dec. = 34.004361 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 664 12 4 ZTF_g 452188634715 0 1.7867 118.414 14.565 26.3175 1.2543e-05 0.0360563 -0.0406476 2.37058e-05 712 30. 0.043135 0.041997 19.7512 26.3175 1 2458206.6886343 664120147 -105.40749755904 55.918472 -2.096868 0.987523 -284.86216790961 106.812904 -2.684888 1.051675 1.91168519788311 17.8850004196167 0.0769999995827675 8.69299983978271 0.234999999403954 2458166.745799 2458431.974549 0
 1 664 12 4 ZTF_g 452252024715 0 2.1029 118.102 14.6076 26.3187 1.21406e-05 0.0346985 -0.0431003 2.41623e-05 693 30. 0.038493 0.03823 19.5619 26.3187 1 2458206.7520255 664120147 -47.29191791557 64.262672 -0.818621 0.973702 -173.60741606432 116.297539 -1.502841 1.051276 1.91168519788311 17.8850004196167 0.0769999995827675 8.69299983978271 0.234999999403954 2458166.745799 2458431.974549 0
 2 664 12 4 ZTF_g 456194674715 0 2.0419 83.0102 11.4594 25.9232 1.59053e-05 0.0384276 -0.0241988 3.31884e-05 650 30. 0.046445 0.046593 19.5071 25.9232 1 2458210.6946759 664120147 -70.90830930057 52.953613 -1.489554 0.895112 -221.96358945437 92.491714 -2.415984 1.078504 1.91168519788311 17.8850004196167 0.0769999995827675 8.69299983978271 0.234999999403954 2458166.745799 2458431.974549 0
 3 664 12 4 ZTF_g 456211304715 33554432 2.1044 60.9832 13.0926 25.5888 3.78335e-05 0.0509864 -0.0193402 8.85054e-05 505 30. 0.044704 0.043375 18.9876 25.5888 1 2458210.7113079 664120147 -7.89164949762 61.274082 -0.143267 1.024285 -123.47239233366 105.941673 -1.173325 1.081061 1.91168519788311 17.8850004196167 0.0769999995827675 8.69299983978271 0.234999999403954 2458166.745799 2458431.974549 0
 4 664 12 4 ZTF_r 460162444715 0 1.8122 36.0691 12.6482 24.3254 6.23092e-05 0.0603399 0.104487 0.000123516 422 30. 0.046269 0.049037 17.8238 24.3254 1 2458214.6624421 664120247 -103.18567522464 55.130718 -2.081999 1.004757 -233.89796574342 101.548607 -2.318823 1.066528 1.44569470490392 17.775 0.0860000029206276 8.7480001449585 0.528999984264374 2458154.724120 2458424.016262 0
 5 664 12 4 ZTF_r 460175004715 0 1.9785 65.2388 10.1491 24.9527 2.13112e-05 0.0467826 0.107334 3.4941e-05 699 30. 0.044317 0.048346 18.6588 24.9527 1 2458214.675 664120247 -69.33600357881 43.782856 -1.761609 1.031079 -30.65081897074 79.289200 -0.389173 1.055993 1.44569470490392 17.775 0.0860000029206276 8.7480001449585 0.528999984264374 2458154.724120 2458424.016262 0
 6 664 12 4 ZTF_r 463193704715 0 1.913 83.5804 10.4331 25.2165 1.19776e-05 0.0372396 0.107311 1.91592e-05 785 30. 0.040073 0.043537 18.9124 25.2165 1 2458217.6937037 664120247 -40.36923761597 43.142029 -1.040890 0.925258 -41.24483863875 82.241585 -0.504886 1.042706 1.44569470490392 17.775 0.0860000029206276 8.7480001449585 0.528999984264374 2458154.724120 2458424.016262 0
 7 664 12 4 ZTF_r 463223214715 0 1.9608 187.822 7.61835 26.1159 4.7383e-06 0.0242899 0.107277 7.51742e-06 829 30. 0.040175 0.041514 20.1678 26.1159 1 2458217.7232176 664120247 9.44515505977 32.903114 0.319321 0.925972 51.88560546198 61.766685 0.845683 1.045024 1.44569470490392 17.775 0.0860000029206276 8.7480001449585 0.528999984264374 2458154.724120 2458424.016262 0
 8 664 12 4 ZTF_r 467199624715 0 3.1677 140.939 8.97323 25.7788 1.38105e-05 0.0406273 0.127108 2.17277e-05 802 30. 0.055 0.054455 19.2247 25.7788 1 2458221.6996296 664120247 -77.65386284416 51.824421 -1.666800 1.042447 -61.2404122997 73.618629 -0.837463 1.119238 1.44569470490392 17.775 0.0860000029206276 8.7480001449585 0.528999984264374 2458154.724120 2458424.016262 0
