,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,54043.49058,-0.9279798606075929,i,i,8609.003481338448,8609.003481338448,3.455032793460387e-16,0.16163353490855314,9.674091821689083e-18,0.028,17.63468429233184,-0.7750809914522314,0.028,False
1,54044.49475,0.07619013939256547,i,i,8661.733700136429,8661.733700136429,3.4296687304566746e-16,0.1584335349085535,1.0974939937461359e-17,0.032,17.64268429233184,-0.7670809914522323,0.032,False
2,54044.51138,0.09282013939809985,i,i,8661.733700136429,8661.733700136429,3.311709042106219e-16,0.1432335349085534,9.603956222108036e-18,0.029,17.68068429233184,-0.729080991452232,0.029,False
3,54045.48705,1.068490139397909,i,i,7291.152240409285,7291.152240409285,3.3577795040386097e-16,0.14923353490855362,1.1752228264135135e-17,0.035,17.66568429233184,-0.7440809914522326,0.035,False
4,54050.50391,6.085350139393995,i,i,8609.003481338448,8609.003481338448,3.116392667520788e-16,0.11683353490855275,1.2777209936835232e-17,0.041,17.746684292331842,-0.6630809914522295,0.041,False
5,54051.52716,7.108600139392365,i,i,8609.003481338448,8609.003481338448,2.995381711424566e-16,0.09963353490855376,1.138245050341335e-17,0.038,17.78968429233184,-0.6200809914522303,0.038,False
6,54053.51911,9.100550139395637,i,i,8609.003481338448,8609.003481338448,2.9981418308220244e-16,0.10003353490855282,9.594053858630479e-18,0.032,17.78868429233184,-0.6210809914522315,0.032,False
7,54055.46282,11.044260139395192,i,i,8609.003481338448,8609.003481338448,3.0009044935544703e-16,0.10043353490855367,1.0803256176796092e-17,0.036,17.78768429233184,-0.6220809914522327,0.036,False
8,54056.49549,12.0769301393957,i,i,8609.003481338448,8609.003481338448,2.679490205240107e-16,0.05123353490855287,7.77052159519631e-18,0.029,17.91068429233184,-0.4990809914522316,0.029,False
9,54070.49894,26.08038013939222,i,i,8609.003481338448,8609.003481338448,2.1401892280066363e-16,-0.04636646509144704,1.17710407540365e-17,0.055,18.15468429233184,-0.25508099145223184,0.055,False
10,54072.45134,28.032780139394163,i,i,8609.003481338448,8609.003481338448,2.1382189483681864e-16,-0.04676646509144611,1.1118738531514569e-17,0.052,18.15568429233184,-0.2540809914522306,0.052,False
11,54073.53764,29.11908013939683,i,i,7389.050916104081,7389.050916104081,2.228702877743186e-16,-0.028766465091445426,1.2480736115361841e-17,0.056,18.11068429233184,-0.2990809914522323,0.056,False
12,54075.52428,31.10572013939236,i,i,8609.003481338448,8609.003481338448,2.0495200620720138e-16,-0.06516646509144586,1.168226435381048e-17,0.057,18.20168429233184,-0.20808099145223125,0.057,False
13,54076.52676,32.108200139395194,i,i,8661.733700136429,8661.733700136429,2.3038392545344355e-16,-0.014366465091447012,1.1749580198125621e-17,0.051,18.074684292331842,-0.33508099145223014,0.051,False
14,54083.54422,39.12566013939795,i,i,8609.003481338448,8609.003481338448,1.77849305593791e-16,-0.12676646509144618,9.070314585283341e-18,0.051,18.35568429233184,-0.05408099145223133,0.051,False
15,54089.46218,45.04362013939681,i,i,8609.003481338448,8609.003481338448,1.781772180474866e-16,-0.12596646509144627,1.0512455864801709e-17,0.059,18.35368429233184,-0.05608099145223022,0.059,False
16,54100.47398,56.05542013939703,i,i,8609.003481338448,8609.003481338448,1.4589895250185242e-16,-0.21276646509144648,7.294947625092621e-18,0.05,18.57068429233184,0.16091900854776853,0.05,False
17,54101.38551,56.96695013939461,i,i,7291.152240409285,7291.152240409285,1.2955440194204403e-16,-0.264366465091447,7.255046508754465e-18,0.056,18.699684292331842,0.28991900854776986,0.056,False
18,54102.46395,58.04539013939211,i,i,8661.733700136429,8661.733700136429,1.369153603680564e-16,-0.2403664650914461,1.0542482748340342e-17,0.077,18.63968429233184,0.2299190085477676,0.077,False
19,54103.4912,59.0726401393913,i,i,8666.2141932,8666.2141932,1.2338210455862277e-16,-0.28556646509144556,9.870568364689822e-18,0.08,18.75268429233184,0.34291900854776713,0.08,False
20,54104.45317,60.03461013939523,i,i,8609.003481338448,8609.003481338448,1.3135668320134469e-16,-0.2583664650914468,1.1690744804919676e-17,0.089,18.68468429233184,0.2749190085477693,0.089,False
21,54105.49588,61.07732013939676,i,i,7291.152240409285,7291.152240409285,1.4244662825261486e-16,-0.2231664650914471,1.1823070144967034e-17,0.083,18.59668429233184,0.18691900854776833,0.083,False
22,54110.48036,66.06180013939593,i,i,7733.730029999999,7733.730029999999,1.585083604569015e-16,-0.1767664650914469,1.9655036696655786e-17,0.124,18.48068429233184,0.07091900854776867,0.124,False
23,54114.45393,70.03537013939786,i,i,8609.003481338448,8609.003481338448,1.2486829272998772e-16,-0.280366465091447,1.0364068296588981e-17,0.083,18.73968429233184,0.329919008547769,0.083,False
24,54117.49128,73.07272013939655,i,i,8609.003481338448,8609.003481338448,1.1870039764480206e-16,-0.30236646509144727,1.044563499274258e-17,0.088,18.79468429233184,0.3849190085477687,0.088,False
25,54043.49609,-0.922469860604906,B,B,3934.8708064819593,3934.8708064819593,9.85104141729905e-17,-0.38333649392633085,1.6746770409408388e-17,0.17,19.605412498031253,1.195647214247181,0.17,False
26,54050.50944,6.090880139396177,B,B,3442.856840707592,3442.856840707592,7.904640897351453e-17,-0.47893649392633186,1.1936007755000695e-17,0.151,19.844412498031254,1.4346472142471818,0.151,False
27,54051.5348,7.1162401393958135,B,B,4795.895246587102,4795.895246587102,6.209864801440416e-17,-0.5837364939263292,1.117775664259275e-17,0.18,20.106412498031254,1.6966472142471822,0.18,False
28,54053.52676,9.108200139395194,B,B,3934.8708064819593,3934.8708064819593,6.175642467245919e-17,-0.5861364939263307,1.290709275654397e-17,0.209,20.112412498031254,1.7026472142471825,0.209,False
29,54055.46838,11.049820139392978,B,B,3442.856840707592,3442.856840707592,7.383837748693597e-17,-0.5085364939263304,1.4546160364926388e-17,0.197,19.918412498031252,1.5086472142471798,0.197,False
30,54056.50316,12.084600139394752,B,B,3442.856840707592,3442.856840707592,6.999743807377472e-17,-0.5317364939263296,1.231954910098435e-17,0.176,19.976412498031255,1.5666472142471832,0.176,False
31,54070.50659,26.088030139391776,B,B,3934.8708064819593,3934.8708064819593,5.122502098681351e-17,-0.6673364939263298,9.732753987494568e-18,0.19,20.315412498031254,1.9056472142471819,0.19,False
32,54072.45896,28.040400139398116,B,B,3934.8708064819593,3934.8708064819593,8.415543031043434e-17,-0.4517364939263313,1.800926208643295e-17,0.214,19.776412498031252,1.3666472142471804,0.214,False
33,54075.53192,31.11336013939581,B,B,3934.8708064819593,3934.8708064819593,6.255789762259386e-17,-0.5805364939263296,1.5326684917535495e-17,0.245,20.098412498031255,1.6886472142471831,0.245,False
34,54083.55186,39.13330013939412,B,B,3934.8708064819593,3934.8708064819593,6.238528235021038e-17,-0.5817364939263303,1.2102744775940813e-17,0.194,20.101412498031255,1.6916472142471832,0.194,False
35,54089.46984,45.051280139392475,B,B,3442.856840707592,3442.856840707592,4.252870366470142e-17,-0.7481364939263297,1.0589647212510653e-17,0.249,20.517412498031252,2.10764721424718,0.249,False
36,54100.48164,56.063080139392696,B,B,3442.856840707592,3442.856840707592,4.2177627311999295e-17,-0.7517364939263285,1.012263055487983e-17,0.24,20.526412498031252,2.1166472142471804,0.24,False
37,54104.46079,60.042230139391904,B,B,3934.8708064819593,3934.8708064819593,4.296176794855851e-17,-0.7437364939263293,1.2115218561493499e-17,0.282,20.506412498031253,2.096647214247181,0.282,False
38,54114.46156,70.04300013939792,B,B,3442.856840707592,3442.856840707592,2.201314757085053e-17,-1.0341364939263311,7.506483321660032e-18,0.341,21.232412498031252,2.82264721424718,0.341,False
39,54117.4989,73.08034013939323,B,B,3934.8708064819593,3934.8708064819593,2.2360532667578897e-17,-1.0273364939263292,7.133009920957669e-18,0.319,21.215412498031252,2.8056472142471804,0.319,False
40,54043.49377,-0.9247898606045055,V,V,5533.916195248652,5533.916195248652,2.314442045547316e-16,-0.012372328562829438,1.1109321818627117e-17,0.048,18.440696105191144,0.030930821407071818,0.048,False
41,54044.49795,0.0793901393917622,V,V,4647.887996649795,4647.887996649795,2.3990887287514753e-16,0.0032276714371715087,1.3194988008133114e-17,0.055,18.401696105191142,-0.00806917859292966,0.055,False
42,54044.51457,0.09601013939391123,V,V,4647.887996649795,4647.887996649795,2.410162419182653e-16,0.0052276714371704,8.917600950975814e-18,0.037,18.396696105191143,-0.013069178592928665,0.037,False
43,54045.49028,1.0717201393927098,V,V,5235.280050818571,5235.280050818571,2.144106287469733e-16,-0.045572328562828446,1.8868135329733648e-17,0.088,18.523696105191142,0.11393082140707023,0.088,False
44,54050.50712,6.088560139396577,V,V,5410.912703805061,5410.912703805061,2.241022982303459e-16,-0.026372328562828784,1.2997933297360061e-17,0.058,18.475696105191144,0.06593082140707196,0.058,False
45,54051.53178,7.1132201393920695,V,V,5410.912703805061,5410.912703805061,2.196070663320363e-16,-0.03517232856282959,1.010192505127367e-17,0.046,18.497696105191142,0.08793082140707043,0.046,False
46,54053.52374,9.10518013939145,V,V,5410.912703805061,5410.912703805061,2.1107962326002204e-16,-0.052372328562828585,8.865344176920926e-18,0.042,18.54069610519114,0.1309308214070697,0.042,False
47,54055.46607,11.047510139396763,V,V,5410.912703805061,5410.912703805061,1.8081993565641477e-16,-0.11957232856282829,1.3199855302918277e-17,0.073,18.70869610519114,0.29893082140706895,0.073,False
48,54056.50015,12.081590139394393,V,V,5410.912703805061,5410.912703805061,1.9500525297145313e-16,-0.08677232856283013,8.77523638371539e-18,0.045,18.626696105191144,0.21693082140707176,0.045,False
49,54069.50611,25.087550139396626,V,V,5150.092550510203,5150.092550510203,1.864001726888479e-16,-0.10637232856282886,1.1184010361330873e-17,0.06,18.675696105191143,0.26593082140707125,0.06,False
50,54070.50354,26.084980139392428,V,V,5410.912703805061,5410.912703805061,1.635484039931608e-16,-0.1631723285628297,7.686774987678558e-18,0.047,18.817696105191143,0.4079308214070707,0.047,False
51,54072.45595,28.037390139397758,V,V,5287.909212361468,5287.909212361468,1.4902060092865016e-16,-0.20357232856282792,1.1772627473363362e-17,0.079,18.91869610519114,0.5089308214070698,0.079,False
52,54073.54226,29.123700139396533,V,V,4647.887996649795,4647.887996649795,1.3729234101136759e-16,-0.23917232856283022,1.3866526442148127e-17,0.101,19.007696105191144,0.597930821407072,0.101,False
53,54074.51227,30.093710139393806,V,V,5150.092550510203,5150.092550510203,1.2931422768087368e-16,-0.26517232856282824,1.0991709352874263e-17,0.085,19.07269610519114,0.6629308214070697,0.085,False
54,54076.53138,32.1128201393949,V,V,4647.887996649795,4647.887996649795,1.3540861947379683e-16,-0.24517232856282867,1.2322184372115512e-17,0.091,19.02269610519114,0.612930821407069,0.091,False
55,54083.54885,39.130290139393765,V,V,5410.912703805061,5410.912703805061,1.2360792339459938e-16,-0.28477232856282875,1.8664796432584507e-17,0.151,19.12169610519114,0.7119308214070692,0.151,False
56,54089.46681,45.04825013939262,V,V,5410.912703805061,5410.912703805061,1.2590596626499193e-16,-0.27677232856282785,1.8130459142158837e-17,0.144,19.10169610519114,0.6919308214070696,0.144,False
57,54100.47862,56.06006013939623,V,V,5410.912703805061,5410.912703805061,1.0935693017012235e-16,-0.3379723285628291,1.7278394966879333e-17,0.158,19.254696105191144,0.8449308214070719,0.158,False
58,54101.39015,56.97159013939381,V,V,5235.280050818571,5235.280050818571,9.782420121895344e-17,-0.38637232856283,1.956484024379069e-17,0.2,19.375696105191142,0.9659308214070705,0.2,False
59,54102.46858,58.0500201393952,V,V,4647.887996649795,4647.887996649795,1.0084312846460564e-16,-0.3731723285628288,2.1479586362961e-17,0.213,19.34269610519114,0.9329308214070693,0.213,False
60,54104.45778,60.039220139391546,V,V,5410.912703805061,5410.912703805061,1.0149538851936306e-16,-0.37037232856283,3.004263500173146e-17,0.296,19.335696105191143,0.9259308214070714,0.296,False
61,54105.50052,61.08196013939596,V,V,5235.280050818571,5235.280050818571,8.654586249700327e-17,-0.43957232856283035,2.2934653561705867e-17,0.265,19.50869610519114,1.0989308214070697,0.265,False
62,54114.45855,70.03999013939756,V,V,5410.912703805061,5410.912703805061,9.437268478646615e-17,-0.40197232856282916,2.4725643414054134e-17,0.262,19.414696105191144,1.004930821407072,0.262,False
63,54117.4959,73.07734013939626,V,V,5410.912703805061,5410.912703805061,7.298713398441041e-17,-0.5135723285628284,2.0217436113681687e-17,0.277,19.693696105191144,1.283930821407072,0.277,False
64,54045.48866,1.0701001393972547,r,r,7193.253564714489,7193.253564714489,3.5007703462927e-16,0.16734498265849496,1.155254214276591e-17,0.033,17.840958249803364,-0.5688070339807076,0.033,False
65,54050.50552,6.086960139393341,r,r,5779.923178135837,5779.923178135837,2.9496033754102185e-16,0.09294498265849604,8.848810126230655e-18,0.03,18.026958249803364,-0.3828070339807077,0.03,False
66,54051.52947,7.110910139395855,r,r,5779.923178135837,5779.923178135837,2.9387566277063786e-16,0.09134498265849622,1.0285648196972326e-17,0.035,18.030958249803362,-0.3788070339807099,0.035,False
67,54053.52142,9.10286013939185,r,r,5779.923178135837,5779.923178135837,2.8220429655114636e-16,0.07374498265849638,7.055107413778659e-18,0.025,18.074958249803363,-0.33480703398070943,0.025,False
68,54055.46443,11.045870139394538,r,r,5779.923178135837,5779.923178135837,2.531416587681007e-16,0.026544982658494476,9.113099715651624e-18,0.036,18.192958249803365,-0.21680703398070733,0.036,False
69,54056.49782,12.079260139391408,r,r,5779.923178135837,5779.923178135837,2.670321924937866e-16,0.049744982658495474,6.408772619850879e-18,0.024,18.134958249803365,-0.27480703398070716,0.024,False
70,54069.5038,25.085240139393136,r,r,5750.195780065407,5750.195780065407,2.200714077696191e-16,-0.03425501734150416,1.012328475740248e-17,0.046,18.344958249803362,-0.06480703398070986,0.046,False
71,54070.50123,26.082670139396214,r,r,5779.923178135837,5779.923178135837,2.223123664255561e-16,-0.029855017341503753,5.780121527064458e-18,0.026,18.333958249803363,-0.0758070339807091,0.026,False
72,54072.45365,28.035090139397653,r,r,5779.923178135837,5779.923178135837,2.0977977805092181e-16,-0.05505501734150542,8.600970900087795e-18,0.041,18.396958249803365,-0.012807033980706706,0.041,False
73,54073.53994,29.121380139396933,r,r,7095.3548890196935,7095.3548890196935,2.0219183865487321e-16,-0.07105501734150543,1.1524934803327774e-17,0.057,18.436958249803364,0.02719296601929244,0.057,False
74,54074.50994,30.091380139398098,r,r,7083.758512410305,7083.758512410305,2.057612651591121e-16,-0.0634550173415036,7.407405545728035e-18,0.036,18.417958249803362,0.008192966019290537,0.036,False
75,54075.5266,31.10804013939196,r,r,7132.9615840153465,7132.9615840153465,2.086236894884078e-16,-0.05745501734150338,7.301829132094274e-18,0.035,18.402958249803362,-0.006807033980710031,0.035,False
76,54076.52906,32.1105001393953,r,r,7095.3548890196935,7095.3548890196935,1.9613884863108716e-16,-0.08425501734150309,9.02238703703001e-18,0.046,18.469958249803362,0.06019296601929014,0.046,False
77,54083.54654,39.12798013939755,r,r,5779.923178135837,5779.923178135837,1.810354482132622e-16,-0.1190550173415037,7.241417928530488e-18,0.04,18.556958249803362,0.14719296601928988,0.04,False
78,54089.46449,45.04593013939302,r,r,5779.923178135837,5779.923178135837,1.6269103483151452e-16,-0.1654550173415057,6.995714497755124e-18,0.043,18.672958249803365,0.2631929660192931,0.043,False
79,54100.4763,56.05774013939663,r,r,5779.923178135837,5779.923178135837,1.319968665192048e-16,-0.2562550173415037,7.391824525075468e-18,0.056,18.899958249803362,0.49019296601928986,0.056,False
80,54101.38785,56.969290139393706,r,r,7193.253564714489,7193.253564714489,1.3494712036539434e-16,-0.24665501734150475,1.2010293712520095e-17,0.089,18.875958249803364,0.4661929660192925,0.089,False
81,54103.49352,59.07496013939817,r,r,5687.669407199999,5687.669407199999,1.3758263459826857e-16,-0.23825501734150478,1.44461766328182e-17,0.105,18.854958249803364,0.4451929660192917,0.105,False
82,54105.49822,61.079660139395855,r,r,7193.253564714489,7193.253564714489,1.4755829267961287e-16,-0.20785501734150458,1.4018037804563224e-17,0.095,18.778958249803363,0.3691929660192912,0.095,False
83,54110.48267,66.06411013939214,r,r,6312.01434,6312.01434,1.1905938135660316e-16,-0.3010550173415041,1.0000988033954666e-17,0.084,19.011958249803364,0.6021929660192917,0.084,False
84,54114.45624,70.03768013939407,r,r,5779.923178135837,5779.923178135837,1.202717476241052e-16,-0.29665501734150546,9.621739809928417e-18,0.08,19.000958249803364,0.5911929660192925,0.08,False
85,54117.49359,73.07503013939277,r,r,5779.923178135837,5779.923178135837,1.1101038825549264e-16,-0.3314550173415043,9.102851836950396e-18,0.082,19.087958249803364,0.6781929660192922,0.082,False
