MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
60013.912750 -23.677 17.143    -1   21 o  0   0.96 128.32313 -22.96252  3476.70  6607.27 2.94 2.52 -34.7 -0.354 18.95 20.01 03a60014o0387o
60013.931339  20.726  1.038    19   19 o  0   0.75 128.32313 -22.96252  3497.84  6650.32 2.59 2.27 -29.0 -0.372 19.04 19.96 03a60014o0427o
60013.934527 -20.384  1.080   -26   28 o  0   0.99 128.32313 -22.96252  3441.42  6570.70 4.24 3.78 -35.3 -0.259 18.51 19.96 03a60014o0434o
60013.939963  21.504  2.224     9   20 o  0   0.89 128.32313 -22.96252  3419.59  6685.31 2.76 2.36 -36.1 -0.357 18.96 19.94 03a60014o0446o
60015.172554  20.019  0.551    36   20 o  0   0.84 128.32313 -22.96252  2249.11  1004.47 2.15 1.98  43.7 -0.480 19.01 20.01 04a60015o0401o
60015.175775  21.488  1.909     9   18 o  0   1.51 128.32313 -22.96252  2267.35  1041.29 2.42 1.91  44.4 -0.434 19.03 20.03 04a60015o0408o
60015.182674 -19.747  0.410   -46   19 o  0   1.40 128.32313 -22.96252  2204.47   960.28 2.42 1.87  44.4 -0.436 19.03 19.99 04a60015o0422o
60015.192826  20.388  0.799    25   20 o  0   0.88 128.32313 -22.96252  2183.29  1074.12 2.38 1.84  46.8 -0.438 19.02 19.93 04a60015o0442o
60017.861092 -20.190  0.327   -30   10 c  0   1.59 128.32313 -22.96252  7310.65  6520.35 2.52 2.20 -57.7 -0.397 19.73 21.69 03a60018o0245c
60017.864250  21.506  1.108     9   10 c  0   1.95 128.32313 -22.96252  7328.58  6559.77 2.56 2.22 -56.9 -0.393 19.73 21.68 03a60018o0252c
60017.871551 -21.188  0.839   -12   10 c  0   1.44 128.32313 -22.96252  7270.91  6480.18 2.57 2.22 -57.4 -0.392 19.71 21.67 03a60018o0268c
60017.884059 -20.622  0.970   -20   20 c  0   1.05 128.32313 -22.96252  7249.08  6596.01 2.52 2.19 -56.9 -0.394 19.55 21.42 03a60018o0295c
60019.097396  22.670  4.615     3   14 o  0   1.01 128.32313 -22.96252  1846.67  4648.42 2.16 1.93  66.2 -0.409 19.39 20.93 04a60019o0246o
60019.100550  21.555  1.614     9   14 o  0   1.19 128.32313 -22.96252  1866.99  4683.53 2.24 1.94  70.6 -0.405 19.37 20.92 04a60019o0253o
60019.105957 -23.487  8.500    -2   12 o  0   1.29 128.32313 -22.96252  1810.36  4601.64 2.17 1.96  72.1 -0.411 19.42 20.93 04a60019o0265o
60019.118429 -21.608  1.544    -8   13 o  0   1.19 128.32313 -22.96252  1789.82  4707.50 2.19 1.94  66.5 -0.404 19.43 20.94 04a60019o0292o
60021.858984  19.851  0.320    42   13 c  0   1.31 128.32313 -22.96252  7317.88  6519.43 2.43 2.14 -50.0 -0.398 19.28 21.26 03a60022o0282c
60021.863716  19.976  0.335    37   12 c  0   1.48 128.32313 -22.96252  7336.77  6560.35 2.65 2.20 -49.8 -0.391 19.26 21.26 03a60022o0292c
60021.869589  20.178  0.376    31   12 c  0   1.64 128.32313 -22.96252  7280.59  6480.58 2.47 2.13 -52.3 -0.401 19.42 21.38 03a60022o0305c
60021.893115  18.787  0.579   111   64 c  0   0.82 128.32313 -22.96252  7258.07  6596.99 2.51 2.23 -32.7 -0.381 17.72 19.60 03a60022o0356c
60023.116828  18.611  0.128   131   17 o  0   1.22 128.32313 -22.96252  1853.46  4620.15 2.32 2.01  67.9 -0.399 19.29 20.72 04a60023o0297o
60023.119981  18.290  0.092   175   16 o  0   0.98 128.32313 -22.96252  1871.76  4656.92 2.30 2.06  66.2 -0.398 19.25 20.74 04a60023o0304o
60023.125391  18.465  0.104   149   16 o  0   1.50 128.32313 -22.96252  1813.58  4576.06 2.28 2.02  69.3 -0.403 19.29 20.78 04a60023o0316o
60023.137775  18.380  0.102   161   16 o  0   0.98 128.32313 -22.96252  1794.78  4685.06 2.22 1.95  67.4 -0.409 19.35 20.80 04a60023o0343o
60025.817162  17.652  0.170   316   54 c  0   0.95 128.32313 -22.96252  6224.39   873.02 2.58 2.39 -50.3 -0.389 17.75 19.57 03a60026o0200c
60025.820350  18.179  0.253   194   49 c  0   1.01 128.32313 -22.96252  6242.30   913.08 2.56 2.35 -46.8 -0.388 17.88 19.73 03a60026o0207c
60025.826697  18.768  0.882   113  100 c  0   1.27 128.32313 -22.96252  6184.91   833.83 2.59 2.42 -43.0 -0.385 16.87 18.70 03a60026o0221c
60025.836779  17.999  0.137   229   31 c  0   0.87 128.32313 -22.96252  6161.10   950.86 2.68 2.43 -16.5 -0.412 18.75 20.63 03a60026o0243c
60027.059173  16.997  0.034   577   20 o  0   1.32 128.32313 -22.96252  5112.18  8997.21 2.67 2.08 -78.2 -0.420 19.31 20.79 04a60027o0176o
60027.071301  17.052  0.032   549   18 o  0   1.57 128.32313 -22.96252  5135.91  9023.18 2.53 1.99 -76.0 -0.435 19.34 20.82 04a60027o0201o
60027.074068  17.129  0.039   511   20 o  0   1.42 128.32313 -22.96252  5078.31  8944.79 2.57 2.04 -72.5 -0.433 19.33 20.84 04a60027o0207o
60027.079169  17.128  0.038   512   19 o  0   1.28 128.32313 -22.96252  5061.21  9055.24 2.68 2.00 -76.0 -0.420 19.34 20.86 04a60027o0218o
60029.854772  17.318  0.033   429   14 c  0   1.61 128.32313 -22.96252  6228.60   875.78 2.71 2.43 -55.0 -0.396 19.63 21.76 03a60030o0273c
60029.857564  17.303  0.031   436   14 c  0   1.67 128.32313 -22.96252  6246.79   915.40 2.77 2.48 -57.7 -0.401 19.59 21.74 03a60030o0279c
60029.863122  17.276  0.031   446   14 c  0   1.28 128.32313 -22.96252  6189.56   835.55 3.24 2.83 -63.0 -0.390 19.41 21.72 03a60030o0291c
60029.873889  17.326  0.032   426   14 c  0   1.40 128.32313 -22.96252  6167.48   952.23 2.73 2.54 -57.1 -0.397 19.58 21.68 03a60030o0314c
60031.115333  16.486  0.022   924   20 o  0   2.03 128.32313 -22.96252  5126.71  8945.09 2.64 1.89 -78.0 -0.423 19.34 20.81 04a60031o0301o
60031.119152  16.491  0.020   919   19 o  0   3.38 128.32313 -22.96252  5146.45  8981.93 2.54 1.81 -78.6 -0.439 19.41 20.85 04a60031o0309o
60031.125252  16.498  0.022   914   20 o  0   1.98 128.32313 -22.96252  5088.58  8901.02 2.50 1.83 -78.6 -0.443 19.41 20.93 04a60031o0322o
60031.154609  16.476  0.019   932   18 o  0   4.91 128.32313 -22.96252  5063.96  9009.56 2.49 1.82 -77.7 -0.438 19.44 20.98 04a60031o0380o
60033.804317  16.310  0.021  1086   22 o  0   1.69 128.32313 -22.96252  5990.57  4933.32 2.36 2.11 -54.7 -0.439 19.11 20.14 03a60034o0172o
