# SN2007D magnitudes from Swift UVOT                                                        
# generated Thu May 23 20:01:41 UTC 2024 using version 2015.1                                         
# of Peter Brown's photometry pipeline                                                      
# and version Swift_Rel5.8(Bld47)_30Jun2023 of HEASOFT                                                      
#                                                                                         
# Data comes from the Swift Data Center                                                   
# A 5 arcsec aperture is used to measure the counts for the coincidence loss correction,  
# a 3 or 5 arcsec source aperture (based on the error) was used for the aperture photometry 
# subtracting off the galaxy count rate in a template image  (if available),              
# and applying an aperture correction as appropriate (based on average psf in Swift CALDB)
# and zeropoints from Breeveld et al. (2011) which update Poole et al. (2008)             
# including a time-dependent sensitivity loss                                             
# to put the magnitudes on the UVOT photometric system described in that paper.   
# The sensitivity correction has been updated based on the 2015 redetermination.        
#
#  Brown, P. J., Holland, S. T., Immler, S., et al. 2009, ApJ, 137, 4517
#  Brown, P. J., et al. 2014, Ap&SS, submitted
#  Breeveld, A. A., Landsman, W., Holland, S. T., et al. 2011, in AIP Conf. Proc. 1358,   
#     Gamma-Ray Bursts 2010, ed. J. E. McEnergy, J. L. Racusin, & N. Gehrels                 
#     (Melville, NY: AIP), 373; arXiv:1102.4717                                              
#  Poole, T. S., Breeveld, A. A., Page, M. J., et al. 2008, MNRAS, 383, 627
#                                                                                         
#                                                                                           
#                                                                                           
# The underlying galaxy had the following count rates                                       
# in a 5 arcsec aperture at the source position  
# (missing filters list 0 but used a background region similar to the SN ):                 
# Galaxy count rates in 5" aperture
# V               2.20018       0.308765
# B               2.24559       0.372283
# U              0.642026       0.149072
# UVW1           0.215722      0.0405300
#                                                                                           
# There are no known issues with this photometry.                                           
#                                                                                           
# Filter MJD[days] Mag MagErr 3SigMagLim 0.98SatLim[mag] Rate[c/s] RateErr[c/s] Ap[arcsec] Frametime[s] Exp[s] Telapse[s]
#                                                                                           
#                                                                                           
#                                                                                           
UVW1     54117.8475    NULL    NULL  20.255  11.149  -0.039   0.023   3.000      0.0110322    1546.87   17719.55
UVW1     54118.4117    NULL    NULL  20.386  11.149  -0.016   0.022   3.000      0.0110322    5234.47   24019.71
#                                                                                           
#                                                                                           
B        54117.6140    NULL    NULL  19.852  12.872   0.426   0.172   3.000      0.0110322     829.70   11750.74
B        54118.1780    NULL    NULL  19.808  12.873   0.469   0.179   3.000      0.0110322     486.87    6563.12
#                                                                                           
V        54117.6119    NULL    NULL  18.595  11.641   0.237   0.172   3.000      0.0110322     913.67   11807.48
V        54118.1749    NULL    NULL  18.563  11.640   0.335   0.179   3.000      0.0110322     540.86    6260.02
#                                                                                           
