MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58494.678780  19.370  1.486    65   96 c  0   1.67 235.48875   0.71096  6259.34  7754.82 2.58 2.45 -39.3 -0.395 17.12 17.77 02a58494o1001c
58496.666774  18.830  0.300   107   32 o  0   0.99 235.48875   0.71096  8629.34  8922.37 4.45 3.04 -81.7 -0.380 18.62 19.67 01a58496o0971o
58496.675671  19.408  6.510    63  408 o  0   1.27 235.48875   0.71096  8608.85  8859.73 4.60 3.07 -81.3 -0.444 16.83 17.24 01a58496o0988o
58506.664942  16.246  0.017  1152   20 o  0   2.55 235.48875   0.71096 10145.59  7762.57 2.08 1.93  30.7 -0.498 19.16 19.73 02a58506o0956o
58506.666817  16.240  0.017  1159   20 o  0   1.27 235.48875   0.71096   417.53  7772.92 2.04 1.80 -22.9 -0.430 19.07 19.64 02a58506o0960o
58506.673714  16.178  0.026  1227   31 o  0   2.15 235.48875   0.71096 10168.15  7803.55 2.16 1.97  33.4 -0.534 18.75 19.01 02a58506o0973o
58506.675724  16.247  0.028  1151   33 o  0   1.15 235.48875   0.71096   439.81  7812.79 1.89 1.72  -3.0 -0.459 18.46 18.50 02a58506o0977o
58510.659508  15.892  0.013  1597   20 o  0   1.54 235.48875   0.71096  2372.66  3889.18 2.25 2.12  32.7 -0.431 19.21 20.10 02a58510o0944o
58510.668134  15.893  0.013  1595   20 o  0   1.27 235.48875   0.71096  2392.99  3928.39 2.01 1.91  36.3 -0.458 19.19 19.90 02a58510o0961o
58510.676992  15.905  0.017  1577   27 o  0   1.52 235.48875   0.71096  2336.04  3851.63 2.16 2.01  29.6 -0.428 18.48 18.60 02a58510o0978o
58516.658565  15.738  0.010  1840   19 o  0   1.84 235.48875   0.71096   441.05  6742.81 3.27 2.98 -84.0 -0.401 19.29 21.28 01a58516o0825o
58516.668209  15.765  0.017  1795   30 o  0   1.30 235.48875   0.71096   420.57  6704.03 4.30 3.50  -4.7 -0.356 18.61 20.07 01a58516o0843o
58516.677165  15.659  0.206  1980  407 o  0   1.05 235.48875   0.71096   479.36  6781.17 3.55 3.29 -78.0 -0.566 16.87 17.35 01a58516o0860o
58518.666654  16.073  0.012  1351   16 c  0   3.08 235.48875   0.71096  8200.07  9708.22 2.63 2.40  11.1 -0.430 19.49 21.03 02a58518o0923c
58518.675587  16.091  0.036  1329   48 c  0   1.55 235.48875   0.71096  8219.93  9749.06 2.62 2.36  19.3 -0.455 18.14 18.97 02a58518o0941c
58522.651098  16.203  0.012  1198   14 c  0   2.29 235.48875   0.71096  2381.43  9706.73 2.71 2.47  15.8 -0.445 19.71 21.69 02a58522o0032c
58522.660002  16.262  0.013  1136   15 c  0   2.32 235.48875   0.71096  2401.11  9746.64 2.71 2.46  20.9 -0.443 19.70 21.62 02a58522o0050c
58522.668267  16.212  0.015  1189   18 c  0   1.34 235.48875   0.71096  2340.40  9668.51 2.84 2.57  18.1 -0.444 19.30 20.69 02a58522o0067c
58522.675157  16.443  0.048   961   46 c  0   0.81 235.48875   0.71096  2310.13    59.62 2.87 2.44  41.9 -0.348 18.06 18.94 02a58522o0081c
58522.677178  16.274  0.070  1123   78 c  0   1.23 235.48875   0.71096  2320.13  9787.60 2.65 2.41  16.5 -0.450 17.62 18.44 02a58522o0085c
58528.639090  16.047  0.012  1384   17 o  0   2.65 235.48875   0.71096  6201.74   852.71 3.32 2.74  86.7 -0.455 19.37 21.53 01a58528o0663o
58528.642242 -16.682  0.158  -771  122 o  0   1.46 235.48875   0.71096  6295.14 10527.60 5.23 3.87 -79.3 -0.317 19.27 21.41 01a58528o0669o
58528.648308  16.041  0.013  1392   18 o  0   1.87 235.48875   0.71096  6182.04   814.58 3.37 2.93  87.7 -0.443 19.31 21.54 01a58528o0681o
58528.657035  16.049  0.013  1382   18 o  0   2.05 235.48875   0.71096  6240.81   892.67 3.06 2.69  89.2 -0.465 19.40 21.45 01a58528o0698o
58528.659979  16.053  0.015  1377   21 o  0   1.75 235.48875   0.71096  6375.50 10488.75 5.02 3.69 -79.4 -0.334 19.28 21.20 01a58528o0704o
58528.666227  16.037  0.015  1398   20 o  0   1.60 235.48875   0.71096  6258.79   775.89 3.04 2.98 -16.0 -0.438 19.06 20.55 01a58528o0716o
58532.665343  16.261  0.029  1137   33 o  0   1.07 235.48875   0.71096  8137.69  3845.91 3.81 3.75 -63.2 -0.377 18.48 19.72 01a58532o0930o
58536.562855  16.564  0.046   860   40 o  0   1.29 235.48875   0.71096  4352.44  8631.21 3.91 3.48 -84.6 -0.403 18.33 19.40 01a58536o0669o
58536.570989  16.471  0.037   937   34 o  0   1.57 235.48875   0.71096  4334.74  8593.11 3.23 2.89 -83.5 -0.442 18.58 19.46 01a58536o0686o
58536.579035  16.209  0.543  1192  647 o  0   1.25 235.48875   0.71096  4394.74  8671.56 3.67 3.34 -75.7 -0.545 16.24 16.77 01a58536o0703o
58536.587017  16.522  0.040   893   36 o  0   0.98 235.48875   0.71096  4415.07  8555.66 3.35 3.00 -79.5 -0.432 18.53 19.55 01a58536o0720o
58540.607426  16.710  0.025   752   18 o  0   1.33 235.48875   0.71096  4715.47  4883.33 3.00 2.84 -88.1 -0.441 19.12 20.48 01a58540o0789o
58540.615589  16.680  0.024   773   18 o  0   0.98 235.48875   0.71096  4696.56  4816.01 2.97 2.80  79.8 -0.447 19.14 20.48 01a58540o0806o
58540.623796  16.689  0.022   767   17 o  0   1.59 235.48875   0.71096  4757.25  4863.78 3.03 2.83  72.0 -0.435 19.14 20.49 01a58540o0823o
58540.632185  16.708  0.024   753   18 o  0   1.15 235.48875   0.71096  4777.15  4717.33 3.18 2.99  80.6 -0.422 19.09 20.50 01a58540o0840o
58544.607184  16.920  0.023   620   14 o  0   1.36 235.48875   0.71096  4281.86  2821.72 3.01 2.85   0.6 -0.446 19.37 21.16 01a58544o0756o
58544.615911  16.871  0.022   648   14 o  0   1.85 235.48875   0.71096  4261.65  2783.46 3.03 2.82  -1.5 -0.449 19.39 21.17 01a58544o0774o
58544.624095  16.885  0.023   640   14 o  0   1.77 235.48875   0.71096  4321.18  2860.80 3.02 2.80   1.2 -0.453 19.40 21.18 01a58544o0791o
58544.632899  16.878  0.024   644   15 o  0   1.47 235.48875   0.71096  4337.67  2744.55 2.94 2.76   1.2 -0.459 19.41 21.17 01a58544o0809o
58556.580565  16.930  0.023   614   14 o  0  24.46 235.48875   0.71096   385.73  2854.32 2.93 2.81  73.3 -0.472 19.48 21.34 01a58556o0742o
58556.588756  17.205  0.030   476   14 o  0   1.55 235.48875   0.71096 10110.40  2741.22 3.31 3.06 -87.6 -0.429 19.45 21.34 01a58556o0758o
58556.589972  17.201  0.031   478   15 o  0   1.02 235.48875   0.71096   364.06  2816.62 2.91 2.80  77.2 -0.467 19.46 21.36 01a58556o0760o
58556.597574  17.173  0.029   491   14 o  0   1.29 235.48875   0.71096 10087.12  2703.05 3.24 3.03 -80.6 -0.433 19.42 21.33 01a58556o0776o
58556.598036  17.118  0.027   516   14 o  0   1.47 235.48875   0.71096   420.62  2897.43 2.89 2.78  67.9 -0.468 19.47 21.35 01a58556o0777o
58560.551709  17.195  0.042   481   20 o  0   1.19 235.48875   0.71096  8193.78  6644.09 2.95 2.93 -20.5 -0.442 18.96 20.07 01a58560o0712o
58560.559930  17.274  0.046   447   21 o  0   1.17 235.48875   0.71096  8174.16  6605.03 3.03 3.00  55.5 -0.434 18.96 20.12 01a58560o0729o
58560.568001  17.225  0.044   468   21 o  0   1.25 235.48875   0.71096  8233.03  6680.63 2.97 2.88  76.1 -0.445 19.02 20.14 01a58560o0746o
58560.576344  17.276  0.040   446   18 o  0   1.69 235.48875   0.71096  8250.76  6564.66 3.09 2.94  81.1 -0.443 18.97 20.18 01a58560o0763o
58563.504823  17.332  0.134   424   57 o  0   1.26 235.48875   0.71096  8197.84  6643.31 3.11 3.09 -69.8 -0.433 18.28 19.04 01a58563o0607o
58563.513961  17.408  0.131   395   52 o  0   1.65 235.48875   0.71096  8178.07  6604.81 3.01 2.96 -57.0 -0.441 18.35 19.06 01a58563o0626o
58563.522987  17.296  0.134   438   59 o  0   0.99 235.48875   0.71096  8237.79  6681.27 3.16 3.12  -4.6 -0.438 18.29 19.10 01a58563o0645o
58566.553746  17.381  0.116   405   47 o  0   0.88 235.48875   0.71096   443.46  3871.51 2.23 1.89 -45.9 -0.351 18.03 18.17 02a58566o0704o
58566.554222  17.394  0.098   400   39 o  0   1.11 235.48875   0.71096 10162.06  3873.12 2.35 1.90 -51.9 -0.483 18.24 18.13 02a58566o0705o
58566.559726  17.244  0.110   460   51 o  0   1.09 235.48875   0.71096 10188.23  3911.95 2.31 1.85 -56.9 -0.499 18.11 18.00 02a58566o0717o
58566.560183  17.396  0.095   399   38 o  0   0.75 235.48875   0.71096   474.26  3910.06 2.31 1.81 -51.2 -0.383 18.17 18.12 02a58566o0718o
58566.573282  17.510  0.107   360   38 o  0   1.26 235.48875   0.71096   406.69  3835.51 2.39 1.85 -50.9 -0.410 18.13 18.01 02a58566o0746o
58566.574654  17.150  0.109   501   54 o  0   1.05 235.48875   0.71096 10124.07  3838.52 2.42 1.90 -57.8 -0.463 17.96 17.80 02a58566o0749o
58566.578708  17.238  0.089   462   41 o  0   0.90 235.48875   0.71096 10105.09  3957.36 2.21 1.82 -56.7 -0.559 18.28 18.24 02a58566o0757o
58566.582777  17.375  0.088   407   36 o  0   1.21 235.48875   0.71096   390.85  3952.75 2.32 1.93 -47.3 -0.437 18.27 18.31 02a58566o0765o
58568.556687  17.370  0.049   409   20 o  0   1.24 235.48875   0.71096  2323.86   882.37 3.03 2.82 -10.4 -0.433 18.95 20.03 01a58568o0709o
58568.566742  17.299  0.051   437   22 o  0   1.11 235.48875   0.71096  8249.69  9710.99 3.03 2.72 -87.7 -0.475 18.96 20.02 01a58568o0727o
58568.569939  17.471  0.053   373   20 o  0   1.27 235.48875   0.71096  8190.26  9634.67 3.13 2.74 -83.3 -0.460 18.95 20.01 01a58568o0733o
58568.584994  17.374  0.054   408   22 o  0   1.16 235.48875   0.71096  8175.04  9748.82 3.02 2.71 -84.3 -0.479 18.99 20.02 01a58568o0765o
58570.554106  17.396  0.034   400   14 o  0   1.58 235.48875   0.71096  8216.35  1937.78 2.30 1.91 -43.6 -0.443 19.47 20.64 02a58570o0568o
