MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59637.576466 -25.223 32.500    -0   10 c  0   1.01 228.69186  31.22363  9169.58  1393.51 2.64 2.36 -61.6 -0.422 19.67 21.75 02a59637o0766c
59637.591668  20.975  0.487    15    7 c  0   1.52 228.69186  31.22363  9184.17  1437.60 2.45 2.22 -60.2 -0.426 19.74 21.79 02a59637o0796c
59637.595042 -22.742  3.409    -3   10 c  0   0.74 228.69186  31.22363  9131.98  1358.68 2.51 2.22 -65.1 -0.429 19.71 21.81 02a59637o0803c
59637.599612  22.164  1.865     5    9 c  0   1.12 228.69186  31.22363  9112.32  1477.28 2.51 2.26 -64.4 -0.425 19.75 21.77 02a59637o0813c
59638.530558  22.425  2.172     4    8 c  0   1.44 228.69186  31.22363  9160.89  1390.58 2.50 2.17 -57.0 -0.432 19.76 21.87 02a59638o0692c
59638.533309 -22.423  2.767    -4   11 c  0   0.53 228.69186  31.22363  9179.56  1429.54 2.47 2.14 -56.4 -0.434 19.80 21.88 02a59638o0698c
59638.536504  21.693  0.898     8    7 c  0   1.60 228.69186  31.22363  9122.31  1352.97 2.48 2.15 -57.9 -0.433 19.79 21.89 02a59638o0705c
59638.543290  21.164  0.573    12    7 c  0   1.37 228.69186  31.22363  9104.69  1472.61 2.48 2.17 -59.0 -0.428 19.80 21.90 02a59638o0719c
59639.514274 -21.514  1.524    -9   14 o  0   1.07 228.69186  31.22363  2102.91  1059.42 3.01 2.92 -48.6 -0.489 19.36 21.10 01a59639o0529o
59639.516551  19.850  0.356    42   15 o  0   1.27 228.69186  31.22363  2081.27  1019.32 3.04 2.95 -37.4 -0.485 19.36 21.13 01a59639o0534o
59639.547914 -23.873 11.200    -1   12 o  0   1.28 228.69186  31.22363  2144.07  1090.87 2.94 2.87 -50.0 -0.493 19.45 21.30 01a59639o0599o
59639.554894  21.886  1.697     6   11 o  0   1.66 228.69186  31.22363  2161.14   973.58 2.85 2.78 -55.3 -0.497 19.47 21.34 01a59639o0614o
59640.585487 -22.186  2.111    -5   10 o  0   1.21 228.69186  31.22363  1400.59  7293.72 2.86 2.62 -46.8 -0.471 19.59 21.56 01a59640o0782o
59640.587788  22.707  3.824     3   12 o  0   0.79 228.69186  31.22363  1380.39  7255.56 2.84 2.59 -52.9 -0.477 19.56 21.56 01a59640o0787o
59640.591010  20.668  0.505    20   10 o  0   1.23 228.69186  31.22363  1439.57  7330.79 2.84 2.60 -47.6 -0.476 19.60 21.59 01a59640o0794o
59640.596958  21.188  0.838    12   10 o  0   1.03 228.69186  31.22363  1457.49  7212.53 2.85 2.62 -50.3 -0.472 19.57 21.59 01a59640o0807o
59641.501380  22.072  2.240     5   12 c  0   1.07 228.69186  31.22363  9161.21  1393.86 2.65 2.28 -61.4 -0.444 19.36 21.62 02a59641o0200c
59641.508615  21.288  1.196    11   13 c  0   1.31 228.69186  31.22363  9179.74  1431.29 2.69 2.29 -61.1 -0.448 19.28 21.69 02a59641o0214c
59641.512609 -21.719  1.750    -8   13 c  0   1.17 228.69186  31.22363  9123.03  1355.54 2.70 2.30 -60.1 -0.452 19.23 21.74 02a59641o0222c
59641.518089  21.125  1.271    13   16 c  0   0.81 228.69186  31.22363  9103.75  1474.93 2.62 2.28 -62.1 -0.452 19.18 21.74 02a59641o0233c
59642.650948  20.817  0.982    17   17 c  0   1.53 228.69186  31.22363  3315.88  9029.99 2.29 2.24  86.0 -0.448 18.96 21.72 02a59642o0245c
59642.653922  20.629  0.894    20   18 c  0   1.52 228.69186  31.22363  3297.52  8991.34 2.26 2.24 -59.6 -0.455 18.93 21.69 02a59642o0251c
59642.657034  23.682 18.000     1   22 c  0   1.14 228.69186  31.22363  3354.15  9068.80 2.28 2.21 -59.1 -0.451 18.84 21.59 02a59642o0257c
59642.660020  20.969  1.617    15   24 c  0   1.16 228.69186  31.22363  3373.57  8951.47 2.29 2.27 -76.9 -0.455 18.67 21.51 02a59642o0263c
59643.511308 -23.292  6.300    -2   11 o  0   1.09 228.69186  31.22363  1393.70  7304.80 2.81 2.53 -47.0 -0.487 19.51 21.24 01a59643o0654o
