MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59994.345109 -20.886  0.912   -16   15 c  0   6.06 230.38894 -13.08938   196.18  8544.02 2.68 1.99 -78.1 -0.375 19.58 21.32 04a59994o0735c
59994.351063 -20.865  0.822   -16   14 c  0   3.91 230.38894 -13.08938   177.34  8504.40 2.65 2.00 -79.7 -0.369 19.57 21.35 04a59994o0748c
59994.354669 -20.252  0.531   -29   15 c  0   3.05 230.38894 -13.08938   238.16  8582.11 2.67 1.99 -79.1 -0.369 19.57 21.38 04a59994o0756c
59994.361064 -19.585  0.273   -53   14 c  0   6.84 230.38894 -13.08938 10378.19  8506.01 2.61 2.42 -26.3 -0.458 19.60 21.31 04a59994o0770c
59994.370414  20.137  0.497    32   16 c  0   6.28 230.38894 -13.08938 10362.61  8468.68 2.65 2.44 -28.8 -0.449 19.60 21.36 04a59994o0790c
59994.374567  19.976  0.456    37   17 c  0   6.71 230.38894 -13.08938 10425.14  8546.31 2.74 2.52 -29.8 -0.437 19.58 21.36 04a59994o0799c
59994.376032 -20.301  0.436   -28   12 c  0   3.26 230.38894 -13.08938   270.92  8462.59 2.70 2.03 -78.7 -0.365 19.60 21.39 04a59994o0802c
59994.384636 -20.455  0.571   -24   14 c  0   4.40 230.38894 -13.08938 10449.05  8427.61 2.74 2.52 -31.7 -0.431 19.50 21.16 04a59994o0821c
59997.086131 -19.847  0.567   -42   24 o  0   1.17 230.38894 -13.08938  5929.70   184.81 2.14 1.98 -40.6 -0.414 19.37 20.49 03a59997o0726o
59997.089296 -20.759  1.139   -18   21 o  0   2.83 230.38894 -13.08938  5912.04   145.54 2.13 1.98 -27.3 -0.420 19.38 20.44 03a59997o0733o
59997.095609 -21.547  3.216    -9   28 o  0   1.38 230.38894 -13.08938  5968.41   224.54 2.05 1.88 -34.2 -0.416 19.43 20.42 03a59997o0747o
