,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,57906.3256,-15.300422893938958,UVW2,UVW2,1756.4744693877549,1756.4744693877549,6.2348386192285276e-15,-0.18496091574425755,3.3044644681911194e-16,0.053,15.937000000000001,0.46240228936064653,0.053,False
1,57908.6909,-12.935122893934022,UVW2,UVW2,1648.3112244897957,1648.3112244897957,6.092916365362853e-15,-0.19496091574425733,3.29017483729594e-16,0.054,15.962,0.4874022893606451,0.054,False
2,57912.0828,-9.543222893938946,UVW2,UVW2,1776.8829591836734,1776.8829591836734,6.969878649751289e-15,-0.13656091574425844,4.1819271898507735e-16,0.06,15.816,0.3414022893606461,0.06,False
3,57912.4161,-9.209922893933253,UVW2,UVW2,1776.8829591836734,1776.8829591836734,7.165148847908072e-15,-0.12456091574425798,4.155786331786682e-16,0.058,15.786,0.31140228936064496,0.058,False
4,57912.7551,-8.870922893933312,UVW2,UVW2,1776.8829591836734,1776.8829591836734,7.325296649174154e-15,-0.11496091574425726,4.3219250230127506e-16,0.059,15.762,0.2874022893606458,0.059,False
5,57914.5287,-7.097322893932869,UVW2,UVW2,1756.4744693877549,1756.4744693877549,7.936430488230326e-15,-0.08016091574425843,4.1269438538797694e-16,0.052,15.675,0.20040228936064608,0.052,False
6,57915.9564,-5.669622893932683,UVW2,UVW2,1756.4744693877549,1756.4744693877549,8.091428797592617e-15,-0.07176091574425847,3.964800110820383e-16,0.049,15.654,0.17940228936064528,0.049,False
7,57919.2147,-2.4113228939386318,UVW2,UVW2,1756.4744693877549,1756.4744693877549,8.543291340971193e-15,-0.048160915744258403,4.1862127570758846e-16,0.049,15.595,0.12040228936064601,0.049,False
8,57920.2722,-1.3538228939360124,UVW2,UVW2,1756.4744693877549,1756.4744693877549,9.63884988865475e-15,0.004239084255742043,4.530259447667733e-16,0.047,15.464,-0.010597710639354219,0.047,False
9,57922.2027,0.5766771060661995,UVW2,UVW2,1756.4744693877549,1756.4744693877549,9.674426217742955e-15,0.0058390842557418665,4.546980322339189e-16,0.047,15.46,-0.014597710639353778,0.047,False
10,57924.1977,2.571677106061543,UVW2,UVW2,1756.4744693877549,1756.4744693877549,8.726201089758412e-15,-0.03896091574425853,4.188576523084038e-16,0.048,15.572000000000001,0.09740228936064632,0.048,False
11,57925.6522,4.026177106061368,UVW2,UVW2,2030.0,2030.0,7.914531588770146e-15,-0.08136091574425741,4.1155564261604757e-16,0.052,15.678,0.2034022893606462,0.052,False
12,57925.6678,4.041777106067457,UVW2,UVW2,2030.0,2030.0,7.11254810641776e-15,-0.12776091574425763,3.8407759774655903e-16,0.054,15.794,0.31940228936064585,0.054,False
13,57926.7164,5.090377106062078,UVW2,UVW2,1756.4744693877549,1756.4744693877549,7.427201676496424e-15,-0.10896091574425704,3.7878728550131764e-16,0.051,15.747,0.27240228936064526,0.051,False
14,57928.7084,7.0823771060677245,UVW2,UVW2,1756.4744693877549,1756.4744693877549,6.275165969649945e-15,-0.18216091574425697,3.325837963914471e-16,0.053,15.93,0.4554022893606451,0.053,False
15,57932.5967,10.970677106066432,UVW2,UVW2,1756.4744693877549,1756.4744693877549,4.5922467641210624e-15,-0.31776091574425713,2.7094255908314267e-16,0.059,16.269,0.7944022893606437,0.059,False
16,57934.7529,13.126877106064057,UVW2,UVW2,1756.4744693877549,1756.4744693877549,3.9448020644693855e-15,-0.38376091574425786,2.4852253006157127e-16,0.063,16.434,0.9594022893606464,0.063,False
17,57937.3786,15.752577106060926,UVW2,UVW2,1756.4744693877549,1756.4744693877549,3.382401956249799e-15,-0.4505609157442567,2.435329408499855e-16,0.072,16.601,1.1264022893606445,0.072,False
18,57938.1426,16.516577106063778,UVW2,UVW2,1756.4744693877549,1756.4744693877549,3.1190706840655354e-15,-0.48576091574425817,2.2769215993678405e-16,0.073,16.689,1.2144022893606454,0.073,False
19,58026.3394,104.71337710606167,UVW2,UVW2,1776.8829591836734,1776.8829591836734,1.13769334275286e-16,-1.923760915744257,1.1376933427528601e-17,0.1,20.284,4.809402289360644,0.1,True
20,58030.9942,109.36817710606556,UVW2,UVW2,1756.4744693877549,1756.4744693877549,1.2145774587028145e-16,-1.8953609157442575,1.2145774587028146e-17,0.1,20.213,4.738402289360646,0.1,True
21,58031.4078,109.78177710606542,UVW2,UVW2,1756.4744693877549,1756.4744693877549,1.0395017308614468e-16,-1.962960915744258,1.0395017308614469e-17,0.1,20.382,4.907402289360647,0.1,True
22,58036.3321,114.70607710606419,UVW2,UVW2,1910.760551020408,1910.760551020408,9.65662166969848e-17,-1.994960915744258,9.65662166969848e-18,0.1,20.462,4.987402289360645,0.1,True
