,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,58208.316064800136,-53.212161422088684,g,g,4830.0,4830.0,5.6317257953168855e-16,-0.08969485640079355,1.9102318320746795e-16,0.3391912002646064,17.60633155701414,0.35536056981481323,0.3391912002646064,False
1,58215.25317130005,-46.275054922174604,g,g,4204.414142857143,4204.414142857143,1.6978054363113305e-16,-0.6104484377200148,2.134765026571042e-17,0.12573672936335123,18.908215510312193,1.6572445231128654,0.12573672936335123,False
2,58230.32934030006,-31.198885922167392,g,g,4830.0,4830.0,1.326135152421359e-16,-0.7177485703273199,1.5088835519422217e-17,0.11378052600349117,19.176465841830453,1.9254948546311255,0.11378052600349117,False
3,58232.16207179986,-29.36615442236507,g,g,3728.4651428571424,3728.4651428571424,5.608778430595763e-17,-1.0914680736012414,1.2436979336267455e-17,0.22174132014957135,20.11076460001526,2.859793612815931,0.22174132014957135,False
4,58232.16305560013,-29.365170622091682,g,g,3728.4651428571424,3728.4651428571424,4.085769889156993e-17,-1.2290624540733894,1.1543062440211003e-17,0.2825186624152408,20.454750551195634,3.2037795639963065,0.2825186624152408,False
5,58234.18232640019,-27.34589982203761,g,g,4830.0,4830.0,4.35016325859507e-17,-1.2018308015335961,1.439565623196824e-17,0.33092220627640223,20.386671419846145,3.135700432646818,0.33092220627640223,False
6,58234.23892359994,-27.289302622280957,g,g,4830.0,4830.0,8.306045209168379e-17,-0.920942066951369,2.839262225989689e-17,0.34183081773449225,19.684449583390577,2.43347859619125,0.34183081773449225,False
7,58242.20803239988,-19.320193822342844,g,g,4204.414142857143,4204.414142857143,1.4169840011806563e-17,-1.6889714108007823,4.5776004146899116e-18,0.32305237115421015,21.604522943014114,4.353551955814787,0.32305237115421015,False
8,58243.199282399844,-18.328943822380097,g,g,4190.259714285714,4190.259714285714,1.5473346219771486e-16,-0.6507521144758481,5.659691770423283e-18,0.03657703828271779,19.008974702201776,1.7580037150024488,0.03657703828271779,False
9,58244.19868060015,-17.329545622073056,g,g,4830.0,4830.0,2.8195719779863593e-16,-0.39015317183512366,5.514306928942439e-18,0.01955724830575372,18.357477345599964,1.1065063584006367,0.01955724830575372,False
10,58247.1978703998,-14.330355822421552,g,g,3728.4651428571424,3728.4651428571424,6.964263487047635e-16,0.0025388363590472807,7.443615275313434e-18,0.010688302200451366,17.37574732511454,0.12477633791521114,0.010688302200451366,False
11,58248.19898150023,-13.329244721993746,g,g,4239.585908163265,4239.585908163265,7.659034368451044e-16,0.04383766077837592,7.450438829599311e-18,0.009727647731010354,17.272500264066217,0.021529276866889546,0.009727647731010354,False
12,58248.20081020007,-13.327416022155376,g,g,4239.585908163265,4239.585908163265,7.726314626303144e-16,0.047636031682374735,7.71320311388297e-18,0.009983030056301955,17.26300433680622,0.012033349606891619,0.009983030056301955,False
13,58249.20197919989,-12.326247022334428,g,g,4204.414142857143,4204.414142857143,8.155724083250068e-16,0.07112616715084386,9.15667208246919e-18,0.011227295073989608,17.204278998135045,-0.04669198906428207,0.011227295073989608,False
14,58250.19937499985,-11.328851222373487,g,g,4830.0,4830.0,7.75297266561242e-16,0.049131895231884215,8.882075756128533e-18,0.011456348602290504,17.259264677932443,0.008293690733115255,0.011456348602290504,False
15,58255.177256899886,-6.350969322338642,g,g,4830.0,4830.0,9.245588579840245e-16,0.12559820626508333,8.193032761505236e-18,0.0088615588837361,17.068098900349447,-0.18287208684987988,0.0088615588837361,False
16,58258.17572919978,-3.3524970224461867,g,g,4830.0,4830.0,8.753292225029847e-16,0.10183506988734692,8.379578876404784e-18,0.009573059668273797,17.127506741293786,-0.1234642459055415,0.009573059668273797,False
17,58259.18033559993,-2.347890622295381,g,g,4830.0,4830.0,2.2980564496318847e-15,0.5210243349624015,9.0775235335155e-17,0.03950087272647105,16.07953357860615,-1.171437408593178,0.03950087272647105,False
18,58267.17153939977,5.643313177548407,g,g,4830.0,4830.0,5.774629024062215e-16,-0.07881226821602816,1.698706814438507e-17,0.029416726292895892,17.579125086552224,0.3281540993528971,0.029416726292895892,False
19,58268.17790509993,6.649678877707629,g,g,4830.0,4830.0,4.797614550370675e-16,-0.15931100458830194,1.9032130660565063e-17,0.03966998695027427,17.78037192748291,0.5294009402835833,0.03966998695027427,False
20,58269.21815969981,7.689933477588056,g,g,4204.414142857143,4204.414142857143,4.801691548896061e-16,-0.15894209915900248,1.8007549838350937e-17,0.03750251271865013,17.77944966390966,0.528478676710332,0.03750251271865013,False
21,58269.21906250017,7.690836277943163,g,g,4204.414142857143,4204.414142857143,4.509205329385631e-16,-0.18623634594515437,1.907911381670624e-17,0.04231147712962037,17.84768528087504,0.5967142936757135,0.04231147712962037,False
22,58272.202974500135,10.674748277910112,g,g,4830.0,4830.0,4.3306797022836076e-16,-0.2037802931303112,6.143570515182072e-18,0.014186157687770144,17.891545148837935,0.6405741616386074,0.014186157687770144,False
23,58272.20388890011,10.675662677887885,g,g,4830.0,4830.0,4.156277292214461e-16,-0.22163184310997863,6.187230642896818e-18,0.014886472215140072,17.936174023787103,0.6852030365877759,0.014886472215140072,False
24,58274.2384722,12.71024597777432,g,g,4830.0,4830.0,3.5743439781769807e-16,-0.2871400129091253,5.7000511453863525e-18,0.01594712534716243,18.09994444828497,0.8489734610856416,0.01594712534716243,False
25,58276.24127310002,14.713046877797751,g,g,4830.0,4830.0,2.860377416842433e-16,-0.38391301700840863,5.4795999023369366e-18,0.019156912196523563,18.341876958533177,1.09090597133385,0.019156912196523563,False
26,58276.24225689983,14.714030677605479,g,g,4830.0,4830.0,2.9196535689052127e-16,-0.37500503421023623,5.523071957931799e-18,0.01891687430575126,18.319607001537744,1.0686360143384164,0.01891687430575126,False
27,58277.19842590019,15.670199677966593,g,g,5295.081469387755,5295.081469387755,2.729646942494298e-16,-0.4042298793291774,5.47998702047721e-18,0.02007580883507852,18.3926691143351,1.141698127135772,0.02007580883507852,False
28,58278.20104169985,16.67281547762832,g,g,4605.711428571429,4605.711428571429,2.585111848619046e-16,-0.42785701934523956,5.652185924714464e-18,0.02186437669122067,18.451736964375254,1.2007659771759265,0.02186437669122067,False
29,58279.197754600085,17.669528377860843,g,g,5295.081469387755,5295.081469387755,2.231364033785646e-16,-0.4917659289346421,5.410786273039211e-18,0.02424878321561668,18.61150923834876,1.360538251149432,0.02424878321561668,False
30,58279.20241900021,17.674192777987628,g,g,5295.081469387755,5295.081469387755,2.3436334166927416e-16,-0.47044667579659283,5.3357215479862336e-18,0.022766877746246802,18.558211105503638,1.3072401183043105,0.022766877746246802,False
31,58280.22376159998,18.695535377752094,g,g,4830.0,4830.0,2.1326847719381958e-16,-0.5114096896079428,4.675380187163595e-18,0.021922509358542393,18.660618640032013,1.4096476528326853,0.021922509358542393,False
32,58282.24773149984,20.7195052776151,g,g,4830.0,4830.0,1.8977664924165597e-16,-0.5620935832410829,5.774803740128408e-18,0.030429474665109844,18.787328374114864,1.5363573869155367,0.030429474665109844,False
33,58282.25009260001,20.721866377782135,g,g,4830.0,4830.0,1.9774275475506015e-16,-0.544235777542962,5.532604639795555e-18,0.027978798245471385,18.742683859869558,1.491712872670231,0.027978798245471385,False
34,58283.25627310015,21.728046877928136,g,g,4830.0,4830.0,1.7160977033355937e-16,-0.6057943474704217,5.331799091625634e-18,0.03106932129366627,18.89658028468821,1.6456092974888819,0.03106932129366627,False
35,58284.22084489977,22.692618677545397,g,g,4830.0,4830.0,1.7089360599841909e-16,-0.6076105437106136,5.722997746361789e-18,0.03348865929141159,18.90112077528869,1.6501497880893616,0.03348865929141159,False
36,58288.20078699989,26.672560777667968,g,g,4830.0,4830.0,1.485013091162963e-16,-0.6686060753613852,6.617706752324621e-18,0.04456328898179662,19.05360960441562,1.8026386172162923,0.04456328898179662,False
37,58294.18250000011,32.65427377788728,g,g,4830.0,4830.0,1.272148436595718e-16,-0.7357985690234337,1.0175771142435016e-17,0.07998886646958811,19.221590838570737,1.97061985137141,0.07998886646958811,False
38,58305.19759259978,43.66936637755862,g,g,5386.108081632653,5386.108081632653,1.409897704430003e-16,-0.6911487541371422,8.548088629180556e-18,0.0606291406980934,19.10996630135501,1.8589953141556812,0.0606291406980934,False
39,58308.1907060002,46.6624797779732,g,g,4830.0,4830.0,8.57926923930224e-17,-0.9068860602570581,7.042479276220466e-18,0.08208716942881766,19.6493095666548,2.398338579455473,0.08208716942881766,False
40,58320.17100689979,58.642780677568226,g,g,3717.4447346938773,3717.4447346938773,5.087013869991917e-17,-1.1338734358051887,1.7548673367974263e-17,0.3449700318588309,20.21677800552513,2.965807018325801,0.3449700318588309,False
41,58423.46567129996,161.93744507773226,g,g,4204.414142857143,4204.414142857143,2.940689840334711e-17,-1.3718871364341325,9.603212405539671e-18,0.3265632530782855,20.81181225709749,3.5608412698981624,0.3265632530782855,False
42,58423.46658559982,161.93835937759286,g,g,4204.414142857143,4204.414142857143,3.800720950323132e-17,-1.2604703727756572,1.0286144680700149e-17,0.2706366717037102,20.5332703479513,3.282299360751974,0.2706366717037102,False
43,58426.48665509978,164.95842887755862,g,g,3717.4447346938773,3717.4447346938773,1.817890665335579e-17,-1.5807685979673956,5.046787201633305e-18,0.2776177521491194,21.33401591093065,4.083044923731322,0.2776177521491194,False
44,58426.48756940011,164.95934317788488,g,g,3717.4447346938773,3717.4447346938773,2.5013668907899758e-17,-1.442158960531149,5.25771052887429e-18,0.210193496533162,20.987491817340032,3.736520830140705,0.210193496533162,False
45,58427.53089120006,166.0026649778374,g,g,4204.414142857143,4204.414142857143,1.579450476425523e-17,-1.6418303443859408,4.815025212820029e-18,0.30485445949004886,21.486670276977005,4.235699289777678,0.30485445949004886,False
46,58431.471180600114,169.9429543778897,g,g,4204.414142857143,4204.414142857143,2.378395436430019e-17,-1.4640522946724772,8.189896341458289e-18,0.34434544466463307,21.04222515269335,3.791254165494024,0.34434544466463307,False
47,58432.45552079985,170.9272945776247,g,g,4204.414142857143,4204.414142857143,2.742632162271787e-17,-1.4021687929802056,5.475532554142682e-18,0.1996451667658987,20.88751639846267,3.6365454112633415,0.1996451667658987,False
48,58437.49217589991,175.9639496776872,g,g,4204.414142857143,4204.414142857143,1.8326710894125957e-17,-1.5772518287006534,5.88453532849433e-18,0.3210906399129388,21.325223987763792,4.074253000564465,0.3210906399129388,False
49,58440.46751159988,178.93928537765896,g,g,3697.5018775510202,3697.5018775510202,1.781385367559171e-16,-0.5895784768982999,9.518445234001402e-18,0.05343282485273493,18.856040608257906,1.605069621058579,0.05343282485273493,False
50,58440.46841439977,178.9401881775484,g,g,3697.5018775510202,3697.5018775510202,5.288635411425657e-16,-0.11699272895679513,1.858613522290255e-17,0.0351435366157946,17.674576238404143,0.4236052512048154,0.0351435366157946,False
51,58441.51076389989,179.98253767766437,g,g,3697.5018775510202,3697.5018775510202,3.662937057376682e-17,-1.276506901598399,7.7870964953535e-18,0.21259159994767843,20.573361670008158,3.3223906828088303,0.21259159994767843,False
52,58442.51440969994,180.98618347771844,g,g,4830.0,4830.0,1.4472462575389077e-16,-0.6797939223731966,8.317539951679054e-18,0.057471490483059315,19.081579221945145,1.8306082347458172,0.057471490483059315,False
53,58461.467499999795,199.93927377757063,g,g,4830.0,4830.0,1.658540203059615e-16,-0.6206103542701449,9.907610685145035e-18,0.059736934123561396,18.933620301687515,1.682649314488188,0.059736934123561396,False
54,58461.4703819002,199.942155677978,g,g,4830.0,4830.0,8.783721595460691e-17,-0.896657795424403,7.161452373126269e-18,0.08153095809442788,19.623738904573163,2.372767917373835,0.08153095809442788,False
55,58462.50737270014,200.97914647791913,g,g,4830.0,4830.0,6.874287909283541e-16,-0.00310864023710522,3.411371926919333e-17,0.04962509531077927,17.38986601660492,0.1388950294055924,0.04962509531077927,False
56,58466.51189809991,204.983671877686,g,g,3717.4447346938773,3717.4447346938773,8.82005529290554e-16,0.10513495016813401,4.483615989644966e-17,0.05083432972638377,17.11925704059182,-0.13171394660750835,0.05083432972638377,False
57,58467.46712959977,205.9389033775442,g,g,4830.0,4830.0,9.199660762822525e-16,0.1234354554832926,3.008008566292235e-17,0.03269695094027962,17.073505777303925,-0.17746520989540215,0.03269695094027962,False
58,58467.46809029998,205.9398640777581,g,g,4830.0,4830.0,8.2498881421159e-16,0.07611170255134603,2.70532445714622e-17,0.032792256216608154,17.19181515963379,-0.05915582756553661,0.032792256216608154,False
59,58469.5094444002,207.981218177978,g,g,4830.0,4830.0,5.038422139002154e-17,-1.1380418059615636,5.1557151056087335e-18,0.10232797021310741,20.227198930916067,2.97622794371674,0.10232797021310741,False
60,58491.46495370008,229.93672747785604,g,g,3697.5018775510202,3697.5018775510202,1.8745563070901383e-17,-1.5674378674649496,6.369750187291242e-18,0.33980041907511244,21.30068908467453,4.049718097475203,0.33980041907511244,False
61,58491.46910879994,229.94088257771364,g,g,3697.5018775510202,3697.5018775510202,5.828705722213439e-17,-1.074764228207993,7.135493317400018e-18,0.12241985884115504,20.069004986532143,2.8180339993328154,0.12241985884115504,False
62,58492.518391199876,230.99016497765115,g,g,3697.5018775510202,3697.5018775510202,8.621697026292684e-17,-0.9047436002517664,7.492842437963474e-18,0.08690681677996036,19.643953416641573,2.3929824294422453,0.08690681677996036,False
63,58512.41233799979,250.88411177756643,g,g,3697.5018775510202,3697.5018775510202,1.372188856911897e-15,0.2970775306807667,5.610573978810562e-17,0.04088776811259877,16.639400589310238,-0.6115703978890892,0.04088776811259877,False
64,58513.38912039995,251.86089417772746,g,g,3697.5018775510202,3697.5018775510202,9.179866139163277e-17,-0.8775000091993661,7.333625895887824e-18,0.07988815724230448,19.575844439010567,2.3248734518112393,0.07988815724230448,False
65,58514.46906250017,252.94083627794316,g,g,4830.0,4830.0,5.433354277160606e-16,-0.10526833381069522,1.9583539947150186e-17,0.03604318612071854,17.64526525053889,0.39429426333956386,0.03604318612071854,False
66,58514.469976900145,252.94175067792094,g,g,4830.0,4830.0,6.424042877258196e-16,-0.03252792658555137,2.5118173060860433e-17,0.03910025748704367,17.463414232476033,0.212443245276706,0.03910025748704367,False
67,58526.44391199993,264.9156857777052,g,g,4830.0,4830.0,4.960899736745392e-17,-1.1447759078337398,7.313325425054971e-18,0.14741933546620903,20.244034185596508,2.9930631983971807,0.14741933546620903,False
68,58526.4451156999,264.916889477674,g,g,4830.0,4830.0,3.9019320260260204e-17,-1.249056658106774,7.151532354905046e-18,0.1832818282636417,20.50473606127909,3.2537650740797623,0.1832818282636417,False
69,58538.30780090019,276.7795746779666,g,g,4830.0,4830.0,8.765574573136268e-17,-0.8975559687063175,1.1139709090027712e-17,0.12708475636232017,19.62598433777795,2.375013350578623,0.12708475636232017,False
70,58538.30874999985,276.7805237776265,g,g,4830.0,4830.0,5.313654817671893e-17,-1.1149430189398082,9.616208115597722e-18,0.18097163714166395,20.16945196336168,2.9184809761623534,0.18097163714166395,False
71,58539.2639583,277.7357320777737,g,g,4830.0,4830.0,2.0334135233831778e-16,-0.5321106500216395,1.152659874688644e-17,0.056685954993102305,18.712371041066255,1.461400053866928,0.056685954993102305,False
72,58541.260856499895,279.732630277671,g,g,4830.0,4830.0,2.3412348790004395e-16,-0.47089137208672227,1.3914322571729383e-17,0.05943155339318166,18.55932284622896,1.3083518590296315,0.05943155339318166,False
73,58541.267488399986,279.7392621777617,g,g,4830.0,4830.0,1.5983200404435374e-16,-0.6366726126966178,1.1799286252224418e-17,0.07382305141434684,18.9737759477537,1.7228049605543738,0.07382305141434684,False
74,58543.30446759984,281.7762413776145,g,g,4190.259714285714,4190.259714285714,3.5047361027274736e-17,-1.2956810352446375,6.233606518048969e-18,0.17786236496373636,20.621297004123754,3.3703260169244267,0.17786236496373636,False
75,58556.36737270001,294.83914647778874,g,g,4204.414142857143,4204.414142857143,2.4765196695463826e-17,-1.4464945758842092,8.289721560796472e-18,0.334732716349266,20.99833085572268,3.747359868523354,0.334732716349266,False
76,58567.268749999814,305.74052377758926,g,g,3728.4651428571424,3728.4651428571424,2.0393277999093807e-17,-1.5308493180285758,6.244260212815912e-18,0.3061920802086541,21.209217711083596,3.958246723884269,0.3061920802086541,False
77,58568.22487269994,306.69664647771424,g,g,4239.585908163265,4239.585908163265,1.625669922928717e-17,-1.6293039867865922,4.5637616679084265e-18,0.28073113757844553,21.455354382978634,4.204383395779306,0.28073113757844553,False
78,58572.27111109998,310.7428848777563,g,g,4830.0,4830.0,5.311789828163116e-17,-1.115095474613483,6.491801679885326e-18,0.1222149574794128,20.169833102545866,2.9188621153465384,0.1222149574794128,False
79,58573.304236100055,311.7760098778308,g,g,4204.414142857143,4204.414142857143,1.530542762840609e-17,-1.6554908894213334,5.416925778682499e-18,0.35392188380473355,21.520821639565494,4.269850652366166,0.35392188380473355,False
80,58574.34015050018,312.8119242779576,g,g,3697.5018775510202,3697.5018775510202,1.7507965248993696e-16,-0.5971006816387323,1.1920475955759252e-17,0.06808601562905435,18.874846120108987,1.6238751329096601,0.06808601562905435,False
81,58580.23578700004,318.707560777817,g,g,4830.0,4830.0,1.2641836596277053e-17,-1.738526185065755,4.567356252778512e-18,0.3612889802834164,21.728409878676544,4.477438891477217,0.3612889802834164,False
82,58588.275613400154,326.74738717792934,g,g,4830.0,4830.0,1.240970257417025e-15,0.25342501523725147,1.6005429425357345e-16,0.12897512514660342,16.748531877919028,-0.5024391092802993,0.12897512514660342,False
83,58589.135532400105,327.6073061778807,g,g,4204.414142857143,4204.414142857143,2.2181295447530976e-16,-0.49434945103936556,5.291090452096925e-17,0.23853838765246155,18.617968043610567,1.3669970564112397,0.23853838765246155,False
84,58589.13739580009,327.60916957786685,g,g,4204.414142857143,4204.414142857143,1.6576354283936755e-16,-0.6208473372880565,3.5724786056807353e-17,0.21551654510320345,18.934212759232295,1.683241772032968,0.21551654510320345,False
85,58600.199803200085,338.67157697786024,g,g,4239.585908163265,4239.585908163265,1.2865712690025949e-17,-1.7309025088146193,4.3515634262981756e-18,0.3382294888080078,21.7093506880487,4.458379700849374,0.3382294888080078,False
86,58602.217442099936,340.68921587771183,g,g,5387.209428571428,5387.209428571428,3.665848315553597e-16,-0.2761618666809351,1.2839086506359249e-17,0.035023507251746064,18.072499082714494,0.8215280955151663,0.035023507251746064,False
87,58602.21881939983,340.6905931776055,g,g,5387.209428571428,5387.209428571428,5.563188275578556e-16,-0.09501259949892926,1.8488132512029904e-17,0.03323298007581307,17.619625914759478,0.3686549275601507,0.03323298007581307,False
88,58608.28069439996,346.75246817773586,g,g,4204.414142857143,4204.414142857143,3.210861116728527e-17,-1.3337148366566645,6.72714284891324e-18,0.2095121091929187,20.71638150765382,3.465410520454494,0.2095121091929187,False
89,58612.18432869995,350.65610247772565,g,g,3728.4651428571424,3728.4651428571424,1.82759445058747e-17,-1.5784565268942714,4.571039985023032e-18,0.25011238043285244,21.328235733247837,4.07726474604851,0.25011238043285244,False
90,58622.16291669989,360.6346904776656,g,g,4239.585908163265,4239.585908163265,8.127061913387919e-17,-0.9304027892660613,2.5333939075576272e-17,0.3117232198495131,19.70810138917731,2.457130401977981,0.3117232198495131,False
