MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58419.539992  19.140  0.308    80   25 o  0   1.48  55.22400  11.77705  9463.69  7795.57 2.34 2.24  73.5 -0.443 18.69 19.13 02a58419o0239o
58419.543634  18.541  0.425   139   59 o  0   1.25  55.22400  11.77705  9446.34  7758.69 2.22 2.21  30.3 -0.440 18.10 18.05 02a58419o0245o
58419.558216  18.291  0.226   175   40 o  0   2.53  55.22400  11.77705  9500.67  7835.81 2.18 2.14  60.9 -0.464 18.23 18.31 02a58419o0275o
58419.564522 -20.705  2.357   -19   45 o  0   0.66  55.22400  11.77705  9522.95  7722.82 2.18 2.15  37.3 -0.508 18.28 18.47 02a58419o0287o
58423.520919  18.453  0.083   151   13 o  0   1.08  55.22400  11.77705  2744.42  8235.58 2.24 2.14 -45.4 -0.453 19.47 20.67 02a58423o0667o
58423.524121  18.742  0.090   116   10 o  0   1.51  55.22400  11.77705  2726.29  8198.62 2.32 2.17 -33.0 -0.453 19.47 20.63 02a58423o0672o
58423.539281  18.617  0.090   130   12 o  0   1.36  55.22400  11.77705  2780.87  8274.77 2.28 2.14 -29.2 -0.454 19.42 20.54 02a58423o0703o
58423.545253  18.356  0.080   165   13 o  0   1.03  55.22400  11.77705  2802.25  8160.20 2.20 2.05 -26.4 -0.478 19.46 20.53 02a58423o0714o
58424.518387  18.377  0.107   162   17 o  0   1.09  55.22400  11.77705  9789.40  1465.32 3.53 2.79 -84.5 -0.460 19.16 20.50 01a58424o0711o
58424.528486  18.548  0.137   138   19 o  0   0.85  55.22400  11.77705  9809.25  1503.47 3.52 2.78 -83.4 -0.457 19.17 20.49 01a58424o0732o
58424.529872  18.602  0.127   132   17 o  0   1.05  55.22400  11.77705   135.29  1594.28 2.91 2.85  82.9 -0.491 19.20 20.54 01a58424o0735o
58424.538577  18.507  0.116   144   17 o  0   1.21  55.22400  11.77705  9751.13  1425.93 3.55 2.67 -85.8 -0.460 19.21 20.52 01a58424o0753o
58424.539993  18.349  0.095   166   16 o  0   1.08  55.22400  11.77705   156.09  1632.08 3.00 2.78  82.4 -0.462 19.20 20.58 01a58424o0756o
58424.548534  18.415  0.113   156   18 o  0   1.27  55.22400  11.77705  9732.46  1544.49 3.65 2.77 -85.7 -0.457 19.16 20.48 01a58424o0774o
58424.550029  18.279  0.092   177   16 o  0   0.90  55.22400  11.77705    96.60  1552.58 2.99 2.84  85.9 -0.460 19.18 20.55 01a58424o0777o
58424.559969  18.475  0.123   148   18 o  0   1.13  55.22400  11.77705    79.72  1669.26 2.88 2.74 -86.6 -0.475 19.21 20.53 01a58424o0798o
58427.514939  17.841  0.036   265   10 c  0   1.87  55.22400  11.77705  1036.32  7062.61 2.49 2.41 -14.4 -0.442 19.67 21.45 02a58427o0484c
58427.531616  17.906  0.040   250   10 c  0   1.37  55.22400  11.77705  1016.57  7022.65 2.45 2.37 -20.4 -0.441 19.66 21.45 02a58427o0520c
58427.536721  17.956  0.044   238   10 c  0   1.22  55.22400  11.77705  1075.43  7100.20 2.67 2.63  78.7 -0.419 19.60 21.47 02a58427o0529c
58427.550006  17.806  0.035   274    9 c  0   1.35  55.22400  11.77705  1093.92  6981.88 2.43 2.30  -1.3 -0.444 19.67 21.48 02a58427o0557c
58428.505213  17.700  0.053   302   16 o  0   1.05  55.22400  11.77705  9517.79  1876.18 3.73 2.60  89.7 -0.468 19.35 20.98 01a58428o0534o
58428.515337  17.704  0.055   301   17 o  0   1.12  55.22400  11.77705  9545.22  1956.07 3.73 2.64 -87.4 -0.465 19.34 20.96 01a58428o0555o
58428.525389  17.715  0.055   298   16 o  0   1.07  55.22400  11.77705  9493.90  1918.38 3.82 2.67  89.9 -0.459 19.33 20.95 01a58428o0576o
