MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58631.604119  19.264  0.187    72   13 o  0   1.33 315.08721 -21.34335  2153.60  4566.45 3.03 2.84  -9.5 -0.446 19.23 20.76 01a58631o0726o
58631.613687  19.001  0.225    91   20 o  0   0.88 315.08721 -21.34335  2133.53  4527.62 2.96 2.84 -10.8 -0.457 18.91 20.05 01a58631o0746o
58631.616927  18.543  0.172   139   24 o  0   1.32 315.08721 -21.34335  2192.07  4606.13 3.05 2.89 -11.5 -0.448 18.50 19.43 01a58631o0753o
58633.598404  18.701  0.115   120   14 c  0   0.67 315.08721 -21.34335  9233.69  9839.81 2.80 2.44  46.4 -0.393 19.60 21.39 02a58633o0793c
58633.602107  18.710  0.098   119   12 c  0   0.91 315.08721 -21.34335  9255.87  9878.26 2.86 2.67 -78.1 -0.379 19.59 21.36 02a58633o0801c
58633.608725  18.696  0.093   121   11 c  0   1.26 315.08721 -21.34335  1368.40   748.54 2.61 2.32 -62.9 -0.434 19.52 21.06 02a58633o0815c
58633.614305  18.673  0.129   123   16 c  0   1.21 315.08721 -21.34335  9175.70  9919.69 2.88 2.50  50.2 -0.378 19.12 20.30 02a58633o0826c
58637.584446  18.606  0.073   131   10 c  0   1.22 315.08721 -21.34335  1816.73  1562.80 2.57 2.32 -56.9 -0.417 19.64 21.46 02a58637o0745c
58637.587193  18.876  0.083   102    8 c  0   1.61 315.08721 -21.34335  1838.42  1602.22 2.62 2.35 -59.8 -0.415 19.65 21.45 02a58637o0751c
58637.593504  18.578  0.074   134   10 c  0   0.98 315.08721 -21.34335  1775.99  1527.87 2.56 2.34 -60.2 -0.420 19.64 21.45 02a58637o0764c
58637.603469  18.569  0.068   136    9 c  0   1.25 315.08721 -21.34335  1757.66  1643.53 2.55 2.31 -57.4 -0.417 19.61 21.31 02a58637o0785c
58643.588840  18.910  0.148    99   15 o  0   1.02 315.08721 -21.34335  9905.42  6977.72 2.95 2.90  62.1 -0.441 19.26 20.93 01a58643o0706o
58643.592067  18.807  0.125   109   14 o  0   0.82 315.08721 -21.34335  9884.71  6939.43 3.06 3.01  85.8 -0.432 19.29 20.95 01a58643o0713o
58643.597782  19.161  0.163    79   13 o  0   1.28 315.08721 -21.34335   607.17  3580.61 3.13 2.82 -10.0 -0.443 19.27 21.01 01a58643o0725o
58643.607667  18.955  0.173    95   16 o  0   0.91 315.08721 -21.34335  9962.59  6899.62 3.03 2.77  79.5 -0.450 19.31 20.88 01a58643o0746o
58645.579146  18.838  0.133   106   14 o  0   1.10 315.08721 -21.34335   524.06  8870.34 2.15 1.84 -40.0 -0.453 19.56 20.72 02a58645o0743o
58645.582087  18.800  0.090   110   10 o  0   1.32 315.08721 -21.34335 10054.52  1717.25 1.91 1.86  10.3 -0.477 19.49 20.72 02a58645o0749o
58645.600363  19.139  0.157    80   13 o  0   0.98 315.08721 -21.34335   563.08  8912.11 2.21 1.91 -43.8 -0.450 19.48 20.69 02a58645o0788o
58645.613167  18.812  0.148   108   16 o  0   1.29 315.08721 -21.34335   583.13  8794.95 2.24 1.93 -47.4 -0.469 19.19 19.96 02a58645o0815o
58647.571558  19.182  0.198    77   15 o  0   0.90 315.08721 -21.34335  9892.35  6975.02 2.94 2.83  81.8 -0.444 19.29 20.92 01a58647o0614o
58647.574366  19.157  0.180    79   14 o  0   1.21 315.08721 -21.34335  9881.88  6939.52 2.99 2.88  81.4 -0.444 19.31 20.94 01a58647o0619o
