# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.8 on 2024-03-04 at 17:16:24
#
# Requested input R.A. = 212.082422879 degrees
# Requested input Dec. = 8.96694850126 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 529 4 2 ZTF_g 448356061315 0 2.5437 91.2687 6.36133 26.2208 1.49013e-05 0.0339623 -0.0294566 2.58423e-05 445 30. 0.05694 0.056876 20.3296 26.2208 1 2458202.8560648 529120113 11.19977819032 31.767433 0.392177 0.966938 47.65436014265 50.819504 0.944034 1.081100 1.4717393616102 23.0849999904633 0.300000011920929 0.680999994277954 -0.133000001311302 2458167.003472 2458314.731435 0
 1 529 4 2 ZTF_g 451365461315 0 2.5281 78.322 12.2843 26.0851 2.57944e-05 0.0393914 -0.0397555 5.6355e-05 342 30. 0.059013 0.050863 19.3482 26.0851 1 2458205.865463 529120113 20.01389136992 63.532265 0.350423 1.009076 -17.13629506679 102.900208 -0.167655 1.067990 1.4717393616102 23.0849999904633 0.300000011920929 0.680999994277954 -0.133000001311302 2458167.003472 2458314.731435 0
 2 529 4 2 ZTF_g 451400651315 0 3.2289 80.2346 12.1451 26.1025 4.20449e-05 0.0440462 -0.0268293 0.000101122 268 30. 0.07311 0.056697 19.168 26.1025 1 2458205.9006597 529120113 82.83645905502 76.166359 1.209799 0.986108 197.39952186289 106.876907 1.859420 1.108124 1.4717393616102 23.0849999904633 0.300000011920929 0.680999994277954 -0.133000001311302 2458167.003472 2458314.731435 0
 3 529 4 2 ZTF_g 454358991315 33554449 2.0197 44.6484 50.5191 25.3204 0.000928998 0.0442911 -0.082573 0.00311045 38 30. 0.058848 0.055616 17.2286 25.3204 1 2458208.8589931 529120113 -79.99347452075 247.237015 -0.359912 1.005488 -293.38472400397 426.827301 -0.691991 1.094848 1.4717393616102 23.0849999904633 0.300000011920929 0.680999994277954 -0.133000001311302 2458167.003472 2458314.731435 0
 4 529 4 2 ZTF_g 454409131315 1 2.5924 62.1184 38.8624 25.7576 0.000190838 0.0439636 -0.0407751 0.000594593 96 30. 0.052192 0.050298 17.9083 25.7576 1 2458208.9091319 529120113 277.08613128619 186.021057 1.656943 0.983660 445.07141839 311.189209 1.439860 1.107637 1.4717393616102 23.0849999904633 0.300000011920929 0.680999994277954 -0.133000001311302 2458167.003472 2458314.731435 0
 5 529 4 2 ZTF_g 457390681315 0 3.3068 93.4706 15.6644 26.2273 4.0808e-05 0.0411948 -0.00728298 0.000101281 252 30. 0.065497 0.064611 19.0879 26.2273 1 2458211.8906829 529120113 -36.33394467585 109.864151 -0.367884 0.941102 100.81447073922 154.596619 0.656505 1.170271 1.4717393616102 23.0849999904633 0.300000011920929 0.680999994277954 -0.133000001311302 2458167.003472 2458314.731435 0
 6 529 4 2 ZTF_g 457421111315 0 3.9539 91.2356 16.516 26.2353 4.59653e-05 0.0377907 -0.0434263 0.00012568 190 30. 0.072335 0.063467 18.8408 26.2353 1 2458211.9211111 529120113 -144.25744261312 120.329842 -1.333582 1.004567 -213.58620362989 154.455750 -1.392145 1.225433 1.4717393616102 23.0849999904633 0.300000011920929 0.680999994277954 -0.133000001311302 2458167.003472 2458314.731435 0
 7 529 4 2 ZTF_r 460346161315 0 3.3622 98.9783 9.3945 25.6156 3.25531e-05 0.0456911 0.0960565 5.38686e-05 385 30. 0.073046 0.065329 18.9614 25.6156 1 2458214.846169 529120213 -60.68668868064 62.068241 -1.087624 0.971383 -68.05180617009 85.938583 -0.797199 1.157058 3.84314466740487 23.0159999370575 0.270999997854233 0.345999985933304 -0.18299999833107 2458160.999502 2458229.858380 0
 8 529 4 2 ZTF_i 460392121315 48 2.8492 31.4053 12.0605 23.4079 0.000138431 0.0685807 0.203968 0.000567916 87 30. 0.073985 0.067772 16.5879 23.4079 2 2458214.8921296 529120313 29.23822883271 70.140381 0.463701 0.947499 -63.43577838282 105.128113 -0.607478 1.102805 null null null null null 2458173.977037 2458288.671794 57
