# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.8 on 2024-03-04 at 17:16:24
#
# Requested input R.A. = 15.299042 degrees
# Requested input Dec. = 14.0265 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 501 15 4 ZTF_r 527465175915 0 2.436 118.083 7.07668 26.1753 1.67446e-05 0.0298128 0.085475 2.1349e-05 402 30. 0.064266 0.055025 20.1193 26.1753 1 2458281.9651736 501120259 -13.46966755165 32.169754 -0.465762 0.992907 10.17610733164 58.730591 0.174435 1.036434 1.87771351179725 23.1769999504089 0.303000003099442 0.869000017642975 -0.712000012397766 2458281.965174 2458373.949572 0
 1 501 15 4 ZTF_r 530476465915 0 2.2473 62.9137 9.05754 25.4627 4.07477e-05 0.0465145 0.111823 5.18426e-05 406 30. 0.079327 0.064582 19.1463 25.4627 1 2458284.9764699 501120259 63.86487305778 41.810398 1.699153 1.000611 46.37204560484 74.762375 0.624437 1.041984 1.87771351179725 23.1769999504089 0.303000003099442 0.869000017642975 -0.712000012397766 2458281.965174 2458373.949572 0
 2 501 15 4 ZTF_r 533478125915 0 2.3007 121.392 10.5499 26.1763 1.56284e-05 0.0287773 0.112628 1.99809e-05 401 30. 0.063628 0.056893 19.6856 26.1763 1 2458287.978125 501120259 -1.16655291535 50.595242 -0.025648 1.017458 129.90494372991 88.857193 1.471798 1.048293 1.87771351179725 23.1769999504089 0.303000003099442 0.869000017642975 -0.712000012397766 2458281.965174 2458373.949572 0
 3 501 15 4 ZTF_r 536481095915 0 2.2062 120.88 13.3377 26.1725 1.91289e-05 0.0320559 0.116629 2.45797e-05 406 30. 0.056629 0.053433 19.4442 26.1725 1 2458290.9810995 501120259 -51.26921470511 61.832035 -0.922355 1.045966 -122.15050730538 111.733093 -1.100598 1.047177 1.87771351179725 23.1769999504089 0.303000003099442 0.869000017642975 -0.712000012397766 2458281.965174 2458373.949572 0
 4 501 15 4 ZTF_r 540480565915 0 2.0092 122.189 10.1185 26.201 1.53538e-05 0.0283319 0.102453 1.96296e-05 404 30. 0.058423 0.049723 19.8455 26.201 1 2458294.9805671 501120259 51.54393274535 42.320831 1.354809 1.027279 173.13892239613 82.250298 2.119202 1.036900 1.87771351179725 23.1769999504089 0.303000003099442 0.869000017642975 -0.712000012397766 2458281.965174 2458373.949572 0
 5 501 15 4 ZTF_r 543425235915 0 2.2109 116.169 14.6746 26.128 2.32863e-05 0.0349605 0.104147 2.95992e-05 404 30. 0.061143 0.053899 19.2909 26.128 1 2458297.9252315 501120259 -13.0382203847 70.446266 -0.205880 0.933958 -176.64171389386 126.994621 -1.400307 1.045015 1.87771351179725 23.1769999504089 0.303000003099442 0.869000017642975 -0.712000012397766 2458281.965174 2458373.949572 0
 6 501 15 4 ZTF_r 546419795915 0 2.4471 108.912 11.9358 26.0987 2.01917e-05 0.0327651 0.0918583 2.58542e-05 399 30. 0.071162 0.054885 19.4088 26.0987 1 2458300.9197917 501120259 33.23387629686 56.230453 0.657452 0.984647 86.42854974481 99.377701 0.875555 1.038523 1.87771351179725 23.1769999504089 0.303000003099442 0.869000017642975 -0.712000012397766 2458281.965174 2458373.949572 0
 7 501 15 4 ZTF_g 546463325915 0 2.2088 74.1911 11.4148 26.2344 3.3137e-05 0.0399343 -0.0640489 5.00686e-05 336 30. 0.064613 0.054335 19.6644 26.2344 1 2458300.9633218 501120159 40.42099581372 52.504787 0.856373 1.005736 37.86327069342 92.074699 0.413993 1.068373 null null null null null 2458312.977569 2458351.929039 57
 8 501 15 4 ZTF_g 549458625915 0 2.4713 71.6816 10.6612 26.2199 3.24155e-05 0.0390109 -0.0736565 4.87448e-05 339 30. 0.071227 0.060262 19.6341 26.2199 1 2458303.9586227 501120159 -32.41653726771 50.621666 -0.712336 1.008062 -88.54988244701 85.758118 -1.039508 1.061815 null null null null null 2458312.977569 2458351.929039 57
