MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58755.603656  20.600  0.559    21   12 c  0   1.50 103.59626  17.49204  5592.47  9448.46 2.67 2.57  45.9 -0.401 19.51 21.14 02a58755o0817c
58755.606924  20.552  0.603    22   13 c  0   0.73 103.59626  17.49204  5611.94  9488.34 2.63 2.53  43.5 -0.404 19.56 21.14 02a58755o0824c
58755.613420  20.117  0.332    33   11 c  0   1.83 103.59626  17.49204  5553.53  9410.65 2.55 2.53  59.1 -0.412 19.57 21.16 02a58755o0838c
58755.624040  20.467  0.462    24   11 c  0   1.23 103.59626  17.49204  5534.63  9528.37 2.61 2.56  53.8 -0.403 19.56 21.16 02a58755o0859c
58755.647857 -23.651 60.111    -1   76 c  0   1.75 103.59626  17.49204  5579.58  9470.50 2.67 2.58  39.9 -0.451 17.61 18.38 02a58755o0903c
58757.550379  19.752  0.299    46   14 o  0   0.90 103.59626  17.49204  6956.90  1026.73 2.23 2.06 -85.1 -0.398 19.39 20.35 01a58757o0711o
58757.553602  19.591  0.207    53   11 o  0   1.14 103.59626  17.49204  6938.89   991.54 2.16 2.01 -83.1 -0.403 19.41 20.41 01a58757o0718o
58757.563518  19.451  0.210    60   13 o  0   1.19 103.59626  17.49204  6995.87  1068.87 2.03 1.84  89.9 -0.411 19.55 20.49 01a58757o0736o
58757.569402  19.735  0.245    46   11 o  0   1.17 103.59626  17.49204  7012.97   946.74 2.25 2.07  87.5 -0.410 19.43 20.49 01a58757o0748o
58761.589053  19.444  0.184    61   11 o  0   1.11 103.59626  17.49204  2862.44  4616.13 2.24 1.91  84.2 -0.422 19.55 20.69 01a58761o0789o
58761.593111  19.345  0.166    66   11 o  0   0.91 103.59626  17.49204  2845.07  4577.73 2.28 1.92  83.9 -0.422 19.53 20.69 01a58761o0797o
58761.602015  19.567  0.203    54   11 o  0   1.03 103.59626  17.49204  2903.45  4655.43 2.18 1.87  83.7 -0.425 19.54 20.68 01a58761o0814o
58761.612308  19.410  0.192    62   12 o  0   0.83 103.59626  17.49204  2923.06  4542.68 2.26 1.91  84.9 -0.424 19.61 20.77 01a58761o0836o
58763.561061  19.305  0.182    69   12 c  0   0.74 103.59626  17.49204  1449.79  3787.86 2.34 2.20 -60.5 -0.428 19.55 21.15 02a58763o0630c
58763.572398  19.177  0.152    78   12 c  0   0.81 103.59626  17.49204  1461.19  3827.75 2.40 2.20 -57.1 -0.419 19.51 21.12 02a58763o0652c
58763.575306  19.543  0.199    55   11 c  0   0.87 103.59626  17.49204  1407.63  3748.55 2.46 2.23 -60.9 -0.419 19.57 21.20 02a58763o0658c
58763.583671  19.272  0.179    71   13 c  0   0.74 103.59626  17.49204  1385.17  3865.89 2.53 2.21 -54.5 -0.426 19.58 21.17 02a58763o0674c
58765.534883  18.760  0.146   114   17 o  0   1.66 103.59626  17.49204  2865.56  4615.37 2.36 2.35 -82.8 -0.408 18.97 19.90 01a58765o0676o
58765.545064  18.554  0.261   138   36 o  0   1.64 103.59626  17.49204  2845.62  4576.89 2.09 2.01  87.1 -0.406 19.43 20.42 01a58765o0696o
58765.548754  19.317  0.183    68   12 o  0   1.54 103.59626  17.49204  2904.04  4653.74 2.30 2.26 -77.9 -0.406 19.35 20.46 01a58765o0704o
58765.558070  19.304  0.161    69   11 o  0   1.52 103.59626  17.49204  2919.64  4531.76 2.32 2.00  81.3 -0.406 19.49 20.60 01a58765o0723o
58769.538175  18.690  0.173   121   21 o  0   1.00 103.59626  17.49204  2753.18   721.74 2.10 2.01  53.8 -0.432 18.84 19.14 01a58769o0725o
58769.545360  18.985  0.252    92   23 o  0   0.70 103.59626  17.49204  2731.32   683.88 2.12 2.02  41.2 -0.422 18.80 19.14 01a58769o0739o
58769.549063  18.968  0.198    94   19 o  0   1.12 103.59626  17.49204  2790.76   763.46 2.14 2.02  19.3 -0.418 18.80 19.10 01a58769o0747o
58769.559187  19.168  0.278    78   22 o  0   0.93 103.59626  17.49204  2809.11   648.11 2.06 1.99  62.8 -0.429 18.76 19.04 01a58769o0768o
58771.545009  18.863  0.234   104   24 o  0   1.56 103.59626  17.49204  7773.73  7890.64 2.17 2.13  70.2 -0.441 18.79 19.21 02a58771o0739o
58771.547822  19.371  0.559    65   36 o  0   0.94 103.59626  17.49204  7792.96  7929.56 2.26 2.23 -36.8 -0.431 18.75 19.22 02a58771o0745o
58771.553473  19.327  0.434    68   29 o  0   0.64 103.59626  17.49204  7734.00  7852.66 2.17 2.12 -68.9 -0.441 18.74 19.15 02a58771o0757o
58771.563301  19.274  0.489    71   35 o  0   1.17 103.59626  17.49204  7714.34  7969.63 2.16 2.12  80.7 -0.445 18.80 19.19 02a58771o0776o
58773.553623  19.115  0.309    82   25 o  0   0.81 103.59626  17.49204  2755.16   729.55 2.23 2.08   6.5 -0.391 18.84 19.14 01a58773o0749o
58773.556493  18.776  0.171   112   19 o  0   1.10 103.59626  17.49204  2732.33   685.49 1.99 1.85  58.2 -0.433 18.92 19.16 01a58773o0755o
58773.563429  19.029  0.254    89   22 o  0   0.86 103.59626  17.49204  2793.11   768.32 2.19 2.03  -1.6 -0.403 18.85 19.19 01a58773o0768o
58773.574893  19.040  0.182    88   16 o  0   1.37 103.59626  17.49204  2811.53   651.84 2.06 1.87  -4.6 -0.407 19.05 19.31 01a58773o0792o
58777.574449  18.932  0.219    97   21 o  0   0.95 103.59626  17.49204   232.32  8530.16 2.43 2.26 -78.2 -0.411 18.98 20.46 01a58777o0807o
58777.579967  18.775  0.140   112   16 o  0   1.21 103.59626  17.49204   212.25  8494.06 2.76 2.15  90.0 -0.391 19.25 19.95 01a58777o0818o
58777.592504  18.659  0.149   125   19 o  0   0.87 103.59626  17.49204   270.62  8571.93 2.79 2.16  89.8 -0.388 19.20 19.92 01a58777o0843o
58777.603482  18.917  0.171    98   17 o  0   1.22 103.59626  17.49204   291.50  8455.11 2.81 2.20  89.0 -0.386 19.22 19.93 01a58777o0864o
58777.613431  18.820  0.149   108   16 o  0   1.67 103.59626  17.49204 10211.08  8538.45 2.82 1.93 -86.8 -0.372 19.08 19.78 01a58777o0883o
58777.616539  18.481  0.115   147   17 o  0   1.28 103.59626  17.49204 10190.22  8499.37 2.89 1.97 -87.4 -0.377 19.07 19.77 01a58777o0889o
58777.625076  19.230  0.220    74   16 o  0   1.06 103.59626  17.49204 10250.33  8577.11 2.91 1.99 -87.4 -0.373 19.07 19.80 01a58777o0905o
58777.633619  18.843  0.145   105   15 o  0   1.79 103.59626  17.49204 10268.81  8461.32 2.93 2.06 -87.7 -0.361 19.02 19.77 01a58777o0920o
58781.527157  18.467  0.076   149   11 o  0   1.79 103.59626  17.49204   230.39  8528.59 2.76 2.15  87.8 -0.392 19.57 20.69 01a58781o0589o
58781.527617  18.925  0.122    98   12 o  0   1.38 103.59626  17.49204 10205.70  8546.47 2.44 1.74 -88.1 -0.402 19.56 20.67 01a58781o0590o
58781.530378  18.772  0.138   112   16 o  0   0.65 103.59626  17.49204   211.68  8491.14 2.60 2.05  88.6 -0.401 19.60 20.67 01a58781o0596o
58781.530837  18.738  0.099   116   12 o  0   1.11 103.59626  17.49204 10186.69  8507.52 2.35 1.64 -86.9 -0.406 19.63 20.67 01a58781o0597o
58781.535818  18.661  0.115   125   14 o  0   1.27 103.59626  17.49204   270.54  8569.10 2.56 2.03  88.4 -0.403 19.63 20.71 01a58781o0607o
58781.536279  18.834  0.102   106   11 o  0   1.28 103.59626  17.49204 10246.72  8586.45 2.49 1.69 -86.9 -0.404 19.62 20.70 01a58781o0608o
58781.550635  18.839  0.131   106   14 o  0   0.89 103.59626  17.49204   292.07  8451.84 2.27 1.90 -87.5 -0.423 19.63 20.74 01a58781o0636o
58781.551094  18.584  0.073   134   10 o  0   2.06 103.59626  17.49204 10267.38  8466.17 2.63 1.85 -86.8 -0.394 19.57 20.72 01a58781o0637o
58783.511423  18.851  0.099   105   10 c  0   1.61 103.59626  17.49204  7671.99  4013.97 2.86 2.49  31.6 -0.381 19.56 21.31 02a58783o0614c
58783.514650  19.022  0.107    89   10 c  0   1.78 103.59626  17.49204  7690.24  4053.16 2.73 2.46  34.8 -0.385 19.56 21.32 02a58783o0621c
