# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.8 on 2024-03-04 at 17:16:26
#
# Requested input R.A. = 56.6640226482 degrees
# Requested input Dec. = -11.2427497073 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 352 5 3 ZTF_g 577480851815 0 2.0568 80.8298 13.5947 25.828 4.25196e-05 0.0473585 -0.00162456 7.57221e-05 348 30. 0.085491 0.077384 19.1473 25.828 1 2458331.9808565 352120118 84.70015871052 67.198547 1.402101 1.041039 -6.39052643677 117.222260 -0.054883 1.077353 3.90244246426372 22.6070000648499 0.328000009059906 1.43400001525879 -0.616999983787537 2458343.939676 2458367.945868 0
 1 352 5 3 ZTF_g 580480751815 0 2.501 89.6039 10.8135 25.94 3.02989e-05 0.0411581 -0.010707 5.35673e-05 369 30. 0.080986 0.086559 19.3541 25.94 1 2458334.9807523 352120118 30.50591407512 58.871906 0.576409 1.018402 -108.92236957408 92.604782 -1.184129 1.104449 3.90244246426372 22.6070000648499 0.328000009059906 1.43400001525879 -0.616999983787537 2458343.939676 2458367.945868 0
 2 352 5 3 ZTF_r 583483901815 0 1.9718 163.787 6.83155 26.1021 9.937e-06 0.0266861 0.125776 1.29454e-05 523 30. 0.055017 0.066044 20.2006 26.1021 1 2458337.9839005 352120218 3.31134790427 29.809105 0.123569 0.983109 -52.18811404924 56.735847 -0.926039 1.042281 2.80867812709602 22.814999961853 0.282000005245209 0.745000004768372 -0.36599999666214 2458345.998449 2458369.922141 0
 3 352 5 3 ZTF_g 589439671815 0 2.2479 77.3716 4.22282 25.7854 1.94327e-05 0.0372309 -0.0149945 2.60336e-05 514 30. 0.085023 0.083275 20.4126 25.7854 1 2458343.9396759 352120118 30.67556499661 20.215563 1.687958 0.909733 77.46934351424 33.975983 2.295478 1.080852 3.90244246426372 22.6070000648499 0.328000009059906 1.43400001525879 -0.616999983787537 2458343.939676 2458367.945868 0
 4 352 5 3 ZTF_r 589505571815 0 1.8955 165.033 8.56737 26.1137 1.16528e-05 0.0291429 0.123167 1.5287e-05 526 30. 0.057099 0.060862 19.9981 26.1137 1 2458344.0055787 352120218 24.70958475247 39.624744 0.693671 0.882030 -1.38141409658 75.176559 -0.018499 1.043036 2.80867812709602 22.814999961853 0.282000005245209 0.745000004768372 -0.36599999666214 2458345.998449 2458369.922141 0
 5 352 5 3 ZTF_g 591455931815 0 2.9064 81.0625 4.02083 25.8385 2.2942e-05 0.0400945 -0.00862295 3.22486e-05 494 30. 0.076679 0.081207 20.2553 25.8385 3 2458345.9559375 352120118 -16.61713322492 22.702082 -0.814227 0.990983 -44.81978318157 33.814068 -1.334405 1.116456 3.90244246426372 22.6070000648499 0.328000009059906 1.43400001525879 -0.616999983787537 2458343.939676 2458367.945868 0
 6 352 5 3 ZTF_r 591498441815 0 2.2296 160.989 5.52786 26.0957 2.22598e-05 0.0401137 0.108639 2.90662e-05 522 30. 0.061794 0.068606 20.3639 26.0957 3 2458345.9984491 352120218 2.0668578858 25.528547 0.090062 0.868387 18.86039118027 46.033466 0.412470 1.045143 2.80867812709602 22.814999961853 0.282000005245209 0.745000004768372 -0.36599999666214 2458345.998449 2458369.922141 0
 7 352 5 3 ZTF_r 593454861815 0 2.0241 153.769 5.24574 26.0294 1.1032e-05 0.0282361 0.129209 1.44166e-05 529 30. 0.064554 0.071271 20.4878 26.0294 3 2458347.9548611 352120218 -15.15152984834 22.634626 -0.744626 0.962396 -25.41461411173 40.587421 -0.630387 1.060058 2.80867812709602 22.814999961853 0.282000005245209 0.745000004768372 -0.36599999666214 2458345.998449 2458369.922141 0
 8 352 5 3 ZTF_r 593455771815 0 1.9202 154.966 5.23707 26.023 1.09812e-05 0.028265 0.135445 1.43624e-05 528 30. 0.065923 0.06736 20.4438 26.023 1 2458347.9557755 352120218 15.51974256652 24.587872 0.702131 0.905268 -28.47843410778 44.586407 -0.643026 1.058029 2.80867812709602 22.814999961853 0.282000005245209 0.745000004768372 -0.36599999666214 2458345.998449 2458369.922141 0
