# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.8 on 2024-03-04 at 17:16:26
#
# Requested input R.A. = 142.776083 degrees
# Requested input Dec. = -19.517989 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 314 3 1 ZTF_g 448253240815 0 3.5653 436.095 10.1687 26.2045 1.09292e-05 0.0373876 -0.0644627 2.91175e-05 990 30. 0.048616 0.056049 19.3805 26.2045 1 2458202.7532407 314120108 66.60071295363 67.912697 1.090894 0.962231 96.00735394739 91.650993 1.054587 1.131322 1.46870437291809 21.8840000152588 0.284000009298325 1.14300000667572 -0.209999993443489 2458202.753241 2458472.979444 0
 1 314 3 1 ZTF_g 451227600815 0 3.0211 444.524 17.1537 26.2146 1.25715e-05 0.0369065 -0.050244 3.57043e-05 876 30. 0.059373 0.054037 18.9935 26.2146 1 2458205.7276042 314120108 -61.24948435429 95.404709 -0.714147 0.983240 -193.27095599157 143.692474 -1.354091 1.057939 1.46870437291809 21.8840000152588 0.284000009298325 1.14300000667572 -0.209999993443489 2458202.753241 2458472.979444 0
 2 314 3 1 ZTF_g 451258140815 0 2.9878 437.07 17.5294 26.1986 1.71424e-05 0.0427264 -0.0520262 4.89969e-05 857 30. 0.077173 0.057237 18.9491 26.1986 1 2458205.7581481 314120108 84.71456200786 92.934509 1.013995 1.006070 204.90847364064 141.158905 1.461392 1.055971 1.46870437291809 21.8840000152588 0.284000009298325 1.14300000667572 -0.209999993443489 2458202.753241 2458472.979444 0
 3 314 3 1 ZTF_g 454236250815 49 2.1453 73.373 39.2265 24.2514 0.00328915 0.0532804 -0.112623 0.0116685 29 30. 0.043251 0.062088 16.3666 24.2514 1 2458208.73625 314120108 237.09507956158 171.953979 1.533787 1.018400 -30.47879555832 318.523834 -0.096332 1.048965 1.46870437291809 21.8840000152588 0.284000009298325 1.14300000667572 -0.209999993443489 2458202.753241 2458472.979444 0
 4 314 3 1 ZTF_g 454258180815 1 2.1413 224.599 33.2292 25.3257 0.00011401 0.0598882 -0.0260515 0.000398432 346 30. 0.049601 0.059946 17.6529 25.3257 1 2458208.7581829 314120108 -66.21582254401 127.960815 -0.575625 1.075530 -162.70947035568 239.440857 -0.684116 1.041820 1.46870437291809 21.8840000152588 0.284000009298325 1.14300000667572 -0.209999993443489 2458202.753241 2458472.979444 0
 5 314 3 1 ZTF_g 461221150815 0 3.4877 166.2 8.40375 25.1461 3.63025e-05 0.0519268 -0.0199695 0.000111403 652 30. 0.057879 0.069609 18.5788 25.1461 1 2458215.7211574 314120108 48.63947754145 55.373558 0.977105 0.911767 68.02855576292 74.570068 0.918421 1.142761 1.46870437291809 21.8840000152588 0.284000009298325 1.14300000667572 -0.209999993443489 2458202.753241 2458472.979444 0
 6 314 3 1 ZTF_r 464193860815 0 2.2851 376.315 8.03254 26.0988 2.9096e-06 0.0252858 0.0737712 5.47737e-06 1429 30. 0.05887 0.064059 19.9147 26.0988 1 2458218.6938657 314120208 26.55503262006 36.256401 0.814736 1.182816 32.39224933703 62.946278 0.518067 1.049908 0.281886523918291 21.8660000801086 0.216999992728233 1.125 -0.241999998688698 2458218.693866 2458226.645463 0
 7 314 3 1 ZTF_r 464222260815 0 2.2706 366.78 8.46292 26.0628 2.981e-06 0.0255252 0.0843088 5.60838e-06 1429 30. 0.050552 0.060488 19.8299 26.0628 1 2458218.7222685 314120208 12.53265044434 38.536053 0.361768 0.988301 -32.53434332584 66.950012 -0.489223 1.050749 0.281886523918291 21.8660000801086 0.216999992728233 1.125 -0.241999998688698 2458218.693866 2458226.645463 0
 8 314 3 1 ZTF_r 472136330815 0 2.3426 386.615 10.2794 26.1294 3.5229e-06 0.0277102 0.0696625 6.59961e-06 1426 30. 0.04278 0.051971 19.5589 26.1294 1 2458226.636331 314120208 84.9162387356 49.163769 1.921323 1.041668 109.76158838709 79.443855 1.390930 1.066178 0.281886523918291 21.8660000801086 0.216999992728233 1.125 -0.241999998688698 2458218.693866 2458226.645463 0
