MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59337.332170  21.994  1.694     6   10 o  0   1.44 146.19746  34.71228  5262.26  4943.29 1.84 1.71 -80.0 -0.401 19.44 20.41 01a59337o0232o
59337.335402  20.301  0.781    28   22 o  0   0.67 146.19746  34.71228  5281.83  4982.10 1.86 1.76 -70.6 -0.407 18.93 19.92 01a59337o0239o
59337.343350 -19.753  0.488   -46   22 o  0   0.87 146.19746  34.71228  5220.02  4905.52 1.82 1.71 -58.8 -0.412 18.85 19.78 01a59337o0256o
59337.357203  20.492  0.772    23   18 o  0   1.32 146.19746  34.71228  5202.32  5021.52 1.99 1.78 -56.7 -0.401 18.80 19.80 01a59337o0286o
59343.287070  20.059  0.270    34    9 c  0   1.33 146.19746  34.71228  7374.48  7800.96 2.60 2.37  39.1 -0.408 19.67 21.37 02a59343o0106c
59343.294617  19.974  0.249    37    9 c  0   1.43 146.19746  34.71228  7356.35  7759.95 2.54 2.39  37.9 -0.407 19.73 21.40 02a59343o0122c
59343.300107  20.095  0.372    33   12 c  0   0.85 146.19746  34.71228  7413.65  7837.53 2.57 2.38  38.7 -0.410 19.65 21.29 02a59343o0134c
59343.325044  20.127  0.327    32   11 c  0   1.02 146.19746  34.71228  7434.65  7718.81 2.56 2.40  38.2 -0.411 19.69 21.37 02a59343o0186c
59345.323700  18.676  0.096   123   12 o  0   1.05 146.19746  34.71228  3079.36   854.55 1.75 1.73 -28.1 -0.423 19.64 20.38 01a59345o0211o
59345.326470  18.817  0.130   108   14 o  0   0.69 146.19746  34.71228  3098.34   895.21 1.77 1.74  -9.5 -0.427 19.60 20.39 01a59345o0217o
59345.332002  18.672  0.105   123   13 o  0   0.76 146.19746  34.71228  3039.66   817.15 1.78 1.73  55.2 -0.431 19.63 20.40 01a59345o0229o
59345.344916  18.602  0.095   132   12 o  0   0.85 146.19746  34.71228  3023.86   933.44 1.87 1.81  60.1 -0.426 19.53 20.32 01a59345o0257o
59348.255908  17.746  0.038   290   11 c  0   1.45 146.19746  34.71228  3320.85  3808.18 2.35 2.32 -57.0 -0.407 19.57 21.24 02a59348o0033c
59348.259584  17.712  0.041   299   12 c  0   1.21 146.19746  34.71228  3300.44  3769.15 2.32 2.29  57.8 -0.410 19.62 21.27 02a59348o0041c
59348.265584  17.854  0.043   262   11 c  0   1.16 146.19746  34.71228  3357.87  3845.47 2.43 2.39  52.2 -0.407 19.58 21.28 02a59348o0052c
59348.276139  17.770  0.044   283   12 c  0   1.04 146.19746  34.71228  3377.75  3726.75 2.63 2.50 -53.4 -0.409 19.46 21.27 02a59348o0075c
59349.258617  18.025  0.056   224   12 o  0   1.17 146.19746  34.71228  3063.35   857.61 1.93 1.83  82.5 -0.454 19.63 20.58 01a59349o0064o
59349.277076  17.882  0.048   255   12 o  0   1.04 146.19746  34.71228  3086.51   896.80 1.98 1.84  87.1 -0.447 19.59 20.60 01a59349o0103o
59349.295617  17.880  0.051   256   13 o  0   0.84 146.19746  34.71228  3032.53   817.36 2.16 1.92  82.1 -0.443 19.53 20.61 01a59349o0141o
59349.301936  17.921  0.047   246   12 o  0   1.02 146.19746  34.71228  3014.12   933.45 1.96 1.80  89.5 -0.448 19.62 20.61 01a59349o0154o
