MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58213.449268  20.171  0.420    31   13 o  0   1.74 176.76707  19.55119  1623.23  5627.90 3.06 2.84 -88.4 -0.460 19.10 20.47 01a58213o0411o
58213.460705  19.696  0.326    48   16 o  0   1.06 176.76707  19.55119  1649.97  5711.83 3.15 2.88 -88.8 -0.443 19.05 20.44 01a58213o0433o
58213.472174  19.363  0.299    65   20 o  0   1.04 176.76707  19.55119  1604.02  5680.07 3.53 3.29 -85.3 -0.424 18.89 20.39 01a58213o0454o
58213.483724  21.285  1.947    11   22 o  0   0.81 176.76707  19.55119  1596.05  5839.76 3.70 3.55  57.3 -0.422 18.85 20.34 01a58213o0476o
58221.451666  19.269  0.168    71   12 o  0   1.42 176.76707  19.55119  3085.11  4753.35 2.98 2.79  89.9 -0.460 19.36 21.15 01a58221o0206o
58221.462837  19.066  0.147    86   13 o  0   1.37 176.76707  19.55119  3114.47  4833.36 3.09 2.88  89.8 -0.453 19.33 21.10 01a58221o0228o
58221.473758  18.871  0.120   103   12 o  0   1.15 176.76707  19.55119  3051.95  4796.46 2.99 2.70  89.8 -0.471 19.37 21.08 01a58221o0249o
58221.485062  19.114  0.164    82   14 o  0   1.05 176.76707  19.55119  3046.76  4952.35 3.08 2.75  89.5 -0.461 19.32 21.05 01a58221o0271o
58227.429259  20.860  0.805    16   13 c  0   1.18 176.76707  19.55119  7268.72  3036.90 2.54 2.49  85.6 -0.412 19.25 20.99 02a58227o0253c
58227.441103  24.024 15.200     1   14 c  0   0.97 176.76707  19.55119  7250.75  2999.26 2.54 2.49  60.7 -0.415 19.40 21.16 02a58227o0275c
58227.456368  19.011  0.494    90   45 c  0   1.28 176.76707  19.55119  7305.74  3077.27 2.61 2.58  69.8 -0.406 18.23 19.87 02a58227o0307c
58227.465648 -20.420  0.846   -25   21 c  0   1.34 176.76707  19.55119  7324.51  2960.18 2.61 2.57  81.3 -0.408 18.71 20.34 02a58227o0326c
58231.391688  18.926  0.110    98   11 o  0   2.43 176.76707  19.55119  6653.97  2742.92 2.33 2.22 -59.4 -0.448 19.37 20.37 02a58231o0354o
58231.402026  18.794  0.120   110   13 o  0   1.36 176.76707  19.55119  6636.57  2703.73 2.18 2.11 -65.8 -0.445 19.38 20.30 02a58231o0375o
58231.413830  18.970  0.155    94   14 o  0   0.98 176.76707  19.55119  6692.55  2782.29 2.18 2.12 -64.2 -0.443 19.35 20.29 02a58231o0398o
58231.423018  18.818  0.120   108   13 o  0   1.59 176.76707  19.55119  6711.70  2664.61 2.12 2.07 -64.1 -0.442 19.36 20.21 02a58231o0417o
58243.391244  18.844  0.140   105   15 o  0   1.19 176.76707  19.55119  7332.24  5845.06 2.12 2.03 -63.1 -0.465 19.39 20.42 02a58243o0344o
58243.402629  18.306  0.327   173   56 o  0   0.95 176.76707  19.55119  7314.83  5805.91 2.04 1.97 -61.1 -0.504 17.83 18.37 02a58243o0366o
