MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58837.626784  19.769  0.297    45   13 o  0   1.31 194.67875  15.21171 10241.95   480.58 2.78 2.13  89.8 -0.361 19.31 20.31 01a58837o0659o
58837.632516  20.274  0.459    28   13 o  0   1.34 194.67875  15.21171 10219.02   434.75 2.69 2.24 -88.0 -0.362 19.35 20.33 01a58837o0670o
58837.637043  20.070  0.346    34   12 o  0   1.63 194.67875  15.21171 10282.54   520.42 2.49 2.08 -31.3 -0.374 19.47 20.34 01a58837o0679o
58837.651629  20.624  0.567    20   12 o  0   1.22 194.67875  15.21171 10300.12   398.23 2.39 2.07 -59.2 -0.386 19.49 20.32 01a58837o0708o
58841.598353  19.825  0.207    43    9 o  0   1.12 194.67875  15.21171  6426.58  6677.86 2.32 1.97 -83.9 -0.422 19.63 21.05 01a58841o0854o
58841.605717  20.052  0.280    35   10 o  0   1.33 194.67875  15.21171  6407.28  6638.47 2.34 1.94 -83.5 -0.424 19.63 21.04 01a58841o0866o
58841.609790  19.497  0.140    58    8 o  0   1.88 194.67875  15.21171  6465.53  6716.24 2.23 1.90 -82.7 -0.416 19.68 21.02 01a58841o0874o
58841.627293  19.976  0.235    37    9 o  0   1.71 194.67875  15.21171  6484.56  6598.84 2.31 2.08 -82.2 -0.420 19.60 21.00 01a58841o0910o
58841.667717  19.172  0.378    78   29 o  0   0.77 194.67875  15.21171  6446.19  6654.66 2.11 1.95 -44.6 -0.423 18.32 20.30 01a58841o0987o
58845.537987  19.356  0.151    66   10 o  0   0.76 194.67875  15.21171  6427.56  6684.76 2.20 2.11 -51.7 -0.409 19.61 21.07 01a58845o0705o
58845.541285  19.394  0.163    64   10 o  0   1.12 194.67875  15.21171  6408.56  6645.58 2.16 2.04 -64.9 -0.408 19.65 21.09 01a58845o0711o
58845.547705  19.411  0.193    62   12 o  0   1.12 194.67875  15.21171  6463.24  6719.57 2.87 2.32 -83.8 -0.395 19.45 21.11 01a58845o0724o
58845.557529  19.220  0.114    74    8 o  0   1.33 194.67875  15.21171  6484.25  6603.71 2.52 1.98 -85.2 -0.416 19.61 21.18 01a58845o0743o
