,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,59125.45310189994,-19.450070353435876,g,g,4204.414142857143,4204.414142857143,3.5963521691172973e-17,-0.9322291923587738,1.1828188483178628e-17,0.3288940550580669,20.59327977745121,2.3305729808969353,0.3288940550580669,False
1,59128.448935199995,-16.454237053381803,g,g,4830.0,4830.0,5.304979277299679e-17,-0.76340771357882,1.3368823214694062e-17,0.25200519202591515,20.171226080501327,1.9085192839470508,0.25200519202591515,False
2,59129.41914349981,-15.484028753569874,g,g,4204.414142857143,4204.414142857143,8.36412965780356e-17,-0.5656706488679308,1.2524828196037357e-17,0.1497445485478809,19.6768834187241,1.4141766221698227,0.1497445485478809,False
3,59130.51012729993,-14.393044953445497,g,g,3717.4447346938773,3717.4447346938773,8.69752928260501e-17,-0.5486955057535017,1.0149360689248142e-17,0.11669245781726523,19.634445560938033,1.3717387643837569,0.11669245781726523,False
4,59130.51106479997,-14.392107453408244,g,g,3717.4447346938773,3717.4447346938773,9.724124070044186e-17,-0.5002409139789439,1.1068702915641725e-17,0.113827248972888,19.51330908150164,1.2506022849473624,0.113827248972888,False
5,59131.379467600025,-13.52370465335116,g,g,4204.414142857143,4204.414142857143,1.348664630646911e-16,-0.3581874372661247,1.975155642608431e-17,0.1464526908858737,19.158175389719588,0.8954685931653117,0.1464526908858737,False
6,59134.529664400034,-10.373507853342744,g,g,4239.585908163265,4239.585908163265,1.961876730749881e-16,-0.19541968917149433,6.755082339891173e-18,0.0344317368875118,18.751256019483012,0.4885492229287358,0.0344317368875118,False
7,59135.45405089995,-9.449121353427472,g,g,4204.414142857143,4204.414142857143,2.1016752706128743e-16,-0.1655257912162984,5.765235227660989e-18,0.027431617568492283,18.67652127459502,0.4138144780407451,0.027431617568492283,False
8,59135.454988399986,-9.44818385339022,g,g,4204.414142857143,4204.414142857143,2.2317532350913085e-16,-0.1394452323581259,5.611706428136045e-18,0.025144833845872978,18.61131987744959,0.34861308089531207,0.025144833845872978,False
9,59136.445717600174,-8.457454653202149,g,g,3697.5018775510202,3697.5018775510202,2.277433919581193e-16,-0.13064562070144348,5.504566167278378e-18,0.024170036811828274,18.589320848307885,0.3266140517536087,0.024170036811828274,False
10,59137.44564810023,-7.457524153149279,g,g,4204.414142857143,4204.414142857143,2.5791476308498884e-16,-0.07661520340685612,6.002643119342028e-18,0.0232737476813765,18.454244805071415,0.19153800851713854,0.0232737476813765,False
11,59137.4465855998,-7.456586653577688,g,g,4204.414142857143,4204.414142857143,2.5629845364758665e-16,-0.07934541942885964,6.032383685847281e-18,0.023536559038869108,18.461070345126426,0.19836354857215,0.023536559038869108,False
12,59139.425775500014,-5.4773967533619725,g,g,4204.414142857143,4204.414142857143,2.649823731677216e-16,-0.06487442005341393,8.110283878913157e-18,0.030606880684020902,18.42489284668781,0.16218605013353482,0.030606880684020902,False
13,59139.434930600226,-5.468241653150471,g,g,4204.414142857143,4204.414142857143,2.7326138302435217e-16,-0.05151314330037415,7.65123401512832e-18,0.027999690005398484,18.391489654805213,0.12878285825093627,0.027999690005398484,False
14,59140.51848379988,-4.384688453494164,g,g,3728.4651428571424,3728.4651428571424,2.7938264524498113e-16,-0.04189198033430941,6.228090854859127e-18,0.02229233261571393,18.367436747390048,0.10472995083577175,0.02229233261571393,False
15,59141.466006900184,-3.4371653531925404,g,g,4204.414142857143,4204.414142857143,2.911337737477718e-16,-0.0239988154985884,5.688139786338126e-18,0.019537890479399113,18.322703835300747,0.05999703874647011,0.019537890479399113,False
16,59141.46694440022,-3.4362278531552874,g,g,4204.414142857143,4204.414142857143,3.046211901395689e-16,-0.0043312947883205055,5.7796183031972785e-18,0.018973132829496264,18.27353503352508,0.010828236970802152,0.018973132829496264,False
17,59142.48531250004,-2.417859753339144,g,g,4830.0,4830.0,3.0128382659967457e-16,-0.009115586673553722,5.162478280851191e-18,0.017134933325547344,18.28549576323816,0.022788966683883416,0.017134933325547344,False
18,59143.431909699924,-1.4712625534521067,g,g,4204.414142857143,4204.414142857143,3.1244644247939183e-16,0.00668417880064176,5.559799987672744e-18,0.017794409638827797,18.24599634955267,-0.016710447001607065,0.017794409638827797,False
