MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59277.541590  20.435  0.553    24   13 o  0   1.56 157.98433 -15.95545  2859.83  7116.93 2.55 2.07  40.3 -0.380 19.08 19.89 02a59277o0508o
59277.548026  21.551  1.968     9   17 o  0   1.26 157.98433 -15.95545  2841.40  7077.96 2.61 2.20  38.1 -0.384 18.95 19.82 02a59277o0522o
59277.551693  20.984  0.961    15   14 o  0   1.62 157.98433 -15.95545  2897.44  7155.30 2.67 2.22  39.7 -0.376 18.98 19.80 02a59277o0530o
59277.564610  20.197  0.585    30   18 o  0   1.01 157.98433 -15.95545  2919.61  7038.38 2.46 2.14  39.6 -0.388 18.92 19.68 02a59277o0558o
59279.558347  21.136  1.133    13   14 o  0   0.69 157.98433 -15.95545  1736.86  7832.48 2.28 2.10 -65.0 -0.403 19.35 20.31 01a59279o0282o
59279.561572  20.334  0.524    27   14 o  0   0.96 157.98433 -15.95545  1755.21  7870.49 2.28 2.11 -79.0 -0.403 19.34 20.27 01a59279o0289o
59279.571446  19.529  0.261    56   15 o  0   1.19 157.98433 -15.95545  1696.33  7792.37 2.39 2.31 -57.5 -0.395 19.20 20.17 01a59279o0310o
59279.578149  21.295  1.333    11   15 o  0   1.59 157.98433 -15.95545  1677.29  7910.07 2.60 2.49 -42.4 -0.396 19.12 20.09 01a59279o0324o
59287.356123  19.367  0.134    65    9 o  0   1.32 157.98433 -15.95545  7308.77  9357.25 2.18 2.15 -87.9 -0.371 19.69 21.05 01a59287o0037o
59287.358425  19.196  0.127    76   10 o  0   1.17 157.98433 -15.95545  7289.90  9318.33 2.27 2.19 -70.3 -0.370 19.62 21.05 01a59287o0042o
59287.361188  19.294  0.111    70    8 o  0   2.10 157.98433 -15.95545  7349.94  9396.17 2.35 2.23  -1.7 -0.363 19.65 21.06 01a59287o0048o
59287.366254  19.193  0.132    76   10 o  0   0.83 157.98433 -15.95545  7369.79  9278.58 2.36 2.13  -4.7 -0.360 19.65 21.08 01a59287o0059o
59288.352727  19.304  0.142    69   10 o  0   0.85 157.98433 -15.95545  3178.29  4992.62 2.10 1.88  78.0 -0.423 19.75 20.95 01a59288o0267o
59288.358267  19.390  0.158    64   10 o  0   0.92 157.98433 -15.95545  3156.48  4954.28 2.13 1.85  78.7 -0.426 19.75 20.94 01a59288o0279o
59288.361536  19.176  0.112    78    9 o  0   1.14 157.98433 -15.95545  3214.09  5031.94 2.11 1.85  75.3 -0.421 19.75 20.93 01a59288o0286o
59288.372609  19.277  0.135    71   10 o  0   1.02 157.98433 -15.95545  3233.37  4916.79 2.40 2.19  70.9 -0.416 19.63 20.99 01a59288o0310o
59291.468144  19.065  0.112    86   10 o  0   1.12 157.98433 -15.95545  7398.50  5563.35 2.28 2.13 -89.3 -0.402 19.70 21.06 01a59291o0266o
59291.472377  18.977  0.093    93    9 o  0   0.99 157.98433 -15.95545  7417.48  5602.10 2.14 2.08 -87.2 -0.409 19.76 21.05 01a59291o0275o
59291.501278  18.971  0.106    94   10 o  0   1.32 157.98433 -15.95545  7361.53  5523.89 2.24 2.20 -86.2 -0.395 19.63 20.98 01a59291o0336o
59291.507736  19.071  0.117    86   10 o  0   1.07 157.98433 -15.95545  7342.10  5640.37 2.29 2.23 -70.5 -0.398 19.63 20.97 01a59291o0350o
59292.409070  18.921  0.103    98   10 o  0   0.99 157.98433 -15.95545  7380.12  5572.73 2.32 2.04 -75.2 -0.428 19.70 20.94 01a59292o0295o
59292.412291  18.802  0.091   110   10 o  0   1.06 157.98433 -15.95545  7400.26  5610.32 2.31 2.02 -83.5 -0.430 19.71 20.95 01a59292o0302o
59292.417861  18.851  0.102   105   11 o  0   1.41 157.98433 -15.95545  7341.53  5532.01 2.92 2.68 -80.1 -0.383 19.43 20.96 01a59292o0314o
59292.427721  18.778  0.080   112    9 o  0   1.64 157.98433 -15.95545  7322.36  5645.84 2.31 2.08 -81.3 -0.427 19.67 20.96 01a59292o0335o
59294.373207  18.692  0.130   121   16 o  0   1.19 157.98433 -15.95545  1034.32  1168.88 2.74 2.35 -57.4 -0.443 19.22 20.45 02a59294o0033o
59294.376425  18.847  0.129   105   14 o  0   1.36 157.98433 -15.95545  1014.79  1131.97 2.63 2.17 -54.6 -0.443 19.28 20.46 02a59294o0040o
59295.413343  18.839  0.133   106   14 o  0   0.65 157.98433 -15.95545  7386.98  5565.95 2.27 2.09   0.7 -0.395 19.36 20.17 01a59295o0414o
59295.416566  18.828  0.119   107   13 o  0   1.02 157.98433 -15.95545  7406.12  5604.76 2.13 2.11 -24.1 -0.400 19.39 20.14 01a59295o0421o
59295.423013  18.955  0.157    95   15 o  0   1.02 157.98433 -15.95545  7347.63  5525.25 2.62 2.33 -78.5 -0.391 19.23 20.14 01a59295o0435o
59295.433158  18.848  0.141   105   15 o  0   0.92 157.98433 -15.95545  7331.35  5640.07 2.35 2.21 -70.4 -0.411 19.28 20.13 01a59295o0457o
59307.395866  16.257  0.012  1141   14 c  0 254.76 157.98433 -15.95545  3655.64  7717.02 2.34 2.17 -76.1 -0.396 19.88 21.58 01a59307o0363c
59307.401767  18.033  0.039   222    9 c  0   1.67 157.98433 -15.95545  3675.05  7754.66 2.51 2.36 -71.4 -0.379 19.80 21.58 01a59307o0375c
59307.425161  17.973  0.039   235    9 c  0   1.38 157.98433 -15.95545  3624.35  7677.44 2.32 2.18 -72.7 -0.388 19.84 21.38 01a59307o0425c
59307.429900  18.071  0.045   215   10 c  0   1.26 157.98433 -15.95545  3604.54  7792.41 2.44 2.31 -74.1 -0.395 19.68 21.25 01a59307o0435c
59308.360523  17.986  0.040   232    9 c  0   2.19 157.98433 -15.95545  3651.83  7721.53 2.41 2.28  86.9 -0.395 19.76 21.47 01a59308o0099c
