,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,55018.98,1.7426179747490096,B,B,3980.598448979592,3980.598448979592,3.4327892714196663e-16,-0.18953983767089255,1.7163946357098332e-17,0.05,18.25,0.47384959417722783,0.05,False
1,55020.96,3.722617974744935,B,B,3980.598448979592,3980.598448979592,2.908353177714472e-16,-0.26153983767089173,1.1633412710857888e-17,0.04,18.43,0.6538495941772275,0.04,False
2,55021.2,3.962617974742898,B,B,3980.598448979592,3980.598448979592,2.8816892355098824e-16,-0.26553983767089306,1.7290135413059295e-17,0.06,18.44,0.6638495941772291,0.06,False
3,55022.2,4.962617974742898,B,B,3980.598448979592,3980.598448979592,2.580163006739104e-16,-0.31353983767089133,1.290081503369552e-17,0.05,18.56,0.7838495941772265,0.05,False
4,55022.95,5.712617974742898,B,B,3980.598448979592,3980.598448979592,2.96242350023978e-16,-0.2535398376708926,2.073696450167846e-17,0.07,18.41,0.633849594177228,0.07,False
5,55024.96,7.722617974744935,B,B,3980.598448979592,3980.598448979592,2.5565079301076695e-16,-0.31753983767089267,2.0452063440861358e-17,0.08,18.57,0.7938495941772281,0.08,False
6,55026.19,8.952617974748136,B,B,3963.6965714285716,3963.6965714285716,2.3749099346063804e-16,-0.3495398376708909,7.124729803819141e-18,0.03,18.65,0.8738495941772264,0.03,False
7,55028.96,11.722617974744935,B,B,3980.598448979592,3980.598448979592,2.2062115008790596e-16,-0.3815398376708927,1.5443480506153418e-17,0.07,18.73,0.9538495941772283,0.07,False
8,55030.96,13.722617974744935,B,B,4806.3213877551025,4806.3213877551025,1.7524560869216724e-16,-0.48153983767089237,1.0514736521530034e-17,0.06,18.98,1.2038495941772283,0.06,False
9,55016.7805,-0.45688202525343513,B,B,4676.882081632653,4676.882081632653,4.993983972568953e-16,-0.02673983767089183,1.2185320893068246e-16,0.244,17.843,0.0668495941772278,0.244,False
10,55019.4459,2.208517974744609,B,B,4676.882081632653,4676.882081632653,4.647796924317855e-16,-0.05793983767089195,1.2642007634144567e-16,0.272,17.921,0.1448495941772272,0.272,False
11,57536.5994,2519.362017974745,B,B,4568.7188367346935,4568.7188367346935,2.6088381951927005e-16,-0.30873983767089186,1.0644059836386218e-16,0.408,18.548000000000002,0.7718495941772296,0.408,False
12,57538.1196,2520.882217974744,B,B,4568.7188367346935,4568.7188367346935,2.5400785333951017e-16,-0.32033983767089325,2.5400785333951018e-17,0.1,18.577,0.8008495941772296,0.1,True
13,57540.3444,2523.1070179747476,B,B,4460.5555918367345,4460.5555918367345,2.769791921286434e-16,-0.28273983767089206,2.769791921286434e-17,0.1,18.483,0.7068495941772284,0.1,True
14,57541.7783,2524.540917974744,B,B,4568.7188367346935,4568.7188367346935,3.4138712972894467e-16,-0.1919398376708923,3.413871297289447e-17,0.1,18.256,0.47984959417722806,0.1,True
15,57542.5408,2525.3034179747483,B,B,4676.882081632653,4676.882081632653,2.8290924793846643e-16,-0.2735398376708922,2.8290924793846646e-17,0.1,18.46,0.6838495941772287,0.1,True
16,57543.2038,2525.9664179747488,B,B,4676.882081632653,4676.882081632653,2.7217431853524796e-16,-0.2903398376708921,2.7217431853524798e-17,0.1,18.502000000000002,0.7258495941772303,0.1,True
17,57544.7348,2527.497417974744,B,B,4460.5555918367345,4460.5555918367345,2.71673416401957e-16,-0.291139837670892,2.7167341640195703e-17,0.1,18.504,0.7278495941772292,0.1,True
18,57545.1047,2527.8673179747493,B,B,4460.5555918367345,4460.5555918367345,2.937968561621789e-16,-0.2571398376708913,1.1223039905395235e-16,0.382,18.419,0.6428495941772283,0.382,False
19,57546.0973,2528.859917974747,B,B,4676.882081632653,4676.882081632653,2.674527970885296e-16,-0.29793983767089216,2.674527970885296e-17,0.1,18.521,0.7448495941772286,0.1,True
20,57547.6707,2530.433317974748,B,B,4676.882081632653,4676.882081632653,2.620880045171981e-16,-0.3067398376708912,2.620880045171981e-17,0.1,18.543,0.7668495941772271,0.1,True
21,57548.9513,2531.7139179747464,B,B,4244.2291020408165,4244.2291020408165,4.184534417161447e-16,-0.10353983767089225,4.1845344171614475e-17,0.1,18.035,0.25884959417722797,0.1,True
22,57549.1189,2531.881517974747,B,B,4244.2291020408165,4244.2291020408165,3.0370164495441097e-16,-0.2427398376708929,3.03701644954411e-17,0.1,18.383000000000003,0.6068495941772305,0.1,True
23,57553.5073,2536.2699179747433,B,B,4676.882081632653,4676.882081632653,2.689348872599995e-16,-0.2955398376708924,2.689348872599995e-17,0.1,18.515,0.7388495941772284,0.1,True
24,55018.98,1.7426179747490096,I,I,9072.556571428571,9072.556571428571,5.141837690209949e-15,0.9859313814824784,2.0567350760839798e-16,0.04,14.66,-3.116150405822772,0.04,False
25,55020.96,3.722617974744935,I,I,9072.556571428571,9072.556571428571,5.0017083382634956e-15,0.9739313814824779,2.0006833353053983e-16,0.04,14.69,-3.0861504058227727,0.04,False
26,55022.2,4.962617974742898,I,I,9072.556571428571,9072.556571428571,5.047988575706255e-15,0.9779313814824793,2.019195430282502e-16,0.04,14.68,-3.0961504058227725,0.04,False
27,55022.95,5.712617974742898,I,I,9072.556571428571,9072.556571428571,4.910416872676091e-15,0.9659313814824788,1.4731250618028273e-16,0.03,14.71,-3.0661504058227713,0.03,False
28,55024.96,7.722617974744935,I,I,9072.556571428571,9072.556571428571,5.0017083382634956e-15,0.9739313814824779,2.0006833353053983e-16,0.04,14.69,-3.0861504058227727,0.04,False
