,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,55934.7773,-10.452903363635414,UVW2,UVW2,1864.637857142857,1864.637857142857,5.861721989362423e-16,-0.11418741300554913,5.685870329681551e-17,0.097,18.504,0.28546853251387105,0.097,False
1,55937.514,-7.716203363634122,UVW2,UVW2,1864.637857142857,1864.637857142857,6.823783144984641e-16,-0.04818741300554841,6.414356156285562e-17,0.094,18.339000000000002,0.1204685325138719,0.094,False
2,55940.4123,-4.817903363633377,UVW2,UVW2,1864.637857142857,1864.637857142857,6.625600055656156e-16,-0.060987413005547,6.890624057882402e-17,0.104,18.371,0.15246853251386838,0.104,False
3,55943.6349,-1.5953033636396867,UVW2,UVW2,1864.637857142857,1864.637857142857,7.112548106417758e-16,-0.030187413005547725,6.828046182161047e-17,0.096,18.294,0.0754685325138702,0.096,False
4,55946.127,0.8967966363634332,UVW2,UVW2,1864.637857142857,1864.637857142857,7.393076784546888e-16,-0.013387413005547799,6.801630641783137e-17,0.092,18.252,0.03346853251386861,0.092,False
5,55934.7172,-10.513003363637836,UVM2,UVM2,2083.8215306122447,2083.8215306122447,7.416887376882139e-16,-0.011990945376172846,8.381082735876817e-17,0.113,18.146,-0.07253146748612949,0.113,False
6,55937.5215,-7.708703363634413,UVM2,UVM2,2083.8215306122447,2083.8215306122447,7.709419614350134e-16,0.004809054623825304,6.090441495336606e-17,0.079,18.104000000000003,-0.11453146748612753,0.079,False
7,55940.4184,-4.811803363634681,UVM2,UVM2,2083.8215306122447,2083.8215306122447,6.890039067655906e-16,-0.04399094537617465,6.201035160890315e-17,0.09,18.226000000000003,0.007468532513872361,0.09,False
8,55943.7296,-1.50060336363822,UVM2,UVM2,2083.8215306122447,2083.8215306122447,7.716523523190736e-16,0.005209054623826148,6.327549289016403e-17,0.082,18.103,-0.11553146748612875,0.082,False
9,55946.1325,0.9022966363627347,UVM2,UVM2,2083.8215306122447,2083.8215306122447,8.658081796075207e-16,0.05520905462382686,6.666722982977909e-17,0.077,17.978,-0.24053146748612875,0.077,False
10,55934.773,-10.457203363635927,UVW1,UVW1,2522.18887755102,2522.18887755102,7.735804471721898e-16,0.006292854281898741,6.188643577377518e-17,0.08,17.92,-0.2985314674861286,0.08,False
11,55937.5078,-7.722403363637568,UVW1,UVW1,2631.780714285714,2631.780714285714,9.910726334305203e-16,0.11389285428190021,7.532152014071954e-17,0.076,17.651,-0.5675314674861305,0.076,False
12,55940.4729,-4.757303363636311,UVW1,UVW1,2631.780714285714,2631.780714285714,8.849230022689497e-16,0.06469285428189941,7.433353219059178e-17,0.084,17.774,-0.4445314674861294,0.084,False
13,55943.6311,-1.599103363638278,UVW1,UVW1,2631.780714285714,2631.780714285714,1.024484717004593e-15,0.12829285428189863,7.786083849234906e-17,0.076,17.615000000000002,-0.6035314674861283,0.076,False
14,55946.1223,0.8920966363657499,UVW1,UVW1,2631.780714285714,2631.780714285714,9.956472168570918e-16,0.1158928542818991,7.566918848113897e-17,0.076,17.646,-0.5725314674861295,0.076,False
15,55934.7745,-10.45570336363744,U,U,3289.3317346938775,3289.3317346938775,7.621119192670481e-16,-0.00019387585962249432,6.859007273403432e-17,0.09,17.597,-0.621531467486129,0.09,False
16,55937.5099,-7.720303363639687,U,U,3289.3317346938775,3289.3317346938775,9.585587898250963e-16,0.09940612414037808,8.435317350460847e-17,0.088,17.348,-0.8705314674861313,0.088,False
17,55940.4088,-4.821403363639547,U,U,3289.3317346938775,3289.3317346938775,9.82695017210835e-16,0.11020612414037778,1.0023489175550517e-16,0.102,17.320999999999998,-0.8975314674861323,0.102,False
18,55943.6325,-1.5977033636372653,U,U,3289.3317346938775,3289.3317346938775,9.845068766007393e-16,0.1110061241403777,8.663660514086505e-17,0.088,17.319,-0.8995314674861312,0.088,False
19,55946.1237,0.8934966363594867,U,U,3289.3317346938775,3289.3317346938775,1.1663227688105168e-15,0.18460612414037847,9.563846704246238e-17,0.082,17.134999999999998,-1.0835314674861323,0.082,False
20,55934.7754,-10.454803363638348,B,B,4275.658265306122,4275.658265306122,5.894502336937126e-16,-0.11176548559643606,7.48601796791015e-17,0.127,17.663,-0.55553146748613,0.127,False
21,55937.5109,-7.719303363635845,B,B,4275.658265306122,4275.658265306122,7.119461473621905e-16,-0.029765485596435326,8.685742997818723e-17,0.122,17.458000000000002,-0.7605314674861283,0.122,False
22,55940.4097,-4.820503363640455,B,B,4275.658265306122,4275.658265306122,8.815503946940602e-16,0.06303451440356334,1.1195690012614565e-16,0.127,17.226000000000003,-0.9925314674861276,0.127,False
23,55943.6331,-1.5971033636378706,B,B,4275.658265306122,4275.658265306122,8.403247292043409e-16,0.04223451440356385,9.411636967088618e-17,0.112,17.278000000000002,-0.940531467486128,0.112,False
24,55946.1245,0.8942966363611049,B,B,4275.658265306122,4275.658265306122,8.710581412931953e-16,0.057834514403564796,9.494533740095829e-17,0.109,17.239,-0.9795314674861295,0.109,False
25,55934.7501,-10.4801033636395,V,V,5371.576632653061,5371.576632653061,4.741598233609696e-16,-0.20628787736897714,1.0099604237588653e-16,0.213,17.662,-0.5565314674861312,0.213,False
26,55937.517,-7.713203363637149,V,V,5371.576632653061,5371.576632653061,6.15353609566099e-16,-0.09308787736897628,1.101482961123317e-16,0.179,17.378999999999998,-0.8395314674861325,0.179,False
27,55940.4148,-4.815403363638325,V,V,5371.576632653061,5371.576632653061,7.377763890376018e-16,-0.014287877368976964,1.4386639586233237e-16,0.195,17.182,-1.0365314674861317,0.195,False
28,55943.7269,-1.5033033636354958,V,V,5371.576632653061,5371.576632653061,6.88532988095817e-16,-0.044287877368976325,1.2669006980963032e-16,0.184,17.256999999999998,-0.9615314674861324,0.184,False
29,55946.1289,0.8986966363663669,V,V,5371.576632653061,5371.576632653061,7.682892427743671e-16,0.0033121226310228735,1.167799649017038e-16,0.152,17.137999999999998,-1.0805314674861322,0.152,False
