,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,56340.5,-9.456040909091826,r,r,6260.0,6260.0,4.370658974549078e-16,-1.1567326652540295,4.152126025821624e-17,0.095,17.6,2.891831663135074,0.095,False
1,56342.2,-7.756040909094736,r,r,6260.0,6260.0,4.398928687175732e-15,-0.15393266525402893,4.1789822528169456e-16,0.095,15.093,0.38483166313507233,0.095,False
2,56343.29,-6.6660409090909525,r,r,6260.0,6260.0,4.39487898936868e-15,-0.15433266525402978,2.0655931250032794e-16,0.047,15.094,0.3858316631350718,0.047,False
3,56344.34,-5.616040909095318,r,r,6260.0,6260.0,5.382040004190492e-15,-0.06633266525402881,5.920244004609541e-17,0.011,14.874,0.16583166313507292,0.011,False
4,56344.57,-5.386040909092117,r,r,6260.0,6260.0,5.939459448022424e-15,-0.023532665254029084,4.038832424655249e-16,0.068,14.767,0.05883166313507182,0.068,False
5,56345.34,-4.616040909095318,r,r,6260.0,6260.0,5.98338463015731e-15,-0.020332665254029436,1.0171753871267427e-16,0.017,14.759,0.0508316631350727,0.017,False
6,56346.34,-3.616040909095318,r,r,6260.0,6260.0,6.06662180175835e-15,-0.014332665254029209,2.2446500666505896e-16,0.037,14.744,0.035831663135072134,0.037,False
7,56347.34,-2.616040909095318,r,r,6260.0,6260.0,6.323345641510149e-15,0.0036673347459714734,6.323345641510149e-17,0.01,14.699,-0.009168336864927795,0.01,False
8,56348.34,-1.616040909095318,r,r,6260.0,6260.0,6.196506669950208e-15,-0.005132665254029334,1.549126667487552e-16,0.025,14.721,0.012831663135072446,0.025,False
9,56349.34,-0.6160409090953181,r,r,6260.0,6260.0,6.219377548014912e-15,-0.00353266525402951,1.3060692850831316e-16,0.021,14.717,0.008831663135072887,0.021,False
10,56350.34,0.38395909090468194,r,r,6260.0,6260.0,6.4054098237049855e-15,0.009267334745970857,1.4091901612150968e-16,0.022,14.685,-0.02316833686492714,0.022,False
11,56351.34,1.383959090904682,r,r,6260.0,6260.0,6.083407677133243e-15,-0.013132665254028453,8.51677074798654e-17,0.014,14.741,0.03283166313507202,0.014,False
12,56352.44,2.4839590909105027,r,r,6260.0,6260.0,5.714087961114848e-15,-0.04033266525402901,2.8570439805574244e-17,0.005,14.809,0.10083166313507164,0.005,False
13,56353.44,3.4839590909105027,r,r,6260.0,6260.0,5.885006156495788e-15,-0.027532665254028643,5.2965055408462085e-17,0.009,14.777,0.06883166313507161,0.009,False
14,56354.39,4.433959090907592,r,r,6260.0,6260.0,5.772273779104676e-15,-0.035932665254028606,3.463364267462806e-17,0.006,14.798,0.0898316631350724,0.006,False
15,56355.44,5.483959090910503,r,r,6260.0,6260.0,5.7510470616817836e-15,-0.03753266525402843,2.875523530840892e-17,0.005,14.802,0.09383166313507196,0.005,False
16,56356.32,6.363959090907883,r,r,6260.0,6260.0,6.016541567190755e-15,-0.0179326652540297,1.4439699761257813e-16,0.024,14.753,0.044831663135072475,0.024,False
17,56357.32,7.363959090907883,r,r,6260.0,6260.0,6.033188874412935e-15,-0.016732665254028944,1.5686291073473631e-16,0.026,14.75,0.04183166313507236,0.026,False
18,56360.36,10.403959090908756,r,r,7206.640326530613,7206.640326530613,5.852574106223524e-15,-0.02993266525402838,5.267316695601171e-17,0.009,14.783,0.07483166313507184,0.009,False
19,56361.35,11.39395909090672,r,r,6260.0,6260.0,5.594315063061621e-15,-0.049532665254028885,7.272609581980107e-17,0.013,14.832,0.1238316631350731,0.013,False
20,56362.33,12.37395909090992,r,r,6260.0,6260.0,5.6878341117168635e-15,-0.04233266525402968,1.080688481226204e-16,0.019,14.814,0.10583166313507242,0.019,False
21,56363.37,13.413959090910794,r,r,6260.0,6260.0,5.620137248143979e-15,-0.04753266525402999,2.2480548992575915e-17,0.004,14.827,0.11883166313507232,0.004,False
22,56365.44,15.483959090910503,r,r,6260.0,6260.0,5.303308868902548e-15,-0.07273266525402988,7.954963303353821e-17,0.015,14.89,0.18183166313507293,0.015,False
23,56371.44,21.483959090910503,r,r,6260.0,6260.0,5.092686255922352e-15,-0.09033266525402972,2.037074502368941e-17,0.004,14.934,0.22583166313507164,0.004,False
24,56375.43,25.473959090908465,r,r,7127.927836734694,7127.927836734694,4.7791088422118886e-15,-0.11793266525402935,2.3895544211059443e-17,0.005,15.003,0.2948316631350725,0.005,False
25,56383.38,33.423959090905555,r,r,6260.0,6260.0,4.480710877421403e-15,-0.14593266525402981,7.617208491616385e-17,0.017,15.073,0.36483166313507276,0.017,False
26,56387.39,37.43395909090759,r,r,6260.0,6260.0,4.518007229364603e-15,-0.14233266525402932,1.174681879634797e-16,0.026,15.064,0.3558316631350724,0.026,False
27,56389.39,39.43395909090759,r,r,6260.0,6260.0,4.3305885322154964e-15,-0.16073266525402907,6.062823945101695e-17,0.014,15.11,0.4018316631350718,0.014,False
28,56396.36,46.40395909090876,r,r,6260.0,6260.0,4.109101996659003e-15,-0.18353266525402923,3.287281597327202e-17,0.008,15.167,0.4588316631350722,0.008,False
29,56401.32,51.36395909090788,r,r,6260.0,6260.0,3.997117559466433e-15,-0.19553266525402968,3.9971175594664326e-17,0.01,15.197,0.48883166313507154,0.01,False
30,56402.32,52.36395909090788,r,r,6260.0,6260.0,3.881029300283333e-15,-0.20833266525402827,3.492926370254999e-17,0.009,15.229,0.5208316631350716,0.009,False
31,56403.32,53.36395909090788,r,r,5821.069285714286,5821.069285714286,4.162429794003719e-15,-0.17793266525402984,7.492373629206694e-17,0.018,15.153,0.44483166313507283,0.018,False
32,56405.32,55.36395909090788,r,r,6260.0,6260.0,4.05272300367102e-15,-0.18953266525402945,7.700173706974937e-17,0.019,15.182,0.47383166313507274,0.019,False
33,56408.28,58.32395909090701,r,r,7076.916979591837,7076.916979591837,4.37468635462199e-15,-0.15633266525402867,6.999498167395184e-17,0.016,15.099,0.39083166313507256,0.016,False
34,56410.28,60.32395909090701,r,r,6260.0,6260.0,4.255464006353509e-15,-0.16833266525402912,6.808742410165614e-17,0.016,15.129,0.4208316631350719,0.016,False
35,56411.28,61.32395909090701,r,r,6260.0,6260.0,4.034102432879295e-15,-0.19153266525402834,3.227281946303436e-17,0.008,15.187,0.47883166313507175,0.008,False
36,56412.28,62.32395909090701,r,r,6260.0,6260.0,3.888185009081128e-15,-0.20753266525403014,3.888185009081128e-17,0.01,15.227,0.5188316631350727,0.01,False
37,56415.27,65.31395909090497,r,r,7206.640326530613,7206.640326530613,3.873886760655271e-15,-0.20913266525402996,4.648664112786326e-17,0.012,15.231,0.5228316631350722,0.012,False
38,56420.27,70.31395909090497,r,r,6260.0,6260.0,3.642058535276534e-15,-0.23593266525402967,4.7346760958594935e-17,0.013,15.298,0.5898316631350724,0.013,False
39,56425.24,75.28395909090614,r,r,6260.0,6260.0,3.4399087441119554e-15,-0.2607326652540287,3.7838996185231504e-17,0.011,15.36,0.6518316631350718,0.011,False
40,56427.24,77.28395909090614,r,r,6260.0,6260.0,3.4399087441119554e-15,-0.2607326652540287,3.09591786970076e-17,0.009,15.36,0.6518316631350718,0.009,False
41,56428.26,78.30395909091021,r,r,6260.0,6260.0,3.513556337191106e-15,-0.25153266525402884,4.216267604629327e-17,0.012,15.337,0.6288316631350721,0.012,False
42,56432.26,82.30395909091021,r,r,5771.783571428572,5771.783571428572,3.0970407627574473e-15,-0.306332665254029,8.362010059445108e-17,0.027,15.474,0.7658316631350726,0.027,False
43,56434.23,84.27395909091138,r,r,6260.0,6260.0,2.9603763191286898e-15,-0.32593266525402953,4.7366021106059036e-17,0.016,15.523,0.814831663135072,0.016,False
44,56437.23,87.27395909091138,r,r,6260.0,6260.0,2.4285492851946417e-15,-0.41193266525402983,1.1414181640414816e-16,0.047,15.738,1.029831663135072,0.047,False
45,56439.23,89.27395909091138,r,r,6260.0,6260.0,2.2067184267343785e-15,-0.4535326652540288,2.2067184267343784e-17,0.01,15.842,1.1338316631350729,0.01,False
46,56441.23,91.27395909091138,r,r,6260.0,6260.0,1.876492882617945e-15,-0.5239326652540299,1.5011943060943562e-17,0.008,16.018,1.309831663135073,0.008,False
47,56442.23,92.27395909091138,r,r,7104.437448979592,7104.437448979592,1.6956918058213521e-15,-0.5679326652540286,1.865260986403487e-17,0.011,16.128,1.4198316631350725,0.011,False
48,56443.24,93.28395909090614,r,r,6260.0,6260.0,1.5280829201532187e-15,-0.6131326652540299,1.9865077961991843e-17,0.013,16.241,1.532831663135072,0.013,False
49,56444.23,94.27395909091138,r,r,6260.0,6260.0,1.461998481384589e-15,-0.6323326652540295,1.461998481384589e-17,0.01,16.289,1.5808316631350738,0.01,False
50,56445.23,95.27395909091138,r,r,6260.0,6260.0,1.3568971225875586e-15,-0.6647326652540304,2.035345683881338e-17,0.015,16.37,1.6618316631350734,0.015,False
51,56447.18,97.22395909090847,r,r,6260.0,6260.0,1.1720521112321272e-15,-0.7283326652540296,1.9924885890946163e-17,0.017,16.529,1.8208316631350723,0.017,False
52,56450.18,100.22395909090847,r,r,6260.0,6260.0,9.614947594842988e-16,-0.8143326652540299,1.7306905670717377e-17,0.018,16.744,2.035831663135072,0.018,False
53,56453.22,103.26395909090934,r,r,5821.069285714286,5821.069285714286,9.875223226533547e-16,-0.8027326652540285,2.567558038898722e-17,0.026,16.715,2.006831663135072,0.026,False
54,56455.22,105.26395909090934,r,r,6260.0,6260.0,9.182203668059682e-16,-0.8343326652540295,1.9282627702925332e-17,0.021,16.794,2.085831663135073,0.021,False
55,56459.13,109.17395909090556,r,r,6260.0,6260.0,9.08127697161444e-16,-0.839132665254029,1.543817085174455e-17,0.017,16.806,2.0978316631350733,0.017,False
56,56465.05,115.09395909091108,r,r,6260.0,6260.0,8.712582861538e-16,-0.8571326652540296,1.04550994338456e-17,0.012,16.851,2.1428316631350715,0.012,False
57,56467.05,117.09395909091108,r,r,6260.0,6260.0,8.320452037866208e-16,-0.8771326652540292,1.081658764922607e-17,0.013,16.901,2.192831663135072,0.013,False
58,56469.05,119.09395909091108,r,r,6260.0,6260.0,8.35885749949444e-16,-0.8751326652540303,9.194743249443884e-18,0.011,16.896,2.187831663135073,0.011,False
59,56475.06,125.10395909090585,r,r,6260.0,6260.0,8.236580009893313e-16,-0.8815326652540296,9.883896011871975e-18,0.012,16.912,2.2038316631350714,0.012,False
60,56476.06,126.10395909090585,r,r,6260.0,6260.0,8.482950279476461e-16,-0.8687326652540293,1.4421015475109985e-17,0.017,16.88,2.1718316631350714,0.017,False
61,56478.21,128.2539590909073,r,r,6260.0,6260.0,7.909461592582804e-16,-0.8991326652540295,8.700407751841083e-18,0.011,16.956,2.247831663135072,0.011,False
62,56479.21,129.2539590909073,r,r,6260.0,6260.0,7.715195253429888e-16,-0.9099326652540292,1.157279288014483e-17,0.015,16.983,2.274831663135073,0.015,False
63,56480.19,130.2339590909105,r,r,6260.0,6260.0,7.938654868936169e-16,-0.8975326652540296,1.5877309737872336e-17,0.02,16.952,2.243831663135074,0.02,False
64,56484.15,134.19395909090963,r,r,6260.0,6260.0,7.822524310634154e-16,-0.9039326652540289,1.3298291328078062e-17,0.017,16.968,2.2598316631350723,0.017,False
65,56486.15,136.19395909090963,r,r,6260.0,6260.0,7.644461918183393e-16,-0.9139326652540287,1.070224668545675e-17,0.014,16.993,2.284831663135071,0.014,False
66,56488.18,138.22395909090847,r,r,7161.402357142857,7161.402357142857,6.997564681206653e-16,-0.952332665254028,3.148904106542994e-17,0.045,17.089,2.380831663135071,0.045,False
