,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,57938.21,-2.715238020202378,B,B,4228.088653061224,4228.088653061224,8.946375946108493e-16,0.07031247928622086,4.4731879730542466e-17,0.05,17.21,-0.17578119821555305,0.05,False
1,57939.33,-1.5952380201997585,B,B,4246.370714285714,4246.370714285714,8.310882537431341e-16,0.038312479286220835,4.9865295224588047e-17,0.06,17.29,-0.09578119821555475,0.06,False
2,57940.38,-0.545238020204124,B,B,4380.0,4380.0,8.310882537431341e-16,0.038312479286220835,5.81761777620194e-17,0.07,17.29,-0.09578119821555475,0.07,False
3,57941.22,0.29476197979965946,B,B,4228.088653061224,4228.088653061224,8.010269801505973e-16,0.022312479286222597,8.010269801505974e-18,0.01,17.33,-0.055781198215555605,0.01,False
4,57941.38,0.45476197979587596,B,B,4228.088653061224,4228.088653061224,7.441271394637426e-16,-0.009687520713779207,4.4647628367824555e-17,0.06,17.41,0.024218801784446242,0.06,False
5,57942.39,1.4647619797979132,B,B,4380.0,4380.0,7.172113342814372e-16,-0.02568752071377922,1.1475381348502995e-16,0.16,17.45,0.06421880178444539,0.16,False
6,57944.38,3.454761979795876,B,B,4380.0,4380.0,6.541045109735854e-16,-0.06568752071377837,5.886940598762269e-17,0.09,17.55,0.1642188017844468,0.09,False
7,57945.37,4.444761979801115,B,B,4228.088653061224,4228.088653061224,6.189379957002056e-16,-0.08968752071377928,3.713627974201233e-17,0.06,17.61,0.22421880178444553,0.06,False
8,57946.39,5.464761979797913,B,B,4380.0,4380.0,5.802927494113672e-16,-0.11768752071377797,4.0620492458795704e-17,0.07,17.68,0.2942188017844458,0.07,False
9,57947.31,6.384761979796167,B,B,4228.088653061224,4228.088653061224,5.749725935064357e-16,-0.1216875207137793,5.7497259350643575e-18,0.01,17.69,0.3042188017844474,0.01,False
10,57949.35,8.42476197979704,B,B,4228.088653061224,4228.088653061224,5.341302126871627e-16,-0.15368752071377934,3.204781276122976e-17,0.06,17.77,0.3842188017844457,0.06,False
11,57950.36,9.434761979799077,B,B,4288.822204081633,4288.822204081633,4.738568293965315e-16,-0.20568752071377894,4.2647114645687835e-17,0.09,17.9,0.5142188017844447,0.09,False
12,57951.35,10.42476197979704,B,B,4228.088653061224,4228.088653061224,4.871325435981698e-16,-0.19368752071377848,3.4099278051871894e-17,0.07,17.87,0.4842188017844471,0.07,False
13,57952.36,11.434761979799077,B,B,4380.0,4380.0,4.695124838716852e-16,-0.2096875207137785,2.817074903230111e-17,0.06,17.91,0.5242188017844462,0.06,False
14,57953.34,12.414761979795003,B,B,4228.088653061224,4228.088653061224,4.242747089566993e-16,-0.253687520713779,2.969922962696895e-17,0.07,18.02,0.6342188017844457,0.07,False
15,57954.36,13.434761979799077,B,B,4228.088653061224,4228.088653061224,4.127120452564087e-16,-0.26568752071377943,2.888984316794861e-17,0.07,18.05,0.6642188017844468,0.07,False
16,57955.33,14.404761979800242,B,B,4228.088653061224,4228.088653061224,3.9413694338161324e-16,-0.285687520713779,2.7589586036712928e-17,0.07,18.1,0.7142188017844475,0.07,False
17,57956.25,15.324761979798495,B,B,4380.0,4380.0,3.661399721897063e-16,-0.31768752071377904,3.661399721897063e-18,0.01,18.18,0.7942188017844458,0.01,False
18,57956.34,15.414761979795003,B,B,4380.0,4380.0,3.8694313343308283e-16,-0.2936875207137799,2.70860193403158e-17,0.07,18.12,0.7342188017844471,0.07,False
19,57957.33,16.40476197980024,B,B,4228.088653061224,4228.088653061224,3.561616414613117e-16,-0.3296875207137795,2.8492931316904937e-17,0.08,18.21,0.824218801784447,0.08,False
20,57958.34,17.414761979795003,B,B,4228.088653061224,4228.088653061224,3.561616414613117e-16,-0.3296875207137795,3.205454773151805e-17,0.09,18.21,0.824218801784447,0.09,False
21,57959.29,18.36476197979937,B,B,4228.088653061224,4228.088653061224,3.130741024759412e-16,-0.38568752071377865,3.130741024759412e-18,0.01,18.35,0.9642188017844475,0.01,False
