MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58234.491665  18.674  0.556   123   68 o  0   0.96 233.00646  68.24192  1832.77  8489.16 3.16 2.86 -85.2 -0.447 17.99 18.81 01a58234o0469o
58234.492582 -18.716  1.506  -118  178 o  0   1.10 233.00646  68.24192  1860.26  8513.42 3.34 2.78 -86.1 -0.469 17.40 18.11 01a58234o0471o
58234.507456 -17.158  1.666  -498  829 o  0   1.09 233.00646  68.24192  1786.53  8510.81 3.48 3.01 -86.0 -0.473 15.91 16.28 01a58234o0501o
58234.519558 -17.630  2.545  -322  820 o  0   1.06 233.00646  68.24192  1765.16  8675.63 3.66 3.02 -88.6 -0.472 16.04 16.59 01a58234o0524o
58244.491268  17.285  0.139   443   62 o  0   1.05 233.00646  68.24192  8069.29  1222.34 2.25 2.11  76.5 -0.446 17.02 17.66 02a58244o0571o
58244.500192  16.518  0.465   897  417 o  0   0.60 233.00646  68.24192  8113.27  1259.13 2.22 2.08  86.3 -0.371 15.35 15.62 02a58244o0590o
58244.509108  17.117  0.139   517   72 o  0   1.00 233.00646  68.24192  8048.14  1180.62 2.22 2.07  65.4 -0.454 17.18 17.58 02a58244o0609o
58244.517085  17.142  0.099   505   50 o  0   1.37 233.00646  68.24192  8136.86  1147.85 2.26 2.09  62.6 -0.439 17.36 18.12 02a58244o0626o
58246.472526  17.010  0.032   570   18 o  0   1.68 233.00646  68.24192 10032.25  7398.25 3.89 3.02 -86.3 -0.424 19.14 20.80 01a58246o0124o
58246.490147  17.053  0.064   548   35 o  0   1.36 233.00646  68.24192 10067.47  7503.91 4.08 2.88 -84.7 -0.434 18.45 19.76 01a58246o0162o
58246.491063  16.990  0.066   581   38 o  0   1.25 233.00646  68.24192 10007.95  7436.21 4.21 2.97 -87.1 -0.424 18.22 19.54 01a58246o0164o
58246.500391  17.072  0.074   539   40 o  0   1.23 233.00646  68.24192  9990.42  7589.36 4.37 2.94 -88.4 -0.422 18.46 19.85 01a58246o0184o
58248.461823  16.989  0.054   582   31 o  0   1.10 233.00646  68.24192  1652.11 10493.10 1.88 1.79  34.6 -0.500 19.17 20.23 02a58248o0506o
58248.471035  16.831  0.031   672   21 o  0   2.16 233.00646  68.24192  1630.97 10453.09 2.25 1.89  36.1 -0.471 19.27 20.41 02a58248o0526o
58248.488867  18.865  3.682   103  380 o  0   0.04 233.00646  68.24192  1677.32 10528.75 2.31 1.91  34.5 -0.471 19.20 20.34 02a58248o0564o
58248.490693  16.735  0.030   734   22 o  0   1.61 233.00646  68.24192  1698.79 10405.15 2.18 1.87  26.1 -0.484 19.07 20.23 02a58248o0568o
58248.498173  16.779  0.028   705   20 o  0   1.06 233.00646  68.24192  9838.88  1022.15 2.21 1.98 -70.8 -0.461 19.28 20.47 02a58248o0584o
58248.499085  16.735  0.024   735   18 o  0   1.95 233.00646  68.24192  9825.43   981.14 2.29 2.04  61.7 -0.468 19.29 20.44 02a58248o0586o
58248.508986  16.737  0.024   733   18 o  0   1.45 233.00646  68.24192  9885.18  1063.00 2.32 2.06  65.9 -0.466 19.39 20.62 02a58248o0607o
58248.525279  16.797  0.023   694   16 o  0   1.55 233.00646  68.24192  9915.12   949.58 2.52 2.21  60.8 -0.447 19.60 20.95 02a58248o0642o
58250.451378  16.674  0.073   777   56 o  0   1.05 233.00646  68.24192  9554.01  8488.03 4.18 2.94 -86.4 -0.414 18.06 19.43 01a58250o0464o
58250.452294  16.665  0.067   783   52 o  0   1.06 233.00646  68.24192  9575.92  8527.76 4.49 2.97 -84.9 -0.402 18.01 19.43 01a58250o0466o
58250.470071  16.737  0.039   733   29 o  0   1.45 233.00646  68.24192  9524.58  8527.33 3.74 2.74 -87.9 -0.433 18.75 20.17 01a58250o0504o
58250.479297  16.689  0.034   766   26 o  0   1.52 233.00646  68.24192  9496.04  8681.47 4.46 2.84 -84.8 -0.402 18.83 20.15 01a58250o0524o
58254.502739  16.825  0.094   676   63 o  0   1.35 233.00646  68.24192 10497.88   449.50 4.19 3.12  88.9 -0.398 18.27 19.74 01a58254o0527o
58254.530120  16.819  0.054   680   37 o  0   1.37 233.00646  68.24192 10511.37   512.50 4.02 3.12 -89.8 -0.412 18.97 20.46 01a58254o0585o
58254.530578  16.557  0.027   866   23 o  0   1.14 233.00646  68.24192  3047.80 10489.81 3.49 2.93 -84.7 -0.423 18.95 20.40 01a58254o0586o
58254.531036  16.551  0.025   870   22 o  0   1.17 233.00646  68.24192  2138.72   695.20 3.39 3.23   8.6 -0.418 19.05 20.58 01a58254o0587o
58254.547838  16.614  0.027   821   22 o  0   1.12 233.00646  68.24192  2189.33   795.97 3.31 3.12  32.8 -0.425 19.05 20.60 01a58254o0623o
58254.550130  16.676  0.207   776  161 o  0   0.08 233.00646  68.24192  3036.95 10521.72 3.51 3.05 -86.0 -0.416 18.91 20.41 01a58254o0628o
58254.560082  16.628  0.027   811   22 o  0   1.27 233.00646  68.24192  2154.92   755.83 3.29 3.09  58.9 -0.434 19.01 20.59 01a58254o0649o
58254.573278  16.559  0.027   864   23 o  0   1.39 233.00646  68.24192  2172.72   938.37 3.34 3.08  16.5 -0.424 18.96 20.50 01a58254o0676o
58256.481582  17.142  0.026   505   13 c  0   1.42 233.00646  68.24192  7538.63  3584.26 2.65 2.47 -54.5 -0.400 19.71 21.61 02a58256o0391c
58256.482495  17.058  0.023   546   13 c  0   1.53 233.00646  68.24192  7517.66  3544.11 2.54 2.46  65.6 -0.414 19.72 21.60 02a58256o0393c
58256.492896  17.112  0.021   519   11 c  0   5.05 233.00646  68.24192  7584.80  3627.70 2.59 2.47  69.5 -0.407 19.71 21.58 02a58256o0415c
58256.509406  17.138  0.023   507   12 c  0   2.16 233.00646  68.24192  7597.24  3506.90 2.61 2.46  63.0 -0.407 19.67 21.53 02a58256o0450c
58258.533440  16.646  0.028   797   22 o  0   1.18 233.00646  68.24192   391.53  9331.68 3.60 3.13  83.9 -0.413 19.01 20.58 01a58258o0595o
58258.552131  16.617  0.026   819   21 o  0   1.24 233.00646  68.24192   447.68  9440.39 3.68 3.26  79.7 -0.390 18.97 20.56 01a58258o0635o
58258.567115  16.595  0.025   836   21 o  0   1.56 233.00646  68.24192   411.39  9403.78 3.59 3.11  85.6 -0.426 19.00 20.55 01a58258o0666o
58258.580412  16.577  0.024   850   21 o  0   1.97 233.00646  68.24192   421.05  9561.44 3.58 3.13  80.6 -0.430 18.98 20.56 01a58258o0693o
58260.546435  16.747  0.033   726   24 o  0   2.00 233.00646  68.24192  9709.62  3776.67 2.14 2.08 -10.2 -0.466 19.01 20.08 02a58260o0651o
58260.565600  15.484  0.644  2325 1497 o  0   1.22 233.00646  68.24192  9684.72  3733.41 2.15 2.10 -49.0 -0.502 16.26 17.13 02a58260o0692o
58260.578056  16.633  0.147   807  119 o  0   1.49 233.00646  68.24192  9742.08  3819.25 2.11 2.08 -84.9 -0.461 18.03 19.12 02a58260o0718o
58260.591934  16.700  0.023   759   18 o  0   2.32 233.00646  68.24192  9737.72  3820.89 2.15 2.06 -36.9 -0.467 19.32 20.40 02a58260o0745o
58260.600602  16.666  0.027   782   21 o  0   1.00 233.00646  68.24192  9765.53  3701.35 2.15 2.13 -26.2 -0.453 19.17 20.22 02a58260o0762o
58262.436075  16.760  0.037   718   26 o  0   1.42 233.00646  68.24192 10032.36  8346.23 3.84 2.69 -86.8 -0.420 18.77 19.90 01a58262o0419o
58262.437450  16.782  0.037   704   26 o  0   1.27 233.00646  68.24192 10048.56  8389.30 3.84 2.74 -87.9 -0.414 18.72 19.90 01a58262o0422o
58262.446807  16.732  0.034   737   25 o  0   1.54 233.00646  68.24192  9991.81  8352.86 4.00 2.74 -86.6 -0.408 18.82 19.98 01a58262o0442o
58262.464513  16.809  0.039   686   27 o  0   1.32 233.00646  68.24192  9988.72  8541.90 4.15 2.91 -87.5 -0.397 18.81 19.96 01a58262o0480o
58264.461277  16.767  0.042   713   30 o  0   0.85 233.00646  68.24192  8676.67  2781.15 2.28 2.16 -54.1 -0.430 18.62 19.03 02a58264o0487o
58264.462190  16.831  0.039   672   26 o  0   1.10 233.00646  68.24192  8655.92  2739.92 2.23 2.09  66.4 -0.434 18.63 19.09 02a58264o0489o
58264.471603  16.758  0.050   719   36 o  0   1.13 233.00646  68.24192  8717.01  2823.05 2.34 2.16  66.5 -0.443 18.36 18.94 02a58264o0509o
58264.488615  16.859  0.073   655   48 o  0   1.47 233.00646  68.24192  8738.25  2704.56 2.31 2.14  64.0 -0.454 17.88 18.31 02a58264o0545o
58266.445740  16.844  0.054   664   36 o  0   1.74 233.00646  68.24192  1490.71  7312.15 3.04 2.95  20.2 -0.439 18.44 19.41 01a58266o0436o
58266.446655  16.827  0.067   675   45 o  0   0.94 233.00646  68.24192  1511.51  7355.50 2.94 2.77  84.1 -0.460 18.49 19.39 01a58266o0438o
58266.455465  16.970  0.080   591   48 o  0   1.09 233.00646  68.24192  1443.65  7306.40 3.00 2.73  82.7 -0.457 18.35 19.30 01a58266o0457o
58266.456838  16.745  0.065   728   47 o  0   1.98 233.00646  68.24192  1430.84  7427.42 3.10 2.86  72.9 -0.453 18.28 19.20 01a58266o0460o
58270.432651  16.855  0.063   658   41 o  0   1.14 233.00646  68.24192  2327.01  9371.07 2.96 2.66  89.0 -0.482 17.96 18.76 01a58270o0426o
58270.450416  16.943  0.046   606   28 o  0   1.08 233.00646  68.24192  2362.24  9483.00 2.96 2.84 -84.4 -0.461 18.57 19.60 01a58270o0464o
58270.459765  16.939  0.049   609   30 o  0   1.40 233.00646  68.24192  2292.20  9436.04 3.22 2.82  88.6 -0.459 18.42 19.42 01a58270o0484o
58270.461606  17.026  0.102   562   58 o  0   1.01 233.00646  68.24192  2280.81  9560.71 3.14 2.72 -89.4 -0.467 17.85 18.75 01a58270o0488o
58272.441652  16.876  0.036   645   23 o  0   0.80 233.00646  68.24192  7507.55  2006.86 2.31 2.10 -61.9 -0.434 19.18 20.01 02a58272o0443o
58272.443483  16.932  0.027   612   16 o  0   2.07 233.00646  68.24192  7486.15  1965.80 2.31 2.18 -68.2 -0.435 19.18 20.03 02a58272o0447o
58272.461485  16.822  0.030   678   20 o  0   1.27 233.00646  68.24192  7547.84  2045.56 2.25 2.11 -72.1 -0.452 19.03 19.92 02a58272o0485o
58272.469857  16.946  0.029   605   18 o  0   1.56 233.00646  68.24192  7564.98  1929.20 2.29 2.18  55.9 -0.456 19.14 19.94 02a58272o0503o
58274.402023  16.981  0.032   586   19 o  0   1.26 233.00646  68.24192  9650.49  7393.59 3.61 2.75 -87.8 -0.440 19.23 20.90 01a58274o0360o
58274.418412  17.037  0.038   556   21 o  0   1.39 233.00646  68.24192  9680.68  7494.06 3.94 2.96 -85.6 -0.428 18.96 20.50 01a58274o0395o
58274.419793  17.005  0.035   573   20 o  0   1.48 233.00646  68.24192  9623.05  7427.93 3.89 2.80 -86.9 -0.432 19.18 20.69 01a58274o0398o
58274.428718  16.998  0.045   576   26 o  0   1.71 233.00646  68.24192  9603.21  7579.92 4.06 2.79 -85.5 -0.423 18.79 20.11 01a58274o0417o
58278.425507  17.146  0.034   503   17 o  0   1.24 233.00646  68.24192  1759.89  8270.87 3.03 2.76 -76.7 -0.440 19.24 20.83 01a58278o0355o
58278.442307  17.200  0.037   479   18 o  0   1.01 233.00646  68.24192  1793.82  8376.85 2.96 2.88 -81.1 -0.434 19.24 20.81 01a58278o0391o
58278.453938  17.127  0.031   512   16 o  0   1.78 233.00646  68.24192  1743.07  8338.82 3.28 2.82  85.9 -0.429 19.19 20.80 01a58278o0416o
58278.469469  17.188  0.034   484   16 o  0   1.65 233.00646  68.24192  1740.94  8511.92 3.46 2.91  89.5 -0.417 19.15 20.70 01a58278o0449o
58280.438909  19.381  0.172    64   11 c  0   1.82 233.00646  68.24192  9812.91  3300.96 2.64 2.48  69.8 -0.430 19.72 21.55 02a58280o0420c
58280.466226  20.000  1.410    36   51 c  0   1.00 233.00646  68.24192  9857.50  3342.55 2.80 2.57  63.2 -0.430 18.07 19.67 02a58280o0478c
58280.468064  16.750  1.048   724  759 c  0   1.13 233.00646  68.24192  9878.52  3226.44 2.77 2.61  61.3 -0.428 15.43 16.80 02a58280o0482c
58282.423466  17.312  0.039   432   17 o  0   1.14 233.00646  68.24192   467.64  7772.66 2.87 2.57 -89.3 -0.435 19.31 20.93 01a58282o0335o
58282.446324  17.320  0.038   428   16 o  0   1.53 233.00646  68.24192   491.47  7813.11 2.77 2.67 -74.5 -0.437 19.23 20.80 01a58282o0377o
58282.460585  17.277  0.037   446   17 o  0   1.54 233.00646  68.24192   414.59  7706.77 3.11 2.66 -86.1 -0.412 19.23 20.76 01a58282o0401o
58282.463665  17.260  0.037   453   17 o  0   1.62 233.00646  68.24192   396.67  7821.22 3.22 2.80 -87.6 -0.400 19.17 20.78 01a58282o0406o
58284.434621 -22.318  2.033    -4    9 c  0   2.10 233.00646  68.24192  7161.07  3832.72 2.61 2.51 -60.5 -0.408 19.72 21.60 02a58284o0409c
58284.436452 -24.106 11.833    -1   10 c  0   1.17 233.00646  68.24192  7139.86  3792.14 2.53 2.48 -88.8 -0.419 19.70 21.58 02a58284o0413c
58284.462142  21.088  0.817    13   11 c  0   1.37 233.00646  68.24192  7204.91  3872.03 2.60 2.48  65.7 -0.420 19.67 21.52 02a58284o0468c
58284.465347 -20.846  0.546   -17    9 c  0   1.68 233.00646  68.24192  7218.36  3754.76 2.56 2.46  71.6 -0.417 19.67 21.52 02a58284o0475c
58286.420897  17.375  0.045   407   18 o  0   1.02 233.00646  68.24192  3611.37 10207.88 2.79 2.59 -73.6 -0.488 19.19 20.69 01a58286o0343o
58286.422278  17.381  0.044   405   18 o  0   1.63 233.00646  68.24192  2602.15   430.04 3.79 2.89  -1.9 -0.392 19.22 20.79 01a58286o0346o
58286.422739  17.317  0.040   430   17 o  0   1.47 233.00646  68.24192  3633.48 10246.26 2.80 2.58 -74.2 -0.485 19.21 20.68 01a58286o0347o
58286.432040  17.418  0.041   392   16 o  0   2.09 233.00646  68.24192  2624.06   467.34 3.36 2.76  -1.5 -0.420 19.24 20.77 01a58286o0367o
58286.448348  17.409  0.044   395   18 o  0   1.41 233.00646  68.24192  2565.19   382.04 3.29 2.64  -2.3 -0.428 19.27 20.75 01a58286o0402o
58286.449729  17.365  0.040   411   16 o  0   1.32 233.00646  68.24192  3558.10 10161.69 3.10 2.66 -78.4 -0.466 19.20 20.65 01a58286o0405o
58286.451571  17.487  0.049   368   18 o  0   1.40 233.00646  68.24192  3540.28 10279.54 3.08 2.60 -78.8 -0.469 19.17 20.64 01a58286o0409o
58286.452952  17.365  0.042   411   17 o  0   1.41 233.00646  68.24192  2556.20   499.21 3.43 2.75  -3.3 -0.422 19.19 20.75 01a58286o0412o
58290.403377  17.664  0.058   312   18 o  0   1.25 233.00646  68.24192  2298.12   322.17 3.58 2.86  -1.6 -0.402 19.14 20.47 01a58290o0356o
58290.403838  17.641  0.055   319   18 o  0   1.17 233.00646  68.24192  3230.27 10087.08 2.80 2.59 -75.0 -0.486 19.08 20.39 01a58290o0357o
58290.413156  17.713  0.059   298   18 o  0   1.54 233.00646  68.24192  2313.86   359.65 3.41 2.76  -0.1 -0.414 19.13 20.46 01a58290o0377o
58290.421610  17.605  0.057   330   19 o  0   1.30 233.00646  68.24192  3251.86 10125.72 2.69 2.58 -53.5 -0.493 19.12 20.38 01a58290o0395o
58290.429594  17.799  0.068   276   19 o  0   1.36 233.00646  68.24192  2262.44   274.45 3.46 2.75  -2.4 -0.416 19.14 20.42 01a58290o0412o
58290.430975  17.789  0.069   278   19 o  0   1.02 233.00646  68.24192  3179.82 10042.22 2.81 2.56 -73.4 -0.497 19.12 20.34 01a58290o0415o
58290.431435  17.692  0.062   304   19 o  0   1.13 233.00646  68.24192  3162.13 10159.90 2.90 2.61 -73.0 -0.487 19.07 20.34 01a58290o0416o
58290.432815  17.616  0.060   326   20 o  0   0.93 233.00646  68.24192  2252.80   391.80 3.38 2.77  -2.4 -0.423 19.10 20.40 01a58290o0419o
58292.414018  17.783  0.064   280   18 o  0   1.38 233.00646  68.24192  9196.03  2500.23 2.46 2.14  54.6 -0.462 19.14 19.89 02a58292o0377o
58292.431766  17.765  0.062   284   18 o  0   1.62 233.00646  68.24192  9172.00  2458.15 2.41 2.22  55.6 -0.456 19.08 19.85 02a58292o0415o
58292.440148  17.805  0.066   274   18 o  0   1.83 233.00646  68.24192  9238.87  2542.03 2.39 2.18  58.1 -0.460 19.10 19.86 02a58292o0433o
58292.441977  17.744  0.071   290   21 o  0   0.87 233.00646  68.24192  9259.61  2423.79 2.33 2.18  56.1 -0.451 19.13 19.86 02a58292o0437o
58294.405944  17.965  0.092   237   22 o  0   1.44 233.00646  68.24192  2400.87  9443.45 2.69 2.56 -61.1 -0.503 18.69 19.71 01a58294o0359o
58294.406865  17.770  0.079   283   22 o  0   1.90 233.00646  68.24192  2423.66  9482.28 2.81 2.57 -79.3 -0.512 18.72 19.71 01a58294o0361o
58294.416205  17.740  0.083   291   24 o  0   1.38 233.00646  68.24192  2353.09  9399.43 2.88 2.57 -83.5 -0.494 18.72 19.68 01a58294o0381o
58294.433051  18.003  0.100   228   23 o  0   1.76 233.00646  68.24192  2332.95  9514.14 2.94 2.56 -80.3 -0.494 18.73 19.66 01a58294o0417o
58296.423341  17.658  0.087   314   27 o  0   1.48 233.00646  68.24192  9190.01  2634.44 2.40 2.37  64.3 -0.446 18.56 19.13 02a58296o0395o
58296.432714  17.938  0.114   243   28 o  0   1.07 233.00646  68.24192  9167.95  2596.08 2.32 2.24  62.8 -0.451 18.60 19.11 02a58296o0415o
58296.451003  17.752  0.089   288   26 o  0   1.49 233.00646  68.24192  9223.37  2678.35 2.44 2.31  57.1 -0.444 18.57 19.05 02a58296o0454o
58296.452375  17.687  0.098   306   30 o  0   1.22 233.00646  68.24192  9244.47  2560.37 2.43 2.31  60.6 -0.466 18.54 19.05 02a58296o0457o
58298.361494  18.207  0.166   189   32 o  0   1.22 233.00646  68.24192  2862.78   677.86 3.87 3.43   1.1 -0.378 18.38 19.55 01a58298o0260o
58298.361953  18.162  0.152   197   30 o  0   1.15 233.00646  68.24192  3963.36 10463.36 3.59 3.21 -76.8 -0.415 18.36 19.44 01a58298o0261o
58298.362413  17.889  0.119   254   30 o  0   1.35 233.00646  68.24192  3940.31 10424.10 3.73 3.33 -78.3 -0.403 18.38 19.44 01a58298o0262o
58298.371233  18.396  0.182   159   29 o  0   1.28 233.00646  68.24192  2824.17   634.30 3.43 3.10   2.0 -0.402 18.50 19.53 01a58298o0281o
