MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58342.531007  20.772  0.750    18   13 o  0   1.28   2.36063  47.35407  7339.09  9665.85 3.94 3.07 -81.7 -0.417 19.48 21.64 01a58342o0628o
58342.541281 -20.708  0.632   -19   12 o  0   1.47   2.36063  47.35407  3158.66   961.48 3.11 2.91   6.8 -0.435 19.50 21.60 01a58342o0647o
58342.551045  20.593  0.482    21   10 o  0   1.88   2.36063  47.35407  3104.25   880.82 3.03 2.78   7.0 -0.445 19.51 21.57 01a58342o0665o
58342.560800 -21.748  1.786    -7   13 o  0   1.29   2.36063  47.35407  7396.51  9582.97 3.93 3.04 -79.5 -0.417 19.50 21.58 01a58342o0683o
58344.541868 -20.965  0.860   -15   13 c  0   1.05   2.36063  47.35407  6637.90  8721.42 2.49 2.43  20.4 -0.436 19.54 21.48 02a58344o0664c
58344.550909  21.381  1.340    10   14 c  0   1.04   2.36063  47.35407  6619.83  8681.95 2.53 2.47  28.7 -0.430 19.33 21.21 02a58344o0683c
58344.560019  20.318  0.895    27   24 c  0   1.01   2.36063  47.35407  6668.87  8761.74 2.49 2.45  20.5 -0.423 18.71 20.42 02a58344o0702c
58344.569798 -19.474  0.569   -59   34 c  0   0.94   2.36063  47.35407  6685.20  8641.63 2.49 2.44  -3.5 -0.422 18.37 20.05 02a58344o0721c
58348.527616 -21.653  1.440    -8   11 o  0   0.95   2.36063  47.35407  7652.66  2187.79 2.31 2.02 -53.1 -0.433 19.72 21.20 02a58348o0648o
58348.540235  25.039 41.000     0   14 o  0   0.64   2.36063  47.35407  2989.11  8424.90 2.40 2.22 -44.0 -0.409 19.65 21.16 02a58348o0669o
58348.553190 -20.780  0.669   -18   12 o  0   0.57   2.36063  47.35407  7678.67  2224.44 2.11 2.05  73.6 -0.444 19.77 21.12 02a58348o0691o
58348.562283 -22.081  1.962    -5   10 o  0   1.05   2.36063  47.35407  7700.76  2107.12 2.16 2.03 -61.5 -0.439 19.74 21.15 02a58348o0710o
58352.519795  18.005  0.193   228   44 o  0   0.89   2.36063  47.35407  7618.03  1948.36 2.10 2.04 -66.2 -0.445 17.51 18.33 02a58352o0492o
58352.520253  19.475  0.799    59   47 o  0   1.20   2.36063  47.35407  7605.14  1909.30 2.15 2.06 -73.5 -0.441 17.96 18.68 02a58352o0493o
58352.536156  18.529  0.217   141   30 o  0   1.17   2.36063  47.35407  7652.62  1991.34 2.13 2.09 -74.3 -0.439 18.43 19.45 02a58352o0526o
58352.542142  18.678  0.220   123   27 o  0   0.72   2.36063  47.35407  7675.91  1877.54 2.29 2.13 -65.8 -0.430 18.65 19.73 02a58352o0539o
58360.495002  17.738  0.065   292   19 o  0   1.36   2.36063  47.35407  6268.31 10420.70 2.20 1.95  32.9 -0.500 19.22 19.94 02a58360o0598o
58360.506695  17.681  0.058   307   18 o  0   0.94   2.36063  47.35407  6252.71 10379.06 2.19 1.96  30.5 -0.498 19.24 19.93 02a58360o0623o
58360.508585  17.666  0.056   312   18 o  0   1.33   2.36063  47.35407  6632.81   725.35 2.20 1.98  53.8 -0.456 19.27 19.94 02a58360o0627o
58360.515272  17.638  0.053   320   17 o  0   1.27   2.36063  47.35407  6603.11   691.07 2.16 2.01  56.2 -0.456 19.28 19.95 02a58360o0641o
