MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59478.611215  19.982  1.040    37   38 o  0   1.38 134.89829  45.61164  8052.62 10190.85 3.25 3.07  48.9 -0.439 18.10 18.79 01a59478o0873o
59478.616370 -21.561  4.543    -9   39 o  0   1.05 134.89829  45.61164  8038.42 10155.67 3.33 3.01  49.2 -0.436 18.14 18.84 01a59478o0884o
59478.633006  17.161  1.659   496  823 o  0   0.02 134.89829  45.61164  3221.52    37.76 3.00 2.96 -60.5 -0.420 18.23 18.87 01a59478o0920o
59478.634390 -18.787  0.395  -111   44 o  0   0.93 134.89829  45.61164  8100.17 10223.02 3.34 3.07  51.7 -0.428 18.07 18.66 01a59478o0923o
59478.639010 -21.704  7.531    -8   57 o  0   1.24 134.89829  45.61164  8118.70 10105.05 3.25 2.94  50.8 -0.448 17.73 18.00 01a59478o0933o
59494.598891 -20.847  0.802   -17   13 o  0   1.01 134.89829  45.61164  3648.91  2256.56 2.67 2.58 -43.6 -0.494 19.35 20.79 01a59494o0875o
59494.606264  25.003 36.000     0   13 o  0   1.05 134.89829  45.61164  3628.29  2216.19 2.77 2.60 -46.1 -0.495 19.37 20.86 01a59494o0891o
59494.625774 -20.800  0.704   -17   12 o  0   1.09 134.89829  45.61164  3690.29  2298.40 2.71 2.64 -54.1 -0.493 19.37 20.96 01a59494o0933o
59494.633721 -20.386  0.571   -25   14 o  0   1.00 134.89829  45.61164  3706.89  2180.57 2.69 2.61 -55.2 -0.495 19.31 20.68 01a59494o0950o
59502.606831 -19.872  0.659   -41   27 o  0   1.16 134.89829  45.61164  5650.70  2153.84 3.85 3.72 -47.7 -0.393 18.38 20.00 01a59502o0901o
59502.610975  20.414  1.231    25   30 o  0   0.74 134.89829  45.61164  5630.86  2114.64 3.33 3.19 -53.4 -0.437 18.49 19.90 01a59502o0910o
59502.629509  19.155  0.315    79   25 o  0   1.08 134.89829  45.61164  5693.53  2188.12 2.86 2.77 -45.5 -0.462 18.48 19.78 01a59502o0950o
59502.639221 -19.281  3.364   -70  237 o  0   0.90 134.89829  45.61164  5711.91  2070.44 2.66 2.64 -52.9 -0.495 16.23 16.94 01a59502o0971o
59504.611462 -20.895  1.147   -16   18 o  0   1.34 134.89829  45.61164  5245.49 10190.93 2.21 2.11  71.8 -0.417 19.05 20.11 02a59504o0861o
59504.623927  20.853  1.000    16   16 o  0   1.47 134.89829  45.61164  5266.19 10229.73 2.29 2.15  68.6 -0.416 19.07 20.15 02a59504o0888o
59504.629467 -20.580  0.625   -21   13 o  0   1.07 134.89829  45.61164  5206.34 10151.96 2.32 2.15  54.8 -0.413 19.33 20.46 02a59504o0900o
59504.639672  21.376  1.522    10   16 o  0   1.70 134.89829  45.61164  5186.05 10267.42 2.30 2.07  56.1 -0.419 19.11 20.11 02a59504o0922o
59506.615252 -22.201  5.684    -5   27 o  0   1.04 134.89829  45.61164  1177.70   213.02 3.26 3.16 -81.0 -0.512 18.63 19.69 01a59506o0769o
59506.615712  21.150  2.000    13   25 o  0   0.77 134.89829  45.61164  6273.19 10299.01 3.25 3.08  55.9 -0.437 18.65 19.67 01a59506o0770o
59506.619865 -20.592  1.135   -21   24 o  0   0.99 134.89829  45.61164  6255.30 10259.93 3.08 2.99  62.0 -0.458 18.68 19.70 01a59506o0779o
