# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.8 on 2024-02-14 at 08:21:32
#
# Requested input R.A. = 193.409167 degrees
# Requested input Dec. = -26.292061 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 271 2 1 ZTF_g 450321210415 8 5.0243 304.489 12.1772 26.1396 4.62196e-05 0.0483432 -0.0830356 0.000145324 451 30. 0.123103 0.097276 18.7852 26.1396 1 2458204.8212153 271120104 -2151.00388344372 100.430138 -23.824947 0.967846 -2320.12844046509 117.391815 -19.897083 1.198307 0.128007299821765 17.5280000686646 0.0149999996647239 0.731000006198883 0.0199999995529652 2458493.036238 2458617.691794 0
 1 271 2 1 ZTF_g 453298990415 1 2.5491 246.183 48.639 25.7654 0.00021915 0.08766 -0.0449316 0.000691215 329 30. 0.059821 0.064033 17.5237 25.7654 1 2458207.7989931 271120104 -1797.63767279312 123.308311 -16.216780 1.113210 -1822.47467421326 211.120041 -8.690549 1.040707 0.128007299821765 17.5280000686646 0.0149999996647239 0.731000006198883 0.0199999995529652 2458493.036238 2458617.691794 0
 2 271 2 1 ZTF_g 453317100415 0 2.2814 301.905 22.9178 26.0876 2.49752e-05 0.0440859 -0.0408945 7.36397e-05 613 30. 0.051483 0.058823 18.7742 26.0876 1 2458207.8171065 271120104 -2433.23942096837 99.246254 -27.272535 1.115753 -2282.79734752389 181.506073 -12.661681 1.038089 0.128007299821765 17.5280000686646 0.0149999996647239 0.731000006198883 0.0199999995529652 2458493.036238 2458617.691794 0
 3 271 2 1 ZTF_g 456325370415 33556531 3.0516 62.5625 62.4894 24.8852 0.134369 0.232988 -0.351532 0.47531 12 30. 0.087316 0.070346 16.2038 24.8852 1 2458210.8253704 271120104 -503.07829487701 245.091446 -2.283296 0.973777 -652.88197731925 355.404144 -1.849385 1.098839 0.128007299821765 17.5280000686646 0.0149999996647239 0.731000006198883 0.0199999995529652 2458493.036238 2458617.691794 0
 4 271 2 1 ZTF_r 465279420415 0 2.2715 324.353 8.17242 26.1293 3.3966e-06 0.0259096 0.103879 6.63081e-06 1219 30. 0.047995 0.053127 20.0374 26.1293 1 2458219.7794213 271120204 -18.96700574509 31.724127 -0.665065 1.073928 7.4416699249 54.434711 0.137629 1.059925 2.60053130849424 20.6199997901916 0.0939999967813492 1.25499999523163 0.146999999880791 2458219.779421 2458598.794699 0
 5 271 2 1 ZTF_r 476229590415 0 2.5252 304.611 9.69596 26.087 4.6679e-06 0.0301506 0.0799422 9.10481e-06 1201 30. 0.068899 0.086496 19.6763 26.087 1 2458230.7295949 271120204 -19.79685124488 41.882130 -0.525802 1.024154 -102.85263061519 72.290749 -1.432346 1.038073 2.60053130849424 20.6199997901916 0.0939999967813492 1.25499999523163 0.146999999880791 2458219.779421 2458598.794699 0
 6 271 2 1 ZTF_g 480250540415 0 2.47 198.33 19.6974 25.6908 0.000100966 0.0794372 -0.047765 0.000309473 523 30. 0.059898 0.076748 18.444 25.6908 1 2458234.750544 271120104 -1534.27776161203 91.261765 -18.701220 1.116250 -1587.55031131374 157.221161 -10.165569 1.042288 0.128007299821765 17.5280000686646 0.0149999996647239 0.731000006198883 0.0199999995529652 2458493.036238 2458617.691794 0
 7 271 2 1 ZTF_r 490314240415 0 1.9056 258.711 11.0789 25.9099 8.5788e-06 0.041372 0.092605 1.68235e-05 1225 30. 0.048814 0.050245 19.6937 25.9099 1 2458244.8142477 271120204 68.38872832483 36.350105 2.092829 1.025444 -66.34410761809 69.433380 -0.961943 1.041114 2.60053130849424 20.6199997901916 0.0939999967813492 1.25499999523163 0.146999999880791 2458219.779421 2458598.794699 0
 8 271 2 1 ZTF_r 493251250415 0 1.8488 322.297 7.31736 26.1349 2.6295e-06 0.0227351 0.101487 5.16407e-06 1213 30. 0.057047 0.06507 20.3576 26.1349 1 2458247.75125 271120204 -0.98488366393 26.242395 -0.041748 0.952933 -125.7913678998 48.780102 -2.596112 1.047530 2.60053130849424 20.6199997901916 0.0939999967813492 1.25499999523163 0.146999999880791 2458219.779421 2458598.794699 0
 9 271 2 1 ZTF_r 496232730415 0 4.6637 328.079 5.9906 26.1569 8.0356e-06 0.0394165 0.104961 1.57495e-05 1195 30. 0.080365 0.074377 19.6825 26.1569 1 2458250.7327315 271120204 70.8775006997 54.064438 1.458315 1.002925 27.2581050939 65.739479 0.417431 1.240842 2.60053130849424 20.6199997901916 0.0939999967813492 1.25499999523163 0.146999999880791 2458219.779421 2458598.794699 0
 10 271 2 1 ZTF_r 505231360415 48 2.5338 12.6566 15.6615 22.7905 0.00662571 0.104132 -0.0489117 0.0208124 33 30. 0.091525 0.077372 15.7945 22.7905 1 2458259.7313657 271120204 -94.96050965496 83.016388 -1.272430 0.975876 -142.48222303019 135.329819 -1.059943 1.078521 2.60053130849424 20.6199997901916 0.0939999967813492 1.25499999523163 0.146999999880791 2458219.779421 2458598.794699 0
 11 271 2 1 ZTF_g 514165030415 0 2.3213 297.912 19.0391 26.0692 2.2599e-05 0.0457662 -0.00675508 6.19329e-05 675 30. 0.074245 0.090845 18.9478 26.0692 1 2458268.6650347 271120104 -2611.10423494425 92.293388 -31.470846 1.162667 -2596.69397765991 158.393646 -16.504341 1.051632 0.128007299821765 17.5280000686646 0.0149999996647239 0.731000006198883 0.0199999995529652 2458493.036238 2458617.691794 0
 12 271 2 1 ZTF_r 727554640415 0 3.2816 314.559 11.2 26.1351 9.9676e-06 0.0437339 0.0897 1.96579e-05 1187 30. 0.093583 0.077728 19.3093 26.1351 1 2458482.0546412 271120204 -123.24223530664 67.116165 -2.042618 0.894330 -188.87755678798 94.709503 -2.007715 1.095445 2.60053130849424 20.6199997901916 0.0939999967813492 1.25499999523163 0.146999999880791 2458219.779421 2458598.794699 0
 13 271 2 1 ZTF_g 738536230415 0 2.3434 269.216 5.94585 25.956 7.0124e-06 0.0363832 -0.0612653 1.43824e-05 1175 30. 0.055825 0.061383 20.1123 25.956 1 2458493.0362384 271120104 -2236.52081842817 28.171293 -88.312256 2.417049 -2150.7545344669 49.634937 -43.623306 1.040830 0.128007299821765 17.5280000686646 0.0149999996647239 0.731000006198883 0.0199999995529652 2458493.036238 2458617.691794 0
 14 271 2 1 ZTF_g 739542590415 0 2.1911 317.501 5.01014 26.1231 4.3942e-06 0.0293887 -0.0429214 8.74486e-06 1210 30. 0.050444 0.060427 20.4875 26.1231 3 2458494.0425926 271120104 -2585.8411148081 24.506824 -117.373383 3.767313 -2512.56624676775 43.714005 -57.864487 1.044502 0.128007299821765 17.5280000686646 0.0149999996647239 0.731000006198883 0.0199999995529652 2458493.036238 2458617.691794 0
 15 271 2 1 ZTF_r 749500670415 1 2.2648 128.938 27.2294 25.1625 4.40961e-05 0.0521961 0.086303 0.000101375 434 30. 0.069406 0.063795 17.6426 25.1625 1 2458504.0006713 271120204 78.34201988431 130.237122 0.669137 0.970552 330.8120319317 227.440079 1.464298 1.061378 2.60053130849424 20.6199997901916 0.0939999967813492 1.25499999523163 0.146999999880791 2458219.779421 2458598.794699 0
 16 271 2 1 ZTF_r 749521080415 0 2.0319 314.155 15.7557 26.1137 5.5083e-06 0.0331138 0.0850097 1.07418e-05 1219 30. 0.054309 0.051034 19.3593 26.1137 3 2458504.021088 271120204 -136.34786225988 56.829048 -2.668903 1.061080 -181.111304941 106.469368 -1.712522 1.043178 2.60053130849424 20.6199997901916 0.0939999967813492 1.25499999523163 0.146999999880791 2458219.779421 2458598.794699 0
