,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,58793.8286,-13.874558999996225,G,G,6730.0,6730.0,1.0992745931208035e-15,-0.40495200935791154,0.0,0.0,16.52,0.7833336185264415,0.0,False
1,58794.00475,-13.6984089999969,G,G,6730.0,6730.0,1.1197116336595438e-15,-0.39695200935791064,0.0,0.0,16.5,0.7633336185264419,0.0,False
2,58826.13523,18.432071000002907,G,G,6730.0,6730.0,1.9279962750446117e-15,-0.16095200935791176,0.0,0.0,15.91,0.17333361852644202,0.0,False
3,58864.39704,56.69388100000651,G,G,6730.0,6730.0,8.338850551407716e-16,-0.5249520093579108,0.0,0.0,16.82,1.0833336185264422,0.0,False
4,58874.15491,66.45175100000051,G,G,6730.0,6730.0,7.196249138899629e-16,-0.5889520093579108,0.0,0.0,16.98,1.2433336185264423,0.0,False
5,58874.22891,66.52575100000104,G,G,6730.0,6730.0,7.064902789574045e-16,-0.5969520093579117,0.0,0.0,17.0,1.2633336185264419,0.0,False
6,58970.24132,162.53816100000404,G,G,6730.0,6730.0,2.4272035044981614e-16,-1.0609520093579103,0.0,0.0,18.16,2.423333618526442,0.0,False
7,58970.41749,162.71433100000286,G,G,6730.0,6730.0,2.541594081489217e-16,-1.0409520093579108,0.0,0.0,18.11,2.3733336185264413,0.0,False
8,58993.20192,185.49876100000256,G,G,6730.0,6730.0,1.9458358049338772e-16,-1.1569520093579104,0.0,0.0,18.4,2.6633336185264405,0.0,False
9,58993.27594,185.57278100000258,G,G,6730.0,6730.0,1.9638404019608579e-16,-1.1529520093579109,0.0,0.0,18.39,2.6533336185264425,0.0,False
10,59025.08457,217.38141100000212,G,G,6730.0,6730.0,1.3712170050850096e-16,-1.3089520093579115,0.0,0.0,18.78,3.043333618526443,0.0,False
11,59025.26074,217.55758100000094,G,G,6730.0,6730.0,1.3461894741762315e-16,-1.3169520093579106,0.0,0.0,18.8,3.0633336185264426,0.0,False
12,58812.9416,5.23844100000133,B,B,3963.6965714285716,3963.6965714285716,1.5015062497639877e-15,-0.2695310556380335,2.49440728754542e-16,0.166127,16.6478,0.911133618526442,0.166127,False
13,58818.9056,11.202441000001272,B,B,3963.6965714285716,3963.6965714285716,1.6436416743436799e-15,-0.23025105563803372,5.646993954875608e-17,0.0343566,16.5496,0.8129336185264435,0.0343566,False
14,58787.8617,-19.841458999995666,B,B,4380.0,4380.0,3.269242561155823e-16,-0.9316110556380348,5.1980956722377586e-17,0.159,18.303,2.5663336185264427,0.159,False
15,58788.8023,-18.900858999993943,B,B,4244.2291020408165,4244.2291020408165,4.911873168888489e-16,-0.7548110556380347,5.697772875910648e-17,0.116,17.861,2.1243336185264425,0.116,False
16,58790.1522,-17.550959000000148,B,B,4027.9026122448977,4027.9026122448977,7.995527921179395e-16,-0.5432110556380341,7.036064570637867e-17,0.088,17.332,1.5953336185264426,0.088,False
17,58790.6863,-17.016858999995748,B,B,4027.9026122448977,4027.9026122448977,9.782438904240973e-16,-0.45561105563803395,8.804195013816876e-17,0.09,17.113,1.3763336185264414,0.09,False
18,58791.6933,-16.00985899999796,B,B,4218.721530612244,4218.721530612244,1.1717828682187157e-15,-0.3772110556380337,1.265525497676213e-16,0.108,16.917,1.1803336185264435,0.108,False
19,58796.9544,-10.748758999994607,B,B,4685.405510204081,4685.405510204081,1.9197609093470434e-15,-0.16281105563803422,1.3630302456364008e-16,0.071,16.381,0.6443336185264421,0.071,False
20,58802.6337,-5.06945899999846,B,B,4244.2291020408165,4244.2291020408165,2.396884705673677e-15,-0.06641105563803329,1.6538504469148371e-16,0.069,16.14,0.40333361852644245,0.069,False
21,58809.4753,1.7721410000012838,B,B,4568.7188367346935,4568.7188367346935,1.9680999223800405e-15,-0.15201105563803452,1.4367129433374293e-16,0.073,16.354000000000003,0.6173336185264446,0.073,False
22,58815.5892,7.886041000005207,B,B,4568.7188367346935,4568.7188367346935,1.8452157130573054e-15,-0.1800110556380332,1.3285553134012597e-16,0.072,16.424,0.6873336185264414,0.072,False
23,58818.4726,10.769441000004008,B,B,4568.7188367346935,4568.7188367346935,1.7141433737884052e-15,-0.21201105563803502,1.2341832291276516e-16,0.072,16.504,0.7673336185264432,0.072,False
24,58821.8651,14.161941000005754,B,B,4676.882081632653,4676.882081632653,1.3466264615610234e-15,-0.31681105563803413,1.0234361107863777e-16,0.076,16.766000000000002,1.0293336185264437,0.076,False
25,58812.947,5.243841000003158,V,V,5210.211918367348,5210.211918367348,2.491407413672891e-15,-0.04961344741057694,7.1902267099341e-17,0.0288601,15.8607,0.12403361852644146,0.0288601,False
26,58818.9101,11.206941000004008,V,V,5210.211918367348,5210.211918367348,3.0055555032345304e-15,0.031866552589423947,4.387479868066735e-17,0.0145979,15.657,-0.07966638147355809,0.0145979,False
27,58787.838,-19.865158999993582,V,V,5450.0,5450.0,2.789489637673111e-16,-1.000533447410577,2.7894896376731116e-17,0.1,18.238,2.5013336185264414,0.1,True
28,58788.833,-18.87015899999824,V,V,5758.514530612244,5758.514530612244,3.1880472720171676e-16,-0.9425334474105771,9.468500397890987e-17,0.297,18.093,2.356333618526442,0.297,False
29,58790.1625,-17.540658999998413,V,V,5758.514530612244,5758.514530612244,5.903706416233233e-16,-0.6749334474105755,8.206151918564196e-17,0.139,17.424,1.6873336185264414,0.139,False
30,58790.6926,-17.010558999994828,V,V,5758.514530612244,5758.514530612244,8.455216890192808e-16,-0.5189334474105767,1.1837303646269932e-16,0.14,17.034,1.2973336185264408,0.14,False
31,58796.958,-10.745158999998239,V,V,5307.65081632653,5307.65081632653,2.12777034824743e-15,-0.11813344741057641,1.7873270925278415e-16,0.084,16.032,0.2953336185264419,0.084,False
32,58802.6394,-5.063758999996935,V,V,5758.514530612244,5758.514530612244,2.51608177769656e-15,-0.045333447410575545,2.0883478754881448e-16,0.083,15.85,0.11333361852644153,0.083,False
33,58809.4811,1.7779410000002827,V,V,5542.188040816326,5542.188040816326,2.8755753522887317e-15,0.012666552589424285,2.242948774785211e-16,0.078,15.705,-0.03166638147355805,0.078,False
34,58815.5952,7.892041000006429,V,V,5542.188040816326,5542.188040816326,2.6713128449291058e-15,-0.019333447410575744,2.1370502759432847e-16,0.08,15.785,0.048333618526442024,0.08,False
35,58818.4763,10.773141000005126,V,V,5650.351285714285,5650.351285714285,2.3764285016748003e-15,-0.07013344741057637,1.8773785163230922e-16,0.079,15.912,0.1753336185264427,0.079,False
36,58821.8689,14.165741000004346,V,V,5217.698306122448,5217.698306122448,2.467884057427884e-15,-0.053733447410577284,1.9002707242194708e-16,0.077,15.871,0.13433361852644232,0.077,False
37,58812.9515,5.248341000005894,R,R,7032.042040816326,7032.042040816326,2.991873486992251e-15,0.029885025347249794,8.710809738643069e-17,0.0291149,15.4858,-0.2508663814735588,0.0291149,False
38,58818.9147,11.211541000004217,R,R,7032.042040816326,7032.042040816326,3.8620974262183695e-15,0.14076502534724966,4.3105641793508463e-17,0.0111612,15.2086,-0.5280663814735576,0.0111612,False
39,58787.337523250004,-20.36563574999309,c,c,5330.0,5330.0,1.7021179117820583e-16,-1.215068557934309,7.684505939457329e-18,0.04514673094187651,18.798511009434506,3.061844627960948,0.04514673094187651,False
40,58867.21259933334,59.509440333342354,c,c,5330.0,5330.0,7.780143074889057e-16,-0.5550706162233574,2.7416694610489557e-17,0.03523931931146461,17.14851615515713,1.4118497736835707,0.03523931931146461,False
41,58943.6327065,135.92954750000354,c,c,5330.0,5330.0,4.1234198865584713e-16,-0.8308006387290483,2.1867850444169862e-17,0.053033285587661606,17.837841211421356,2.101174829947798,0.053033285587661606,False
42,58959.61565075,151.9124917500012,c,c,5330.0,5330.0,3.149059393949911e-16,-0.9478773479749272,1.0045665677162214e-17,0.031900527809867026,18.130532984536053,2.393866603062495,0.031900527809867026,False
43,58967.612257,159.90909800000372,c,c,5330.0,5330.0,2.900854178658929e-16,-0.9835323017973909,9.66727612065168e-18,0.03332561902549987,18.219670369092213,2.4830039876186554,0.03332561902549987,False
44,58995.58913125,187.88597225000558,c,c,5330.0,5330.0,2.393215902730338e-16,-1.0670763198215258,1.6759468666053817e-17,0.07002907112113668,18.428530414152547,2.691864032678989,0.07002907112113668,False
45,58999.56326775,191.86010875000648,c,c,5330.0,5330.0,2.2741975021671917e-16,-1.0892300216581017,8.806136926293053e-18,0.038721953207235794,18.48391466874399,2.7472482872704305,0.038721953207235794,False
