# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.8 on 2024-02-14 at 08:18:29
#
# Requested input R.A. = 175.874 degrees
# Requested input Dec. = -16.7981 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 319 12 4 ZTF_r 445327814715 0 2.2685 270.084 8.50784 25.3588 1.94243e-05 0.0446695 0.0993071 3.77581e-05 569 30. 0.053595 0.048975 19.1475 25.3588 1 2458199.8278125 319120247 57.5942300827 42.868725 1.494491 1.015156 107.97938761185 77.506912 1.402541 1.033480 1.96399644667395 17.11399974823 0.104000002145767 8.14799976348877 0.526000022888184 2458199.827812 2458509.959826 0
 1 319 12 4 ZTF_g 449303734715 0 3.1682 209.678 10.2076 26.198 1.9961e-05 0.0390193 -0.0501046 5.15884e-05 449 30. 0.060465 0.062191 19.4914 26.198 1 2458203.8037384 319120147 32.26690281224 71.277481 0.503570 0.927238 -109.51648219142 100.549301 -1.096518 1.101086 2.57734581748016 18.0909997940063 0.0930000022053719 9.33300018310547 0.254999995231628 2458203.803738 2458573.795370 0
 2 319 12 4 ZTF_g 452298634715 0 2.1959 217.175 18.4375 26.253 2.02495e-05 0.0383874 -0.039588 5.29154e-05 430 30. 0.060994 0.05308 19.2158 26.253 1 2458206.7986343 319120147 -142.46320636952 76.022224 -2.084572 1.190307 -203.57180319301 136.200180 -1.504718 1.044582 2.57734581748016 18.0909997940063 0.0930000022053719 9.33300018310547 0.254999995231628 2458203.803738 2458573.795370 0
 3 319 12 4 ZTF_g 452319744715 0 1.997 214.86 18.6275 26.2498 2.41261e-05 0.0427598 -0.0315139 6.21488e-05 445 30. 0.050093 0.049692 19.2865 26.2498 1 2458206.8197454 319120147 39.13348288899 83.461319 0.521577 0.968593 -96.12545453315 155.081818 -0.624012 1.044159 2.57734581748016 18.0909997940063 0.0930000022053719 9.33300018310547 0.254999995231628 2458203.803738 2458573.795370 0
 4 319 12 4 ZTF_g 456283334715 0 2.5785 137.7 23.7221 25.7444 7.61037e-05 0.0480241 -0.00899632 0.000247675 230 30. 0.067789 0.067239 18.2814 25.7444 1 2458210.7833333 319120147 0.27733763882 120.494987 0.002560 0.973389 -156.41143399294 188.186356 -0.836750 1.081141 2.57734581748016 18.0909997940063 0.0930000022053719 9.33300018310547 0.254999995231628 2458203.803738 2458573.795370 0
 5 319 12 4 ZTF_g 456307114715 0 2.5461 153.07 22.5275 25.8803 4.43724e-05 0.0418741 -0.00368853 0.000131215 269 30. 0.061979 0.062583 18.4995 25.8803 1 2458210.8071181 319120147 10.15483254275 115.057709 0.098177 1.043908 77.83268041928 180.752853 0.433503 1.082573 2.57734581748016 18.0909997940063 0.0930000022053719 9.33300018310547 0.254999995231628 2458203.803738 2458573.795370 0
 6 319 12 4 ZTF_r 461241214715 33554480 2.3802 18.4427 13.3948 22.3249 0.15348 0.0839459 0.115336 0.63219 6 30. 0.089011 0.085251 15.5363 22.3249 1 2458215.7412153 319120247 63.18116771707 70.171196 1.001575 0.916498 8.31629030631 116.095238 0.072116 1.106063 1.96399644667395 17.11399974823 0.104000002145767 8.14799976348877 0.526000022888184 2458199.827812 2458509.959826 0
 7 319 12 4 ZTF_g 461259944715 0 4.5223 58.0592 7.03286 24.8179 0.00107593 0.121947 0.00972355 0.00403878 140 30. 0.086816 0.09602 18.1819 24.8179 1 2458215.7599421 319120147 -333.30635044973 74.365341 -4.985719 0.905527 -414.72290040473 88.744789 -4.704683 1.271664 2.57734581748016 18.0909997940063 0.0930000022053719 9.33300018310547 0.254999995231628 2458203.803738 2458573.795370 0
 8 319 12 4 ZTF_r 464275574715 0 2.249 546.83 7.33936 26.1039 5.3398e-06 0.0234626 0.112574 1.04049e-05 571 30. 0.055515 0.057119 20.1095 26.1039 1 2458218.7755787 319120247 46.01727194845 43.051353 1.189019 1.057630 29.81548896638 74.998871 0.400223 1.053919 1.96399644667395 17.11399974823 0.104000002145767 8.14799976348877 0.526000022888184 2458199.827812 2458509.959826 0
