MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58910.636408  17.730  0.046   294   14 o  0   4.06 261.62192  71.09405  5325.60  8767.29 2.11 2.09 -25.1 -0.409 19.53 20.84 01a58910o0887o
58910.640579  17.575  0.039   339   13 o  0   1.30 261.62192  71.09405  5308.37  8729.22 2.02 1.99  73.2 -0.414 19.60 20.86 01a58910o0896o
58910.647553  17.530  0.037   353   13 o  0   2.41 261.62192  71.09405  5362.96  8805.93 2.22 2.17 -89.5 -0.388 19.47 20.82 01a58910o0911o
58910.653169  17.580  0.042   337   14 o  0   2.16 261.62192  71.09405  5381.24  8689.25 2.23 2.20  28.5 -0.407 19.41 20.64 01a58910o0923o
58934.623684  17.258  0.960   454  436 o  0   1.43 261.62192  71.09405  7318.54  5023.81 2.56 2.27   6.2 -0.373 15.49 16.88 01a58934o0849o
58934.626492  17.088  0.190   531  101 o  0   3.48 261.62192  71.09405  7297.65  4983.85 2.58 2.34   9.2 -0.361 16.78 18.17 01a58934o0855o
58934.632137  17.444  0.084   382   32 o  0   2.43 261.62192  71.09405  7356.56  5063.42 2.47 2.27   5.4 -0.381 18.19 19.48 01a58934o0867o
58934.636693  18.078  0.782   213  167 o  0   1.84 261.62192  71.09405  7373.25  4947.31 2.42 2.17   2.7 -0.374 16.93 18.09 01a58934o0876o
58938.609920  17.508  0.044   360   16 o  0   2.27 261.62192  71.09405   694.83  5194.28 2.58 1.85 -86.0 -0.410 19.26 20.48 01a58938o0508o
58938.612840  17.512  0.050   359   18 o  0   1.42 261.62192  71.09405  9265.46  5081.83 2.58 2.05  89.9 -0.385 19.34 20.50 01a58938o0514o
58938.618813  17.755  0.094   287   27 o  0   1.86 261.62192  71.09405  9200.92  5035.33 2.44 1.98 -89.2 -0.397 18.42 19.53 01a58938o0526o
58938.631655  17.553  0.104   346   36 o  0   0.90 261.62192  71.09405  9178.35  5205.80 2.29 2.13 -83.9 -0.381 18.29 19.36 01a58938o0552o
58942.617829  17.546  0.082   348   29 o  0   0.91 261.62192  71.09405 10263.53  5187.92 2.39 2.14  89.8 -0.408 18.90 20.18 01a58942o0553o
58942.620901  17.291  0.046   440   20 o  0   1.58 261.62192  71.09405 10287.39  5224.08 2.49 2.28   2.4 -0.392 19.03 20.42 01a58942o0559o
