MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58932.603701  18.639  0.079   127   10 c  0   1.57 221.78946  72.73654  6109.56  3751.09 2.47 2.45  29.1 -0.401 19.56 21.37 02a58932o0819c
58932.607362  18.381  0.067   161   11 c  0   1.44 221.78946  72.73654  6089.88  3709.08 2.55 2.53 -59.6 -0.398 19.53 21.37 02a58932o0827c
58932.614136  18.768  0.092   113   10 c  0   1.12 221.78946  72.73654  6147.38  3782.05 2.52 2.44 -62.0 -0.401 19.53 21.34 02a58932o0841c
58932.634133  18.379  0.084   162   14 c  0   1.24 221.78946  72.73654  6167.41  3663.08 2.65 2.61 -69.5 -0.397 19.17 20.93 02a58932o0883c
58934.553055  18.682  0.563   122   69 o  0   0.96 221.78946  72.73654  5212.20  2377.13 2.32 2.12  -0.6 -0.397 17.49 18.78 01a58934o0702o
58934.558395  17.498  1.544   364  562 o  0   0.62 221.78946  72.73654  5233.72  2415.37 2.19 2.09   7.8 -0.398 15.37 16.68 01a58934o0713o
58934.562383 -18.992  2.137   -92  196 o  0   0.92 221.78946  72.73654  5179.56  2339.68 2.14 2.09  16.6 -0.397 16.40 17.67 01a58934o0721o
58934.572411 -17.981  0.819  -233  191 o  0   0.81 221.78946  72.73654  5166.58  2454.77 2.40 2.14  -5.3 -0.377 16.55 17.87 01a58934o0742o
58942.535578  18.535  0.125   140   18 o  0   0.89 221.78946  72.73654  3428.94  2481.28 2.46 2.40  22.9 -0.389 19.04 20.23 01a58942o0421o
58942.538901  18.370  0.091   163   15 o  0   0.95 221.78946  72.73654  3447.38  2521.34 2.67 2.46  83.3 -0.412 19.20 20.55 01a58942o0428o
58942.545798  18.452  0.099   151   15 o  0   0.88 221.78946  72.73654  3394.74  2441.92 2.18 1.96  -2.0 -0.398 19.43 20.66 01a58942o0441o
58942.571418  18.437  0.148   153   23 o  0   0.68 221.78946  72.73654  3383.06  2554.12 2.24 2.04  80.2 -0.414 19.02 20.32 01a58942o0455o
58946.593105  19.328  2.301    67  155 o  0   1.26 221.78946  72.73654  2739.09  8558.27 2.20 2.05 -55.2 -0.455 16.60 16.45 01a58946o0760o
58946.598979  18.214  0.422   188   79 o  0   0.97 221.78946  72.73654  2764.52  8598.88 2.23 1.96 -76.5 -0.425 17.51 17.70 01a58946o0772o
58946.602676 -19.532  5.426   -56  303 o  0   1.33 221.78946  72.73654  2696.63  8516.85 2.20 1.97 -74.3 -0.493 16.12 16.00 01a58946o0780o
58946.619198  18.780  0.493   112   55 o  0   0.70 221.78946  72.73654  2683.20  8631.96 2.14 2.02 -64.1 -0.393 17.80 18.26 01a58946o0815o
58950.488646  18.471  0.102   148   15 o  0   1.81 221.78946  72.73654  7831.87  2054.27 2.14 1.98 -21.0 -0.393 19.12 19.72 01a58950o0564o
58950.492026  18.358  0.107   165   18 o  0   1.22 221.78946  72.73654  7808.92  2014.13 2.15 1.97 -23.5 -0.395 19.13 19.73 01a58950o0571o
58950.498842  18.421  0.113   155   18 o  0   1.14 221.78946  72.73654  7871.15  2095.36 2.21 2.04 -40.2 -0.391 19.14 19.73 01a58950o0585o
58950.511715  18.674  0.140   123   17 o  0   1.01 221.78946  72.73654  7887.07  1979.15 2.20 2.02 -31.8 -0.392 19.08 19.69 01a58950o0612o
58956.540876  18.706  0.107   120   13 c  0   1.19 221.78946  72.73654  6709.51  6468.53 3.35 3.08  43.5 -0.372 19.33 21.37 02a58956o0658c
58956.543250  18.676  0.100   123   12 c  0   0.95 221.78946  72.73654  6690.83  6429.18 3.11 2.86  32.1 -0.375 19.41 21.37 02a58956o0663c
58956.544234  18.561  0.097   137   13 c  0   1.03 221.78946  72.73654  6746.37  6508.88 3.02 2.67  37.3 -0.371 19.43 21.37 02a58956o0665c
58956.546605  18.682  0.099   122   12 c  0   0.99 221.78946  72.73654  6765.76  6393.15 2.66 2.47  38.0 -0.393 19.57 21.36 02a58956o0670c
58960.498055  18.703  0.091   120   11 c  0   1.22 221.78946  72.73654  6714.99  6476.98 2.72 2.35  39.2 -0.388 19.63 21.42 02a58960o0514c
58960.501293  18.627  0.088   129   11 c  0   1.39 221.78946  72.73654  6699.00  6443.47 2.40 2.36  86.5 -0.411 19.69 21.42 02a58960o0521c
58960.506925  18.698  0.098   120   12 c  0   0.95 221.78946  72.73654  6753.19  6521.46 2.61 2.33  40.6 -0.391 19.63 21.44 02a58960o0533c
