MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59016.295201 -22.692  4.289    -3   13 o  0   1.22 196.05725 -10.35097 10186.88  8936.30 2.04 1.69  24.9 -0.428 19.66 20.82 01a59016o0127o
59016.298884 -24.658 21.500    -0   11 o  0   1.88 196.05725 -10.35097 10207.47  8975.71 2.07 1.69  23.9 -0.433 19.60 20.76 01a59016o0135o
59016.305810 -21.788  2.145    -7   15 o  0   0.85 196.05725 -10.35097 10147.25  8897.20 2.02 1.71  29.3 -0.427 19.45 20.59 01a59016o0150o
59016.309499  21.094  1.269    13   17 o  0   2.31 196.05725 -10.35097    39.09  9016.17 1.77 1.59 -61.5 -0.452 18.91 20.04 01a59016o0158o
59016.312722 -19.890  0.749   -40   30 o  0   1.16 196.05725 -10.35097    57.27  9054.28 1.82 1.59 -62.5 -0.463 19.22 20.28 01a59016o0165o
59016.319186 -20.305  0.842   -27   23 o  0   0.68 196.05725 -10.35097 10128.22  9015.20 2.01 1.73  35.0 -0.431 18.95 20.00 01a59016o0179o
59020.285702  23.463  8.125     2   12 o  0   1.36 196.05725 -10.35097 10185.21  8935.03 2.22 1.78  23.2 -0.416 19.58 20.82 01a59020o0100o
59020.289871 -23.862 14.750    -1   15 o  0   1.75 196.05725 -10.35097 10205.45  8974.15 2.35 1.98  26.5 -0.403 19.24 20.54 01a59020o0109o
59020.295438 -22.462  6.333    -4   24 o  0   1.44 196.05725 -10.35097 10145.93  8896.09 2.26 1.84  22.4 -0.419 18.43 19.67 01a59020o0121o
59020.298205  21.177  8.750    12  108 o  0   1.21 196.05725 -10.35097    36.86  9014.30 1.87 1.68 -63.1 -0.458 17.25 18.44 01a59020o0127o
59020.302811 -19.781  0.786   -44   35 o  0   1.48 196.05725 -10.35097    56.66  9052.87 1.79 1.59 -54.1 -0.475 19.00 20.24 01a59020o0137o
59020.306968 -21.098  1.542   -13   20 o  0   1.46 196.05725 -10.35097 10126.38  9013.56 2.18 1.86  28.9 -0.401 18.56 19.77 01a59020o0146o
59022.285333 -20.576  0.500   -21   11 c  0   1.26 196.05725 -10.35097   265.08  7888.99 2.50 2.29 -51.7 -0.393 19.62 21.45 02a59022o0091c
59022.289448 -21.570  1.104    -8    9 c  0   2.16 196.05725 -10.35097   245.18  7849.98 2.45 2.31 -52.1 -0.391 19.62 21.45 02a59022o0100c
59022.294975 -20.775  0.614   -18   11 c  0   1.30 196.05725 -10.35097   304.00  7928.71 2.46 2.23 -51.5 -0.403 19.64 21.41 02a59022o0112c
59022.295433 -20.580  0.539   -21   12 c  0   1.18 196.05725 -10.35097 10401.62  7905.50 2.75 2.66 -87.7 -0.386 19.64 21.43 02a59022o0113c
