MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59084.266709  20.620  0.587    20   12 o  0   1.38 260.76950  55.07249  4635.18 10127.71 2.30 1.80 -56.6 -0.433 19.61 20.79 02a59084o0087o
59084.272251  20.461  0.527    24   12 o  0   1.09 260.76950  55.07249  4615.13 10087.55 2.24 1.80 -57.4 -0.440 19.61 20.84 02a59084o0099o
59084.274999  13.137  0.437 20197 8827 o  0   4.02 260.76950  55.07249   725.27    31.84 2.21 1.68 -62.9 -0.463 19.60 20.81 02a59084o0105o
59084.275914 -21.784  1.471    -7   10 o  0   1.84 260.76950  55.07249  4669.23 10164.44 2.21 1.82 -56.8 -0.433 19.63 20.90 02a59084o0107o
59084.285119  21.587  1.300     8   11 o  0   1.46 260.76950  55.07249   766.58    71.46 2.14 1.74 -61.2 -0.458 19.64 20.92 02a59084o0127o
59084.286033  21.715  1.534     8   12 o  0   1.11 260.76950  55.07249  4683.73 10045.30 2.23 1.87 -56.8 -0.424 19.64 21.00 02a59084o0129o
59086.272667 -21.781  1.764    -7   12 o  0   1.31 260.76950  55.07249 10442.44  5715.19 2.49 2.42  41.2 -0.386 19.45 20.57 01a59086o0111o
59086.275887 -20.297  0.506   -28   14 o  0   0.79 260.76950  55.07249 10464.46  5752.37 2.34 2.25  22.9 -0.397 19.50 20.58 01a59086o0118o
59086.282795 -20.722  0.699   -19   13 o  0   0.88 260.76950  55.07249 10407.63  5681.12 2.64 2.29   4.2 -0.380 19.37 20.58 01a59086o0133o
59086.287396 -21.641  1.560    -8   12 o  0   0.92 260.76950  55.07249   685.52  5911.76 2.10 2.07 -60.9 -0.427 19.47 20.63 01a59086o0143o
59086.290621  21.827  1.530     7   10 o  0   1.63 260.76950  55.07249   707.09  5949.62 2.23 2.13 -87.2 -0.409 19.45 20.66 01a59086o0150o
59086.294366 -25.400 45.500    -0   11 o  0   1.24 260.76950  55.07249 10391.01  5799.35 2.53 2.39   6.1 -0.364 19.42 20.60 01a59086o0158o
59086.296671 -20.773  0.755   -18   13 o  0   1.08 260.76950  55.07249   647.82  5869.33 2.34 2.25 -75.4 -0.397 19.43 20.66 01a59086o0163o
59086.306844 -20.601  0.459   -21   10 o  0   1.73 260.76950  55.07249   635.22  5985.81 2.21 2.13 -58.0 -0.410 19.44 20.67 01a59086o0185o
59088.278326   0.000  0.000     0    0 o  0  -2.00 260.76950  55.07249   676.42     2.61 1.82 1.64  74.3 -0.498 19.36 20.34 02a59088o0120o
59088.283854 -21.769  1.932    -7   14 o  0   0.67 260.76950  55.07249  4628.62 10120.80 2.17 1.81 -55.4 -0.432 19.45 20.39 02a59088o0132o
59088.287056 -20.304  0.559   -27   15 o  0   0.69 260.76950  55.07249  4608.87 10080.54 2.11 1.86 -57.5 -0.435 19.45 20.37 02a59088o0139o
59088.287514 -20.143  0.386   -32   12 o  0   1.46 260.76950  55.07249   768.17    64.91 2.28 1.74 -63.2 -0.452 19.40 20.34 02a59088o0140o
59088.292185 -21.138  1.310   -13   17 o  0   0.77 260.76950  55.07249  4665.48 10160.10 2.20 1.82 -54.3 -0.427 19.43 20.36 02a59088o0150o
59088.303659 -21.671  1.720    -8   13 o  0   1.20 260.76950  55.07249  4680.72 10039.18 2.05 1.87 -56.2 -0.438 19.44 20.35 02a59088o0175o
59090.291106 -20.481  0.619   -23   14 o  0   0.98 260.76950  55.07249  5861.77 10332.90 2.74 2.28   4.2 -0.317 19.14 20.19 01a59090o0156o
59090.292950  21.564  1.611     9   14 o  0   1.12 260.76950  55.07249  2211.93   121.27 2.11 1.96   5.3 -0.429 19.36 20.24 01a59090o0160o
59090.293892  22.396  3.393     4   14 o  0   1.14 260.76950  55.07249  5883.74 10371.81 2.97 2.51   6.4 -0.306 19.08 20.19 01a59090o0162o
59090.296193  20.375  0.520    26   13 o  0   1.01 260.76950  55.07249  2232.19   161.00 2.12 1.98   9.4 -0.434 19.34 20.23 01a59090o0167o
59090.300002  22.426  3.800     4   15 o  0   0.80 260.76950  55.07249  5821.32 10295.14 2.78 2.40   9.3 -0.325 19.15 20.18 01a59090o0175o
