MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58852.550336  21.517  3.000     9   27 o  0   1.01 177.22679  -4.68160    36.52  9072.27 5.26 5.02 -69.7 -0.223 18.76 20.88 01a58852o0753o
58852.550797 -19.542  0.288   -55   16 o  0   1.49 177.22679  -4.68160 10280.50  9030.43 4.31 3.75  86.7 -0.311 18.91 20.84 01a58852o0754o
58852.553826 -19.607  0.284   -52   15 o  0   1.81 177.22679  -4.68160 10261.25  8991.10 4.12 3.59  89.5 -0.314 18.95 20.85 01a58852o0760o
58852.558944 -19.342  0.232   -66   15 o  0   1.02 177.22679  -4.68160 10326.02  9072.18 4.03 3.40  86.0 -0.326 18.97 20.87 01a58852o0771o
58852.561317  18.503  0.190   144   27 o  0   2.15 177.22679  -4.68160    62.17  8958.92 3.79 3.70 -75.0 -0.318 19.11 20.94 01a58852o0776o
58852.568888 -19.612  0.277   -52   14 o  0   1.58 177.22679  -4.68160 10346.75  8955.31 3.67 3.48  35.4 -0.341 19.05 20.86 01a58852o0792o
58866.596823  16.680  0.020   773   15 o  0   2.09 177.22679  -4.68160  7526.02  8229.30 2.21 2.12 -55.7 -0.430 19.61 20.75 02a58866o0634o
58866.600040  16.706  0.020   754   15 o  0   3.29 177.22679  -4.68160  7545.92  8268.93 2.17 2.07 -61.2 -0.442 19.62 20.77 02a58866o0641o
58866.606269  16.663  0.019   785   15 o  0   2.43 177.22679  -4.68160  3095.31  2370.36 2.16 2.11 -69.3 -0.437 19.54 20.78 02a58866o0654o
58866.618387  16.700  0.019   758   14 o  0   2.24 177.22679  -4.68160  3114.67  2254.03 2.31 2.19 -62.9 -0.423 19.50 20.81 02a58866o0679o
58868.538904  16.753  0.020   722   14 o  0   3.00 177.22679  -4.68160  2958.44   385.51 2.52 2.29  70.6 -0.461 19.48 21.19 01a58868o0718o
58868.542663  16.754  0.021   722   15 o  0   3.93 177.22679  -4.68160  2939.95   348.21 2.07 1.89  65.1 -0.448 19.64 21.16 01a58868o0726o
58868.549626  16.733  0.019   736   14 o  0   3.98 177.22679  -4.68160  2996.39   426.03 2.18 1.89  68.2 -0.462 19.60 21.16 01a58868o0740o
58868.557585  16.944  0.035   606   21 o  0  18.86 177.22679  -4.68160  7995.02 10512.32 2.70 2.22 -80.9 -0.365 19.53 21.19 01a58868o0757o
58868.559447  16.775  0.018   708   13 o  0   3.83 177.22679  -4.68160  3014.38   308.90 2.10 1.86  69.1 -0.451 19.68 21.20 01a58868o0761o
58872.559026  16.938  0.020   609   12 o  0   2.60 177.22679  -4.68160  3179.38  4283.88 2.71 2.46  79.6 -0.410 19.56 21.47 01a58872o0771o
58872.563312  16.955  0.022   600   14 o  0   2.28 177.22679  -4.68160  3159.65  4245.49 2.65 2.48  70.4 -0.409 19.60 21.45 01a58872o0780o
58872.569910  16.920  0.023   620   15 o  0   1.77 177.22679  -4.68160  3217.77  4322.77 2.84 2.56  70.4 -0.402 19.52 21.41 01a58872o0793o
58872.579866  16.944  0.020   606   12 o  0   2.95 177.22679  -4.68160  7347.71  6351.89 2.79 2.39 -84.4 -0.418 19.60 21.47 01a58872o0813o
58874.501640  17.092  0.020   528   10 c  0   2.83 177.22679  -4.68160  2785.26  1918.20 2.44 2.19 -57.6 -0.410 19.87 21.95 02a58874o0650c
58874.507141  17.143  0.023   505   11 c  0   2.10 177.22679  -4.68160  2805.35  1957.23 2.37 2.25 -58.8 -0.408 19.86 21.95 02a58874o0661c
58874.510890  17.122  0.021   514   10 c  0   3.07 177.22679  -4.68160  2750.71  1877.41 2.37 2.18 -59.9 -0.414 19.86 21.94 02a58874o0669c
58874.523177  17.126  0.021   512   11 c  0   2.48 177.22679  -4.68160  2730.50  1995.86 2.48 2.25 -55.6 -0.405 19.81 21.95 02a58874o0694c
58876.564505  16.959  0.021   598   12 o  0   2.61 177.22679  -4.68160  3174.73  4280.52 2.49 2.08  86.4 -0.423 19.63 21.21 01a58876o0771o
58876.569183  16.917  0.019   621   12 o  0   2.71 177.22679  -4.68160  3154.34  4240.58 2.34 1.95  86.2 -0.425 19.68 21.21 01a58876o0780o
58876.576895  16.948  0.023   604   14 o  0   2.35 177.22679  -4.68160  3212.52  4319.19 2.29 1.88  86.3 -0.420 19.74 21.23 01a58876o0795o
58876.590333  16.938  0.022   609   14 o  0   2.23 177.22679  -4.68160  7351.74  6348.41 2.59 2.44 -68.7 -0.399 19.52 21.20 01a58876o0821o
58877.570488  17.161  0.025   496   13 c  0   1.75 177.22679  -4.68160  7771.82  8638.91 2.86 2.68  44.4 -0.390 19.74 21.77 02a58877o0775c
58877.573482  17.176  0.024   489   12 c  0   2.24 177.22679  -4.68160  2816.20  1956.27 2.50 2.48  81.5 -0.396 19.76 21.77 02a58877o0781c
58877.589370  17.160  0.024   497   12 c  0   3.70 177.22679  -4.68160  7808.89  8680.52 2.84 2.60  47.5 -0.395 19.75 21.75 02a58877o0815c
58877.603562  17.139  0.024   506   12 c  0   2.88 177.22679  -4.68160  7827.75  8562.83 2.79 2.61  53.7 -0.394 19.74 21.74 02a58877o0845c
58878.466238  17.192  0.031   482   15 c  0   1.69 177.22679  -4.68160  2780.93  1918.17 2.62 2.32  45.8 -0.394 19.40 21.30 02a58878o0566c
58878.469930  17.070  0.030   540   16 c  0   3.51 177.22679  -4.68160  2801.65  1957.50 2.58 2.32  44.6 -0.395 19.05 20.95 02a58878o0574c
58878.476824  17.091  0.066   529   35 c  0   1.84 177.22679  -4.68160  2744.22  1878.77 2.54 2.29  44.2 -0.391 18.38 20.22 02a58878o0589c
58878.486985  17.178  0.083   488   41 c  0   0.96 177.22679  -4.68160  2725.05  1995.71 2.50 2.25  43.7 -0.400 18.14 19.90 02a58878o0611c
58880.567738  17.158  0.051   498   25 o  0   1.93 177.22679  -4.68160  3358.71  9902.92 2.39 2.09 -72.1 -0.425 18.97 20.45 01a58880o0782o
58880.576211  16.977  0.028   588   16 o  0   1.67 177.22679  -4.68160  3379.51  9940.16 2.45 2.16 -69.7 -0.414 19.44 21.09 01a58880o0799o
58880.579442  16.956  0.028   599   17 o  0   1.71 177.22679  -4.68160  3321.82  9862.49 2.51 2.25 -69.5 -0.413 19.33 20.99 01a58880o0806o
58880.589591  17.000  0.022   576   13 o  0   3.59 177.22679  -4.68160  3303.83  9979.17 2.67 2.37 -68.2 -0.408 19.59 21.31 01a58880o0827o
58882.510730  17.341  0.023   420   10 c  0   3.19 177.22679  -4.68160  2422.06  4344.72 2.48 2.21 -54.7 -0.411 19.76 21.75 02a58882o0594c
58882.514421  17.362  0.025   412   10 c  0   2.71 177.22679  -4.68160  2441.68  4382.77 2.46 2.19 -54.7 -0.413 19.73 21.75 02a58882o0602c
58882.519926  17.272  0.025   448   11 c  0   2.64 177.22679  -4.68160  2383.59  4305.30 2.48 2.20 -53.3 -0.412 19.78 21.76 02a58882o0614c
58882.531613  17.344  0.027   419   11 c  0   3.12 177.22679  -4.68160  2367.06  4421.38 2.49 2.15 -55.2 -0.418 19.74 21.78 02a58882o0639c
58884.488597  17.034  0.030   558   16 o  0   1.80 177.22679  -4.68160  7245.22   674.34 2.50 2.05  84.4 -0.443 19.26 20.29 01a58884o0514o
58884.491864  16.994  0.030   579   17 o  0   1.32 177.22679  -4.68160  7225.27   634.17 2.47 2.04  84.1 -0.445 19.24 20.31 01a58884o0521o
58884.497090  17.000  0.023   575   13 o  0   3.72 177.22679  -4.68160  7283.80   713.02 2.38 2.02  87.2 -0.432 19.31 20.34 01a58884o0532o
58884.506909  17.079  0.030   535   16 o  0   1.96 177.22679  -4.68160  7303.48   596.12 2.33 2.02  87.0 -0.432 19.35 20.37 01a58884o0552o
58888.505022  17.193  0.072   482   35 o  0   0.98 177.22679  -4.68160  2358.89  6502.25 2.67 2.10  88.4 -0.394 18.33 18.56 01a58888o0647o
58888.508304  17.103  0.067   523   35 o  0   1.30 177.22679  -4.68160  2339.60  6464.03 2.74 2.17  85.9 -0.397 18.31 18.57 01a58888o0654o
58888.513545  17.148  0.067   502   34 o  0   1.15 177.22679  -4.68160  2398.27  6542.20 2.39 1.99  89.7 -0.423 18.41 18.59 01a58888o0665o
58888.524339  17.179  0.063   488   31 o  0   1.02 177.22679  -4.68160  2417.60  6428.43 2.53 1.98  88.4 -0.419 18.43 18.61 01a58888o0687o
58900.501127  17.173  0.022   491   11 o  0   2.90 177.22679  -4.68160  6277.33  4162.08 2.40 2.19 -80.7 -0.392 19.63 21.40 01a58900o0627o
58900.504404  17.111  0.022   520   11 o  0   2.61 177.22679  -4.68160  6297.55  4199.68 2.35 2.16 -79.1 -0.394 19.69 21.43 01a58900o0634o
58900.509525  17.117  0.032   517   16 o  0   2.40 177.22679  -4.68160  6239.83  4120.55 2.22 2.15 -47.2 -0.394 19.26 20.96 01a58900o0645o
58900.520650  17.180  0.028   488   14 o  0   1.88 177.22679  -4.68160  6221.63  4237.02 2.38 2.10 -82.1 -0.394 19.44 21.21 01a58900o0667o
58902.455994  17.649  0.033   317   10 c  0   2.01 177.22679  -4.68160  5087.75  5893.86 2.37 2.30 -43.8 -0.411 19.74 21.75 02a58902o0526c
58902.459234  17.723  0.035   296   10 c  0   2.51 177.22679  -4.68160  5109.59  5931.90 2.36 2.31 -16.3 -0.407 19.79 21.75 02a58902o0533c
58902.464318  17.648  0.032   317   10 c  0   2.82 177.22679  -4.68160  5047.52  5859.59 2.64 2.29  33.5 -0.387 19.79 21.75 02a58902o0543c
58902.476323  17.658  0.036   314   11 c  0   2.54 177.22679  -4.68160  5033.90  5970.97 2.42 2.33 -42.6 -0.409 19.76 21.72 02a58902o0567c
58904.486305  17.220  0.027   470   13 o  0   3.09 177.22679  -4.68160  9356.32  6178.07 2.74 2.02 -81.8 -0.415 19.56 20.93 01a58904o0582o
58904.489882  17.130  0.024   510   12 o  0   3.55 177.22679  -4.68160  1210.05  4331.80 2.62 1.93  83.9 -0.416 19.64 20.93 01a58904o0589o
58904.496259  17.220  0.030   470   14 o  0   1.50 177.22679  -4.68160  9316.07  6137.15 2.77 2.04 -80.2 -0.411 19.53 20.94 01a58904o0602o
58904.515439  17.210  0.027   474   13 o  0   2.62 177.22679  -4.68160  9300.50  6250.28 2.73 1.94 -82.3 -0.432 19.56 20.92 01a58904o0642o
58912.496324  17.201  0.030   478   14 o  0   2.65 177.22679  -4.68160  4697.15  1840.88 1.93 1.67   1.3 -0.419 19.39 20.12 01a58912o0379o
58912.499549  17.069  0.037   540   20 o  0   1.19 177.22679  -4.68160  4717.70  1880.13 2.07 1.72   2.2 -0.411 19.19 20.06 01a58912o0386o
58912.505594  17.059  0.023   545   12 o  0   2.20 177.22679  -4.68160  4659.20  1801.28 2.08 1.96   8.2 -0.413 19.64 20.85 01a58912o0399o
58912.515780  17.042  0.027   554   15 o  0   2.03 177.22679  -4.68160  4640.99  1917.94 1.83 1.76   8.0 -0.420 19.63 20.74 01a58912o0421o
58920.544955  17.658  0.427   314  134 o  0   0.99 177.22679  -4.68160  1322.31  8068.79 2.27 2.11 -12.5 -0.421 17.02 16.77 01a58920o0547o
58920.548173  16.927  0.195   616  120 o  0   1.33 177.22679  -4.68160  1341.83  8108.34 2.39 1.99  -4.1 -0.432 16.85 16.60 01a58920o0554o
58920.554697  16.979  0.174   587  102 o  0   0.86 177.22679  -4.68160  1283.23  8030.11 2.40 1.99  -5.2 -0.425 17.19 16.96 01a58920o0568o
58924.496898  16.946  0.035   604   21 o  0   1.02 177.22679  -4.68160  1310.58  8067.65 1.97 1.80 -77.8 -0.424 19.08 20.02 01a58924o0219o
58924.499700  17.089  0.024   530   13 o  0   2.66 177.22679  -4.68160  1330.60  8107.10 1.85 1.65 -79.8 -0.428 19.63 20.69 01a58924o0225o
58924.505886  17.011  0.029   570   17 o  0   2.52 177.22679  -4.68160  1273.99  8029.98 1.92 1.69 -82.4 -0.440 19.37 20.27 01a58924o0238o
58924.516209  17.069  0.026   540   14 o  0   1.46 177.22679  -4.68160  1255.39  8146.92 2.10 1.86 -84.4 -0.422 19.63 20.76 01a58924o0260o
58930.475541  17.671  0.038   310   12 c  0   2.84 177.22679  -4.68160  6192.38  6311.42 2.44 2.34  55.9 -0.409 19.57 21.34 02a58930o0492c
58930.479345  17.718  0.044   297   13 c  0   2.47 177.22679  -4.68160  6172.77  6272.92 2.45 2.33  54.4 -0.406 19.56 21.34 02a58930o0500c
58930.485084  17.718  0.040   297   12 c  0   1.52 177.22679  -4.68160  6231.17  6349.92 2.39 2.33 -85.7 -0.411 19.70 21.44 02a58930o0512c
58930.496254  17.618  0.045   326   15 c  0   2.03 177.22679  -4.68160  6251.55  6235.30 2.45 2.38  75.1 -0.401 19.52 21.28 02a58930o0536c
58934.411752  18.016  0.138   226   31 c  0   1.40 177.22679  -4.68160  4372.70  4245.20 2.97 2.89 -26.7 -0.367 18.22 20.19 02a58934o0412c
58934.415192 -18.058  0.642  -217  139 c  0   1.51 177.22679  -4.68160  6178.83  6268.85 3.51 3.47  48.1 -0.355 16.66 18.74 02a58934o0419c
58934.422054  18.415  0.431   156   67 c  0   0.91 177.22679  -4.68160  6236.71  6347.66 3.47 3.46 -88.1 -0.357 17.51 19.61 02a58934o0433c
58934.431989  17.432  0.178   386   69 c  0   1.51 177.22679  -4.68160  6258.82  6233.04 2.96 2.93 -84.1 -0.380 17.69 19.64 02a58934o0453c
58936.452380  17.439  0.035   384   14 o  0   1.89 177.22679  -4.68160  9604.96 10072.07 2.18 1.95  78.8 -0.399 19.62 20.84 01a58936o0379o
58936.455171  17.395  0.040   400   16 o  0   1.28 177.22679  -4.68160  9625.95 10111.73 2.59 2.28  82.5 -0.415 19.41 20.79 01a58936o0385o
58936.460907  17.463  0.040   376   15 o  0   1.96 177.22679  -4.68160  9567.60 10033.78 2.36 2.00  86.0 -0.421 19.54 20.84 01a58936o0397o
58936.472117  17.357  0.032   414   13 o  0   2.01 177.22679  -4.68160  9549.34 10151.65 2.19 1.80  88.7 -0.420 19.57 20.67 01a58936o0421o
58942.412890  17.619  0.457   326  149 o  0   0.97 177.22679  -4.68160  7315.45  2630.81 2.07 1.80 -56.0 -0.431 16.73 16.72 02a58942o0294o
58942.416090  16.573  1.363   852 1162 o  0   2.11 177.22679  -4.68160  7294.88  2591.65 2.05 1.82 -56.9 -0.458 14.34 14.07 02a58942o0301o
58942.422562  18.072  0.299   214   64 o  0   1.11 177.22679  -4.68160  7353.29  2669.85 2.08 1.80 -55.9 -0.429 17.57 17.58 02a58942o0315o
58942.432610  16.271  0.321  1126  361 o  0   1.31 177.22679  -4.68160  7374.42  2553.87 2.06 1.81 -56.2 -0.466 15.68 15.52 02a58942o0336o
58949.417228  18.527  0.146   141   21 o  0   0.71 177.22679  -4.68160  3146.81  6011.23 2.11 1.96  -2.1 -0.411 19.01 19.47 01a58949o0427o
58949.420014  18.162  0.090   197   18 o  0   1.60 177.22679  -4.68160  3167.08  6049.96 2.18 1.93  -0.1 -0.404 18.95 19.46 01a58949o0433o
