MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59484.501579  20.829  1.058    17   18 o  0   1.08  20.78262  -3.18700  3454.41  7014.83 3.10 2.66 -42.7 -0.476 19.06 20.26 01a59484o0362o
59484.504868  20.527  0.786    22   18 o  0   1.07  20.78262  -3.18700  3474.95  7051.14 3.00 2.64 -43.3 -0.478 19.11 20.24 01a59484o0369o
59484.538837  21.610  2.095     8   17 o  0   0.89  20.78262  -3.18700  3422.42  6969.54 3.01 2.80 -58.2 -0.453 19.08 20.29 01a59484o0439o
59484.543946  21.778  2.000     7   14 o  0   1.59  20.78262  -3.18700  3405.68  7084.97 2.82 2.47 -46.2 -0.496 19.17 20.27 01a59484o0450o
59485.442859 -21.110  0.827   -13   11 o  0   1.67  20.78262  -3.18700  7040.84  1448.64 2.09 1.98  25.3 -0.433 19.48 20.59 02a59485o0533o
59485.444687 -21.749  1.588    -7   12 o  0   0.96  20.78262  -3.18700  7060.37  1488.12 2.13 2.03  30.4 -0.423 19.41 20.59 02a59485o0537o
59485.447448  21.029  0.722    14   10 o  0   1.34  20.78262  -3.18700  7002.84  1409.58 2.03 1.93  29.4 -0.437 19.47 20.61 02a59485o0543o
59485.469111  20.524  0.554    22   12 o  0   1.32  20.78262  -3.18700  3591.07  9027.62 2.48 2.24  42.8 -0.398 19.38 20.61 02a59485o0589o
59486.427935  20.454  0.430    24   10 o  0   1.64  20.78262  -3.18700  7045.05  1449.92 2.00 1.95  23.6 -0.440 19.50 20.57 02a59486o0500o
59486.429765  20.417  0.518    25   13 o  0   0.86  20.78262  -3.18700  7064.40  1489.22 1.99 1.93  23.3 -0.439 19.45 20.58 02a59486o0504o
59486.435265  20.740  0.617    18   11 o  0   1.22  20.78262  -3.18700  7007.59  1410.81 2.20 2.18   3.8 -0.428 19.36 20.55 02a59486o0516o
59486.440299  21.258  1.064    11   12 o  0   0.83  20.78262  -3.18700  6987.54  1529.45 2.09 2.02  21.6 -0.425 19.44 20.55 02a59486o0527o
59488.490341  20.400  0.595    25   15 o  0   1.05  20.78262  -3.18700  2482.99  1220.11 3.19 3.06 -34.8 -0.458 19.17 20.76 01a59488o0611o
59488.497305  19.512  0.254    57   14 o  0   1.22  20.78262  -3.18700  2502.36  1256.96 3.11 3.00 -36.5 -0.455 19.21 20.71 01a59488o0626o
59488.531054  20.124  0.469    32   15 o  0   0.82  20.78262  -3.18700  2447.70  1172.62 2.67 2.57 -67.9 -0.520 19.34 20.74 01a59488o0698o
59488.534780  19.775  0.335    45   15 o  0   1.02  20.78262  -3.18700  2430.52  1289.48 2.81 2.69 -64.7 -0.488 19.29 20.71 01a59488o0706o
59490.488361  19.202  0.169    76   13 o  0   1.08  20.78262  -3.18700  5231.91  5618.84 2.47 1.89  43.6 -0.426 19.50 20.65 02a59490o0637o
59490.492049  20.004  0.357    36   13 o  0   1.20  20.78262  -3.18700  5212.74  5578.99 2.53 1.94  44.1 -0.420 19.45 20.58 02a59490o0645o
59490.527518  19.569  0.207    54   11 o  0   1.35  20.78262  -3.18700  5268.23  5659.48 2.41 1.96  44.0 -0.427 19.47 20.56 02a59490o0720o
59490.534065  19.559  0.239    54   13 o  0   1.07  20.78262  -3.18700  5291.71  5543.45 2.49 1.98  44.3 -0.458 19.43 20.51 02a59490o0734o
59492.419577  20.262  0.733    28   21 o  0   0.96  20.78262  -3.18700  8036.30  9370.29 3.00 2.95 -63.9 -0.442 19.00 20.51 01a59492o0487o
59492.421423  19.327  0.269    68   18 o  0   0.84  20.78262  -3.18700  8015.31  9330.40 2.89 2.84 -40.5 -0.450 19.15 20.69 01a59492o0491o
59492.424647  18.886  0.157   101   16 o  0   0.84  20.78262  -3.18700  8077.54  9409.02 2.87 2.84  66.2 -0.455 19.23 20.73 01a59492o0498o
59492.429777  20.877  2.370    16   38 o  0   1.67  20.78262  -3.18700  8095.14  9291.65 3.00 2.94  86.1 -0.445 18.05 19.42 01a59492o0509o
59493.422800  19.438  0.196    61   12 o  0   0.93  20.78262  -3.18700  5348.13  4939.54 2.40 1.79  34.1 -0.430 19.58 20.70 02a59493o0500o
59493.428337  19.305  0.175    69   12 o  0   1.42  20.78262  -3.18700  5365.86  4978.20 2.41 1.79  33.6 -0.433 19.58 20.70 02a59493o0512o
59493.431554  19.165  0.158    78   12 o  0   1.33  20.78262  -3.18700  5308.75  4899.76 2.47 1.79  34.2 -0.435 19.59 20.72 02a59493o0519o
59493.466578  19.041  0.132    88   12 o  0   1.49  20.78262  -3.18700  5290.81  5538.75 2.53 1.88  43.1 -0.431 19.49 20.68 02a59493o0593o
59494.422528  18.736  0.110   116   13 o  0   1.34  20.78262  -3.18700  5349.32  4942.84 2.83 2.47  34.3 -0.409 19.31 20.77 02a59494o0397o
59494.426223  19.019  0.160    90   14 o  0   1.02  20.78262  -3.18700  5368.87  4981.75 2.87 2.55  31.2 -0.396 19.24 20.76 02a59494o0405o
59494.447369  19.023  0.122    89   11 o  0   1.77  20.78262  -3.18700  5271.07  5653.04 2.95 2.53  39.3 -0.401 19.29 20.80 02a59494o0450o
59494.465466  18.647  0.107   126   14 o  0   1.23  20.78262  -3.18700  5287.48  5535.43 2.99 2.65  38.5 -0.414 19.27 20.81 02a59494o0488o
59496.412896  18.720  0.137   118   16 o  0   1.05  20.78262  -3.18700  9992.42  9246.26 3.12 3.05  -5.0 -0.385 19.19 20.57 01a59496o0476o
59496.414739  18.430  0.101   154   16 o  0   1.04  20.78262  -3.18700  9972.79  9207.39 3.06 2.99  64.5 -0.391 19.26 20.57 01a59496o0480o
59496.419349  18.584  0.119   134   16 o  0   1.10  20.78262  -3.18700 10035.67  9286.84 3.17 3.10  68.0 -0.379 19.19 20.59 01a59496o0490o
59496.424422  18.554  0.106   138   15 o  0   1.31  20.78262  -3.18700 10052.56  9168.16 3.09 3.04  63.5 -0.388 19.20 20.58 01a59496o0501o
