# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.8 on 2024-02-14 at 08:06:25
#
# Requested input R.A. = 39.4924339776 degrees
# Requested input Dec. = -1.83144666583 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 401 9 3 ZTF_g 559465893415 0 2.2882 62.6111 4.84584 25.7941 3.79073e-05 0.0397976 -0.029415 5.46277e-05 276 30. 0.104635 0.087592 20.2303 25.7941 1 2458313.9658912 401120134 -8.56153317458 25.187700 -0.378110 0.951608 41.73655589474 42.499451 0.988663 1.085406 2.05310741534643 21.7479998588562 0.13400000333786 0.820999979972839 0.25900000333786 2458313.965891 2458364.977222 56
 1 401 9 3 ZTF_r 566484543415 0 1.8442 102.729 6.81254 25.7837 6.62187e-05 0.0530665 0.122017 9.10362e-05 288 30. 0.062961 0.050294 19.9462 25.7837 1 2458320.9845486 401120234 41.57323353079 30.176098 1.532518 0.896803 44.52368144381 59.466751 0.753758 1.035127 1.73400895216874 21.610000038147 0.100000001490116 0.941999971866608 0.163000002503395 2458335.960116 2458366.998229 0
 2 401 9 3 ZTF_g 569441593415 0 3.0914 77.1345 4.98451 25.9925 4.03859e-05 0.0395662 0.0198182 6.12485e-05 253 30. 0.089471 0.095065 20.1689 25.9925 1 2458323.9415972 401120134 3.27838357334 34.809532 0.104765 1.006276 26.30701275552 49.015469 0.540323 1.223961 2.05310741534643 21.7479998588562 0.13400000333786 0.820999979972839 0.25900000333786 2458313.965891 2458364.977222 56
 3 401 9 3 ZTF_r 569484663415 0 1.7823 149.019 6.64476 26.2153 1.31083e-05 0.0233731 0.116577 1.7912e-05 285 30. 0.061004 0.049822 20.4274 26.2153 1 2458323.9846644 401120234 1.24248531537 30.145138 0.045849 0.862049 8.26951037186 58.587383 0.142099 1.043498 1.73400895216874 21.610000038147 0.100000001490116 0.941999971866608 0.163000002503395 2458335.960116 2458366.998229 0
 4 401 9 3 ZTF_g 573482533415 0 2.421 56.08 16.7484 25.6763 7.74245e-05 0.0422617 -0.0782242 0.000145314 148 30. 0.060445 0.055461 18.6375 25.6763 1 2458327.9825347 401120134 -27.02219946099 74.806625 -0.401824 1.089163 -181.8434042103 132.524033 -1.381396 1.060848 2.05310741534643 21.7479998588562 0.13400000333786 0.820999979972839 0.25900000333786 2458313.965891 2458364.977222 0
 5 401 9 3 ZTF_r 576419643415 0 2.7212 128.001 16.9877 26.049 7.43645e-05 0.0518635 0.128874 0.000102145 253 30. 0.105507 0.083616 18.8924 26.049 1 2458330.9196412 401120234 43.77270657202 89.348152 0.544970 1.012741 64.49605038985 139.575897 0.465198 1.069752 1.73400895216874 21.610000038147 0.100000001490116 0.941999971866608 0.163000002503395 2458335.960116 2458366.998229 0
 6 401 9 3 ZTF_g 576461873415 0 2.7373 79.4961 15.2612 26.0483 7.00301e-05 0.0394671 -0.008173 0.000137568 146 30. 0.068424 0.065754 19.0618 26.0483 1 2458330.961875 401120134 -221.01177989382 105.215958 -2.336623 0.906002 -256.69239594454 153.964493 -1.678447 1.167938 2.05310741534643 21.7479998588562 0.13400000333786 0.820999979972839 0.25900000333786 2458313.965891 2458364.977222 0
 7 401 9 3 ZTF_r 581460113415 0 2.2237 153.862 9.47572 26.2674 1.44827e-05 0.0244698 0.106888 1.98533e-05 284 30. 0.063308 0.05347 19.9276 26.2674 1 2458335.9601157 401120234 -23.82454159571 42.546734 -0.622892 1.017219 -72.35406818787 78.143143 -0.932153 1.041177 1.73400895216874 21.610000038147 0.100000001490116 0.941999971866608 0.163000002503395 2458335.960116 2458366.998229 0
 8 401 9 3 ZTF_g 581499283415 0 6.003 90.4893 11.9847 26.1743 5.79807e-05 0.0414445 0.0162707 0.000102117 193 30. 0.064291 0.057265 19.4101 26.1743 1 2458335.9992824 401120134 -20.81754178288 80.739006 -0.286814 0.947062 90.35631203977 115.905251 0.784821 1.176369 2.05310741534643 21.7479998588562 0.13400000333786 0.820999979972839 0.25900000333786 2458313.965891 2458364.977222 0
