# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.8 on 2024-02-14 at 08:09:27
#
# Requested input R.A. = 67.8282637616 degrees
# Requested input Dec. = -10.3963852432 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 354 7 1 ZTF_g 452137652415 0 3.0549 91.9667 17.1707 26.0043 4.45004e-05 0.0394107 -0.0910121 0.000110992 275 30. 0.073616 0.067832 18.6616 26.0043 1 2458206.6376505 354120124 -212.44605122625 97.273750 -2.429449 1.023145 -175.41221662868 145.758698 -1.211548 1.045489 0.691933896431504 18.2600004196167 0.0329999998211861 2.70000004768372 0.141000002622604 2458344.982766 2458374.021157 0
 1 354 7 1 ZTF_r 584481042415 0 3.0501 140.152 6.8386 26.037 1.59249e-05 0.0382692 0.0930393 2.42183e-05 609 30. 0.100787 0.083347 19.7786 26.037 1 2458338.9810417 354120224 -13.18357304606 38.130863 -0.384602 0.924147 20.68942850863 59.425369 0.350503 1.045223 0.72291097773944 18.1340002059937 0.0419999994337559 3.32399988174438 0.264999985694885 2458338.981042 2458376.001285 0
 2 354 7 1 ZTF_g 590482762415 0 2.4862 89.7438 4.82289 25.9365 1.243e-05 0.0335935 -0.0638577 1.98506e-05 596 30. 0.062248 0.066547 20.2777 25.9365 1 2458344.9827662 354120124 -9.00180553002 23.345400 -0.428927 0.982353 -2.68908088552 40.107517 -0.067498 1.049120 0.691933896431504 18.2600004196167 0.0329999998211861 2.70000004768372 0.141000002622604 2458344.982766 2458374.021157 0
 3 354 7 1 ZTF_g 596463122415 0 2.2374 85.0682 4.10051 25.8683 1.3547e-05 0.0345981 -0.0673435 2.07155e-05 587 30. 0.058911 0.058816 20.5463 25.8683 3 2458350.963125 354120124 -40.88445260546 17.470346 -2.603224 0.970407 -35.38325871677 31.580116 -1.127975 1.046635 0.691933896431504 18.2600004196167 0.0329999998211861 2.70000004768372 0.141000002622604 2458344.982766 2458374.021157 0
 4 354 7 1 ZTF_g 596464032415 0 2.135 86.9031 4.0911 25.8647 1.09661e-05 0.0312003 -0.0374425 1.70473e-05 587 30. 0.059912 0.05995 20.5864 25.8647 1 2458350.9640394 354120124 2.35624981335 17.551439 0.149336 0.922095 24.26735397476 31.247353 0.781852 1.052251 0.691933896431504 18.2600004196167 0.0329999998211861 2.70000004768372 0.141000002622604 2458344.982766 2458374.021157 0
 5 354 7 1 ZTF_r 596501802415 0 2.5797 138.844 6.91698 26.0281 7.9867e-06 0.0264607 0.0870064 1.20996e-05 592 30. 0.049943 0.050364 19.9371 26.0281 3 2458351.0018056 354120224 18.04501941618 32.026474 0.626763 1.008752 51.49101604441 55.750401 0.929819 1.037489 0.72291097773944 18.1340002059937 0.0419999994337559 3.32399988174438 0.264999985694885 2458338.981042 2458376.001285 0
 6 354 7 1 ZTF_r 596507902415 0 2.014 154.239 9.15627 26.1322 6.7176e-06 0.0242954 0.101543 1.01819e-05 592 30. 0.045511 0.049593 20.0112 26.1322 1 2458351.0079051 354120224 -44.22310043069 35.861351 -1.371758 0.993120 33.54506406352 68.719688 0.491431 1.039104 0.72291097773944 18.1340002059937 0.0419999994337559 3.32399988174438 0.264999985694885 2458338.981042 2458376.001285 0
 7 354 7 1 ZTF_r 599444292415 0 3.2924 154.12 7.39675 26.133 1.0224e-05 0.030019 0.0843585 1.53558e-05 593 30. 0.057772 0.061951 19.6996 26.133 1 2458353.944294 354120224 -44.68160120082 41.171364 -1.207225 0.926643 -8.38070943974 63.232224 -0.133431 1.045668 0.72291097773944 18.1340002059937 0.0419999994337559 3.32399988174438 0.264999985694885 2458338.981042 2458376.001285 0
 8 354 7 1 ZTF_r 599446602415 0 2.1751 154.815 6.9437 26.1481 6.1905e-06 0.0233832 0.0963393 9.31671e-06 593 30. 0.047568 0.057389 20.2399 26.1481 3 2458353.9466088 354120224 54.85878483468 28.708303 2.125658 1.002688 53.454381664 53.842178 0.999484 1.035855 0.72291097773944 18.1340002059937 0.0419999994337559 3.32399988174438 0.264999985694885 2458338.981042 2458376.001285 0
