,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,59254.30024,21.415912901116826,G,G,6730.0,6730.0,2.999895941832021e-16,-0.2815307637494904,0.0,0.0,17.93,0.3436570756925619,0.0,False
1,59254.37424,21.48991290111735,G,G,6730.0,6730.0,3.0839419208867885e-16,-0.2695307637494899,0.0,0.0,17.9,0.31365707569256074,0.0,False
2,59385.81642,152.93209290112281,G,G,5134.4,5134.4,4.667734983882162e-17,-1.0895307637494884,0.0,0.0,19.95,2.3636570756925614,0.0,False
3,59385.89044,153.00611290112283,G,G,5134.4,5134.4,4.5405262468979854e-17,-1.1015307637494889,0.0,0.0,19.98,2.3936570756925626,0.0,False
4,59408.64367,175.75934290111763,G,G,6730.0,6730.0,3.640040288374118e-17,-1.197530763749489,0.0,0.0,20.22,2.633657075692561,0.0,False
5,59231.11188660003,-1.7724404988475726,g,g,4204.414142857143,4204.414142857143,2.7186219929214263e-16,-0.3242881283424701,8.831167641759102e-18,0.032483985139357845,18.397063245163615,0.8107203208561771,0.032483985139357845,False
6,59231.13246530015,-1.7518617987298057,g,g,4204.414142857143,4204.414142857143,2.557878281795252e-16,-0.3507570797797772,8.061170401249493e-18,0.03151506644636642,18.46323562375688,0.8768926994494421,0.03151506644636642,False
7,59232.197164400015,-0.687162698864995,g,g,4190.259714285714,4190.259714285714,3.635732818469668e-16,-0.1980449938117932,7.611136697240773e-18,0.020934257486072392,18.081455408836923,0.49511248452948564,0.020934257486072392,False
8,59232.19762729993,-0.686699798949121,g,g,4190.259714285714,4190.259714285714,3.529150856153e-16,-0.21096673125088294,7.947332896571108e-18,0.022519107911511068,18.113759752434646,0.5274168281272082,0.022519107911511068,False
9,59232.20576390019,-0.6785631986931548,g,g,4190.259714285714,4190.259714285714,3.701371578596533e-16,-0.1902742683844192,7.832576357134954e-18,0.02116128086795563,18.062028595268487,0.47568567096104886,0.02116128086795563,False
10,59233.15076390002,0.2664368011392071,g,g,4830.0,4830.0,3.618210815205348e-16,-0.2001430867979188,8.164054797828954e-18,0.02256378971485002,18.086700641302237,0.5003577169947988,0.02256378971485002,False
11,59248.14251160016,15.258184501282813,g,g,4204.414142857143,4204.414142857143,3.355848645238344e-16,-0.23283458910284516,7.314995527944718e-18,0.021797751630795555,18.16842939706455,0.582086472757112,0.021797751630795555,False
12,59248.2035069,15.31917980111757,g,g,4204.414142857143,4204.414142857143,3.3101903306437035e-16,-0.23878398851421245,8.55617292769283e-18,0.02584797873549763,18.18330289559297,0.596959971285532,0.02584797873549763,False
13,59254.13280089991,21.24847380103165,g,g,4830.0,4830.0,2.8298731485690766e-16,-0.3068699858979862,8.272800514380999e-18,0.029233821023264363,18.353517889052405,0.7671749647449673,0.029233821023264363,False
14,59254.14346060017,21.259133501291217,g,g,4830.0,4830.0,2.960068767765625e-16,-0.287335153620619,8.266312970015484e-18,0.02792608421815557,18.304680808358984,0.7183378840515466,0.02792608421815557,False
15,59256.14298610017,23.258659001287015,g,g,4190.259714285714,4190.259714285714,2.648275325503602e-16,-0.335673820104736,7.91159335114604e-18,0.029874512196504926,18.42552747456928,0.8391845502618409,0.029874512196504926,False
