MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59270.443591 -21.216  1.701   -12   20 o  0   0.98 181.77175  42.98841  5456.12  1205.24 2.05 2.00  74.7 -0.416 18.96 19.25 01a59270o0385o
59270.445893 -21.470  2.039    -9   19 o  0   0.88 181.77175  42.98841  5436.53  1165.64 2.14 2.08  -4.8 -0.399 18.94 19.26 01a59270o0390o
59270.453674 -20.671  0.849   -20   17 o  0   1.23 181.77175  42.98841  5495.58  1245.48 2.09 2.03  50.1 -0.415 18.98 19.28 01a59270o0406o
59270.460587  21.258  1.635    11   19 o  0   0.89 181.77175  42.98841  5513.19  1128.99 2.12 2.05  30.7 -0.400 18.99 19.29 01a59270o0421o
59276.607624  19.187  0.187    77   14 o  0   1.29 181.77175  42.98841   353.86  9561.35 2.28 1.78 -46.3 -0.444 19.14 19.91 02a59276o0291o
59276.610605  19.782  0.341    44   15 o  0   1.44 181.77175  42.98841   333.32  9520.48 2.44 1.72 -51.1 -0.457 19.14 19.89 02a59276o0297o
59276.617362  19.337  0.282    67   19 o  0   1.10 181.77175  42.98841   389.48  9601.76 2.43 1.81 -48.1 -0.512 19.09 19.87 02a59276o0311o
59276.629399  19.350  0.262    66   17 o  0   0.96 181.77175  42.98841  9863.70  9570.71 2.48 2.09 -51.8 -0.426 19.19 19.91 02a59276o0337o
59276.630334  20.457  0.745    24   18 o  0   1.62 181.77175  42.98841   413.44  9475.12 2.42 1.74 -47.6 -0.492 19.13 19.85 02a59276o0339o
59276.646185  19.107  0.213    83   18 o  0   0.87 181.77175  42.98841  9842.43  9533.85 2.53 2.14 -49.5 -0.427 19.15 19.84 02a59276o0373o
59276.652664  19.555  0.341    55   19 o  0   0.96 181.77175  42.98841  9903.64  9612.46 2.65 2.17 -50.1 -0.427 19.09 19.74 02a59276o0387o
59276.657331  18.944  0.220    96   21 o  0   1.12 181.77175  42.98841  9923.35  9497.07 2.75 2.15 -51.1 -0.414 19.01 19.50 02a59276o0397o
59278.479291  19.309  0.332    69   23 o  0   1.25 181.77175  42.98841  9958.95  5351.86 2.18 2.04  86.9 -0.442 18.84 19.40 01a59278o0404o
59278.483457  18.952  0.209    95   20 o  0   0.64 181.77175  42.98841  9979.84  5387.56 2.12 2.04  87.7 -0.459 19.17 19.84 01a59278o0413o
59278.517790  18.957  0.158    95   15 o  0   0.63 181.77175  42.98841  9928.54  5307.59 2.25 2.06  87.9 -0.437 19.52 20.41 01a59278o0486o
59278.521491  18.870  0.111   103   12 o  0   1.21 181.77175  42.98841   129.65  5424.06 2.19 1.89 -85.3 -0.433 19.60 20.70 01a59278o0494o
59278.524264  18.926  0.162    98   16 o  0   1.23 181.77175  42.98841  9912.01  5423.53 2.35 2.26 -72.9 -0.409 19.14 20.07 01a59278o0500o
59278.525185  19.110  0.161    82   13 o  0   0.97 181.77175  42.98841   151.66  5462.69 2.15 1.87 -85.2 -0.432 19.27 20.25 01a59278o0502o
59278.552751  19.014  2.129    90  192 o  0   0.93 181.77175  42.98841    98.54  5379.07 2.17 1.87  86.2 -0.469 16.88 16.94 01a59278o0561o
59278.560610  19.047  0.658    87   58 o  0   1.53 181.77175  42.98841    79.89  5493.58 2.09 1.88  85.8 -0.422 17.85 18.13 01a59278o0578o
59284.391910  18.930  0.094    97    9 c  0   1.09 181.77175  42.98841  5022.15  3532.60 2.57 2.46  67.2 -0.389 19.68 21.81 02a59284o0314c
59284.395536  19.015  0.094    90    8 c  0   1.33 181.77175  42.98841  5041.28  3570.90 2.59 2.46  60.4 -0.389 19.71 21.81 02a59284o0320c
59284.610074  18.718  0.080   118   10 c  0   1.41 181.77175  42.98841  5584.78  7067.41 2.69 2.31  37.7 -0.390 19.64 21.39 02a59284o0385c
59284.634251  18.697  0.101   121   12 c  0   1.04 181.77175  42.98841  5606.22  6946.79 2.67 2.45  33.7 -0.392 19.50 21.23 02a59284o0392c
59286.428333  18.770  0.089   113   10 o  0   0.85 181.77175  42.98841  9456.11  1555.68 2.23 1.97 -73.8 -0.419 19.96 21.41 01a59286o0194o
59286.430633  18.811  0.082   109    9 o  0   1.35 181.77175  42.98841  9435.56  1515.56 2.05 1.87 -71.1 -0.409 20.04 21.41 01a59286o0199o
59286.434322  18.895  0.101   100   10 o  0   1.00 181.77175  42.98841  9496.46  1594.31 2.27 2.06 -76.1 -0.409 19.93 21.41 01a59286o0207o
59286.439382  18.624  0.068   129    9 o  0   1.53 181.77175  42.98841  9518.53  1476.71 2.42 2.00 -84.4 -0.420 19.85 21.36 01a59286o0218o
59288.397550  18.617  0.059   130    8 c  0   1.95 181.77175  42.98841  5022.60  3534.76 2.49 2.35  54.9 -0.398 19.79 21.91 02a59288o0394c
59288.405197  18.748  0.077   115    9 c  0   0.89 181.77175  42.98841  5048.29  3571.56 2.48 2.33  64.1 -0.398 19.80 21.95 02a59288o0409c
59288.431322  18.783  0.064   111    7 c  0   1.52 181.77175  42.98841  4995.27  3499.76 2.51 2.27  51.8 -0.398 19.79 21.95 02a59288o0464c
59288.434565  18.866  0.080   103    8 c  0   1.26 181.77175  42.98841  4977.69  3609.85 2.58 2.34  47.4 -0.395 19.81 21.96 02a59288o0471c
59292.411896  18.744  0.085   115   10 c  0   1.03 181.77175  42.98841  3037.79  6990.99 2.59 2.42  50.7 -0.390 19.72 21.86 02a59292o0407c
59292.418407  18.745  0.078   115    9 c  0   1.09 181.77175  42.98841  3058.01  7030.44 2.55 2.38  42.2 -0.388 19.73 21.84 02a59292o0421c
