,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,59359.3364,-6.481352669703483,G,G,3613.0164999999997,3613.0164999999997,4.624940932323969e-16,-1.9714429311553339,0.0,0.0,17.46,4.568437494207174,0.0,False
1,59359.51255,-6.305202669704158,G,G,3613.0164999999997,3613.0164999999997,5.118069635201542e-16,-1.9274429311553352,0.0,0.0,17.35,4.458437494207175,0.0,False
2,59386.01209,20.19433733029291,G,G,6730.0,6730.0,9.75228064167705e-16,-1.647442931155334,0.0,0.0,16.65,3.758437494207172,0.0,False
3,59386.0861,20.26834733029682,G,G,6730.0,6730.0,9.574281459720038e-16,-1.655442931155335,0.0,0.0,16.67,3.778437494207175,0.0,False
4,59440.25075,74.43299733029562,G,G,6730.0,6730.0,4.932944059335804e-16,-1.9434429311553334,0.0,0.0,17.39,4.498437494207174,0.0,False
5,59440.32476,74.50700733029953,G,G,6730.0,6730.0,4.887718556358923e-16,-1.947442931155333,0.0,0.0,17.4,4.508437494207172,0.0,False
6,59440.50093,74.68317733029835,G,G,6730.0,6730.0,4.9785880287395e-16,-1.9394429311553338,0.0,0.0,17.38,4.488437494207172,0.0,False
7,59461.00887,95.19111733029422,G,G,6730.0,6730.0,4.498898452050603e-16,-1.9834429311553325,0.0,0.0,17.49,4.598437494207172,0.0,False
8,59461.08287,95.26511733029474,G,G,6730.0,6730.0,4.498898452050603e-16,-1.9834429311553325,0.0,0.0,17.49,4.598437494207172,0.0,False
9,59500.81779,135.00003733029735,G,G,6730.0,6730.0,1.6638194255381271e-16,-2.4154429311553347,0.0,0.0,18.57,5.678437494207174,0.0,False
10,59500.99396,135.17620733029617,G,G,6730.0,6730.0,1.6947521381302843e-16,-2.407442931155334,0.0,0.0,18.55,5.658437494207174,0.0,False
11,59534.22321,168.40545733029285,G,G,6730.0,6730.0,1.2621361051111617e-16,-2.535442931155334,0.0,0.0,18.87,5.978437494207174,0.0,False
12,59534.29722,168.47946733029676,G,G,6730.0,6730.0,1.2164834098698546e-16,-2.551442931155334,0.0,0.0,18.91,6.018437494207173,0.0,False
13,59554.97226,189.15450733029866,G,G,6730.0,6730.0,1.2974964865081435e-16,-2.5234429311553335,0.0,0.0,18.84,5.948437494207173,0.0,False
14,59555.04627,189.2285173302953,G,G,6730.0,6730.0,1.2974964865081435e-16,-2.5234429311553335,0.0,0.0,18.84,5.948437494207173,0.0,False
15,59597.16478,231.34702733029553,G,G,6730.0,6730.0,8.493881357934223e-17,-2.7074429311553345,0.0,0.0,19.3,6.408437494207174,0.0,False
16,59597.2388,231.42104733029555,G,G,6730.0,6730.0,8.651794402345209e-17,-2.6994429311553354,0.0,0.0,19.28,6.388437494207174,0.0,False
17,59605.49287,239.67511733029824,G,G,3370.0,3370.0,8.493881357934223e-17,-2.7074429311553345,0.0,0.0,19.3,6.408437494207174,0.0,False
18,59605.66903,239.85127733029367,G,G,3370.0,3370.0,8.651794402345209e-17,-2.6994429311553354,0.0,0.0,19.28,6.388437494207174,0.0,False
