# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.8 on 2024-02-14 at 08:09:27
#
# Requested input R.A. = 242.770814135 degrees
# Requested input Dec. = 18.4995393404 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 584 8 1 ZTF_r 444457952815 0 1.5035 166.922 5.74968 26.3102 4.7323e-06 0.0281535 0.109421 9.26653e-06 939 30. 0.047902 0.052381 20.7745 26.3102 1 2458198.9579514 584120228 56.36716210283 23.106316 2.713628 1.117057 69.264797603 44.410801 1.570143 1.046854 1.18161288812187 18.2159999847412 0.135000005364418 7.85400009155273 0.564999997615814 2458158.970231 2458282.816215 0
 1 584 8 1 ZTF_r 444460372815 0 1.5337 167.353 5.76318 26.3127 4.6911e-06 0.0279775 0.111031 9.23163e-06 939 30. 0.048177 0.047933 20.7747 26.3127 1 2458198.9603704 584120228 -52.41036182929 24.106188 -2.418485 1.060612 -138.12098621109 46.581615 -2.985110 1.043879 1.18161288812187 18.2159999847412 0.135000005364418 7.85400009155273 0.564999997615814 2458158.970231 2458282.816215 0
 2 584 8 1 ZTF_g 449418622815 0 2.2443 77.6811 6.00104 26.2245 5.6515e-06 0.0309354 -0.0477865 1.13e-05 940 30. 0.046843 0.04903 20.4923 26.2245 1 2458203.9186227 584120128 -5.89462000554 32.110039 -0.204207 0.926313 36.32553940214 53.324371 0.685806 1.096908 0.757901484962099 18.7840001106262 0.119000002741814 7.14799976348877 0.400000005960464 2458203.918623 2458336.735220 0
 3 584 8 1 ZTF_g 452418872815 0 2.3359 83.2103 11.1764 26.3029 6.9162e-06 0.0319323 -0.0526116 1.63253e-05 867 30. 0.04898 0.047718 19.7499 26.3029 1 2458206.9188773 584120128 2.99224232131 57.918076 0.057469 0.977044 -60.03654143921 97.894310 -0.617410 1.069705 0.757901484962099 18.7840001106262 0.119000002741814 7.14799976348877 0.400000005960464 2458203.918623 2458336.735220 0
 4 584 8 1 ZTF_g 452508172815 0 1.8881 74.5986 9.08912 26.1891 7.3228e-06 0.033861 -0.0419081 1.62367e-05 902 30. 0.044735 0.046283 20.0397 26.1891 1 2458207.0081713 584120128 46.28510028261 43.673470 1.178904 0.979860 20.85322334101 78.223518 0.268381 1.072886 0.757901484962099 18.7840001106262 0.119000002741814 7.14799976348877 0.400000005960464 2458203.918623 2458336.735220 0
 5 584 8 1 ZTF_g 456410012815 0 2.4181 78.6907 15.5663 26.2409 1.24762e-05 0.036129 -0.0244917 3.54914e-05 680 30. 0.049359 0.052608 19.3104 26.2409 1 2458210.9100116 584120128 61.75772063967 86.720451 0.792181 0.958464 62.46558568645 139.299347 0.451447 1.096514 0.757901484962099 18.7840001106262 0.119000002741814 7.14799976348877 0.400000005960464 2458203.918623 2458336.735220 0
 6 584 8 1 ZTF_g 456447592815 0 2.2026 83.3058 14.5906 26.2906 1.0331e-05 0.0349839 -0.0164867 2.75255e-05 740 30. 0.044867 0.050464 19.5101 26.2906 1 2458210.9475926 584120128 23.65455805532 75.789413 0.347185 1.040446 39.44209223947 124.119324 0.319916 1.107553 0.757901484962099 18.7840001106262 0.119000002741814 7.14799976348877 0.400000005960464 2458203.918623 2458336.735220 0
 7 584 8 1 ZTF_r 462369292815 0 2.6983 154.003 5.21472 26.2178 3.6572e-06 0.024769 0.123339 7.19332e-06 942 30. 0.055869 0.052276 20.4296 26.2178 1 2458216.869294 584120228 66.56598124768 34.171291 2.166934 0.967776 81.03310239315 51.692043 1.578171 1.117715 1.18161288812187 18.2159999847412 0.135000005364418 7.85400009155273 0.564999997615814 2458158.970231 2458282.816215 0
 8 584 8 1 ZTF_r 462407592815 0 3.6791 152.24 6.22251 26.2182 5.4166e-06 0.0301646 0.123425 1.06555e-05 944 30. 0.072898 0.067936 19.9782 26.2182 1 2458216.9075926 584120228 16.19731872977 45.078053 0.399699 1.121392 67.21586826001 60.739883 1.114071 1.190600 1.18161288812187 18.2159999847412 0.135000005364418 7.85400009155273 0.564999997615814 2458158.970231 2458282.816215 0
