,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,59403.336616500004,1.2858444899029564,c,c,4258.214285714286,4258.214285714286,5.655881272906982e-16,-0.07437338212272238,1.0045665677162257e-17,0.017761450766803376,17.494734403571854,0.21010668843198488,0.017761450766803376,False
1,59407.279172999995,5.2284009898939985,c,c,6486.2828734693885,6486.2828734693885,5.21399862585765e-16,-0.1097027540124742,2.250258077906669e-17,0.04315801056691925,17.583057833296234,0.29843011815636444,0.04315801056691925,False
2,59425.31246275,23.261690739898768,c,c,5330.0,5330.0,3.3854904922478897e-16,-0.2972520679169204,9.585033707932944e-18,0.028312097552424954,18.051931118057347,0.7673034029174772,0.028312097552424954,False
3,59429.29716025,27.24638823989517,c,c,5330.0,5330.0,3.0484543978160326e-16,-0.34279396364221704,9.748811666707413e-18,0.03197952271712392,18.16578585737059,0.8811581422307206,0.03197952271712392,False
4,59432.26250425,30.211732239898993,c,c,5330.0,5330.0,2.7816218864858953e-16,-0.3825755715625103,9.199286912367793e-18,0.033071665696409666,18.26523987717132,0.9806121620314521,0.033071665696409666,False
5,59394.3634135,-7.68735851009842,c,c,6398.261530612244,6398.261530612244,3.846332255586561e-17,-1.2418268694447523,3.846332255586561e-19,0.01,20.41336812187693,3.1287404067370588,0.01,True
6,59586.61565566666,184.5648836565597,c,c,5330.0,5330.0,5.438748194538956e-17,-1.0913747142558048,5.438748194538956e-19,0.01,20.037237733904554,2.7526100187646847,0.01,True
7,59591.641005666665,189.5902336565632,c,c,5330.0,5330.0,4.722037517170394e-17,-1.1527442331074393,4.722037517170394e-19,0.01,20.190661531033648,2.906033815893778,0.01,True
8,59612.656871666666,210.60609965656477,c,c,5330.0,5330.0,4.0719184094812e-17,-1.2170745990885994,4.0719184094812e-19,0.01,20.351487445986542,3.066859730846673,0.01,True
9,59616.66743025,214.61665823990188,c,c,5330.0,5330.0,5.642877587724129e-17,-1.07537303726758,5.64287758772413e-19,0.01,19.997233541434,2.71260582629413,0.01,True
10,59617.09694533333,215.0461733232296,c,c,5330.0,5330.0,5.3463323495911104e-17,-1.0988177136300248,5.34633234959111e-19,0.01,20.055845232340104,2.7712175172002347,0.01,True
11,59620.65854225,218.60777023989795,c,c,5330.0,5330.0,5.032059668197478e-17,-1.1251278842250425,5.032059668197478e-19,0.01,20.121620658827652,2.8369929436877825,0.01,True
12,59621.124369,219.07359698989603,c,c,5330.0,5330.0,5.807918738678844e-17,-1.0628531350707657,5.807918738678844e-19,0.01,19.965933785941964,2.681306070802094,0.01,True
13,59640.639308000005,238.5885359899039,c,c,5330.0,5330.0,5.12637886018496e-17,-1.1170629672295167,5.12637886018496e-19,0.01,20.10145836633884,2.81683065119897,0.01,True
14,59643.342289333326,241.29151732322498,c,c,5330.0,5330.0,6.982301618430208e-17,-0.982875061039449,6.982301618430208e-19,0.01,19.76598860086367,2.4813608857237988,0.01,True
15,59644.63278875,242.5820167398997,c,c,5330.0,5330.0,8.350031072275614e-17,-0.9051855747965565,8.350031072275614e-19,0.01,19.571764885256435,2.2871371701165657,0.01,True
16,59648.64320166666,246.59242965655721,c,c,5330.0,5330.0,5.863231690914776e-17,-1.058736610323086,5.863231690914776e-19,0.01,19.95564247407276,2.671014758932891,0.01,True
17,59651.319168999995,249.26839698989352,c,c,5330.0,5330.0,4.832829589898751e-17,-1.1426721846087151,4.832829589898751e-19,0.01,20.165481409786835,2.880853694646966,0.01,True
18,59668.6653565,266.61458448990015,c,c,5330.0,5330.0,1.6966988290100033e-16,-0.5972689062773338,1.6966988290100033e-18,0.01,18.80197321395838,1.5173454988185107,0.01,True
19,59672.958065750005,270.90729373990325,c,c,4879.967518367347,4879.967518367347,4.130834321835219e-17,-1.2108358896035742,4.130834321835219e-19,0.01,20.335890672273983,3.0512629571341137,0.01,True
20,59676.5130995,274.4623274898986,c,c,6486.2828734693885,6486.2828734693885,5.735613885076627e-17,-1.068293758947819,5.735613885076627e-19,0.01,19.979535345634595,2.6949076304947255,0.01,True
21,59678.4283095,276.3775374898978,c,c,5330.0,5330.0,5.749598824737449e-17,-1.0672361233115293,5.749598824737449e-19,0.01,19.976891256543865,2.692263541403996,0.01,True
22,59680.397707,278.3469349898951,c,c,5328.775510204082,5328.775510204082,8.16871809015961e-17,-0.9147197579637112,8.16871809015961e-19,0.01,19.595600343174326,2.310972628034456,0.01,True
23,59681.4018385,279.3510664899004,c,c,5330.0,5330.0,1.1616974288347632e-16,-0.7617806382454742,1.1616974288347633e-18,0.01,19.21325254387873,1.9286248287388617,0.01,True
24,59692.46240633333,290.4116343232308,c,c,5330.0,5330.0,6.630870201684502e-17,-1.005303139642896,6.630870201684502e-19,0.01,19.822058797372286,2.537431082232416,0.01,True
