# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.8 on 2024-02-14 at 08:06:23
#
# Requested input R.A. = 169.136292 degrees
# Requested input Dec. = 29.09615 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 622 13 2 ZTF_g 450213074915 0 3.2991 77.8076 11.2552 26.27 9.10638e-05 0.0394316 -0.0783608 0.000171939 99 30. 0.079796 0.088746 19.3852 26.27 1 2458204.7130787 622120149 -62.28057148034 71.897011 -0.963600 1.063131 -54.04018027664 103.228638 -0.527026 1.107780 2.88269951604997 19.0979997634888 0.0879999995231628 6.90500020980835 0.46399998664856 2458166.823646 2458280.714907 0
 1 622 13 2 ZTF_g 450315014915 0 3.0146 79.0146 10.5403 26.2874 9.57308e-05 0.0418463 -0.070299 0.000167192 107 30. 0.067175 0.083128 19.5572 26.2874 1 2458204.8150116 622120149 70.47755523949 69.704384 1.124723 0.984930 48.03115639819 102.482231 0.471834 1.125992 2.88269951604997 19.0979997634888 0.0879999995231628 6.90500020980835 0.46399998664856 2458166.823646 2458280.714907 0
 2 622 13 2 ZTF_g 453293814915 0 2.305 80.8239 18.9113 26.2861 0.000135129 0.0469781 -0.0463547 0.000270014 93 30. 0.060716 0.075605 19.1671 26.2861 1 2458207.7938194 622120149 65.86178838067 96.966438 0.755556 0.979362 -117.71926895065 167.197723 -0.708814 1.101226 2.88269951604997 19.0979997634888 0.0879999995231628 6.90500020980835 0.46399998664856 2458166.823646 2458280.714907 0
 3 622 13 2 ZTF_g 453314154915 0 2.3544 72.8851 24.3197 26.0855 0.000168926 0.0434063 -0.0539982 0.000408179 69 30. 0.059069 0.068787 18.6992 26.0855 1 2458207.8141551 622120149 -119.40138058782 121.751076 -1.090916 0.980794 -119.69257462341 211.410080 -0.569976 1.106632 2.88269951604997 19.0979997634888 0.0879999995231628 6.90500020980835 0.46399998664856 2458166.823646 2458280.714907 0
 4 622 13 2 ZTF_g 456266404915 0 2.3194 71.634 12.213 26.1597 7.2672e-05 0.0389418 -0.0307551 0.000120252 122 30. 0.052261 0.073066 19.6176 26.1597 1 2458210.7664005 622120149 -46.89954088379 67.192314 -0.776433 0.978534 -156.51689470895 115.346306 -1.366069 1.117964 2.88269951604997 19.0979997634888 0.0879999995231628 6.90500020980835 0.46399998664856 2458166.823646 2458280.714907 0
 5 622 13 2 ZTF_g 456274464915 0 2.4567 71.0898 12.1382 26.1549 8.9753e-05 0.0406929 -0.0295466 0.00016563 103 30. 0.054793 0.078218 19.5071 26.1549 1 2458210.7744676 622120149 -8.39780466745 73.505104 -0.127088 1.006996 -145.30764564631 117.851212 -1.241280 1.140980 2.88269951604997 19.0979997634888 0.0879999995231628 6.90500020980835 0.46399998664856 2458166.823646 2458280.714907 0
 6 622 13 2 ZTF_r 460217434915 33554432 2.6956 52.1994 8.41951 24.7437 0.000110395 0.0466893 0.117085 0.000162871 121 30. 0.061647 0.069982 18.5266 24.7437 1 2458214.7174306 622120249 30.54858458514 43.326859 0.784312 1.044454 13.87921568383 74.174538 0.188376 1.087224 2.76937518562468 18.6750000953674 0.0710000023245811 6.07000017166138 0.370999991893768 2458155.819282 2458186.813194 0
 7 622 13 2 ZTF_i 460363374915 0 2.6743 68.7555 9.33757 24.2294 0.000135762 0.0655813 0.153784 0.000248166 99 30. 0.068769 0.087079 17.7273 24.2294 2 2458214.8633796 622120349 -16.91294649518 52.157867 -0.360707 1.075235 46.91789229597 81.673027 0.578329 1.089764 2.67419117408369 18.5899998283386 0.0670000016689301 3.99300003051758 0.301999986171722 2458173.874271 2458263.826250 0
 8 622 13 2 ZTF_r 463203554915 0 2.6271 204.046 9.24022 25.9243 3.28515e-05 0.027765 0.113551 4.14967e-05 168 30. 0.062306 0.077306 19.8415 26.275 1 2458217.7035532 622120249 60.15888541424 45.600178 1.467534 0.979251 183.70896852729 78.667450 2.350988 1.055283 2.76937518562468 18.6750000953674 0.0710000023245811 6.07000017166138 0.370999991893768 2458155.819282 2458186.813194 0
