MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59657.387696 -20.397  1.236   -25   31 o  0   1.59 153.45096  18.12732  5761.83  8074.97 2.43 1.89  35.2 -0.437 18.77 19.08 02a59657o0385o
59657.390904  20.309  1.260    27   34 o  0   1.23 153.45096  18.12732  5742.44  8036.40 2.43 1.90  35.3 -0.440 18.77 19.06 02a59657o0392o
59657.398692  19.740  0.770    46   36 o  0   1.25 153.45096  18.12732  5799.44  8114.34 2.47 1.92  35.2 -0.436 18.77 19.06 02a59657o0409o
59657.410729 -19.854  0.951   -42   40 o  0   0.88 153.45096  18.12732  5819.62  8000.76 2.46 1.91  39.3 -0.426 18.76 19.04 02a59657o0435o
59658.398777  21.497  1.929     9   18 o  0   1.48 153.45096  18.12732  5510.88  2262.03 2.23 1.93  39.6 -0.440 18.91 19.49 02a59658o0410o
59658.402473  20.144  0.647    32   21 o  0   0.90 153.45096  18.12732  5491.78  2223.13 2.34 1.95  43.2 -0.424 18.97 19.47 02a59658o0418o
59658.407996  20.868  1.432    16   23 o  0   0.88 153.45096  18.12732  5549.81  2300.74 2.29 1.91  42.4 -0.439 18.91 19.43 02a59658o0430o
59658.419183 -20.070  0.591   -34   20 o  0   1.10 153.45096  18.12732  5571.03  2186.60 2.24 1.85  43.0 -0.438 18.91 19.41 02a59658o0454o
59658.423146 -22.381  5.435    -4   22 o  0   1.25 153.45096  18.12732  2818.11  2650.53 2.79 2.59 -48.9 -0.504 18.77 19.55 01a59658o0430o
59658.427257 -21.426  2.370   -10   23 o  0   1.32 153.45096  18.12732  2840.06  2689.11 2.83 2.65 -49.2 -0.493 18.76 19.53 01a59658o0439o
59658.432760  19.821  0.545    43   23 o  0   1.25 153.45096  18.12732  2781.37  2612.37 2.85 2.67 -49.2 -0.493 18.73 19.50 01a59658o0451o
59658.443265 -19.549  0.432   -55   24 o  0   0.89 153.45096  18.12732  2767.83  2729.96 2.82 2.67 -51.6 -0.487 18.70 19.49 01a59658o0474o
59659.195828 -24.697 48.250    -0   23 o  0   1.30 153.45096  18.12732  2966.06  4482.38 2.01 1.94  81.7 -0.427 18.68 19.30 04a59659o0479o
59659.198983  23.253 12.733     2   23 o  0   1.59 153.45096  18.12732  2987.21  4519.96 2.01 1.97  79.1 -0.419 18.67 19.29 04a59659o0486o
59659.204981  21.213  1.408    12   17 o  0   1.92 153.45096  18.12732  2932.21  4438.86 2.05 1.89  81.3 -0.393 18.62 19.25 04a59659o0499o
59659.215529 -20.694  1.145   -19   22 o  0   1.06 153.45096  18.12732  2917.73  4551.02 2.03 1.90  77.2 -0.397 18.57 19.24 04a59659o0522o
59659.416211  20.574  0.909    21   20 o  0   1.05 153.45096  18.12732  2817.10  2651.46 2.81 2.62 -44.5 -0.492 19.03 20.04 01a59659o0447o
59659.423794  20.174  0.626    31   19 o  0   1.56 153.45096  18.12732  2840.51  2691.18 3.03 2.83 -54.6 -0.455 18.93 20.01 01a59659o0463o
