# SN2023bmd magnitudes from Swift UVOT                                                        
# generated Thu Feb 8 23:09:42 UTC 2024 using version 2015.1                                         
# of Peter Brown's photometry pipeline                                                      
# and version Swift_Rel5.8(Bld47)_30Jun2023 of HEASOFT                                                      
#                                                                                         
# Data comes from the Swift Data Center                                                   
# A 5 arcsec aperture is used to measure the counts for the coincidence loss correction,  
# a 3 or 5 arcsec source aperture (based on the error) was used for the aperture photometry 
# subtracting off the galaxy count rate in a template image  (if available),              
# and applying an aperture correction as appropriate (based on average psf in Swift CALDB)
# and zeropoints from Breeveld et al. (2011) which update Poole et al. (2008)             
# including a time-dependent sensitivity loss                                             
# to put the magnitudes on the UVOT photometric system described in that paper.   
# The sensitivity correction has been updated based on the 2015 redetermination.        
#
#  Brown, P. J., Holland, S. T., Immler, S., et al. 2009, ApJ, 137, 4517
#  Brown, P. J., et al. 2014, Ap&SS, submitted
#  Breeveld, A. A., Landsman, W., Holland, S. T., et al. 2011, in AIP Conf. Proc. 1358,   
#     Gamma-Ray Bursts 2010, ed. J. E. McEnergy, J. L. Racusin, & N. Gehrels                 
#     (Melville, NY: AIP), 373; arXiv:1102.4717                                              
#  Poole, T. S., Breeveld, A. A., Page, M. J., et al. 2008, MNRAS, 383, 627
#                                                                                         
#                                                                                           
#                                                                                           
# The underlying galaxy had the following count rates                                       
# in a 5 arcsec aperture at the source position  
# (missing filters list 0 but used a background region similar to the SN ):                 
# Galaxy count rates in 5" aperture
#                                                                                           
# There are no known issues with this photometry.                                           
#                                                                                           
# Filter MJD[days] Mag MagErr 3SigMagLim 0.98SatLim[mag] Rate[c/s] RateErr[c/s] Ap[arcsec] Frametime[s] Exp[s] Telapse[s]
#                                                                                           
UVW2     59985.3368  17.929   0.168  18.998  11.097   0.603   0.093   3.000      0.0110322     314.73     319.78
UVW2     59988.1202  18.968   0.262  19.418  11.090   0.232   0.056   3.000      0.0110322     354.10     359.77
UVW2     59989.3130  19.044   0.290  19.360  11.090   0.216   0.058   3.000      0.0110322     315.49   11775.62
UVW2     59991.6938    NULL    NULL  19.566  11.088   0.132   0.045   3.000      0.0110322     336.16   34270.22
UVW2     59993.2804    NULL    NULL  19.349  11.088   0.067   0.048   3.000      0.0110322     230.09     233.78
#                                                                                           
UVM2     59985.3441  17.617   0.117  19.195  10.565   0.494   0.053   3.000      0.0110322     744.37     756.30
UVM2     59988.1265  18.328   0.172  19.362  10.560   0.256   0.041   3.000      0.0110322     569.56     578.69
UVM2     59989.3162  18.812   0.244  19.352  10.559   0.164   0.037   3.000      0.0110322     510.08   12087.60
UVM2     59991.6964    NULL    NULL  19.510  10.557   0.086   0.029   3.000      0.0110322     469.77   34339.39
UVM2     59993.2846    NULL    NULL  19.484  10.556   0.073   0.029   3.000      0.0110322     375.64     381.66
#                                                                                           
UVW1     59985.3320  17.689   0.189  18.592  11.163   0.795   0.138   3.000      0.0110322     157.25     159.77
UVW1     59988.1150  18.039   0.193  18.903  11.159   0.576   0.102   3.000      0.0110322     212.37     215.78
UVW1     59989.3105  18.108   0.202  18.922  11.156   0.541   0.101   3.000      0.0110322     189.48   11536.26
UVW1     59991.6912  18.811   0.291  19.121  11.152   0.283   0.076   3.000      0.0110322     200.31   34164.50
UVW1     59993.2770    NULL    NULL  18.902  11.152   0.220   0.085   3.000      0.0110322     137.65     139.86
#                                                                                           
U        59985.3335  17.999   0.214  18.714  12.093   1.369   0.269   3.000      0.0110322      78.52      79.78
U        59988.1167  17.946   0.219  18.632  12.095   1.438   0.290   3.000      0.0110322      70.64      71.77
U        59989.3111  17.854   0.212  18.590  12.093   1.565   0.306   3.000      0.0110322      63.50   11531.24
U        59991.6920  17.947   0.224  18.603  12.094   1.436   0.296   3.000      0.0110322      66.47   34108.88
U        59993.2781    NULL    NULL  18.465  12.085   0.832   0.299   3.000      0.0110322      46.03      46.77
#                                                                                           
B        59985.3345    NULL    NULL  19.306  12.884   0.732   0.281   3.000      0.0110322      78.52      79.78
B        59988.1176  18.870   0.298  19.141  12.899   1.248   0.342   3.000      0.0110322      70.64      71.77
B        59989.3115    NULL    NULL  19.118  12.893   0.829   0.333   3.000      0.0110322      63.51   11560.65
B        59991.6924    NULL    NULL  19.173  12.889   0.859   0.319   3.000      0.0110322      66.48   34114.27
B        59993.2787  18.925   0.363  18.949  12.889   1.185   0.397   3.000      0.0110322      46.04      46.78
#                                                                                           
V        59985.3392    NULL    NULL  18.326  11.637   0.139   0.204   3.000      0.0110322      78.51      79.77
V        59988.1227    NULL    NULL  18.273  11.636   0.141   0.212   3.000      0.0110322      70.65      71.78
V        59989.3139    NULL    NULL  18.197  11.637   0.448   0.241   3.000      0.0110322      63.54   11734.83
V        59991.6949    NULL    NULL  18.235  11.636   0.108   0.217   3.000      0.0110322      66.49   34151.70
V        59993.2821    NULL    NULL  18.002  11.637   0.260   0.271   3.000      0.0110322      46.04      46.78
#                                                                                           
