# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.8 on 2024-02-14 at 08:24:33
#
# Requested input R.A. = 131.5695 degrees
# Requested input Dec. = 27.351289 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 617 9 2 ZTF_g 452214803315 0 1.8544 128.37 15.207 26.2884 2.02554e-05 0.0377694 -0.0579031 3.59946e-05 506 30. 0.041202 0.045031 19.5812 26.2884 1 2458206.7148032 617120133 -3.44286361939 71.773392 -0.053359 0.876261 -248.20041095205 136.380310 -1.832171 1.058972 4.55542307912163 19.9610001564026 0.104999996721745 4.84100008010864 0.409999996423721 2458166.743380 2458444.024560 0
 1 617 9 2 ZTF_g 452252963315 0 2.434 127.785 14.979 26.2839 2.09226e-05 0.0369911 -0.0620579 3.96794e-05 463 30. 0.045464 0.051037 19.3556 26.2839 1 2458206.752963 617120133 -10.35332601772 69.064194 -0.166756 1.047312 -344.49265812716 118.766266 -2.920129 1.059830 4.55542307912163 19.9610001564026 0.104999996721745 4.84100008010864 0.409999996423721 2458166.743380 2458444.024560 0
 2 617 9 2 ZTF_g 456196113315 0 2.1433 78.0998 11.0499 25.7751 3.53123e-05 0.0464353 -0.0419701 6.85438e-05 437 30. 0.042557 0.043291 19.3787 25.7751 1 2458210.6961111 617120133 70.16122297898 54.400066 1.434672 0.914330 79.0419280668 94.774551 0.839617 1.081148 4.55542307912163 19.9610001564026 0.104999996721745 4.84100008010864 0.409999996423721 2458166.743380 2458444.024560 0
 3 617 9 2 ZTF_g 456211783315 0 1.8585 59.5351 12.2917 25.4562 5.64206e-05 0.0529319 -0.0310096 0.000120747 373 30. 0.041085 0.043592 19.0254 25.4562 1 2458210.7117824 617120133 -33.52344981635 52.035301 -0.716647 1.050351 7.26227019242 96.027939 0.076136 1.072487 4.55542307912163 19.9610001564026 0.104999996721745 4.84100008010864 0.409999996423721 2458166.743380 2458444.024560 0
 4 617 9 2 ZTF_r 460177903315 33554432 2.003 33.8833 10.1142 24.532 4.19775e-05 0.0497511 0.125828 6.82254e-05 415 30. 0.051289 0.047121 18.1569 24.532 1 2458214.6779051 617120233 -78.92900594169 47.344193 -1.854491 1.018043 -123.11746777101 85.909775 -1.442754 1.062782 2.93186921955626 21.9380001068115 0.193000003695488 1.96200001239777 0.407000005245209 2458154.716181 2458190.653148 0
 5 617 9 2 ZTF_r 460190843315 0 2.3209 162.893 26.2154 25.1916 2.61503e-05 0.0442571 0.118907 3.94377e-05 539 30. 0.053627 0.056172 18.796 26.275 1 2458214.6908449 617120233 -122.2029522711 133.646088 -1.017139 1.043151 169.96200114355 223.632919 0.765123 1.072554 2.93186921955626 21.9380001068115 0.193000003695488 1.96200001239777 0.407000005245209 2458154.716181 2458190.653148 0
 6 617 9 2 ZTF_r 463194623315 0 2.1891 164.013 19.8165 25.427 1.6854e-05 0.0375749 0.0992845 2.50798e-05 597 30. 0.044352 0.043257 19.1121 26.275 1 2458217.6946296 617120233 -105.4594921859 90.545555 -1.295607 1.045875 19.03713976836 165.462524 0.115829 1.043448 2.93186921955626 21.9380001068115 0.193000003695488 1.96200001239777 0.407000005245209 2458154.716181 2458190.653148 0
 7 617 9 2 ZTF_r 467200563315 0 14.0058 112.298 8.11389 25.8443 1.60676e-05 0.036435 0.131387 2.36561e-05 600 30. 0.054308 0.061595 19.4719 25.8443 1 2458221.7005671 617120233 149.48057967407 50.878273 3.268189 0.996573 304.26942293045 73.413521 4.172511 1.145093 2.93186921955626 21.9380001068115 0.193000003695488 1.96200001239777 0.407000005245209 2458154.716181 2458190.653148 0
 8 617 9 2 ZTF_r 470148143315 33554432 2.1993 17.9169 10.1861 23.8762 7.82688e-05 0.051237 0.122512 0.000148579 262 30. 0.053157 0.04977 17.4232 23.8762 1 2458224.6481481 617120233 -7.17964907616 50.278278 -0.158846 0.981574 -24.24734473812 87.967201 -0.277497 1.067970 2.93186921955626 21.9380001068115 0.193000003695488 1.96200001239777 0.407000005245209 2458154.716181 2458190.653148 0
