MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
60041.127537 -20.909  2.118   -16   33 o  0   0.74 272.04785  11.71941  8568.26  9945.19 2.68 2.19 -41.2 -0.403 18.57 18.90 03a60041o0627o
60041.131031  20.859  1.491    16   24 o  0   1.07 272.04785  11.71941  8549.73  9905.53 2.61 2.12 -42.2 -0.415 18.61 18.95 03a60041o0634o
60041.134981 -23.117 15.231    -2   31 o  0   1.01 272.04785  11.71941  8607.22  9985.60 2.71 2.22 -39.3 -0.406 18.58 18.97 03a60041o0642o
60041.156229  20.294  1.104    28   31 o  0   0.98 272.04785  11.71941  8633.38  9870.02 2.60 2.11 -42.8 -0.414 18.67 18.98 03a60041o0685o
60042.320074 -19.673  0.724   -49   36 o  0   0.82 272.04785  11.71941  9117.15  7509.44 2.26 1.99  -3.9 -0.462 18.49 18.91 04a60042o0769o
60042.322838  22.980 13.000     2   30 o  0   0.94 272.04785  11.71941  9096.56  7470.97 2.16 1.97  -5.7 -0.485 18.48 18.93 04a60042o0775o
60042.326933  20.023  0.855    36   30 o  0   0.98 272.04785  11.71941  9155.57  7549.07 2.30 2.09 -18.9 -0.466 18.46 18.95 04a60042o0784o
60042.337141 -21.068  2.816   -14   38 o  0   0.76 272.04785  11.71941  9174.12  7435.22 2.16 2.01 -32.1 -0.477 18.53 18.98 04a60042o0805o
60045.316798  21.414  2.500    10   25 o  0   1.17 272.04785  11.71941  1180.71  4062.68 2.04 1.78  64.1 -0.427 18.69 19.23 04a60045o0750o
60045.319126  19.289  0.469    70   33 o  0   0.81 272.04785  11.71941  1160.82  4024.04 2.16 1.92  61.2 -0.410 18.54 19.08 04a60045o0755o
60045.344727 -19.010  0.251   -90   23 o  0   1.61 272.04785  11.71941  1224.76  4099.10 2.07 1.82  60.8 -0.416 18.59 19.19 04a60045o0808o
