,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,58249.351967600174,-1818.1594384099299,g,g,4190.259714285714,4190.259714285714,2.2278420024809903e-17,-1.1612319383875374,7.873695631640051e-18,0.35342253278606256,21.11322434084272,2.7968972953503126,0.35342253278606256,False
1,58249.39399310015,-1818.1174129099527,g,g,4190.259714285714,4190.259714285714,2.134734164069531e-17,-1.179772525470618,7.5406704786936e-18,0.35323697936789056,21.159575808550425,2.8432487630580177,0.35323697936789056,False
2,59723.415983799845,-344.09542221025913,g,g,4190.259714285714,4190.259714285714,1.4862451675692553e-17,-1.3370258704701818,4.352625434031864e-18,0.2928605272540974,21.55270917104933,3.236382125556922,0.2928605272540974,False
3,60063.443935200106,-4.067470809997758,g,g,4204.414142857143,4204.414142857143,4.2813253441659605e-16,0.12246190574171933,7.705328497763497e-18,0.01799753085399905,17.903989730519577,-0.4123373149728309,0.01799753085399905,False
4,60067.343078699894,-0.16832731020986103,g,g,4830.0,4830.0,4.619970620849447e-16,0.1555228877965007,1.8953582764021974e-17,0.041025331802947894,17.821337275382625,-0.4949897701097825,0.041025331802947894,False
5,60078.45211810013,10.940712090028683,g,g,4204.414142857143,4204.414142857143,3.8383153287820944e-16,0.07502432440291074,7.322294154225564e-18,0.019076843685349173,18.0225836838666,-0.2937433616258076,0.019076843685349173,False
6,60085.36091439985,17.849508389743278,g,g,4204.414142857143,4204.414142857143,3.137589832758834e-16,-0.012520157007450905,6.423390531011468e-18,0.020472371703740132,18.241444887392504,-0.0748821580999035,0.020472371703740132,False
7,60087.429236100055,19.917830089951167,g,g,4204.414142857143,4204.414142857143,2.8693526613618364e-16,-0.05133239698802505,5.754684361196167e-18,0.02005568865301106,18.33847548734394,0.022148441851530976,0.02005568865301106,False
8,60089.40958329989,21.898177289782325,g,g,4204.414142857143,4204.414142857143,2.5964643359716307e-16,-0.09473396434733417,6.005015444078875e-18,0.02312766388078163,18.446979405742212,0.13065236024980464,0.02312766388078163,False
9,60091.43062500004,23.919218989933142,g,g,4204.414142857143,4204.414142857143,2.446421959801488e-16,-0.12058495957813165,6.248545150084127e-18,0.025541567451394024,18.511606893819206,0.19527984832679834,0.025541567451394024,False
10,60097.430092600174,29.918686590070138,g,g,4830.0,4830.0,2.3259576323807285e-16,-0.14251452628431238,1.1660421724436591e-17,0.05013170301172508,18.566430810584656,0.2501037650922484,0.05013170301172508,False
11,60099.42413190007,31.912725889967987,g,g,4204.414142857143,4204.414142857143,1.9025344987943938e-16,-0.22978378541162847,1.8793346976358162e-17,0.09878058446912374,18.784603958402947,0.4682769129105395,0.09878058446912374,False
12,60101.42812500009,33.91671898998902,g,g,4204.414142857143,4204.414142857143,1.8938795997962587e-16,-0.23176396001352373,1.4089828886923692e-17,0.07439664532232915,18.789554394907686,0.47322734941527855,0.07439664532232915,False
13,60105.35304399999,37.841637989884475,g,g,4830.0,4830.0,3.6229116120861794e-16,0.04994141269397012,1.0706483142737573e-16,0.29552151112437614,18.085290963138952,-0.23103608235345519,0.29552151112437614,False
14,60112.36317129992,44.851765289815376,g,g,4204.414142857143,4204.414142857143,1.6588217061124535e-16,-0.2893166164334513,6.299837651852713e-18,0.03797778645311288,18.933436035957506,0.6171089904650984,0.03797778645311288,False
15,60115.2668980998,47.7554920896946,g,g,4204.414142857143,4204.414142857143,1.5502863035768036e-16,-0.31870441586029585,6.7973171204390685e-18,0.04384556004111223,19.006905534524616,0.6905784890322089,0.04384556004111223,False
16,60117.321006900165,49.80960089006112,g,g,4204.414142857143,4204.414142857143,1.5605644499481e-16,-0.3158346166642687,5.8866644880031944e-18,0.03772138015958885,18.99973103653455,0.683403991042141,0.03772138015958885,False
17,60119.286018500105,51.774612490000436,g,g,4204.414142857143,4204.414142857143,1.471671368738698e-16,-0.34130548522738735,5.798322440567423e-18,0.03939957359866897,19.063408207942345,0.7470811624499376,0.03939957359866897,False
18,60121.38420139998,53.872795389877865,g,g,4204.414142857143,4204.414142857143,1.3775159601596492e-16,-0.370019686647872,7.103829444590087e-18,0.051569852183540425,19.135193711493557,0.8188666660011492,0.051569852183540425,False
19,60123.25486110011,55.743455090007046,g,g,4830.0,4830.0,1.3716682849445615e-16,-0.3718672288142173,7.583802382038315e-18,0.055288895028617134,19.13981256690942,0.8234855214170125,0.055288895028617134,False
20,60125.29567130003,57.784265289927134,g,g,4204.414142857143,4204.414142857143,1.556224636668546e-16,-0.3170440396476426,9.520949727147246e-18,0.06117979051873264,19.002754593992982,0.6864275485005749,0.06117979051873264,False
21,60135.25979170017,67.74838569006533,g,g,4204.414142857143,4204.414142857143,9.187415465155444e-17,-0.5459229699193173,6.266125388333802e-18,0.06820335285912515,19.574951919672174,1.258624874179766,0.06820335285912515,False
22,60137.285775499884,69.77436948977993,g,g,4204.414142857143,4204.414142857143,9.141065655810132e-17,-0.5481194977399042,6.343635658721369e-18,0.06939711295793292,19.58044323922364,1.2641161937312333,0.06939711295793292,False
23,60139.23728010012,71.72587409001426,g,g,4204.414142857143,4204.414142857143,8.72928141502008e-17,-0.5681378314924288,6.357973252459331e-18,0.0728350129888063,19.630489073604945,1.3141620281125377,0.0728350129888063,False
24,60141.227870400064,73.71646438995958,g,g,4204.414142857143,4204.414142857143,7.89868413197277e-17,-0.6115615792626379,6.47546115727452e-18,0.08198151804884508,19.73904844303047,1.4227213975380621,0.08198151804884508,False
25,60143.269189800136,75.75778379003168,g,g,4204.414142857143,4204.414142857143,6.782479456053307e-17,-0.6777278390492043,5.1359695398233645e-18,0.07572407071929357,19.904464092496887,1.58813704700448,0.07572407071929357,False
26,60145.23703699978,77.72563098967657,g,g,4204.414142857143,4204.414142857143,6.325512755951511e-17,-0.7080205901542413,5.8136445611754285e-18,0.09190787823019597,19.98019597025948,1.6638689247670726,0.09190787823019597,False
27,60147.30872689979,79.7973208896874,g,g,3697.5018775510202,3697.5018775510202,5.063975022014234e-17,-0.8046247711554564,5.964440839437548e-18,0.1177817981626842,20.221706422762523,1.9053793772701155,0.1177817981626842,False
28,60149.29506940022,81.783663390117,g,g,3697.5018775510202,3697.5018775510202,4.586176675317549e-17,-0.8476655447835206,6.015223369611879e-18,0.1311598700936523,20.329308356832684,2.012981311340276,0.1311598700936523,False
