,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,57407.08,-9.564404797980387,V,V,5473.98,5473.98,5.125052974926794e-15,-0.45490496144933346,2.562526487463397e-16,0.05,15.077565984056616,1.0061389748105078,0.05,False
1,57408.07,-8.574404797982424,V,V,5473.98,5473.98,6.10517839709846e-15,-0.3789049614493347,3.663107038259076e-17,0.006,14.887565984056616,0.8161389748105083,0.006,False
2,57408.34,-8.304404797985626,V,V,5473.98,5473.98,6.645051617674378e-15,-0.34210496144933344,2.3257680661860325e-16,0.035,14.795565984056616,0.7241389748105078,0.035,False
3,57409.36,-7.284404797981551,V,V,5473.98,5473.98,7.58050884502063e-15,-0.2849049614493353,3.1080086264584587e-16,0.041,14.652565984056617,0.5811389748105089,0.041,False
4,57409.45,-7.194404797985044,V,V,5473.98,5473.98,7.140002417474315e-15,-0.3109049614493351,4.284001450484589e-17,0.006,14.717565984056616,0.6461389748105084,0.006,False
5,57409.79,-6.85440479798126,V,V,5473.98,5473.98,8.350228479116628e-15,-0.2429049614493337,5.0101370874699766e-17,0.006,14.547565984056616,0.4761389748105085,0.006,False
6,57410.19,-6.454404797979805,V,V,5783.851994546939,5783.851994546939,9.155843460165233e-15,-0.20290496144933456,5.49350607609914e-17,0.006,14.447565984056617,0.37613897481050884,0.006,False
7,57410.91,-5.734404797978641,V,V,5155.035280751021,5155.035280751021,9.947142940950254e-15,-0.16690496144933498,2.984142882285076e-17,0.003,14.357565984056617,0.286138974810509,0.003,False
8,57411.82,-4.8244047979824245,V,V,5473.98,5473.98,1.1526523998411462e-14,-0.10290496144933492,5.763261999205731e-17,0.005,14.197565984056617,0.12613897481050884,0.005,False
9,57412.275,-4.369404797980678,V,V,5473.98,5473.98,1.1893190049228084e-14,-0.08930496144933464,6.184458825598603e-16,0.052,14.163565984056616,0.09213897481050815,0.052,False
10,57412.5,-4.1444047979821335,V,V,5473.98,5473.98,1.163317761182892e-14,-0.09890496144933536,5.81658880591446e-17,0.005,14.187565984056617,0.11613897481050905,0.005,False
11,57413.315,-3.329404797979805,V,V,5473.98,5473.98,1.3076705972815687e-14,-0.04810496144933474,4.18454591130102e-16,0.032,14.060565984056616,-0.010861025189491613,0.032,False
12,57413.34,-3.304404797985626,V,V,5473.98,5473.98,1.3234220272046838e-14,-0.04290496144933442,3.4408972707321776e-16,0.026,14.047565984056616,-0.023861025189491514,0.026,False
13,57415.085,-1.5594047979830066,V,V,5473.98,5473.98,1.215901400862561e-14,-0.07970496144933392,4.255654903018964e-16,0.035,14.139565984056617,0.06813897481050901,0.035,False
14,57415.235,-1.4094047979815514,V,V,5473.98,5473.98,1.176246539692707e-14,-0.09410496144933411,3.9992382349552037e-16,0.034,14.175565984056616,0.1041389748105086,0.034,False
15,57415.92,-0.7244047979838797,V,V,5308.942239477551,5308.942239477551,1.3604994132659935e-14,-0.030904961449333967,5.441997653063974e-17,0.004,14.017565984056615,-0.05386102518949265,0.004,False
16,57417.705,1.0605952020196128,V,V,5308.942239477551,5308.942239477551,1.2755525603231487e-14,-0.058904961449334436,1.2755525603231486e-17,0.001,14.087565984056615,0.016138974810507634,0.001,False
17,57418.755,2.110595202015247,V,V,5308.942239477551,5308.942239477551,1.2992668529555388e-14,-0.05090496144933354,2.5985337059110776e-17,0.002,14.067565984056616,-0.00386102518949194,0.002,False
