MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59455.556571 -20.656  0.533   -20   11 o  0   1.49  51.08825 -21.56561  2713.32  6737.68 1.93 1.77 -37.7 -0.422 19.48 20.16 01a59455o0728o
59457.549106 -22.831  6.000    -3   16 o  0   1.04  51.08825 -21.56561  5696.96  8191.40 2.34 1.96  35.2 -0.415 19.26 20.38 02a59457o0706o
59457.552768 -20.556  0.503   -22   11 o  0   1.52  51.08825 -21.56561  5719.41  8229.19 2.19 1.94  34.4 -0.435 19.40 20.46 02a59457o0714o
59457.558274   0.000 21.363     0   10 o  0   1.48  51.08825 -21.56561  5661.51  8152.17 2.41 1.93  34.7 -0.423 19.45 20.53 02a59457o0726o
59457.568410   0.000 21.155     0   12 o  0   1.65  51.08825 -21.56561  5641.71  8268.44 2.41 1.93  35.2 -0.421 19.26 20.26 02a59457o0748o
59461.587097  23.986 10.571     1   10 c  0   0.91  51.08825 -21.56561  5981.26  3837.23 2.45 2.32  38.6 -0.397 19.71 21.60 02a59461o0793c
59461.590307 -20.906  0.536   -16    8 c  0   1.13  51.08825 -21.56561  6001.36  3874.04 2.65 2.35  36.0 -0.391 19.65 21.60 02a59461o0800c
59461.595824  22.799  3.105     3    9 c  0   1.12  51.08825 -21.56561  5943.30  3797.01 2.70 2.35  36.1 -0.388 19.67 21.59 02a59461o0812c
59461.612839 -21.829  1.120    -7    8 c  0   1.23  51.08825 -21.56561  5921.92  3912.40 2.60 2.26  33.9 -0.388 19.69 21.58 02a59461o0848c
59463.456460 -20.527  0.784   -22   18 o  0   0.93  51.08825 -21.56561  6782.00  2278.29 2.55 2.49 -29.0 -0.448 19.13 20.23 01a59463o0325o
59463.462458  22.195  3.303     5   16 o  0   1.45  51.08825 -21.56561  6757.46  2239.26 2.56 2.45  -3.0 -0.438 19.13 20.26 01a59463o0338o
59463.475828 -21.568  1.581    -9   14 o  0   1.49  51.08825 -21.56561  6815.86  2317.40 2.57 2.42 -26.8 -0.413 19.20 20.32 01a59463o0367o
59463.481370 -21.217  1.061   -12   13 o  0   1.37  51.08825 -21.56561  6837.73  2201.40 2.65 2.50  -0.4 -0.403 19.22 20.33 01a59463o0379o
59465.550077  15.341  0.007  2652   19 c  0   9.41  51.08825 -21.56561  5977.17  3834.04 2.44 2.19  33.7 -0.395 19.72 21.47 02a59465o0722c
59465.553762  15.336  0.007  2663   19 c  0   7.60  51.08825 -21.56561  5996.31  3872.81 2.46 2.23  33.3 -0.394 19.68 21.47 02a59465o0730c
59465.559252  15.331  0.007  2676   19 c  0   6.55  51.08825 -21.56561  5939.69  3793.54 2.79 2.28  35.7 -0.384 19.62 21.49 02a59465o0742c
59465.569388  15.316  0.007  2714   19 c  0   8.21  51.08825 -21.56561  5920.33  3908.61 2.53 2.29  38.8 -0.394 19.65 21.53 02a59465o0764c
59467.550463  14.867  0.008  4104   32 o  0   3.54  51.08825 -21.56561  1846.87  8403.25 2.86 2.81  65.6 -0.443 18.75 20.30 01a59467o0564o
59467.554180  14.860  0.007  4130   30 o  0   2.47  51.08825 -21.56561  1827.17  8364.85 2.85 2.77 -69.1 -0.448 18.96 20.50 01a59467o0572o
59467.559735  14.838  0.010  4216   42 o  0   1.56  51.08825 -21.56561  1888.32  8442.55 2.86 2.79 -78.6 -0.438 18.29 19.83 01a59467o0584o
59467.565731  14.859  0.015  4133   63 o  0   1.74  51.08825 -21.56561  1907.56  8325.38 3.01 2.95 -63.8 -0.440 17.64 19.22 01a59467o0597o
59471.533937  14.499  0.005  5760   28 o  0  13.89  51.08825 -21.56561  1847.26  8406.77 2.67 2.49 -47.2 -0.475 19.34 20.72 01a59471o0717o
59471.537164  14.504  0.005  5734   28 o  0   9.63  51.08825 -21.56561  1827.81  8368.09 2.78 2.56 -44.2 -0.472 19.29 20.71 01a59471o0724o
59471.539925  14.492  0.005  5794   27 o  0  20.08  51.08825 -21.56561  1888.10  8445.77 2.77 2.55 -42.7 -0.475 19.31 20.73 01a59471o0730o
59471.550043  14.490  0.005  5809   29 o  0  15.62  51.08825 -21.56561  1909.72  8328.50 2.67 2.57 -43.7 -0.469 19.33 20.75 01a59471o0751o
59477.477357  14.411  0.020  6245  125 o  0   1.51  51.08825 -21.56561 10137.62  4170.68 2.32 2.14 -52.3 -0.420 17.11 16.96 02a59477o0583o
