MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58797.647511  18.571  0.217   135   29 o  0   0.84 192.56704  21.33761  7495.55  4233.97 2.41 2.19 -83.7 -0.416 18.44 18.82 01a58797o0849o
58797.650822  19.794  1.065    44   47 o  0   1.37 192.56704  21.33761  7476.07  4194.97 2.39 2.15 -86.1 -0.422 17.90 17.88 01a58797o0856o
58799.626352  18.432  0.235   154   36 o  0   1.19 192.56704  21.33761  1041.28  4475.61 2.34 1.96  27.9 -0.419 17.96 18.20 02a58799o0831o
58799.629165  18.739  0.322   116   37 o  0   1.27 192.56704  21.33761  1061.65  4515.93 2.02 2.01   0.2 -0.431 18.02 18.24 02a58799o0837o
58799.634705  18.683  0.299   122   36 o  0   0.86 192.56704  21.33761  1002.00  4436.21 2.10 1.86  30.3 -0.446 18.08 18.30 02a58799o0849o
58799.642261  18.688  0.238   122   29 o  0   1.51 192.56704  21.33761   980.19  4551.11 2.16 1.87  28.6 -0.479 18.14 18.37 02a58799o0862o
58813.602030  18.680  0.106   122   13 o  0   1.12 192.56704  21.33761  7584.92  6168.88 2.43 2.07 -89.7 -0.416 19.36 20.51 01a58813o0836o
58813.605273  18.526  0.099   141   14 o  0   0.81 192.56704  21.33761  7565.86  6127.09 2.82 2.27 -89.1 -0.402 19.27 20.53 01a58813o0843o
58813.611951  18.516  0.086   142   12 o  0   1.07 192.56704  21.33761  7625.49  6207.57 2.28 2.03 -87.3 -0.418 19.41 20.56 01a58813o0855o
58813.622963  18.842  0.098   106   10 o  0   1.61 192.56704  21.33761  7645.24  6086.40 2.76 2.02 -88.2 -0.418 19.37 20.62 01a58813o0876o
58815.605812  18.599  0.247   132   32 c  0   0.91 192.56704  21.33761  7247.86  6632.95 2.62 2.50  21.1 -0.395 18.56 20.25 02a58815o0842c
58815.609035  21.704  3.824     8   29 c  0   1.42 192.56704  21.33761  7265.53  6671.95 2.84 2.50  32.6 -0.382 18.33 20.06 02a58815o0849c
58815.616531  18.510  0.186   143   27 c  0   1.54 192.56704  21.33761  7210.54  6594.82 2.84 2.48  30.4 -0.372 18.14 19.83 02a58815o0864c
58815.626573  19.039  0.288    88   25 c  0   1.07 192.56704  21.33761  7190.54  6712.16 2.66 2.52  10.0 -0.390 18.48 20.16 02a58815o0885c
58821.580808  18.569  0.106   136   14 o  0   1.15 192.56704  21.33761  8602.66  2006.44 2.81 2.27  88.0 -0.418 19.37 20.81 01a58821o0758o
58821.584225  18.637  0.103   127   13 o  0   0.99 192.56704  21.33761  8583.44  1966.82 2.68 2.29  85.5 -0.411 19.39 20.86 01a58821o0765o
58821.590404  18.598  0.092   132   12 o  0   0.97 192.56704  21.33761  8643.84  2047.99 2.41 2.18 -82.2 -0.403 19.55 20.94 01a58821o0778o
58821.605350  18.743  0.089   116   10 o  0   1.14 192.56704  21.33761  8663.20  1929.19 2.40 2.07 -85.4 -0.408 19.61 20.98 01a58821o0809o
