MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59039.520767  20.446  1.043    24   25 o  0   1.02 313.47097 -25.47391   920.27  7609.64 2.77 2.59 -33.9 -0.396 18.69 19.45 01a59039o0611o
59039.555492 -20.249  0.846   -29   24 o  0   0.81 313.47097 -25.47391   940.52  7646.54 2.55 2.42 -48.4 -0.379 18.73 19.42 01a59039o0685o
59039.558717  20.437  0.877    24   21 o  0   1.13 313.47097 -25.47391   882.41  7569.94 2.37 2.20 -47.3 -0.407 18.80 19.41 01a59039o0692o
59039.587599 -20.519  1.139   -22   26 o  0   0.99 313.47097 -25.47391   861.17  7684.15 2.75 2.50 -23.4 -0.377 18.66 19.37 01a59039o0753o
59041.519396  21.415  1.768    10   17 o  0   1.17 313.47097 -25.47391  1583.95   937.41 2.33 2.04 -60.9 -0.457 19.17 20.09 02a59041o0591o
59041.524486  20.702  0.766    19   15 o  0   1.42 313.47097 -25.47391  1565.07   899.06 2.11 1.91 -64.7 -0.474 19.22 20.10 02a59041o0602o
59041.527717  22.576  5.222     3   18 o  0   1.20 313.47097 -25.47391  1623.28   979.04 2.33 2.13 -62.8 -0.457 19.15 20.09 02a59041o0609o
59041.563162  20.222  0.605    30   18 o  0   0.71 313.47097 -25.47391  1640.04   865.67 2.20 2.04 -71.8 -0.464 19.09 19.94 02a59041o0685o
59043.470556  20.779  0.651    18   12 o  0   1.24 313.47097 -25.47391  8980.29  9203.11 1.95 1.88  32.6 -0.386 19.55 20.36 01a59043o0480o
59043.472399  20.226  0.460    30   14 o  0   0.76 313.47097 -25.47391  8959.94  9163.49 2.06 1.97  27.5 -0.383 19.48 20.36 01a59043o0484o
59043.475163  19.963  0.355    38   13 o  0   1.26 313.47097 -25.47391  9021.09  9241.48 2.17 1.89  14.3 -0.387 19.46 20.37 01a59043o0490o
59043.480289  22.466  2.532     4   10 o  0   1.96 313.47097 -25.47391  9039.85  9123.84 2.00 1.89  58.8 -0.385 19.53 20.36 01a59043o0501o
59047.455656  21.137  0.853    13   11 o  0   1.19 313.47097 -25.47391  8980.99  9202.85 2.17 1.94  14.2 -0.384 19.50 20.70 01a59047o0349o
59047.457497  20.256  0.416    29   12 o  0   1.19 313.47097 -25.47391  8958.94  9163.56 2.03 1.95  59.4 -0.385 19.56 20.71 01a59047o0353o
59047.482858  21.366  1.276    10   13 o  0   0.98 313.47097 -25.47391  9026.36  9239.94 2.32 2.03  16.8 -0.376 19.49 20.70 01a59047o0400o
