# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.8 on 2024-02-22 at 07:43:22
#
# Requested input R.A. = 220.04175 degrees
# Requested input Dec. = 42.777619 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 719 14 4 ZTF_r 444380015515 0 1.9981 186.083 7.11284 25.9847 1.13572e-05 0.0265991 0.0979568 1.68351e-05 393 30. 0.046767 0.049152 20.2056 25.9847 2 2458198.8800116 719120255 43.95295724878 26.532749 1.842726 1.085283 12.24854037585 51.577518 0.239078 1.036540 1.31483077213259 17.981000328064 0.0839999988675117 7.71299982070923 0.35699999332428 2458155.970822 2458199.835648 0
 1 719 14 4 ZTF_r 444412415515 0 1.7542 235.926 5.3713 26.2385 9.1045e-06 0.0238739 0.106524 1.35541e-05 393 30. 0.056762 0.048274 20.6905 26.2385 2 2458198.912419 719120255 37.77185977643 24.728834 1.699102 1.118899 73.93741426097 47.793285 1.557444 1.040950 1.31483077213259 17.981000328064 0.0839999988675117 7.71299982070923 0.35699999332428 2458155.970822 2458199.835648 0
 2 719 14 4 ZTF_r 444431735515 0 1.613 237.536 5.39126 26.2328 7.9195e-06 0.0222655 0.107717 1.17413e-05 393 30. 0.052832 0.051058 20.6876 26.2328 2 2458198.9317361 719120255 6.98838062308 24.226271 0.320882 1.184080 -79.59815584074 45.896179 -1.745990 1.047063 1.31483077213259 17.981000328064 0.0839999988675117 7.71299982070923 0.35699999332428 2458155.970822 2458199.835648 0
 3 719 14 4 ZTF_r 445335645515 0 2.4089 169.567 5.43796 25.896 1.02035e-05 0.0253094 0.0847818 1.54934e-05 390 30. 0.055676 0.052956 20.2085 25.896 2 2458199.8356481 719120255 -2.8941979562 27.591429 -0.116683 0.978954 -59.39373080581 50.537331 -1.183160 1.035154 1.31483077213259 17.981000328064 0.0839999988675117 7.71299982070923 0.35699999332428 2458155.970822 2458199.835648 0
 4 719 14 4 ZTF_g 448352225515 0 2.4393 198.549 5.85895 26.2963 1.35178e-05 0.0292841 -0.0355832 2.11454e-05 384 30. 0.060951 0.052847 20.5115 26.2963 2 2458202.8522222 719120155 -5.88414610607 32.016006 -0.204442 0.960360 60.91114394104 52.421696 1.169771 1.082476 1.78029067748459 18.0909997940063 0.0769999995827675 5.60400009155273 0.442999988794327 2458166.991296 2458204.939769 0
 5 719 14 4 ZTF_g 448357955515 0 2.2011 199.15 5.71853 26.3021 1.43135e-05 0.0300382 -0.0373348 2.21134e-05 385 30. 0.055688 0.048733 20.6215 26.3021 2 2458202.8579514 719120155 0.69297551935 29.371693 0.026245 1.127690 46.02292991907 49.514511 0.935744 1.082547 1.78029067748459 18.0909997940063 0.0769999995827675 5.60400009155273 0.442999988794327 2458166.991296 2458204.939769 0
 6 719 14 4 ZTF_g 448379655515 0 2.7106 200.049 4.9061 26.3066 1.6749e-05 0.0324658 -0.0408674 2.5948e-05 386 30. 0.063234 0.057215 20.6392 26.3066 1 2458202.8796528 719120155 37.79404006324 31.883251 1.318607 1.088734 50.03618739904 49.298313 1.021803 1.093258 1.78029067748459 18.0909997940063 0.0769999995827675 5.60400009155273 0.442999988794327 2458166.991296 2458204.939769 0
 7 719 14 4 ZTF_g 448380615515 0 2.1405 200.615 4.87016 26.2958 1.33891e-05 0.0290839 -0.0357226 2.05686e-05 388 30. 0.059705 0.048449 20.814 26.2958 2 2458202.8806134 719120155 -19.4525151699 27.388105 -0.790075 1.001174 -62.66119822475 46.421112 -1.358934 1.082164 1.78029067748459 18.0909997940063 0.0769999995827675 5.60400009155273 0.442999988794327 2458166.991296 2458204.939769 0
 8 719 14 4 ZTF_g 449344915515 0 2.5023 199.725 7.31249 26.332 1.45216e-05 0.0300347 -0.083852 2.33806e-05 375 30. 0.056947 0.052491 20.1873 26.332 2 2458203.844919 719120155 -61.95537177975 38.239460 -1.802279 1.065644 -75.06395891789 64.228836 -1.176567 1.055436 1.78029067748459 18.0909997940063 0.0769999995827675 5.60400009155273 0.442999988794327 2458166.991296 2458204.939769 0
